Orthogroup	Auxenochlorella_protothecoides	Chlorella_VariabilisNC64A
OG0001760	RMZ52914.1 hypothetical protein APUTEX25_001033 [Auxenochlorella protothecoides]	XP_005849764.1 hypothetical protein CHLNCDRAFT_142811 [Chlorella variabilis]
OG0001761	RMZ52928.1 hypothetical protein APUTEX25_001047_ partial [Auxenochlorella protothecoides]	XP_005847046.1 hypothetical protein CHLNCDRAFT_134694 [Chlorella variabilis]
OG0001762	RMZ52929.1 hypothetical protein APUTEX25_001048 [Auxenochlorella protothecoides]	XP_005843960.1 hypothetical protein CHLNCDRAFT_37265 [Chlorella variabilis]
OG0001763	RMZ52932.1 hypothetical protein APUTEX25_001051 [Auxenochlorella protothecoides]	XP_005851794.1 hypothetical protein CHLNCDRAFT_33545 [Chlorella variabilis]
OG0001764	RMZ52933.1 hypothetical protein APUTEX25_001052 [Auxenochlorella protothecoides]	XP_005843870.1 hypothetical protein CHLNCDRAFT_59111_ partial [Chlorella variabilis]
OG0001765	RMZ52968.1 hypothetical protein APUTEX25_001087 [Auxenochlorella protothecoides]	XP_005849294.1 hypothetical protein CHLNCDRAFT_21648 [Chlorella variabilis], XP_005844736.1 hypothetical protein CHLNCDRAFT_26610 [Chlorella variabilis]
OG0001766	RMZ52981.1 hypothetical protein APUTEX25_001100 [Auxenochlorella protothecoides]	XP_005848170.1 hypothetical protein CHLNCDRAFT_145559 [Chlorella variabilis]
OG0001766	RMZ54742.1 hypothetical protein APUTEX25_003120_ partial [Auxenochlorella protothecoides]	XP_005846191.1 hypothetical protein CHLNCDRAFT_136211 [Chlorella variabilis]
OG0001767	RMZ52990.1 hypothetical protein APUTEX25_001109_ partial [Auxenochlorella protothecoides]	XP_005847245.1 hypothetical protein CHLNCDRAFT_23571_ partial [Chlorella variabilis]
OG0001768	RMZ52995.1 hypothetical protein APUTEX25_001114_ partial [Auxenochlorella protothecoides]	XP_005851689.1 hypothetical protein CHLNCDRAFT_132964 [Chlorella variabilis]
OG0001769	RMZ53002.1 hypothetical protein APUTEX25_001121 [Auxenochlorella protothecoides]	XP_005849571.1 hypothetical protein CHLNCDRAFT_20890_ partial [Chlorella variabilis]
OG0001770	RMZ53006.1 hypothetical protein APUTEX25_001125 [Auxenochlorella protothecoides]	XP_005847942.1 hypothetical protein CHLNCDRAFT_145385 [Chlorella variabilis]
OG0001771	RMZ53019.1 hypothetical protein APUTEX25_001138 [Auxenochlorella protothecoides]	XP_005845263.1 hypothetical protein CHLNCDRAFT_11901_ partial [Chlorella variabilis]
OG0001772	RMZ53026.1 hypothetical protein APUTEX25_001145 [Auxenochlorella protothecoides]	XP_005848805.1 hypothetical protein CHLNCDRAFT_144078 [Chlorella variabilis], XP_005848806.1 hypothetical protein CHLNCDRAFT_144079 [Chlorella variabilis]
OG0001773	RMZ53034.1 hypothetical protein APUTEX25_001153_ partial [Auxenochlorella protothecoides]	XP_005849841.1 hypothetical protein CHLNCDRAFT_17292_ partial [Chlorella variabilis]
OG0001774	RMZ53048.1 hypothetical protein APUTEX25_001167 [Auxenochlorella protothecoides]	XP_005852132.1 hypothetical protein CHLNCDRAFT_133236 [Chlorella variabilis]
OG0001775	RMZ53051.1 hypothetical protein APUTEX25_001170_ partial [Auxenochlorella protothecoides], RMZ57196.1 hypothetical protein APUTEX25_004030_ partial [Auxenochlorella protothecoides], RMZ54470.1 hypothetical protein APUTEX25_002046_ partial [Auxenochlorella protothecoides]	XP_005851628.1 hypothetical protein CHLNCDRAFT_138179 [Chlorella variabilis]
OG0001776	RMZ53062.1 hypothetical protein APUTEX25_001181_ partial [Auxenochlorella protothecoides]	XP_005846548.1 hypothetical protein CHLNCDRAFT_135865 [Chlorella variabilis]
OG0001777	RMZ53093.1 hypothetical protein APUTEX25_002502_ partial [Auxenochlorella protothecoides], RMZ56327.1 hypothetical protein APUTEX25_000566 [Auxenochlorella protothecoides]	XP_005847013.1 hypothetical protein CHLNCDRAFT_24254_ partial [Chlorella variabilis]
OG0001778	RMZ53101.1 hypothetical protein APUTEX25_002510_ partial [Auxenochlorella protothecoides]	XP_005844926.1 hypothetical protein CHLNCDRAFT_138255 [Chlorella variabilis]
OG0001779	RMZ53123.1 hypothetical protein APUTEX25_005112 [Auxenochlorella protothecoides]	XP_005846072.1 hypothetical protein CHLNCDRAFT_31879 [Chlorella variabilis]
OG0001780	RMZ53140.1 hypothetical protein APUTEX25_005129 [Auxenochlorella protothecoides]	XP_005843618.1 hypothetical protein CHLNCDRAFT_140213 [Chlorella variabilis]
OG0001781	RMZ53143.1 hypothetical protein APUTEX25_005132 [Auxenochlorella protothecoides]	XP_005847235.1 hypothetical protein CHLNCDRAFT_57924 [Chlorella variabilis]
OG0001782	RMZ53144.1 hypothetical protein APUTEX25_005133 [Auxenochlorella protothecoides]	XP_005851109.1 hypothetical protein CHLNCDRAFT_137670 [Chlorella variabilis]
OG0001783	RMZ53147.1 hypothetical protein APUTEX25_005136_ partial [Auxenochlorella protothecoides]	XP_005846508.1 hypothetical protein CHLNCDRAFT_24868 [Chlorella variabilis]
OG0001784	RMZ53168.1 hypothetical protein APUTEX25_005157_ partial [Auxenochlorella protothecoides]	XP_005849043.1 hypothetical protein CHLNCDRAFT_143484 [Chlorella variabilis]
OG0001785	RMZ53170.1 hypothetical protein APUTEX25_005159 [Auxenochlorella protothecoides]	XP_005846980.1 hypothetical protein CHLNCDRAFT_23940 [Chlorella variabilis]
OG0001786	RMZ53182.1 hypothetical protein APUTEX25_005171 [Auxenochlorella protothecoides]	XP_005845954.1 hypothetical protein CHLNCDRAFT_56234 [Chlorella variabilis]
OG0001787	RMZ53204.1 hypothetical protein APUTEX25_005193 [Auxenochlorella protothecoides]	XP_005846330.1 hypothetical protein CHLNCDRAFT_24756_ partial [Chlorella variabilis]
OG0001788	RMZ53209.1 hypothetical protein APUTEX25_005198 [Auxenochlorella protothecoides]	XP_005847231.1 hypothetical protein CHLNCDRAFT_57920 [Chlorella variabilis]
OG0001789	RMZ53219.1 hypothetical protein APUTEX25_005208 [Auxenochlorella protothecoides]	XP_005847168.1 hypothetical protein CHLNCDRAFT_35848 [Chlorella variabilis]
OG0001790	RMZ53229.1 hypothetical protein APUTEX25_005218_ partial [Auxenochlorella protothecoides]	XP_005847180.1 hypothetical protein CHLNCDRAFT_31542 [Chlorella variabilis]
OG0001791	RMZ53230.1 hypothetical protein APUTEX25_005219 [Auxenochlorella protothecoides]	XP_005847382.1 hypothetical protein CHLNCDRAFT_35526 [Chlorella variabilis]
OG0001792	RMZ53236.1 hypothetical protein APUTEX25_005225 [Auxenochlorella protothecoides]	XP_005843567.1 hypothetical protein CHLNCDRAFT_33073 [Chlorella variabilis]
OG0001793	RMZ53241.1 hypothetical protein APUTEX25_005230_ partial [Auxenochlorella protothecoides]	XP_005846102.1 hypothetical protein CHLNCDRAFT_136003 [Chlorella variabilis]
OG0001794	RMZ53243.1 hypothetical protein APUTEX25_005232 [Auxenochlorella protothecoides]	XP_005847188.1 hypothetical protein CHLNCDRAFT_24218 [Chlorella variabilis]
OG0001795	RMZ53252.1 hypothetical protein APUTEX25_005241 [Auxenochlorella protothecoides]	XP_005845958.1 hypothetical protein CHLNCDRAFT_25289 [Chlorella variabilis]
OG0001796	RMZ53508.1 hypothetical protein APUTEX25_003330 [Auxenochlorella protothecoides]	XP_005851747.1 hypothetical protein CHLNCDRAFT_133122 [Chlorella variabilis]
OG0001797	RMZ53293.1 hypothetical protein APUTEX25_004781 [Auxenochlorella protothecoides]	XP_005844287.1 hypothetical protein CHLNCDRAFT_37051 [Chlorella variabilis]
OG0001799	RMZ53307.1 hypothetical protein APUTEX25_004795_ partial [Auxenochlorella protothecoides]	XP_005843584.1 hypothetical protein CHLNCDRAFT_37425 [Chlorella variabilis]
OG0001801	RMZ53323.1 hypothetical protein APUTEX25_004811 [Auxenochlorella protothecoides]	XP_005847064.1 hypothetical protein CHLNCDRAFT_134731 [Chlorella variabilis]
OG0001802	RMZ53326.1 hypothetical protein APUTEX25_004814_ partial [Auxenochlorella protothecoides]	XP_005849152.1 hypothetical protein CHLNCDRAFT_143776 [Chlorella variabilis]
OG0001803	RMZ53334.1 hypothetical protein APUTEX25_004822 [Auxenochlorella protothecoides]	XP_005843827.1 hypothetical protein CHLNCDRAFT_139900 [Chlorella variabilis]
OG0001804	RMZ53336.1 hypothetical protein APUTEX25_004824_ partial [Auxenochlorella protothecoides]	XP_005847684.1 hypothetical protein CHLNCDRAFT_134093 [Chlorella variabilis]
OG0001805	RMZ57722.1 hypothetical protein APUTEX25_001699_ partial [Auxenochlorella protothecoides], RMZ53356.1 hypothetical protein APUTEX25_004844_ partial [Auxenochlorella protothecoides]	XP_005847017.1 hypothetical protein CHLNCDRAFT_24136 [Chlorella variabilis]
OG0001806	RMZ53370.1 hypothetical protein APUTEX25_004858 [Auxenochlorella protothecoides]	XP_005852172.1 hypothetical protein CHLNCDRAFT_29265 [Chlorella variabilis]
OG0001807	RMZ53371.1 hypothetical protein APUTEX25_004859 [Auxenochlorella protothecoides]	XP_005844379.1 hypothetical protein CHLNCDRAFT_54504_ partial [Chlorella variabilis]
OG0001808	RMZ54579.1 hypothetical protein APUTEX25_002485 [Auxenochlorella protothecoides], RMZ53640.1 hypothetical protein APUTEX25_003174_ partial [Auxenochlorella protothecoides], RMZ55984.1 hypothetical protein APUTEX25_004408_ partial [Auxenochlorella protothecoides], RMZ54516.1 hypothetical protein APUTEX25_002092 [Auxenochlorella protothecoides], RMZ53383.1 hypothetical protein APUTEX25_004871_ partial [Auxenochlorella protothecoides]	XP_005846546.1 hypothetical protein CHLNCDRAFT_135856 [Chlorella variabilis]
OG0001809	RMZ53388.1 hypothetical protein APUTEX25_004876 [Auxenochlorella protothecoides]	XP_005847852.1 hypothetical protein CHLNCDRAFT_31155 [Chlorella variabilis]
OG0001810	RMZ53393.1 hypothetical protein APUTEX25_004881 [Auxenochlorella protothecoides]	XP_005843778.1 hypothetical protein CHLNCDRAFT_139906 [Chlorella variabilis]
OG0001811	RMZ53395.1 hypothetical protein APUTEX25_004883 [Auxenochlorella protothecoides]	XP_005843773.1 expressed protein_ partial [Chlorella variabilis], XP_005842759.1 expressed protein [Chlorella variabilis]
OG0001812	RMZ53408.1 hypothetical protein APUTEX25_004896 [Auxenochlorella protothecoides]	XP_005847056.1 hypothetical protein CHLNCDRAFT_56190 [Chlorella variabilis]
OG0001813	RMZ53413.1 hypothetical protein APUTEX25_004901 [Auxenochlorella protothecoides]	XP_005849441.1 hypothetical protein CHLNCDRAFT_56054 [Chlorella variabilis]
OG0001815	RMZ53437.1 hypothetical protein APUTEX25_004925 [Auxenochlorella protothecoides], RMZ55848.1 hypothetical protein APUTEX25_003814_ partial [Auxenochlorella protothecoides]	XP_005846019.1 hypothetical protein CHLNCDRAFT_136125 [Chlorella variabilis]
OG0001816	RMZ53439.1 hypothetical protein APUTEX25_004927 [Auxenochlorella protothecoides], RMZ57572.1 hypothetical protein APUTEX25_001772 [Auxenochlorella protothecoides]	XP_005848631.1 hypothetical protein CHLNCDRAFT_144156 [Chlorella variabilis], XP_005846606.1 hypothetical protein CHLNCDRAFT_135214 [Chlorella variabilis]
OG0001817	RMZ53443.1 hypothetical protein APUTEX25_004931 [Auxenochlorella protothecoides]	XP_005846840.1 hypothetical protein CHLNCDRAFT_59686 [Chlorella variabilis]
OG0001818	RMZ53466.1 hypothetical protein APUTEX25_003288_ partial [Auxenochlorella protothecoides]	XP_005850392.1 hypothetical protein CHLNCDRAFT_59607 [Chlorella variabilis]
OG0001819	RMZ53473.1 hypothetical protein APUTEX25_003295 [Auxenochlorella protothecoides]	XP_005850722.1 hypothetical protein CHLNCDRAFT_19492 [Chlorella variabilis], XP_005850723.1 hypothetical protein CHLNCDRAFT_140840 [Chlorella variabilis]
OG0001820	RMZ53485.1 hypothetical protein APUTEX25_003307 [Auxenochlorella protothecoides]	XP_005851273.1 hypothetical protein CHLNCDRAFT_56765 [Chlorella variabilis]
OG0001821	RMZ53488.1 hypothetical protein APUTEX25_003310_ partial [Auxenochlorella protothecoides]	XP_005846245.1 hypothetical protein CHLNCDRAFT_135536 [Chlorella variabilis]
OG0001822	RMZ53504.1 hypothetical protein APUTEX25_003326_ partial [Auxenochlorella protothecoides]	XP_005845132.1 hypothetical protein CHLNCDRAFT_53981 [Chlorella variabilis]
OG0001823	RMZ53514.1 hypothetical protein APUTEX25_003336 [Auxenochlorella protothecoides]	XP_005852186.1 hypothetical protein CHLNCDRAFT_133392 [Chlorella variabilis]
OG0001824	RMZ53517.1 hypothetical protein APUTEX25_003339 [Auxenochlorella protothecoides]	XP_005850417.1 hypothetical protein CHLNCDRAFT_142331 [Chlorella variabilis]
OG0001825	RMZ53518.1 hypothetical protein APUTEX25_003340 [Auxenochlorella protothecoides]	XP_005846279.1 hypothetical protein CHLNCDRAFT_24792 [Chlorella variabilis]
OG0001826	RMZ53526.1 hypothetical protein APUTEX25_003348_ partial [Auxenochlorella protothecoides]	XP_005850140.1 hypothetical protein CHLNCDRAFT_34430 [Chlorella variabilis]
OG0001827	RMZ53537.1 hypothetical protein APUTEX25_003359_ partial [Auxenochlorella protothecoides]	XP_005844874.1 hypothetical protein CHLNCDRAFT_26494 [Chlorella variabilis]
OG0001828	RMZ53538.1 hypothetical protein APUTEX25_003360_ partial [Auxenochlorella protothecoides]	XP_005846458.1 hypothetical protein CHLNCDRAFT_135626 [Chlorella variabilis]
OG0001829	RMZ53545.1 hypothetical protein APUTEX25_003367 [Auxenochlorella protothecoides]	XP_005849093.1 hypothetical protein CHLNCDRAFT_34870 [Chlorella variabilis]
OG0001830	RMZ53555.1 hypothetical protein APUTEX25_003377_ partial [Auxenochlorella protothecoides]	XP_005846285.1 hypothetical protein CHLNCDRAFT_58264 [Chlorella variabilis]
OG0001831	RMZ53569.1 hypothetical protein APUTEX25_003391 [Auxenochlorella protothecoides]	XP_005849330.1 hypothetical protein CHLNCDRAFT_56101 [Chlorella variabilis]
OG0001832	RMZ53575.1 hypothetical protein APUTEX25_003397_ partial [Auxenochlorella protothecoides]	XP_005848116.1 hypothetical protein CHLNCDRAFT_145418 [Chlorella variabilis]
OG0001833	RMZ53579.1 hypothetical protein APUTEX25_003401 [Auxenochlorella protothecoides]	XP_005844828.1 expressed protein [Chlorella variabilis]
OG0001834	RMZ55869.1 hypothetical protein APUTEX25_003835 [Auxenochlorella protothecoides]	XP_005846030.1 hypothetical protein CHLNCDRAFT_53437 [Chlorella variabilis]
OG0001834	RMZ53582.1 hypothetical protein APUTEX25_003404 [Auxenochlorella protothecoides]	XP_005844856.1 hypothetical protein CHLNCDRAFT_138351 [Chlorella variabilis]
OG0001835	RMZ53583.1 hypothetical protein APUTEX25_003405 [Auxenochlorella protothecoides]	XP_005844834.1 hypothetical protein CHLNCDRAFT_138281 [Chlorella variabilis]
OG0001837	RMZ53617.1 hypothetical protein APUTEX25_003151_ partial [Auxenochlorella protothecoides]	XP_005846754.1 hypothetical protein CHLNCDRAFT_24638 [Chlorella variabilis]
OG0001838	RMZ53623.1 hypothetical protein APUTEX25_003157 [Auxenochlorella protothecoides]	XP_005843602.1 hypothetical protein CHLNCDRAFT_37364 [Chlorella variabilis]
OG0001839	RMZ53627.1 hypothetical protein APUTEX25_003161_ partial [Auxenochlorella protothecoides]	XP_005846541.1 hypothetical protein CHLNCDRAFT_31842 [Chlorella variabilis]
OG0001840	RMZ53643.1 hypothetical protein APUTEX25_003177 [Auxenochlorella protothecoides]	XP_005850904.1 hypothetical protein CHLNCDRAFT_140596 [Chlorella variabilis]
OG0001841	RMZ53644.1 hypothetical protein APUTEX25_003178 [Auxenochlorella protothecoides]	XP_005843266.1 hypothetical protein CHLNCDRAFT_28318_ partial [Chlorella variabilis]
OG0001842	RMZ53677.1 hypothetical protein APUTEX25_003211 [Auxenochlorella protothecoides]	XP_005847927.1 hypothetical protein CHLNCDRAFT_145345 [Chlorella variabilis]
OG0001843	RMZ53679.1 hypothetical protein APUTEX25_003213_ partial [Auxenochlorella protothecoides]	XP_005847045.1 hypothetical protein CHLNCDRAFT_31418 [Chlorella variabilis]
OG0001844	RMZ53691.1 hypothetical protein APUTEX25_003225_ partial [Auxenochlorella protothecoides]	XP_005850704.1 hypothetical protein CHLNCDRAFT_140790 [Chlorella variabilis]
OG0001845	RMZ53692.1 hypothetical protein APUTEX25_003226_ partial [Auxenochlorella protothecoides]	XP_005850968.1 hypothetical protein CHLNCDRAFT_50385 [Chlorella variabilis]
OG0001846	RMZ53711.1 hypothetical protein APUTEX25_003245 [Auxenochlorella protothecoides]	XP_005848069.1 hypothetical protein CHLNCDRAFT_145291 [Chlorella variabilis]
OG0001847	RMZ53720.1 hypothetical protein APUTEX25_003254 [Auxenochlorella protothecoides]	XP_005843596.1 hypothetical protein CHLNCDRAFT_59206 [Chlorella variabilis]
OG0001848	RMZ53721.1 hypothetical protein APUTEX25_003255_ partial [Auxenochlorella protothecoides]	XP_005846611.1 hypothetical protein CHLNCDRAFT_24552_ partial [Chlorella variabilis]
OG0001849	RMZ53734.1 hypothetical protein APUTEX25_003873 [Auxenochlorella protothecoides]	XP_005843900.1 hypothetical protein CHLNCDRAFT_139763 [Chlorella variabilis]
OG0001850	RMZ53736.1 hypothetical protein APUTEX25_003875 [Auxenochlorella protothecoides]	XP_005843864.1 hypothetical protein CHLNCDRAFT_139706 [Chlorella variabilis]
OG0001852	RMZ53754.1 hypothetical protein APUTEX25_003893_ partial [Auxenochlorella protothecoides]	XP_005850716.1 hypothetical protein CHLNCDRAFT_140821 [Chlorella variabilis]
OG0001853	RMZ53775.1 hypothetical protein APUTEX25_003914 [Auxenochlorella protothecoides]	XP_005843333.1 hypothetical protein CHLNCDRAFT_12412_ partial [Chlorella variabilis]
OG0001854	RMZ53787.1 hypothetical protein APUTEX25_003926 [Auxenochlorella protothecoides]	XP_005851002.1 hypothetical protein CHLNCDRAFT_140835 [Chlorella variabilis], XP_005844591.1 hypothetical protein CHLNCDRAFT_138857 [Chlorella variabilis]
OG0001855	RMZ53811.1 hypothetical protein APUTEX25_003950_ partial [Auxenochlorella protothecoides]	XP_005850713.1 hypothetical protein CHLNCDRAFT_10145_ partial [Chlorella variabilis]
OG0001856	RMZ53821.1 hypothetical protein APUTEX25_003960_ partial [Auxenochlorella protothecoides]	XP_005843910.1 hypothetical protein CHLNCDRAFT_27683_ partial [Chlorella variabilis]
OG0001857	RMZ53842.1 hypothetical protein APUTEX25_005588_ partial [Auxenochlorella protothecoides]	XP_005846369.1 GTP-binding protein [Chlorella variabilis]
OG0001858	RMZ53847.1 hypothetical protein APUTEX25_005593 [Auxenochlorella protothecoides]	XP_005848475.1 hypothetical protein CHLNCDRAFT_35106 [Chlorella variabilis]
OG0001859	RMZ53867.1 hypothetical protein APUTEX25_005613 [Auxenochlorella protothecoides]	XP_005848262.1 hypothetical protein CHLNCDRAFT_51806 [Chlorella variabilis]
OG0001860	RMZ53868.1 hypothetical protein APUTEX25_005614 [Auxenochlorella protothecoides]	XP_005848467.1 hypothetical protein CHLNCDRAFT_22470_ partial [Chlorella variabilis]
OG0001861	RMZ53874.1 hypothetical protein APUTEX25_005620_ partial [Auxenochlorella protothecoides]	XP_005848466.1 hypothetical protein CHLNCDRAFT_144859 [Chlorella variabilis]
OG0001862	RMZ53912.1 hypothetical protein APUTEX25_004937 [Auxenochlorella protothecoides]	XP_005848199.1 hypothetical protein CHLNCDRAFT_144674 [Chlorella variabilis]
OG0001863	RMZ53918.1 hypothetical protein APUTEX25_004943 [Auxenochlorella protothecoides]	XP_005848362.1 hypothetical protein CHLNCDRAFT_30897 [Chlorella variabilis]
OG0001864	RMZ53933.1 hypothetical protein APUTEX25_004958_ partial [Auxenochlorella protothecoides]	XP_005848421.1 hypothetical protein CHLNCDRAFT_22266 [Chlorella variabilis]
OG0001865	RMZ53938.1 hypothetical protein APUTEX25_004963_ partial [Auxenochlorella protothecoides]	XP_005848432.1 hypothetical protein CHLNCDRAFT_144780_ partial [Chlorella variabilis], XP_005848433.1 hypothetical protein CHLNCDRAFT_57594 [Chlorella variabilis]
OG0001866	RMZ56300.1 hypothetical protein APUTEX25_000539 [Auxenochlorella protothecoides]	XP_005849396.1 hypothetical protein CHLNCDRAFT_143895 [Chlorella variabilis]
OG0001867	RMZ53960.1 hypothetical protein APUTEX25_002537 [Auxenochlorella protothecoides]	XP_005848495.1 hypothetical protein CHLNCDRAFT_35128 [Chlorella variabilis]
OG0001868	RMZ53973.1 hypothetical protein APUTEX25_002550_ partial [Auxenochlorella protothecoides]	XP_005844444.1 hypothetical protein CHLNCDRAFT_139164 [Chlorella variabilis]
OG0001869	RMZ53980.1 hypothetical protein APUTEX25_002557 [Auxenochlorella protothecoides]	XP_005848226.1 hypothetical protein CHLNCDRAFT_144742 [Chlorella variabilis]
OG0001870	RMZ53981.1 hypothetical protein APUTEX25_002558 [Auxenochlorella protothecoides]	XP_005848947.1 hypothetical protein CHLNCDRAFT_35000 [Chlorella variabilis]
OG0001871	RMZ53983.1 hypothetical protein APUTEX25_002560 [Auxenochlorella protothecoides]	XP_005851849.1 hypothetical protein CHLNCDRAFT_59538 [Chlorella variabilis]
OG0001872	RMZ53988.1 hypothetical protein APUTEX25_002565 [Auxenochlorella protothecoides]	XP_005848933.1 hypothetical protein CHLNCDRAFT_57522 [Chlorella variabilis]
OG0001873	RMZ53989.1 hypothetical protein APUTEX25_002566 [Auxenochlorella protothecoides]	XP_005852162.1 hypothetical protein CHLNCDRAFT_133325 [Chlorella variabilis]
OG0001874	RMZ53999.1 hypothetical protein APUTEX25_002576_ partial [Auxenochlorella protothecoides]	XP_005851878.1 hypothetical protein CHLNCDRAFT_133453 [Chlorella variabilis]
OG0001875	RMZ54010.1 hypothetical protein APUTEX25_002587 [Auxenochlorella protothecoides]	XP_005848220.1 hypothetical protein CHLNCDRAFT_144733 [Chlorella variabilis]
OG0001876	RMZ54020.1 hypothetical protein APUTEX25_002597 [Auxenochlorella protothecoides]	XP_005851886.1 hypothetical protein CHLNCDRAFT_29326 [Chlorella variabilis]
OG0001877	RMZ54021.1 hypothetical protein APUTEX25_002598_ partial [Auxenochlorella protothecoides]	XP_005848160.1 hypothetical protein CHLNCDRAFT_22713_ partial [Chlorella variabilis]
OG0001878	RMZ54033.1 hypothetical protein APUTEX25_002610_ partial [Auxenochlorella protothecoides]	XP_005851821.1 hypothetical protein CHLNCDRAFT_133291_ partial [Chlorella variabilis]
OG0001879	RMZ54035.1 hypothetical protein APUTEX25_002612 [Auxenochlorella protothecoides]	XP_005848540.1 hypothetical protein CHLNCDRAFT_59658 [Chlorella variabilis]
OG0001880	RMZ54051.1 hypothetical protein APUTEX25_002628_ partial [Auxenochlorella protothecoides]	XP_005845420.1 hypothetical protein CHLNCDRAFT_25814 [Chlorella variabilis]
OG0001881	RMZ54069.1 hypothetical protein APUTEX25_002646 [Auxenochlorella protothecoides]	XP_005848410.1 hypothetical protein CHLNCDRAFT_144721 [Chlorella variabilis]
OG0001882	RMZ54082.1 hypothetical protein APUTEX25_002659_ partial [Auxenochlorella protothecoides]	XP_005852209.1 hypothetical protein CHLNCDRAFT_55943 [Chlorella variabilis]
OG0001883	RMZ54085.1 hypothetical protein APUTEX25_002662 [Auxenochlorella protothecoides]	XP_005848555.1 hypothetical protein CHLNCDRAFT_17736_ partial [Chlorella variabilis]
OG0001884	RMZ54112.1 hypothetical protein APUTEX25_002689 [Auxenochlorella protothecoides]	XP_005848153.1 hypothetical protein CHLNCDRAFT_145510 [Chlorella variabilis]
OG0001885	RMZ54124.1 hypothetical protein APUTEX25_005280_ partial [Auxenochlorella protothecoides]	XP_005848255.1 hypothetical protein CHLNCDRAFT_35097 [Chlorella variabilis]
OG0001887	RMZ54180.1 hypothetical protein APUTEX25_005336_ partial [Auxenochlorella protothecoides]	XP_005846063.1 hypothetical protein CHLNCDRAFT_36297 [Chlorella variabilis]
OG0001888	RMZ54184.1 hypothetical protein APUTEX25_005340 [Auxenochlorella protothecoides]	XP_005848777.1 hypothetical protein CHLNCDRAFT_56118 [Chlorella variabilis]
OG0001889	RMZ54189.1 hypothetical protein APUTEX25_005345 [Auxenochlorella protothecoides]	XP_005845916.1 hypothetical protein CHLNCDRAFT_25450_ partial [Chlorella variabilis]
OG0001890	RMZ54196.1 hypothetical protein APUTEX25_005352 [Auxenochlorella protothecoides]	XP_005845523.1 hypothetical protein CHLNCDRAFT_9699_ partial [Chlorella variabilis]
OG0001891	RMZ54198.1 hypothetical protein APUTEX25_005354_ partial [Auxenochlorella protothecoides]	XP_005847131.1 hypothetical protein CHLNCDRAFT_48894 [Chlorella variabilis]
OG0001892	RMZ54204.1 hypothetical protein APUTEX25_005360 [Auxenochlorella protothecoides]	XP_005848794.1 hypothetical protein CHLNCDRAFT_57565 [Chlorella variabilis]
OG0001893	RMZ54263.1 hypothetical protein APUTEX25_000614_ partial [Auxenochlorella protothecoides]	XP_005844059.1 hypothetical protein CHLNCDRAFT_139632 [Chlorella variabilis]
OG0001894	RMZ54269.1 hypothetical protein APUTEX25_000620 [Auxenochlorella protothecoides]	XP_005846643.1 hypothetical protein CHLNCDRAFT_12701_ partial [Chlorella variabilis]
OG0001895	RMZ54276.1 hypothetical protein APUTEX25_001434 [Auxenochlorella protothecoides]	XP_005843026.1 hypothetical protein CHLNCDRAFT_141716 [Chlorella variabilis]
OG0001896	RMZ54287.1 hypothetical protein APUTEX25_001445_ partial [Auxenochlorella protothecoides]	XP_005845247.1 hypothetical protein CHLNCDRAFT_136909 [Chlorella variabilis], XP_005845246.1 hypothetical protein CHLNCDRAFT_136908 [Chlorella variabilis]
OG0001897	RMZ54288.1 hypothetical protein APUTEX25_001446_ partial [Auxenochlorella protothecoides]	XP_005845303.1 hypothetical protein CHLNCDRAFT_11403_ partial [Chlorella variabilis]
OG0001898	RMZ54293.1 hypothetical protein APUTEX25_001451_ partial [Auxenochlorella protothecoides]	XP_005842993.1 hypothetical protein CHLNCDRAFT_37639 [Chlorella variabilis]
OG0001899	RMZ54295.1 hypothetical protein APUTEX25_001453 [Auxenochlorella protothecoides]	XP_005846225.1 hypothetical protein CHLNCDRAFT_25138 [Chlorella variabilis]
OG0001900	RMZ54297.1 hypothetical protein APUTEX25_001455 [Auxenochlorella protothecoides]	XP_005845377.1 hypothetical protein CHLNCDRAFT_136896 [Chlorella variabilis]
OG0001901	RMZ54301.1 hypothetical protein APUTEX25_001459 [Auxenochlorella protothecoides]	XP_005843009.1 hypothetical protein CHLNCDRAFT_141670 [Chlorella variabilis]
OG0001902	RMZ54305.1 hypothetical protein APUTEX25_001463 [Auxenochlorella protothecoides]	XP_005845384.1 hypothetical protein CHLNCDRAFT_48281 [Chlorella variabilis]
OG0001903	RMZ54307.1 hypothetical protein APUTEX25_001465 [Auxenochlorella protothecoides]	XP_005845429.1 hypothetical protein CHLNCDRAFT_53893 [Chlorella variabilis]
OG0001904	RMZ54313.1 hypothetical protein APUTEX25_001471 [Auxenochlorella protothecoides]	XP_005843029.1 hypothetical protein CHLNCDRAFT_8690_ partial [Chlorella variabilis]
OG0001905	RMZ54321.1 hypothetical protein APUTEX25_001479 [Auxenochlorella protothecoides]	XP_005845427.1 hypothetical protein CHLNCDRAFT_56274 [Chlorella variabilis]
OG0001906	RMZ54324.1 hypothetical protein APUTEX25_001482 [Auxenochlorella protothecoides]	XP_005845386.1 hypothetical protein CHLNCDRAFT_26108 [Chlorella variabilis]
OG0001907	RMZ54331.1 hypothetical protein APUTEX25_001489 [Auxenochlorella protothecoides]	XP_005843000.1 hypothetical protein CHLNCDRAFT_55490 [Chlorella variabilis]
