Orthogroup	Auxenochlorella_protothecoides	Scenedesmus_PABB004
OG0002077	RMZ56000.1 hypothetical protein APUTEX25_004424 [Auxenochlorella protothecoides]	KAF8071371.1 DRC3 [Scenedesmus sp. PABB004]
OG0002078	RMZ56017.1 hypothetical protein APUTEX25_004441 [Auxenochlorella protothecoides]	KAF8059142.1 hypothetical protein HT031_005314 [Scenedesmus sp. PABB004]
OG0002079	RMZ56049.1 hypothetical protein APUTEX25_004473 [Auxenochlorella protothecoides]	KAF8072434.1 hypothetical protein HT031_000093 [Scenedesmus sp. PABB004]
OG0002080	RMZ56050.1 hypothetical protein APUTEX25_004474 [Auxenochlorella protothecoides]	KAF8057879.1 Bifunctional aspartate aminotransferase and glutamate/aspartate-prephenate aminotransferase [Scenedesmus sp. PABB004]
OG0002081	RMZ56052.1 hypothetical protein APUTEX25_004476 [Auxenochlorella protothecoides]	KAF8062673.1 dph1 [Scenedesmus sp. PABB004]
OG0002082	RMZ56058.1 hypothetical protein APUTEX25_004482 [Auxenochlorella protothecoides]	KAF8073259.1 PAD1 [Scenedesmus sp. PABB004]
OG0002083	RMZ56060.1 hypothetical protein APUTEX25_004484 [Auxenochlorella protothecoides]	KAF8072410.1 Nascent polypeptide-associated complex subunit alpha-like protein [Scenedesmus sp. PABB004]
OG0002084	RMZ56069.1 hypothetical protein APUTEX25_004493 [Auxenochlorella protothecoides]	KAF8058056.1 miaB [Scenedesmus sp. PABB004]
OG0002085	RMZ56074.1 hypothetical protein APUTEX25_004498_ partial [Auxenochlorella protothecoides]	KAF8072666.1 schC [Scenedesmus sp. PABB004]
OG0002086	RMZ56089.1 hypothetical protein APUTEX25_004513_ partial [Auxenochlorella protothecoides]	KAF8060584.1 hypothetical protein HT031_004761 [Scenedesmus sp. PABB004], KAF8057895.1 hypothetical protein HT031_005841 [Scenedesmus sp. PABB004]
OG0002087	RMZ56092.1 hypothetical protein APUTEX25_004516 [Auxenochlorella protothecoides]	KAF8063754.1 IMPA1 [Scenedesmus sp. PABB004]
OG0002088	RMZ56098.1 hypothetical protein APUTEX25_004522 [Auxenochlorella protothecoides]	KAF8063074.1 CRNKL1 [Scenedesmus sp. PABB004]
OG0002089	RMZ56105.1 hypothetical protein APUTEX25_004529_ partial [Auxenochlorella protothecoides]	KAF8065733.1 Glutamine--tRNA ligase [Scenedesmus sp. PABB004]
OG0002090	RMZ56108.1 hypothetical protein APUTEX25_004532 [Auxenochlorella protothecoides]	KAF8062974.1 PAG1 [Scenedesmus sp. PABB004]
OG0002091	RMZ56123.1 hypothetical protein APUTEX25_004547 [Auxenochlorella protothecoides]	KAF8058046.1 gyaR [Scenedesmus sp. PABB004]
OG0002092	RMZ56125.1 hypothetical protein APUTEX25_004549 [Auxenochlorella protothecoides]	KAF8065501.1 SPB1 [Scenedesmus sp. PABB004]
OG0002093	RMZ56132.1 hypothetical protein APUTEX25_004556 [Auxenochlorella protothecoides]	KAF8069415.1 glycerol-3-phosphate transporter 1 [Scenedesmus sp. PABB004]
OG0002094	RMZ56134.1 hypothetical protein APUTEX25_004558 [Auxenochlorella protothecoides]	KAF8069440.1 hypothetical protein HT031_001555 [Scenedesmus sp. PABB004]
OG0002095	RMZ56140.1 hypothetical protein APUTEX25_004564_ partial [Auxenochlorella protothecoides]	KAF8064483.1 PAE1 [Scenedesmus sp. PABB004]
OG0002096	RMZ57799.1 hypothetical protein APUTEX25_002483_ partial [Auxenochlorella protothecoides], RMZ56173.1 hypothetical protein APUTEX25_004597 [Auxenochlorella protothecoides]	KAF8073218.1 RPL7A-2 [Scenedesmus sp. PABB004]
OG0002097	RMZ56191.1 hypothetical protein APUTEX25_002381 [Auxenochlorella protothecoides]	KAF8067245.1 leuB [Scenedesmus sp. PABB004]
OG0002098	RMZ56193.1 hypothetical protein APUTEX25_002383 [Auxenochlorella protothecoides]	KAF8065895.1 Sec24-like protein [Scenedesmus sp. PABB004]
OG0002099	RMZ56198.1 hypothetical protein APUTEX25_002388 [Auxenochlorella protothecoides]	KAF8071057.1 hypothetical protein HT031_001139 [Scenedesmus sp. PABB004]
OG0002100	RMZ56200.1 hypothetical protein APUTEX25_002390 [Auxenochlorella protothecoides]	KAF8060548.1 polyamine transporter [Scenedesmus sp. PABB004]
OG0002101	RMZ56212.1 hypothetical protein APUTEX25_002402 [Auxenochlorella protothecoides]	KAF8066390.1 RAD5 [Scenedesmus sp. PABB004]
OG0002102	RMZ56215.1 hypothetical protein APUTEX25_002405 [Auxenochlorella protothecoides]	KAF8071089.1 RER1A [Scenedesmus sp. PABB004]
OG0002103	RMZ56216.1 hypothetical protein APUTEX25_002406 [Auxenochlorella protothecoides]	KAF8061385.1 Acad10 [Scenedesmus sp. PABB004]
OG0002105	RMZ56245.1 hypothetical protein APUTEX25_002435 [Auxenochlorella protothecoides]	KAF8070927.1 RPL11 [Scenedesmus sp. PABB004]
OG0002106	RMZ56252.1 hypothetical protein APUTEX25_002442_ partial [Auxenochlorella protothecoides]	KAF8073128.1 hypothetical protein HT031_000789 [Scenedesmus sp. PABB004]
OG0002107	RMZ56271.1 hypothetical protein APUTEX25_002461_ partial [Auxenochlorella protothecoides]	KAF8068183.1 SEC6 [Scenedesmus sp. PABB004]
OG0002109	RMZ56295.1 hypothetical protein APUTEX25_000534 [Auxenochlorella protothecoides]	KAF8071292.1 ogdh [Scenedesmus sp. PABB004]
OG0002110	RMZ56310.1 hypothetical protein APUTEX25_000549_ partial [Auxenochlorella protothecoides]	KAF8061119.1 XPB2 [Scenedesmus sp. PABB004]
OG0002111	RMZ56359.1 hypothetical protein APUTEX25_004716 [Auxenochlorella protothecoides]	KAF8069648.1 bfr2 [Scenedesmus sp. PABB004]
OG0002112	RMZ56366.1 hypothetical protein APUTEX25_004723 [Auxenochlorella protothecoides]	KAF8063095.1 RPL27 [Scenedesmus sp. PABB004]
OG0002115	RMZ56396.1 hypothetical protein APUTEX25_004619 [Auxenochlorella protothecoides]	KAF8058908.1 hypothetical protein HT031_005476 [Scenedesmus sp. PABB004]
OG0002116	RMZ56401.1 hypothetical protein APUTEX25_004624_ partial [Auxenochlorella protothecoides]	KAF8067320.1 DEAD-box ATP-dependent RNA helicase 20 [Scenedesmus sp. PABB004]
OG0002118	RMZ56409.1 hypothetical protein APUTEX25_004632 [Auxenochlorella protothecoides]	KAF8056020.1 CAT1 [Scenedesmus sp. PABB004]
OG0002120	RMZ56418.1 hypothetical protein APUTEX25_004641_ partial [Auxenochlorella protothecoides]	KAF8065824.1 COG5 [Scenedesmus sp. PABB004]
OG0002121	RMZ56428.1 hypothetical protein APUTEX25_004651 [Auxenochlorella protothecoides]	KAF8062924.1 proB [Scenedesmus sp. PABB004]
OG0002122	RMZ56430.1 hypothetical protein APUTEX25_004653 [Auxenochlorella protothecoides]	KAF8072943.1 ERD2B [Scenedesmus sp. PABB004]
OG0002123	RMZ56437.1 hypothetical protein APUTEX25_004660 [Auxenochlorella protothecoides]	KAF8058326.1 gloB [Scenedesmus sp. PABB004]
OG0002124	RMZ56450.1 hypothetical protein APUTEX25_004673 [Auxenochlorella protothecoides]	KAF8065613.1 OBGC1 [Scenedesmus sp. PABB004]
OG0002125	RMZ56455.1 hypothetical protein APUTEX25_004678 [Auxenochlorella protothecoides]	KAF8061979.1 prefoldin subunit 3 [Scenedesmus sp. PABB004]
OG0002126	RMZ56475.1 hypothetical protein APUTEX25_001322 [Auxenochlorella protothecoides]	KAF8067151.1 PRORSD1P [Scenedesmus sp. PABB004]
OG0002127	RMZ56484.1 hypothetical protein APUTEX25_001331 [Auxenochlorella protothecoides]	KAF8058480.1 VHA-C [Scenedesmus sp. PABB004]
OG0002128	RMZ56486.1 hypothetical protein APUTEX25_001333 [Auxenochlorella protothecoides]	KAF8066347.1 RH21 [Scenedesmus sp. PABB004]
OG0002130	RMZ56492.1 hypothetical protein APUTEX25_001339 [Auxenochlorella protothecoides]	KAF8065961.1 lon protease [Scenedesmus sp. PABB004]
OG0002131	RMZ56506.1 hypothetical protein APUTEX25_001353 [Auxenochlorella protothecoides]	KAF8056229.1 Sf3b6 [Scenedesmus sp. PABB004]
OG0002132	RMZ56516.1 hypothetical protein APUTEX25_001363 [Auxenochlorella protothecoides]	KAF8055036.1 SPAC8C9.12c [Scenedesmus sp. PABB004]
OG0002133	RMZ56519.1 hypothetical protein APUTEX25_001366_ partial [Auxenochlorella protothecoides]	KAF8071360.1 hypothetical protein HT031_001444 [Scenedesmus sp. PABB004]
OG0002134	RMZ56553.1 hypothetical protein APUTEX25_001400 [Auxenochlorella protothecoides]	KAF8058451.1 GLYR2 [Scenedesmus sp. PABB004]
OG0002135	RMZ56576.1 hypothetical protein APUTEX25_001423 [Auxenochlorella protothecoides]	KAF8056346.1 psmg3 [Scenedesmus sp. PABB004]
OG0002136	RMZ56579.1 hypothetical protein APUTEX25_001426 [Auxenochlorella protothecoides]	KAF8062682.1 rnf10 [Scenedesmus sp. PABB004]
OG0002137	RMZ56595.1 hypothetical protein APUTEX25_004759 [Auxenochlorella protothecoides]	KAF8063030.1 KIN17 [Scenedesmus sp. PABB004]
OG0002138	RMZ56618.1 hypothetical protein APUTEX25_002707 [Auxenochlorella protothecoides]	KAF8055750.1 CNB1 [Scenedesmus sp. PABB004]
OG0002139	RMZ56625.1 hypothetical protein APUTEX25_002714 [Auxenochlorella protothecoides]	KAF8065433.1 RPL10A [Scenedesmus sp. PABB004]
OG0002140	RMZ56629.1 hypothetical protein APUTEX25_002718 [Auxenochlorella protothecoides]	KAF8072752.1 thylakoid lumenal protein [Scenedesmus sp. PABB004]
OG0002141	RMZ56637.1 hypothetical protein APUTEX25_002726 [Auxenochlorella protothecoides]	KAF8060546.1 RPL6 [Scenedesmus sp. PABB004]
OG0002142	RMZ56645.1 hypothetical protein APUTEX25_002734 [Auxenochlorella protothecoides]	KAF8055598.1 SYP52 [Scenedesmus sp. PABB004]
OG0002143	RMZ56652.1 hypothetical protein APUTEX25_002741 [Auxenochlorella protothecoides]	KAF8070923.1 hypothetical protein HT031_001004 [Scenedesmus sp. PABB004]
OG0002144	RMZ56661.1 hypothetical protein APUTEX25_002750 [Auxenochlorella protothecoides]	KAF8060568.1 MTPC4 [Scenedesmus sp. PABB004]
OG0002145	RMZ56665.1 hypothetical protein APUTEX25_002754 [Auxenochlorella protothecoides]	KAF8069425.1 CLPP5 [Scenedesmus sp. PABB004]
OG0002146	RMZ56677.1 hypothetical protein APUTEX25_002766 [Auxenochlorella protothecoides]	KAF8072685.1 NADP-dependent 3-hydroxy acid dehydrogenase [Scenedesmus sp. PABB004]
OG0002147	RMZ56689.1 hypothetical protein APUTEX25_002778 [Auxenochlorella protothecoides]	KAF8072848.1 rplM [Scenedesmus sp. PABB004]
OG0002148	RMZ56713.1 hypothetical protein APUTEX25_002802 [Auxenochlorella protothecoides]	KAF8072519.1 NOP2A [Scenedesmus sp. PABB004]
OG0002149	RMZ56719.1 hypothetical protein APUTEX25_002808 [Auxenochlorella protothecoides]	KAF8071262.1 hypothetical protein HT031_001345 [Scenedesmus sp. PABB004]
OG0002150	RMZ56730.1 hypothetical protein APUTEX25_002819 [Auxenochlorella protothecoides]	KAF8063728.1 SPAC24B11.05 [Scenedesmus sp. PABB004]
OG0002152	RMZ56737.1 hypothetical protein APUTEX25_002826 [Auxenochlorella protothecoides]	KAF8067374.1 hypothetical protein HT031_002422 [Scenedesmus sp. PABB004]
OG0002153	RMZ56749.1 hypothetical protein APUTEX25_002838 [Auxenochlorella protothecoides]	KAF8063799.1 VPS2.1 [Scenedesmus sp. PABB004]
OG0002154	RMZ56761.1 hypothetical protein APUTEX25_002850 [Auxenochlorella protothecoides]	KAF8066170.1 VTC5 [Scenedesmus sp. PABB004]
OG0002155	RMZ56764.1 hypothetical protein APUTEX25_002853 [Auxenochlorella protothecoides]	KAF8057648.1 CNOT9 [Scenedesmus sp. PABB004]
OG0002156	RMZ56768.1 hypothetical protein APUTEX25_002857 [Auxenochlorella protothecoides]	KAF8072544.1 hypothetical protein HT031_000204 [Scenedesmus sp. PABB004]
OG0002157	RMZ56771.1 hypothetical protein APUTEX25_002860 [Auxenochlorella protothecoides]	KAF8057937.1 sgaA [Scenedesmus sp. PABB004]
OG0002158	RMZ56780.1 hypothetical protein APUTEX25_002869_ partial [Auxenochlorella protothecoides]	KAF8059986.1 STA1 [Scenedesmus sp. PABB004]
OG0002159	RMZ56798.1 hypothetical protein APUTEX25_002887_ partial [Auxenochlorella protothecoides]	KAF8067321.1 Phosphatidylinositol 3-kinase [Scenedesmus sp. PABB004]
OG0002160	RMZ56809.1 hypothetical protein APUTEX25_002898 [Auxenochlorella protothecoides]	KAF8071367.1 Eukaryotic translation initiation factor 2 subunit beta [Scenedesmus sp. PABB004]
OG0002161	RMZ56813.1 hypothetical protein APUTEX25_002902_ partial [Auxenochlorella protothecoides]	KAF8058319.1 ASA1 [Scenedesmus sp. PABB004]
OG0002162	RMZ56826.1 hypothetical protein APUTEX25_002915 [Auxenochlorella protothecoides]	KAF8065432.1 RPL5 [Scenedesmus sp. PABB004]
OG0002163	RMZ56835.1 hypothetical protein APUTEX25_002924_ partial [Auxenochlorella protothecoides]	KAF8070905.1 COG8 [Scenedesmus sp. PABB004]
OG0002164	RMZ56846.1 hypothetical protein APUTEX25_002935_ partial [Auxenochlorella protothecoides]	KAF8055835.1 Utp20 [Scenedesmus sp. PABB004]
OG0002165	RMZ56849.1 hypothetical protein APUTEX25_002938_ partial [Auxenochlorella protothecoides]	KAF8064499.1 DPE1 [Scenedesmus sp. PABB004]
OG0002166	RMZ56854.1 hypothetical protein APUTEX25_002943 [Auxenochlorella protothecoides]	KAF8065837.1 wdr3 [Scenedesmus sp. PABB004]
OG0002167	RMZ56861.1 hypothetical protein APUTEX25_002950 [Auxenochlorella protothecoides]	KAF8063855.1 TFIIAy [Scenedesmus sp. PABB004]
OG0002168	RMZ56876.1 hypothetical protein APUTEX25_002965 [Auxenochlorella protothecoides]	KAF8072733.1 yrrC [Scenedesmus sp. PABB004]
OG0002169	RMZ56894.1 hypothetical protein APUTEX25_002983 [Auxenochlorella protothecoides]	KAF8071218.1 TIF3A1 [Scenedesmus sp. PABB004]
OG0002170	RMZ56913.1 hypothetical protein APUTEX25_004975 [Auxenochlorella protothecoides]	KAF8057745.1 Dzip1l [Scenedesmus sp. PABB004]
OG0002171	RMZ56922.1 hypothetical protein APUTEX25_004984_ partial [Auxenochlorella protothecoides]	KAF8062674.1 hypothetical protein HT031_004003 [Scenedesmus sp. PABB004]
OG0002172	RMZ56923.1 hypothetical protein APUTEX25_004985 [Auxenochlorella protothecoides]	KAF8060617.1 RPL32A [Scenedesmus sp. PABB004]
OG0002173	RMZ56928.1 hypothetical protein APUTEX25_004990 [Auxenochlorella protothecoides]	KAF8072928.1 SKD1 [Scenedesmus sp. PABB004]
OG0002174	RMZ56930.1 hypothetical protein APUTEX25_004992 [Auxenochlorella protothecoides]	KAF8073047.1 SLP1 [Scenedesmus sp. PABB004]
OG0002175	RMZ56954.1 hypothetical protein APUTEX25_005016 [Auxenochlorella protothecoides]	KAF8057119.1 diphthine methyl ester synthase [Scenedesmus sp. PABB004]
OG0002176	RMZ56958.1 hypothetical protein APUTEX25_005020 [Auxenochlorella protothecoides]	KAF8069474.1 COX10 [Scenedesmus sp. PABB004]
OG0002177	RMZ56959.1 hypothetical protein APUTEX25_005021 [Auxenochlorella protothecoides]	KAF8069441.1 KPNB1 [Scenedesmus sp. PABB004]
OG0002178	RMZ56963.1 hypothetical protein APUTEX25_005025 [Auxenochlorella protothecoides]	KAF8060335.1 BAMY2 [Scenedesmus sp. PABB004]
OG0002179	RMZ56967.1 hypothetical protein APUTEX25_005029 [Auxenochlorella protothecoides]	KAF8062947.1 MOS4 [Scenedesmus sp. PABB004]
OG0002180	RMZ56971.1 hypothetical protein APUTEX25_005033 [Auxenochlorella protothecoides]	KAF8072777.1 trappc5 [Scenedesmus sp. PABB004]
OG0002181	RMZ56977.1 hypothetical protein APUTEX25_005039 [Auxenochlorella protothecoides]	KAF8072593.1 transcriptional regulatory protein [Scenedesmus sp. PABB004]
OG0002182	RMZ57007.1 hypothetical protein APUTEX25_002239_ partial [Auxenochlorella protothecoides]	KAF8072565.1 putative Golgi aparatus membrane protein [Scenedesmus sp. PABB004]
OG0002183	RMZ57008.1 hypothetical protein APUTEX25_002240 [Auxenochlorella protothecoides]	KAF8070907.1 atpaf1 [Scenedesmus sp. PABB004], KAF8055389.1 hypothetical protein HT031_006756 [Scenedesmus sp. PABB004]
OG0002184	RMZ57014.1 hypothetical protein APUTEX25_002246 [Auxenochlorella protothecoides]	KAF8057660.1 FTSH8 [Scenedesmus sp. PABB004]
OG0002185	RMZ57021.1 hypothetical protein APUTEX25_002253 [Auxenochlorella protothecoides]	KAF8068376.1 RPL4 [Scenedesmus sp. PABB004]
OG0002186	RMZ57031.1 hypothetical protein APUTEX25_002263_ partial [Auxenochlorella protothecoides]	KAF8056846.1 GC1 [Scenedesmus sp. PABB004]
OG0002187	RMZ57033.1 hypothetical protein APUTEX25_002265 [Auxenochlorella protothecoides]	KAF8061363.1 ARL3 [Scenedesmus sp. PABB004], KAF8056386.1 ARL2 [Scenedesmus sp. PABB004]
OG0002190	RMZ57072.1 hypothetical protein APUTEX25_002304_ partial [Auxenochlorella protothecoides]	KAF8066300.1 Necap2 [Scenedesmus sp. PABB004]
OG0002191	RMZ57077.1 hypothetical protein APUTEX25_002309 [Auxenochlorella protothecoides]	KAF8071357.1 tRNA _guanine_26_-N_2__-dimethyltransferase 1 [Scenedesmus sp. PABB004]
OG0002192	RMZ57084.1 hypothetical protein APUTEX25_002316 [Auxenochlorella protothecoides]	KAF8071183.1 FKBP16-3 [Scenedesmus sp. PABB004]
OG0002195	RMZ57158.1 hypothetical protein APUTEX25_003992 [Auxenochlorella protothecoides]	KAF8056245.1 hypothetical protein HT031_006433 [Scenedesmus sp. PABB004]
OG0002197	RMZ57166.1 hypothetical protein APUTEX25_004000 [Auxenochlorella protothecoides]	KAF8067290.1 cyclin-C1-1 [Scenedesmus sp. PABB004]
OG0002198	RMZ57171.1 hypothetical protein APUTEX25_004005 [Auxenochlorella protothecoides]	KAF8065754.1 hypothetical protein HT031_002814 [Scenedesmus sp. PABB004], KAF8060105.1 hypothetical protein HT031_005044 [Scenedesmus sp. PABB004]
OG0002201	RMZ57190.1 hypothetical protein APUTEX25_004024 [Auxenochlorella protothecoides]	KAF8071116.1 DCAF13 [Scenedesmus sp. PABB004]
OG0002203	RMZ57204.1 hypothetical protein APUTEX25_004038 [Auxenochlorella protothecoides]	KAF8062935.1 PDR2 [Scenedesmus sp. PABB004]
OG0002204	RMZ57216.1 hypothetical protein APUTEX25_004050 [Auxenochlorella protothecoides]	KAF8067419.1 SKIP31 [Scenedesmus sp. PABB004]
OG0002205	RMZ57254.1 hypothetical protein APUTEX25_004088 [Auxenochlorella protothecoides]	KAF8056234.1 CAF1-7 [Scenedesmus sp. PABB004]
OG0002206	RMZ57260.1 hypothetical protein APUTEX25_004094 [Auxenochlorella protothecoides]	KAF8072655.1 TGD1 [Scenedesmus sp. PABB004]
OG0002207	RMZ57267.1 hypothetical protein APUTEX25_004101 [Auxenochlorella protothecoides]	KAF8072983.1 Nup98-96 [Scenedesmus sp. PABB004]
OG0002208	RMZ57269.1 hypothetical protein APUTEX25_004103 [Auxenochlorella protothecoides]	KAF8072413.1 SERAC1 [Scenedesmus sp. PABB004]
OG0002209	RMZ57271.1 hypothetical protein APUTEX25_004105_ partial [Auxenochlorella protothecoides]	KAF8071041.1 ATE1 [Scenedesmus sp. PABB004]
OG0002210	RMZ57272.1 hypothetical protein APUTEX25_004106 [Auxenochlorella protothecoides]	KAF8072992.1 hypothetical protein HT031_000652 [Scenedesmus sp. PABB004]
OG0002211	RMZ57275.1 hypothetical protein APUTEX25_004109_ partial [Auxenochlorella protothecoides]	KAF8072888.1 hypothetical protein HT031_000548 [Scenedesmus sp. PABB004]
OG0002212	RMZ57303.1 hypothetical protein APUTEX25_004137 [Auxenochlorella protothecoides]	KAF8057738.1 hypothetical protein HT031_005922 [Scenedesmus sp. PABB004]
OG0002213	RMZ57312.1 hypothetical protein APUTEX25_004146 [Auxenochlorella protothecoides]	KAF8072408.1 pip [Scenedesmus sp. PABB004]
OG0002214	RMZ57327.1 hypothetical protein APUTEX25_004161 [Auxenochlorella protothecoides]	KAF8062016.1 hypothetical protein HT031_004276 [Scenedesmus sp. PABB004]
OG0002215	RMZ57332.1 hypothetical protein APUTEX25_004166 [Auxenochlorella protothecoides]	KAF8069420.1 RPS17 [Scenedesmus sp. PABB004]
OG0002216	RMZ57348.1 hypothetical protein APUTEX25_004182 [Auxenochlorella protothecoides]	KAF8056147.1 Eif2d [Scenedesmus sp. PABB004]
OG0002217	RMZ57377.1 hypothetical protein APUTEX25_004211_ partial [Auxenochlorella protothecoides]	KAF8065729.1 alpha-mannosidase [Scenedesmus sp. PABB004]
OG0002218	RMZ57417.1 hypothetical protein APUTEX25_004251 [Auxenochlorella protothecoides]	KAF8071155.1 RH17 [Scenedesmus sp. PABB004]
OG0002219	RMZ57428.1 hypothetical protein APUTEX25_004262 [Auxenochlorella protothecoides]	KAF8072607.1 hypothetical protein HT031_000267 [Scenedesmus sp. PABB004]
OG0002220	RMZ57431.1 hypothetical protein APUTEX25_004265 [Auxenochlorella protothecoides]	KAF8064671.1 protein phosphatase 2C 15 [Scenedesmus sp. PABB004]
OG0002221	RMZ57439.1 hypothetical protein APUTEX25_004273 [Auxenochlorella protothecoides]	KAF8057275.1 hypothetical protein HT031_006083 [Scenedesmus sp. PABB004]
OG0002222	RMZ57443.1 hypothetical protein APUTEX25_004277 [Auxenochlorella protothecoides]	KAF8056769.1 PHOS34 [Scenedesmus sp. PABB004]
OG0002223	RMZ57449.1 hypothetical protein APUTEX25_004283 [Auxenochlorella protothecoides]	KAF8072731.1 P23-1 [Scenedesmus sp. PABB004]
OG0002224	RMZ57472.1 hypothetical protein APUTEX25_004306 [Auxenochlorella protothecoides]	KAF8063870.1 vacuolar iron transporter 4 [Scenedesmus sp. PABB004]
OG0002225	RMZ57479.1 hypothetical protein APUTEX25_004313 [Auxenochlorella protothecoides]	KAF8070977.1 Trip4 [Scenedesmus sp. PABB004]
OG0002226	RMZ57491.1 hypothetical protein APUTEX25_003734 [Auxenochlorella protothecoides]	KAF8065575.1 hypothetical protein HT031_003176 [Scenedesmus sp. PABB004]
OG0002227	RMZ57492.1 hypothetical protein APUTEX25_003735_ partial [Auxenochlorella protothecoides]	KAF8059459.1 purF [Scenedesmus sp. PABB004]
OG0002228	RMZ57493.1 hypothetical protein APUTEX25_003736_ partial [Auxenochlorella protothecoides]	KAF8072433.1 FCF1 [Scenedesmus sp. PABB004]
OG0002229	RMZ57512.1 hypothetical protein APUTEX25_003755_ partial [Auxenochlorella protothecoides]	KAF8072432.1 mrd1 [Scenedesmus sp. PABB004]
OG0002230	RMZ57517.1 hypothetical protein APUTEX25_003760 [Auxenochlorella protothecoides]	KAF8055469.1 TTC28 [Scenedesmus sp. PABB004]
OG0002231	RMZ57528.1 hypothetical protein APUTEX25_001728 [Auxenochlorella protothecoides]	KAF8073249.1 PLP3B [Scenedesmus sp. PABB004]
OG0002232	RMZ57531.1 hypothetical protein APUTEX25_001731 [Auxenochlorella protothecoides]	KAF8060563.1 DBR1 [Scenedesmus sp. PABB004]
OG0002233	RMZ57564.1 hypothetical protein APUTEX25_001764_ partial [Auxenochlorella protothecoides]	KAF8062991.1 hypothetical protein HT031_003830 [Scenedesmus sp. PABB004]
OG0002234	RMZ57565.1 hypothetical protein APUTEX25_001765 [Auxenochlorella protothecoides]	KAF8073058.1 celI [Scenedesmus sp. PABB004]
OG0002235	RMZ57566.1 hypothetical protein APUTEX25_001766_ partial [Auxenochlorella protothecoides]	KAF8072765.1 Brix domain-containing protein [Scenedesmus sp. PABB004]
OG0002236	RMZ57592.1 hypothetical protein APUTEX25_001792_ partial [Auxenochlorella protothecoides]	KAF8056849.1 ncapd2 [Scenedesmus sp. PABB004]
OG0002237	RMZ57594.1 hypothetical protein APUTEX25_001794 [Auxenochlorella protothecoides]	KAF8072457.1 CARM1 [Scenedesmus sp. PABB004]
OG0002238	RMZ57596.1 hypothetical protein APUTEX25_001796 [Auxenochlorella protothecoides]	KAF8061118.1 RPN7 [Scenedesmus sp. PABB004]
OG0002241	RMZ57620.1 hypothetical protein APUTEX25_001820 [Auxenochlorella protothecoides]	KAF8063681.1 RPS14 [Scenedesmus sp. PABB004]
OG0002243	RMZ57631.1 hypothetical protein APUTEX25_001831 [Auxenochlorella protothecoides]	KAF8062710.1 ctps [Scenedesmus sp. PABB004]
OG0002244	RMZ57636.1 hypothetical protein APUTEX25_001836 [Auxenochlorella protothecoides]	KAF8055919.1 hypothetical protein HT031_006558 [Scenedesmus sp. PABB004]
OG0002245	RMZ57638.1 hypothetical protein APUTEX25_001838_ partial [Auxenochlorella protothecoides]	KAF8069442.1 Elongation factor 2 [Scenedesmus sp. PABB004]
OG0002246	RMZ57640.1 hypothetical protein APUTEX25_001840 [Auxenochlorella protothecoides]	KAF8057251.1 TIC56 [Scenedesmus sp. PABB004]
OG0002247	RMZ57646.1 hypothetical protein APUTEX25_001846 [Auxenochlorella protothecoides]	KAF8059404.1 FTSJ1 [Scenedesmus sp. PABB004]
OG0002248	RMZ57661.1 hypothetical protein APUTEX25_001861 [Auxenochlorella protothecoides]	KAF8056355.1 UBP11 [Scenedesmus sp. PABB004], KAF8072770.1 UBP11 [Scenedesmus sp. PABB004]
OG0002249	RMZ57665.1 hypothetical protein APUTEX25_001865_ partial [Auxenochlorella protothecoides]	KAF8056105.1 protein phosphatase 2C 45 [Scenedesmus sp. PABB004]
OG0002250	RMZ57670.1 hypothetical protein APUTEX25_001870 [Auxenochlorella protothecoides]	KAF8066267.1 G patch domain-containing protein [Scenedesmus sp. PABB004]
OG0002251	RMZ57688.1 hypothetical protein APUTEX25_001888_ partial [Auxenochlorella protothecoides]	KAF8069423.1 GRV2 [Scenedesmus sp. PABB004]
OG0002252	RMZ57719.1 hypothetical protein APUTEX25_005565 [Auxenochlorella protothecoides]	KAF8060074.1 ASHH1 [Scenedesmus sp. PABB004]
OG0002366	RMZ52009.1 hypothetical protein APUTEX25_001203 [Auxenochlorella protothecoides]	KAF8063072.1 NCS6 [Scenedesmus sp. PABB004]
OG0002369	RMZ52032.1 hypothetical protein APUTEX25_001226_ partial [Auxenochlorella protothecoides]	KAF8072505.1 abcD2 [Scenedesmus sp. PABB004]
OG0002370	RMZ52034.1 hypothetical protein APUTEX25_001228 [Auxenochlorella protothecoides]	KAF8072635.1 RPN6 [Scenedesmus sp. PABB004]
OG0002371	RMZ52037.1 hypothetical protein APUTEX25_001231 [Auxenochlorella protothecoides]	KAF8068241.1 ELP3 [Scenedesmus sp. PABB004]
OG0002372	RMZ52041.1 hypothetical protein APUTEX25_001235_ partial [Auxenochlorella protothecoides]	KAF8055587.1 SS4 [Scenedesmus sp. PABB004]
OG0002374	RMZ52045.1 hypothetical protein APUTEX25_001239 [Auxenochlorella protothecoides]	KAF8055123.1 MST4 [Scenedesmus sp. PABB004]
OG0002375	RMZ52048.1 hypothetical protein APUTEX25_001242 [Auxenochlorella protothecoides]	KAF8055122.1 menG [Scenedesmus sp. PABB004]
OG0002378	RMZ52056.1 hypothetical protein APUTEX25_001250 [Auxenochlorella protothecoides]	KAF8055328.1 URT1 [Scenedesmus sp. PABB004]
OG0002379	RMZ52070.1 hypothetical protein APUTEX25_001264 [Auxenochlorella protothecoides]	KAF8066422.1 CCT1 [Scenedesmus sp. PABB004]
