Orthogroup	Auxenochlorella_protothecoides	Micractinium_SAG24180
OG0001593	RMZ57536.1 hypothetical protein APUTEX25_001736 [Auxenochlorella protothecoides]	PSC70438.1 Guanine nucleotide-binding subunit beta 1 [Micractinium conductrix]
OG0001594	RMZ57561.1 hypothetical protein APUTEX25_001761 [Auxenochlorella protothecoides]	PSC76748.1 Amine oxidase family [Micractinium conductrix]
OG0001595	RMZ57584.1 hypothetical protein APUTEX25_001784 [Auxenochlorella protothecoides]	PSC67942.1 DEAD-box ATP-dependent RNA helicase 38 isoform A [Micractinium conductrix], PSC67943.1 DEAD-box ATP-dependent RNA helicase 38 isoform B [Micractinium conductrix]
OG0001596	RMZ57608.1 hypothetical protein APUTEX25_001808 [Auxenochlorella protothecoides]	PSC76744.1 calcium calmodulin-dependent kinase kinase 1-like isoform X4 [Micractinium conductrix]
OG0001597	RMZ57626.1 hypothetical protein APUTEX25_001826_ partial [Auxenochlorella protothecoides]	PSC73391.1 actin related 2 [Micractinium conductrix]
OG0001598	RMZ57642.1 hypothetical protein APUTEX25_001842 [Auxenochlorella protothecoides]	PSC73052.1 hypothetical protein C2E20_3681 [Micractinium conductrix]
OG0001599	RMZ57679.1 hypothetical protein APUTEX25_001879_ partial [Auxenochlorella protothecoides]	PSC68198.1 CPLD51 required for cyt b6 assembly [Micractinium conductrix], PSC67328.1 CPLD51 required for cyt b6 assembly [Micractinium conductrix], PSC67100.1 hypothetical protein C2E20_9217 [Micractinium conductrix]
OG0001600	RMZ57734.1 hypothetical protein APUTEX25_003727_ partial [Auxenochlorella protothecoides]	PSC67393.1 hypothetical protein C2E20_8934 [Micractinium conductrix]
OG0001601	RMZ57741.1 hypothetical protein APUTEX25_004935_ partial [Auxenochlorella protothecoides]	PSC70941.1 ADP-ribosylation factor [Micractinium conductrix]
OG0001664	RMZ52016.1 hypothetical protein APUTEX25_001210_ partial [Auxenochlorella protothecoides]	PSC76572.1 cobalamin biosynthesis isoform A [Micractinium conductrix], PSC76573.1 cobalamin biosynthesis isoform B [Micractinium conductrix]
OG0001665	RMZ52020.1 hypothetical protein APUTEX25_001214 [Auxenochlorella protothecoides]	PSC69104.1 40S ribosomal S26 [Micractinium conductrix]
OG0001666	RMZ52022.1 hypothetical protein APUTEX25_001216 [Auxenochlorella protothecoides]	PSC72061.1 transketolase [Micractinium conductrix]
OG0001667	RMZ52028.1 hypothetical protein APUTEX25_001222 [Auxenochlorella protothecoides]	PSC69159.1 seleno O [Micractinium conductrix]
OG0001668	RMZ52044.1 hypothetical protein APUTEX25_001238_ partial [Auxenochlorella protothecoides]	PSC72240.1 Qc-SNARE SYP7-family [Micractinium conductrix]
OG0001669	RMZ52050.1 hypothetical protein APUTEX25_001244 [Auxenochlorella protothecoides]	PSC73049.1 NF-kappa-B inhibitor 1 isoform B [Micractinium conductrix], PSC73048.1 NF-kappa-B inhibitor 1 isoform A [Micractinium conductrix]
OG0001670	RMZ52079.1 hypothetical protein APUTEX25_001273 [Auxenochlorella protothecoides]	PSC67716.1 glutamate-1-semialdehyde aminotransferase [Micractinium conductrix]
OG0001671	RMZ52084.1 hypothetical protein APUTEX25_001278_ partial [Auxenochlorella protothecoides]	PSC74662.1 Serine threonine-kinase endoribonuclease IRE1 [Micractinium conductrix]
OG0001672	RMZ52089.1 hypothetical protein APUTEX25_001283 [Auxenochlorella protothecoides]	PSC68799.1 tRNA-specific 2-thiouridylase [Micractinium conductrix]
OG0001673	RMZ52091.1 hypothetical protein APUTEX25_001285_ partial [Auxenochlorella protothecoides]	PSC69113.1 water chloroplastic [Micractinium conductrix]
OG0001674	RMZ52113.1 hypothetical protein APUTEX25_001307 [Auxenochlorella protothecoides]	PSC72251.1 brefeldin A-inhibited guanine nucleotide-exchange 2-like [Micractinium conductrix]
OG0001675	RMZ52136.1 hypothetical protein APUTEX25_001526 [Auxenochlorella protothecoides]	PSC69028.1 Flowering time control FY [Micractinium conductrix]
OG0001676	RMZ52138.1 hypothetical protein APUTEX25_001528_ partial [Auxenochlorella protothecoides]	PSC74648.1 transportin-1 isoform X1 [Micractinium conductrix]
OG0001677	RMZ52141.1 hypothetical protein APUTEX25_001531 [Auxenochlorella protothecoides]	PSC77045.1 Cyclic pyranopterin monophosphate mitochondrial [Micractinium conductrix]
OG0001678	RMZ52144.1 hypothetical protein APUTEX25_001534 [Auxenochlorella protothecoides]	PSC74317.1 putative WD repeat-containing -like [Micractinium conductrix]
OG0001679	RMZ52157.1 hypothetical protein APUTEX25_001547 [Auxenochlorella protothecoides]	PSC74310.1 mitochondrial glyco [Micractinium conductrix]
OG0001680	RMZ52169.1 hypothetical protein APUTEX25_001559_ partial [Auxenochlorella protothecoides]	PSC74561.1 DNA repair [Micractinium conductrix]
OG0001681	RMZ52170.1 hypothetical protein APUTEX25_001560_ partial [Auxenochlorella protothecoides]	PSC73466.1 putative phosphoribosylformylglycinamidine chloroplastic mitochondrial [Micractinium conductrix]
OG0001682	RMZ52172.1 hypothetical protein APUTEX25_001562 [Auxenochlorella protothecoides]	PSC74189.1 ATP-dependent zinc metalloprotease [Micractinium conductrix]
OG0001683	RMZ52174.1 hypothetical protein APUTEX25_001564 [Auxenochlorella protothecoides]	PSC74301.1 nifU chloroplastic [Micractinium conductrix]
OG0001684	RMZ52191.1 hypothetical protein APUTEX25_001581_ partial [Auxenochlorella protothecoides]	PSC74431.1 Eukaryotic translation initiation factor 4G [Micractinium conductrix]
OG0001685	RMZ52192.1 hypothetical protein APUTEX25_001582_ partial [Auxenochlorella protothecoides]	PSC73455.1 mitochondrial carrier [Micractinium conductrix]
OG0001686	RMZ52199.1 hypothetical protein APUTEX25_001589_ partial [Auxenochlorella protothecoides]	PSC73488.1 clathrin heavy chain [Micractinium conductrix]
OG0001687	RMZ52202.1 hypothetical protein APUTEX25_001592 [Auxenochlorella protothecoides]	PSC67263.1 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 [Micractinium conductrix]
OG0001688	RMZ52212.1 hypothetical protein APUTEX25_001602 [Auxenochlorella protothecoides]	PSC72625.1 MBL fold metallo-hydrolase [Micractinium conductrix]
OG0001689	RMZ52216.1 hypothetical protein APUTEX25_001606 [Auxenochlorella protothecoides]	PSC76278.1 Proteasome subunit beta type-7-A [Micractinium conductrix]
OG0001690	RMZ52231.1 hypothetical protein APUTEX25_001621 [Auxenochlorella protothecoides]	PSC67658.1 methyltransferase type 11 isoform B [Micractinium conductrix]
OG0001691	RMZ52236.1 hypothetical protein APUTEX25_001626 [Auxenochlorella protothecoides]	PSC71755.1 D-lactate dehydrogenase [Micractinium conductrix]
OG0001692	RMZ52253.1 hypothetical protein APUTEX25_001643 [Auxenochlorella protothecoides]	PSC74793.1 flagellar outer dynein arm-docking complex 1 [Micractinium conductrix]
OG0001693	RMZ52281.1 hypothetical protein APUTEX25_001671 [Auxenochlorella protothecoides]	PSC67047.1 immediate early response 3-interacting 1-like [Micractinium conductrix], PSC67179.1 immediate early response 3-interacting 1-like [Micractinium conductrix], PSC67660.1 immediate early response 3-interacting 1-like [Micractinium conductrix]
OG0001694	RMZ52283.1 hypothetical protein APUTEX25_001673 [Auxenochlorella protothecoides]	PSC67646.1 MAK16-like protein A [Micractinium conductrix]
OG0001695	RMZ57773.1 hypothetical protein APUTEX25_004330_ partial [Auxenochlorella protothecoides]	PSC71682.1 putative apyrase 7 [Micractinium conductrix]
OG0001696	RMZ52317.1 hypothetical protein APUTEX25_005070 [Auxenochlorella protothecoides]	PSC73981.1 hypothetical protein C2E20_2710 [Micractinium conductrix]
OG0001696	RMZ56810.1 hypothetical protein APUTEX25_002899 [Auxenochlorella protothecoides]	PSC69809.1 grf-like transcription factor isoform A [Micractinium conductrix], PSC69810.1 grf-like transcription factor isoform B [Micractinium conductrix]
OG0001697	RMZ52319.1 hypothetical protein APUTEX25_005072 [Auxenochlorella protothecoides]	PSC71341.1 putative acyl-activating enzyme peroxisomal isoform X1 [Micractinium conductrix]
OG0001698	RMZ52342.1 hypothetical protein APUTEX25_005095 [Auxenochlorella protothecoides]	PSC70606.1 putative transaldolase [Micractinium conductrix]
OG0001699	RMZ52343.1 hypothetical protein APUTEX25_005096 [Auxenochlorella protothecoides]	PSC73482.1 hypothetical protein C2E20_3412 [Micractinium conductrix]
OG0001700	RMZ52350.1 hypothetical protein APUTEX25_001712 [Auxenochlorella protothecoides]	PSC72131.1 heat shock 70 kDa 4 [Micractinium conductrix]
OG0001701	RMZ52358.1 hypothetical protein APUTEX25_000633_ partial [Auxenochlorella protothecoides]	PSC75246.1 putative sugar phosphate phosphate translocator [Micractinium conductrix]
OG0001702	RMZ52366.1 hypothetical protein APUTEX25_000641 [Auxenochlorella protothecoides]	PSC69538.1 biotin synthase [Micractinium conductrix]
OG0001703	RMZ52368.1 hypothetical protein APUTEX25_000643 [Auxenochlorella protothecoides]	PSC71269.1 DNA polymerase alpha subunit B [Micractinium conductrix]
OG0001704	RMZ52369.1 hypothetical protein APUTEX25_000644 [Auxenochlorella protothecoides]	PSC76664.1 transmembrane CLPTM1 family [Micractinium conductrix]
OG0001705	RMZ52373.1 hypothetical protein APUTEX25_000648_ partial [Auxenochlorella protothecoides]	PSC74260.1 aspartate-tRNA cytoplasmic [Micractinium conductrix]
OG0001706	RMZ52377.1 hypothetical protein APUTEX25_000652_ partial [Auxenochlorella protothecoides], RMZ57733.1 hypothetical protein APUTEX25_001696_ partial [Auxenochlorella protothecoides]	PSC68967.1 hypothetical protein C2E20_7463 [Micractinium conductrix]
OG0001707	RMZ52383.1 hypothetical protein APUTEX25_000658 [Auxenochlorella protothecoides]	PSC74117.1 Alba DNA RNA-binding [Micractinium conductrix]
OG0001709	RMZ52386.1 hypothetical protein APUTEX25_000661 [Auxenochlorella protothecoides]	PSC69533.1 Ankyrin repeat [Micractinium conductrix]
OG0001710	RMZ52408.1 hypothetical protein APUTEX25_000683_ partial [Auxenochlorella protothecoides]	PSC74008.1 methyltransferase C9orf114-like protein isoform X2 [Micractinium conductrix]
OG0001711	RMZ52441.1 hypothetical protein APUTEX25_000020_ partial [Auxenochlorella protothecoides]	PSC70655.1 sulfate ABC periplasmic sulfate-binding [Micractinium conductrix]
OG0001712	RMZ52449.1 hypothetical protein APUTEX25_000028 [Auxenochlorella protothecoides]	PSC73669.1 60S ribosomal L13a-2-like [Micractinium conductrix]
OG0001713	RMZ52452.1 hypothetical protein APUTEX25_000031 [Auxenochlorella protothecoides]	PSC70717.1 putative lysine-tRNA cytoplasmic [Micractinium conductrix]
OG0001714	RMZ52473.1 hypothetical protein APUTEX25_003616 [Auxenochlorella protothecoides]	PSC75777.1 hypothetical protein C2E20_1315 isoform X1 [Micractinium conductrix]
OG0001715	RMZ52489.1 hypothetical protein APUTEX25_003632 [Auxenochlorella protothecoides]	PSC67794.1 bifunctional dihydrofolate reductase-thymidylate synthase_ partial [Micractinium conductrix]
OG0001716	RMZ52495.1 hypothetical protein APUTEX25_003638 [Auxenochlorella protothecoides]	PSC75624.1 hypothetical protein C2E20_1034 [Micractinium conductrix]
OG0001717	RMZ52505.1 hypothetical protein APUTEX25_003648 [Auxenochlorella protothecoides]	PSC75849.1 tetratricopeptide repeat 27-like protein [Micractinium conductrix]
OG0001719	RMZ52535.1 hypothetical protein APUTEX25_003678 [Auxenochlorella protothecoides]	PSC76724.1 T-complex 1 subunit zeta [Micractinium conductrix]
OG0001720	RMZ52549.1 hypothetical protein APUTEX25_003692 [Auxenochlorella protothecoides]	PSC76429.1 WD40 repeat [Micractinium conductrix]
OG0001721	RMZ57297.1 hypothetical protein APUTEX25_004131_ partial [Auxenochlorella protothecoides], RMZ52579.1 hypothetical protein APUTEX25_003722 [Auxenochlorella protothecoides]	PSC76165.1 hypothetical protein C2E20_0534 [Micractinium conductrix]
OG0001722	RMZ52597.1 hypothetical protein APUTEX25_000716 [Auxenochlorella protothecoides]	PSC75154.1 ABSCISIC ACID-INSENSITIVE 5 2 isoform X1 [Micractinium conductrix]
OG0001723	RMZ52610.1 hypothetical protein APUTEX25_000729_ partial [Auxenochlorella protothecoides]	PSC69527.1 Embryogenesis-associated EMB8 [Micractinium conductrix], PSC76782.1 Embryogenesis-associated EMB8 [Micractinium conductrix]
OG0001724	RMZ52625.1 hypothetical protein APUTEX25_000744 [Auxenochlorella protothecoides]	PSC71671.1 methyltransferase 5 [Micractinium conductrix]
OG0001725	RMZ52632.1 hypothetical protein APUTEX25_000751 [Auxenochlorella protothecoides]	PSC73028.1 Ubiquitin-conjugating enzyme E2 5 isoform A [Micractinium conductrix]
OG0001726	RMZ52633.1 hypothetical protein APUTEX25_000752 [Auxenochlorella protothecoides]	PSC69493.1 Acyl-coenzyme A thioesterase mitochondrial [Micractinium conductrix]
OG0001727	RMZ52638.1 hypothetical protein APUTEX25_000757 [Auxenochlorella protothecoides]	PSC67715.1 beta-adaptin C [Micractinium conductrix]
OG0001728	RMZ52641.1 hypothetical protein APUTEX25_000760 [Auxenochlorella protothecoides]	PSC75668.1 40S ribosomal S19-1 [Micractinium conductrix]
OG0001729	RMZ52642.1 hypothetical protein APUTEX25_000761 [Auxenochlorella protothecoides]	PSC75055.1 heat shock 40 kDa [Micractinium conductrix]
OG0001730	RMZ52643.1 hypothetical protein APUTEX25_000762_ partial [Auxenochlorella protothecoides]	PSC74429.1 40S ribosomal S3-3 [Micractinium conductrix]
OG0001731	RMZ56593.1 hypothetical protein APUTEX25_004757 [Auxenochlorella protothecoides]	PSC71148.1 glutathione synthetase [Micractinium conductrix]
OG0001732	RMZ52655.1 hypothetical protein APUTEX25_000774 [Auxenochlorella protothecoides]	PSC68202.1 calcium-translocating P-type PMCA-type [Micractinium conductrix]
OG0001733	RMZ52667.1 hypothetical protein APUTEX25_000786 [Auxenochlorella protothecoides]	PSC76767.1 cobyrinic acid A_C-diamide synthase [Micractinium conductrix]
OG0001735	RMZ52672.1 hypothetical protein APUTEX25_000791_ partial [Auxenochlorella protothecoides]	PSC75175.1 E3 ubiquitin-ligase RING1a isoform B [Micractinium conductrix], PSC75176.1 E3 ubiquitin-ligase RING1a isoform A [Micractinium conductrix]
OG0001736	RMZ52677.1 hypothetical protein APUTEX25_000796_ partial [Auxenochlorella protothecoides]	PSC69506.1 glycoside hydrolase [Micractinium conductrix]
OG0001737	RMZ52680.1 hypothetical protein APUTEX25_000799 [Auxenochlorella protothecoides]	PSC69462.1 splicing factor U2af small subunit B-like isoform A [Micractinium conductrix]
OG0001738	RMZ52683.1 hypothetical protein APUTEX25_000802 [Auxenochlorella protothecoides]	PSC75273.1 peroxisome biogenesis 12 isoform A [Micractinium conductrix], PSC75272.1 peroxisome biogenesis 12 isoform B [Micractinium conductrix]
OG0001739	RMZ52702.1 hypothetical protein APUTEX25_000821_ partial [Auxenochlorella protothecoides]	PSC67014.1 RNA-binding 25 isoform X2_ partial [Micractinium conductrix], PSC69646.1 RNA-binding 25 isoform X1 [Micractinium conductrix]
OG0001740	RMZ52709.1 hypothetical protein APUTEX25_000828_ partial [Auxenochlorella protothecoides]	PSC72781.1 FACT complex subunit SPT16-like [Micractinium conductrix]
OG0001741	RMZ52710.1 hypothetical protein APUTEX25_000829 [Auxenochlorella protothecoides]	PSC68662.1 MFS transporter [Micractinium conductrix], PSC77008.1 Ubiquitin carboxyl-terminal hydrolase 3 [Micractinium conductrix]
OG0001742	RMZ52723.1 hypothetical protein APUTEX25_000842 [Auxenochlorella protothecoides]	PSC75187.1 peptidyl-prolyl cis-trans isomerase FKBP62-like [Micractinium conductrix]
OG0001743	RMZ52726.1 hypothetical protein APUTEX25_000845_ partial [Auxenochlorella protothecoides]	PSC69343.1 26S protease regulatory subunit 8-like protein A [Micractinium conductrix]
OG0001744	RMZ52744.1 hypothetical protein APUTEX25_000863_ partial [Auxenochlorella protothecoides]	PSC69446.1 microtubule-associated RP EB family member 1C [Micractinium conductrix]
OG0001745	RMZ52747.1 hypothetical protein APUTEX25_000866 [Auxenochlorella protothecoides]	PSC74427.1 MFS general substrate transporter [Micractinium conductrix]
OG0001746	RMZ52794.1 hypothetical protein APUTEX25_000913 [Auxenochlorella protothecoides]	PSC68039.1 ribonuclease P [Micractinium conductrix]
OG0001747	RMZ52803.1 hypothetical protein APUTEX25_000922 [Auxenochlorella protothecoides]	PSC76563.1 aminodeoxychorismate chloroplastic isoform X1 [Micractinium conductrix]
OG0001748	RMZ52814.1 hypothetical protein APUTEX25_000933_ partial [Auxenochlorella protothecoides]	PSC68351.1 sterol 14 desaturase [Micractinium conductrix]
OG0001750	RMZ52825.1 hypothetical protein APUTEX25_000944 [Auxenochlorella protothecoides]	PSC73102.1 tubulin-folding cofactor C [Micractinium conductrix]
OG0001751	RMZ52833.1 hypothetical protein APUTEX25_000952_ partial [Auxenochlorella protothecoides]	PSC76154.1 transcriptional regulator ATRX-like protein [Micractinium conductrix]
OG0001752	RMZ56924.1 hypothetical protein APUTEX25_004986 [Auxenochlorella protothecoides], RMZ52834.1 hypothetical protein APUTEX25_000953_ partial [Auxenochlorella protothecoides]	PSC72977.1 box C D snoRNA 1 [Micractinium conductrix]
OG0001753	RMZ52840.1 hypothetical protein APUTEX25_000959_ partial [Auxenochlorella protothecoides]	PSC68327.1 dihydroxyacetone kinase [Micractinium conductrix]
OG0001754	RMZ52843.1 hypothetical protein APUTEX25_000962_ partial [Auxenochlorella protothecoides]	PSC77053.1 Lysine histidine transporter 1 [Micractinium conductrix], PSC72230.1 FO synthase [Micractinium conductrix]
OG0001755	RMZ56626.1 hypothetical protein APUTEX25_002715 [Auxenochlorella protothecoides]	PSC71618.1 Cyclin-dependent kinases regulatory subunit 1 [Micractinium conductrix]
OG0001755	RMZ52857.1 hypothetical protein APUTEX25_000976 [Auxenochlorella protothecoides]	PSC72972.1 cyclin-dependent kinases regulatory subunit [Micractinium conductrix]
OG0001756	RMZ52862.1 hypothetical protein APUTEX25_000981_ partial [Auxenochlorella protothecoides]	PSC68167.1 Elongation factor chloroplastic [Micractinium conductrix]
OG0001757	RMZ52877.1 hypothetical protein APUTEX25_000996_ partial [Auxenochlorella protothecoides]	PSC70936.1 lysine-specific histone demethylase 1-like protein 3 [Micractinium conductrix]
OG0001758	RMZ52905.1 hypothetical protein APUTEX25_001024 [Auxenochlorella protothecoides]	PSC70792.1 methionine-tRNA mitochondrial [Micractinium conductrix]
OG0001759	RMZ52911.1 hypothetical protein APUTEX25_001030_ partial [Auxenochlorella protothecoides]	PSC68536.1 DNA repair RAD50 [Micractinium conductrix]
OG0001760	RMZ52914.1 hypothetical protein APUTEX25_001033 [Auxenochlorella protothecoides]	PSC75247.1 putative S-acyltransferase 14 [Micractinium conductrix]
OG0001761	RMZ52928.1 hypothetical protein APUTEX25_001047_ partial [Auxenochlorella protothecoides]	PSC72205.1 ultraviolet-B receptor UVR8 [Micractinium conductrix]
OG0001762	RMZ52929.1 hypothetical protein APUTEX25_001048 [Auxenochlorella protothecoides]	PSC67505.1 serine threonine-phosphatase 2A 65 kDa regulatory subunit A beta isoform isoform A [Micractinium conductrix], PSC67504.1 serine threonine-phosphatase 2A 65 kDa regulatory subunit A beta isoform isoform B [Micractinium conductrix]
OG0001763	RMZ52932.1 hypothetical protein APUTEX25_001051 [Auxenochlorella protothecoides]	PSC75129.1 CLP1-like protein [Micractinium conductrix]
OG0001764	RMZ52933.1 hypothetical protein APUTEX25_001052 [Auxenochlorella protothecoides]	PSC74787.1 Replication A 70 kDa DNA-binding subunit isoform B [Micractinium conductrix], PSC74786.1 Replication A 70 kDa DNA-binding subunit isoform A [Micractinium conductrix]
OG0001765	RMZ52968.1 hypothetical protein APUTEX25_001087 [Auxenochlorella protothecoides]	PSC77005.1 AMP-binding [Micractinium conductrix]
OG0001766	RMZ52981.1 hypothetical protein APUTEX25_001100 [Auxenochlorella protothecoides]	PSC74998.1 phosphatidic acid phosphatase type 2B [Micractinium conductrix]
OG0001767	RMZ52990.1 hypothetical protein APUTEX25_001109_ partial [Auxenochlorella protothecoides]	PSC75923.1 glycosyltransferase family 77 [Micractinium conductrix], PSC75951.1 putative dolichyl pyrophosphate Glc1Man9 c2 alpha-1_3-glucosyltransferase [Micractinium conductrix]
OG0001768	RMZ52995.1 hypothetical protein APUTEX25_001114_ partial [Auxenochlorella protothecoides]	PSC68472.1 HNH endonuclease isoform B [Micractinium conductrix], PSC68471.1 HNH endonuclease isoform A [Micractinium conductrix]
OG0001769	RMZ53002.1 hypothetical protein APUTEX25_001121 [Auxenochlorella protothecoides]	PSC71899.1 iron-sulfur cluster assembly [Micractinium conductrix], PSC67855.1 iron-sulfur cluster assembly [Micractinium conductrix], PSC67830.1 iron-sulfur cluster assembly [Micractinium conductrix]
OG0001770	RMZ53006.1 hypothetical protein APUTEX25_001125 [Auxenochlorella protothecoides]	PSC69571.1 ATP synthase gamma-subunit [Micractinium conductrix]
OG0001771	RMZ53019.1 hypothetical protein APUTEX25_001138 [Auxenochlorella protothecoides]	PSC73054.1 Dynein assembly factor [Micractinium conductrix]
OG0001772	RMZ53026.1 hypothetical protein APUTEX25_001145 [Auxenochlorella protothecoides]	PSC73607.1 D-aspartate oxidase [Micractinium conductrix]
OG0001773	RMZ53034.1 hypothetical protein APUTEX25_001153_ partial [Auxenochlorella protothecoides]	PSC75576.1 zinc finger AN1 and C2H2 domain-containing stress-associated 16 [Micractinium conductrix]
OG0001775	RMZ53051.1 hypothetical protein APUTEX25_001170_ partial [Auxenochlorella protothecoides], RMZ57196.1 hypothetical protein APUTEX25_004030_ partial [Auxenochlorella protothecoides], RMZ54470.1 hypothetical protein APUTEX25_002046_ partial [Auxenochlorella protothecoides]	PSC76787.1 Major Facilitator Superfamily _MFS_ [Micractinium conductrix], PSC68262.1 tyrosine kinase_aminoglycoside phosphotransferase [Micractinium conductrix]
OG0001776	RMZ53062.1 hypothetical protein APUTEX25_001181_ partial [Auxenochlorella protothecoides]	PSC69638.1 GRIP and coiled-coil domain-containing [Micractinium conductrix]
OG0001777	RMZ53093.1 hypothetical protein APUTEX25_002502_ partial [Auxenochlorella protothecoides], RMZ56327.1 hypothetical protein APUTEX25_000566 [Auxenochlorella protothecoides]	PSC72183.1 Embryo defective 2410 isoform 2 [Micractinium conductrix]
OG0001778	RMZ53101.1 hypothetical protein APUTEX25_002510_ partial [Auxenochlorella protothecoides]	PSC69256.1 IMP dehydrogenase [Micractinium conductrix]
OG0001779	RMZ53123.1 hypothetical protein APUTEX25_005112 [Auxenochlorella protothecoides]	PSC71962.1 signal recognition particle 54 kDa 2 [Micractinium conductrix]
OG0001780	RMZ53140.1 hypothetical protein APUTEX25_005129 [Auxenochlorella protothecoides]	PSC70559.1 putative inactive serine threonine-kinase scy1 [Micractinium conductrix]
OG0001781	RMZ53143.1 hypothetical protein APUTEX25_005132 [Auxenochlorella protothecoides]	PSC75642.1 Fanconi anemia group D2-like protein [Micractinium conductrix]
OG0001782	RMZ53144.1 hypothetical protein APUTEX25_005133 [Auxenochlorella protothecoides]	PSC70594.1 armadillo beta-catenin-like repeat [Micractinium conductrix]
OG0001783	RMZ53147.1 hypothetical protein APUTEX25_005136_ partial [Auxenochlorella protothecoides]	PSC69680.1 phosphoribosylaminoimidazole chloroplastic [Micractinium conductrix]
OG0001784	RMZ53168.1 hypothetical protein APUTEX25_005157_ partial [Auxenochlorella protothecoides]	PSC76858.1 DNA photolyase [Micractinium conductrix]
OG0001785	RMZ53170.1 hypothetical protein APUTEX25_005159 [Auxenochlorella protothecoides]	PSC71006.1 vacuolar sorting-associated 53 A [Micractinium conductrix]
OG0001786	RMZ53182.1 hypothetical protein APUTEX25_005171 [Auxenochlorella protothecoides]	PSC67613.1 26S proteasome non-ATPase regulatory subunit 14-like protein [Micractinium conductrix]
OG0001787	RMZ53204.1 hypothetical protein APUTEX25_005193 [Auxenochlorella protothecoides]	PSC71499.1 chloroplast phenylalanine hydroxylase [Micractinium conductrix], PSC69676.1 chloroplast phenylalanine hydroxylase [Micractinium conductrix], PSC68388.1 chloroplast phenylalanine hydroxylase [Micractinium conductrix]
OG0001788	RMZ53209.1 hypothetical protein APUTEX25_005198 [Auxenochlorella protothecoides]	PSC75268.1 J domain-containing spf31 [Micractinium conductrix]
OG0001789	RMZ53219.1 hypothetical protein APUTEX25_005208 [Auxenochlorella protothecoides]	PSC71068.1 light-harvesting of photosystem I [Micractinium conductrix]
OG0001790	RMZ53229.1 hypothetical protein APUTEX25_005218_ partial [Auxenochlorella protothecoides]	PSC71149.1 coatomer subunit gamma [Micractinium conductrix]
OG0001791	RMZ53230.1 hypothetical protein APUTEX25_005219 [Auxenochlorella protothecoides]	PSC75366.1 Cathepsin Z [Micractinium conductrix]
OG0001792	RMZ53236.1 hypothetical protein APUTEX25_005225 [Auxenochlorella protothecoides]	PSC70521.1 50S ribosomal L1 [Micractinium conductrix]
OG0001793	RMZ53241.1 hypothetical protein APUTEX25_005230_ partial [Auxenochlorella protothecoides]	PSC71855.1 hypothetical protein C2E20_4668 [Micractinium conductrix]
OG0001794	RMZ53243.1 hypothetical protein APUTEX25_005232 [Auxenochlorella protothecoides]	PSC71007.1 Eukaryotic translation initiation factor 3 subunit G [Micractinium conductrix]
OG0001795	RMZ53252.1 hypothetical protein APUTEX25_005241 [Auxenochlorella protothecoides]	PSC71979.1 L-galactose dehydrogenase [Micractinium conductrix]
OG0001797	RMZ53293.1 hypothetical protein APUTEX25_004781 [Auxenochlorella protothecoides]	PSC70593.1 phosphoenolpyruvate carboxylase [Micractinium conductrix]
OG0001798	RMZ53295.1 hypothetical protein APUTEX25_004783 [Auxenochlorella protothecoides]	PSC69251.1 methyltransferase 4 [Micractinium conductrix]
OG0001799	RMZ53307.1 hypothetical protein APUTEX25_004795_ partial [Auxenochlorella protothecoides]	PSC74108.1 chorismate synthase [Micractinium conductrix]
OG0001800	RMZ53312.1 hypothetical protein APUTEX25_004800_ partial [Auxenochlorella protothecoides]	PSC76302.1 Replication factor C subunit 1 [Micractinium conductrix]
OG0001801	RMZ53323.1 hypothetical protein APUTEX25_004811 [Auxenochlorella protothecoides]	PSC72118.1 tobamovirus multiplication 1-like [Micractinium conductrix]
OG0001802	RMZ53326.1 hypothetical protein APUTEX25_004814_ partial [Auxenochlorella protothecoides]	PSC72968.1 hypothetical protein C2E20_3660 [Micractinium conductrix]
OG0001803	RMZ53334.1 hypothetical protein APUTEX25_004822 [Auxenochlorella protothecoides]	PSC73857.1 50S ribosomal L25 [Micractinium conductrix]
OG0001804	RMZ53336.1 hypothetical protein APUTEX25_004824_ partial [Auxenochlorella protothecoides]	PSC73725.1 DNA mismatch repair MSH3 [Micractinium conductrix]
OG0001805	RMZ57722.1 hypothetical protein APUTEX25_001699_ partial [Auxenochlorella protothecoides], RMZ53356.1 hypothetical protein APUTEX25_004844_ partial [Auxenochlorella protothecoides]	PSC72220.1 bifunctional riboflavin biosynthesis RIBA chloroplastic [Micractinium conductrix]
OG0001806	RMZ53370.1 hypothetical protein APUTEX25_004858 [Auxenochlorella protothecoides]	PSC70568.1 ATP-binding cassette superfamily [Micractinium conductrix]
OG0001807	RMZ53371.1 hypothetical protein APUTEX25_004859 [Auxenochlorella protothecoides]	PSC73312.1 granule-bound starch [Micractinium conductrix]
OG0001808	RMZ54579.1 hypothetical protein APUTEX25_002485 [Auxenochlorella protothecoides], RMZ53640.1 hypothetical protein APUTEX25_003174_ partial [Auxenochlorella protothecoides], RMZ55984.1 hypothetical protein APUTEX25_004408_ partial [Auxenochlorella protothecoides], RMZ54516.1 hypothetical protein APUTEX25_002092 [Auxenochlorella protothecoides], RMZ53383.1 hypothetical protein APUTEX25_004871_ partial [Auxenochlorella protothecoides]	PSC69587.1 glutamic acid-rich [Micractinium conductrix]
