Orthogroup	Auxenochlorella_protothecoides	Chlorella_Vulgaris2111P
OG0003062	RMZ56886.1 hypothetical protein APUTEX25_002975_ partial [Auxenochlorella protothecoides]	KAI3438844.1 hypothetical protein D9Q98_001261 [Chlorella vulgaris]
OG0003063	RMZ56914.1 hypothetical protein APUTEX25_004976_ partial [Auxenochlorella protothecoides]	KAI3428660.1 hypothetical protein D9Q98_007483 [Chlorella vulgaris], KAI3428659.1 hypothetical protein D9Q98_007482 [Chlorella vulgaris]
OG0003064	RMZ56918.1 hypothetical protein APUTEX25_004980 [Auxenochlorella protothecoides]	KAI3428662.1 hypothetical protein D9Q98_007485 [Chlorella vulgaris]
OG0003065	RMZ56926.1 hypothetical protein APUTEX25_004988 [Auxenochlorella protothecoides]	KAI3426090.1 hypothetical protein D9Q98_008058 [Chlorella vulgaris]
OG0003066	RMZ56927.1 hypothetical protein APUTEX25_004989 [Auxenochlorella protothecoides]	KAI3428769.1 hypothetical protein D9Q98_007590 [Chlorella vulgaris]
OG0003067	RMZ56941.1 hypothetical protein APUTEX25_005003 [Auxenochlorella protothecoides]	KAI3428672.1 hypothetical protein D9Q98_007495 [Chlorella vulgaris]
OG0003068	RMZ56957.1 hypothetical protein APUTEX25_005019 [Auxenochlorella protothecoides]	KAI3428676.1 hypothetical protein D9Q98_007499 [Chlorella vulgaris]
OG0003069	RMZ56961.1 hypothetical protein APUTEX25_005023 [Auxenochlorella protothecoides]	KAI3428691.1 hypothetical protein D9Q98_007514 [Chlorella vulgaris]
OG0003070	RMZ56965.1 hypothetical protein APUTEX25_005027 [Auxenochlorella protothecoides]	KAI3426089.1 hypothetical protein D9Q98_008057 [Chlorella vulgaris]
OG0003071	RMZ56966.1 hypothetical protein APUTEX25_005028 [Auxenochlorella protothecoides]	KAI3428763.1 hypothetical protein D9Q98_007584 [Chlorella vulgaris]
OG0003072	RMZ56970.1 hypothetical protein APUTEX25_005032_ partial [Auxenochlorella protothecoides]	KAI3428661.1 hypothetical protein D9Q98_007484 [Chlorella vulgaris]
OG0003073	RMZ56976.1 hypothetical protein APUTEX25_005038 [Auxenochlorella protothecoides]	KAI3428684.1 hypothetical protein D9Q98_007507 [Chlorella vulgaris]
OG0003074	RMZ57003.1 hypothetical protein APUTEX25_002235 [Auxenochlorella protothecoides]	KAI3438665.1 hypothetical protein D9Q98_001086 [Chlorella vulgaris]
OG0003075	RMZ57023.1 hypothetical protein APUTEX25_002255_ partial [Auxenochlorella protothecoides]	KAI3433671.1 hypothetical protein D9Q98_003480 [Chlorella vulgaris]
OG0003076	RMZ57024.1 hypothetical protein APUTEX25_002256 [Auxenochlorella protothecoides]	KAI3432690.1 hypothetical protein D9Q98_004233 [Chlorella vulgaris]
OG0003077	RMZ57027.1 hypothetical protein APUTEX25_002259_ partial [Auxenochlorella protothecoides]	KAI3436596.1 hypothetical protein D9Q98_006013 [Chlorella vulgaris]
OG0003078	RMZ57037.1 hypothetical protein APUTEX25_002269_ partial [Auxenochlorella protothecoides]	KAI3436690.1 hypothetical protein D9Q98_006105 [Chlorella vulgaris]
OG0003079	RMZ57039.1 hypothetical protein APUTEX25_002271 [Auxenochlorella protothecoides]	KAI3424748.1 hypothetical protein D9Q98_008137 [Chlorella vulgaris]
OG0003080	RMZ57053.1 hypothetical protein APUTEX25_002285_ partial [Auxenochlorella protothecoides]	KAI3436741.1 hypothetical protein D9Q98_006156 [Chlorella vulgaris]
OG0003081	RMZ57060.1 hypothetical protein APUTEX25_002292 [Auxenochlorella protothecoides]	KAI3431340.1 hypothetical protein D9Q98_004397 [Chlorella vulgaris]
OG0003082	RMZ57062.1 hypothetical protein APUTEX25_002294 [Auxenochlorella protothecoides]	KAI3424828.1 hypothetical protein D9Q98_008214 [Chlorella vulgaris]
OG0003083	RMZ57065.1 hypothetical protein APUTEX25_002297 [Auxenochlorella protothecoides]	KAI3424832.1 hypothetical protein D9Q98_008218 [Chlorella vulgaris], KAI3424833.1 hypothetical protein D9Q98_008219 [Chlorella vulgaris]
OG0003084	RMZ57069.1 hypothetical protein APUTEX25_002301 [Auxenochlorella protothecoides]	KAI3436758.1 hypothetical protein D9Q98_006170 [Chlorella vulgaris]
OG0003085	RMZ57075.1 hypothetical protein APUTEX25_002307_ partial [Auxenochlorella protothecoides]	KAI3436743.1 hypothetical protein D9Q98_006158 [Chlorella vulgaris]
OG0003086	RMZ57076.1 hypothetical protein APUTEX25_002308 [Auxenochlorella protothecoides]	KAI3433683.1 hypothetical protein D9Q98_003492 [Chlorella vulgaris]
OG0003087	RMZ57078.1 hypothetical protein APUTEX25_002310 [Auxenochlorella protothecoides]	KAI3425876.1 hypothetical protein D9Q98_007849 [Chlorella vulgaris]
OG0003089	RMZ57087.1 hypothetical protein APUTEX25_002319_ partial [Auxenochlorella protothecoides]	KAI3434905.1 hypothetical protein D9Q98_002959 [Chlorella vulgaris]
OG0003090	RMZ57089.1 hypothetical protein APUTEX25_002321_ partial [Auxenochlorella protothecoides]	KAI3434552.1 hypothetical protein D9Q98_002625 [Chlorella vulgaris]
OG0003091	RMZ57096.1 hypothetical protein APUTEX25_002328 [Auxenochlorella protothecoides]	KAI3431341.1 hypothetical protein D9Q98_004398 [Chlorella vulgaris]
OG0003092	RMZ57100.1 hypothetical protein APUTEX25_002332 [Auxenochlorella protothecoides]	KAI3424857.1 hypothetical protein D9Q98_008241 [Chlorella vulgaris]
OG0003093	RMZ57113.1 hypothetical protein APUTEX25_002345_ partial [Auxenochlorella protothecoides]	KAI3424830.1 hypothetical protein D9Q98_008216 [Chlorella vulgaris]
OG0003094	RMZ57120.1 hypothetical protein APUTEX25_002352 [Auxenochlorella protothecoides]	KAI3436734.1 hypothetical protein D9Q98_006149 [Chlorella vulgaris]
OG0003095	RMZ57127.1 hypothetical protein APUTEX25_002359 [Auxenochlorella protothecoides]	KAI3436770.1 hypothetical protein D9Q98_006182 [Chlorella vulgaris]
OG0003096	RMZ57140.1 hypothetical protein APUTEX25_003597 [Auxenochlorella protothecoides]	KAI3438047.1 hypothetical protein D9Q98_000490 [Chlorella vulgaris]
OG0003097	RMZ57153.1 hypothetical protein APUTEX25_003987 [Auxenochlorella protothecoides]	KAI3430682.1 hypothetical protein D9Q98_005271 [Chlorella vulgaris]
OG0003098	RMZ57163.1 hypothetical protein APUTEX25_003997 [Auxenochlorella protothecoides]	KAI3432639.1 hypothetical protein D9Q98_004185 [Chlorella vulgaris]
OG0003099	RMZ57170.1 hypothetical protein APUTEX25_004004 [Auxenochlorella protothecoides]	KAI3430634.1 hypothetical protein D9Q98_005227 [Chlorella vulgaris]
OG0003100	RMZ57177.1 hypothetical protein APUTEX25_004011 [Auxenochlorella protothecoides]	KAI3429248.1 hypothetical protein D9Q98_005345 [Chlorella vulgaris]
OG0003101	RMZ57198.1 hypothetical protein APUTEX25_004032 [Auxenochlorella protothecoides]	KAI3425224.1 hypothetical protein D9Q98_008992 [Chlorella vulgaris]
OG0003102	RMZ57202.1 hypothetical protein APUTEX25_004036_ partial [Auxenochlorella protothecoides]	KAI3430422.1 hypothetical protein D9Q98_005017 [Chlorella vulgaris], KAI3430421.1 hypothetical protein D9Q98_005016 [Chlorella vulgaris]
OG0003103	RMZ57206.1 hypothetical protein APUTEX25_004040 [Auxenochlorella protothecoides]	KAI3433882.1 hypothetical protein D9Q98_003684 [Chlorella vulgaris]
OG0003104	RMZ57210.1 hypothetical protein APUTEX25_004044_ partial [Auxenochlorella protothecoides]	KAI3428483.1 hypothetical protein D9Q98_007308 [Chlorella vulgaris]
OG0003105	RMZ57213.1 hypothetical protein APUTEX25_004047 [Auxenochlorella protothecoides]	KAI3425118.1 hypothetical protein D9Q98_008890 [Chlorella vulgaris]
OG0003106	RMZ57218.1 hypothetical protein APUTEX25_004052 [Auxenochlorella protothecoides]	KAI3425710.1 hypothetical protein D9Q98_007686 [Chlorella vulgaris]
OG0003107	RMZ57219.1 hypothetical protein APUTEX25_004053_ partial [Auxenochlorella protothecoides]	KAI3432740.1 hypothetical protein D9Q98_004281 [Chlorella vulgaris]
OG0003108	RMZ57223.1 hypothetical protein APUTEX25_004057 [Auxenochlorella protothecoides]	KAI3430411.1 hypothetical protein D9Q98_005006 [Chlorella vulgaris]
OG0003109	RMZ57255.1 hypothetical protein APUTEX25_004089_ partial [Auxenochlorella protothecoides]	KAI3433655.1 hypothetical protein D9Q98_003464 [Chlorella vulgaris]
OG0003110	RMZ57256.1 hypothetical protein APUTEX25_004090_ partial [Auxenochlorella protothecoides]	KAI3428544.1 hypothetical protein D9Q98_007366 [Chlorella vulgaris]
OG0003111	RMZ57277.1 hypothetical protein APUTEX25_004111 [Auxenochlorella protothecoides]	KAI3429426.1 hypothetical protein D9Q98_005520 [Chlorella vulgaris]
OG0003112	RMZ57288.1 hypothetical protein APUTEX25_004122 [Auxenochlorella protothecoides]	KAI3429347.1 hypothetical protein D9Q98_005442 [Chlorella vulgaris]
OG0003113	RMZ57291.1 hypothetical protein APUTEX25_004125_ partial [Auxenochlorella protothecoides]	KAI3424975.1 hypothetical protein D9Q98_008356 [Chlorella vulgaris]
OG0003114	RMZ57292.1 hypothetical protein APUTEX25_004126 [Auxenochlorella protothecoides]	KAI3429247.1 hypothetical protein D9Q98_005344 [Chlorella vulgaris]
OG0003115	RMZ57293.1 hypothetical protein APUTEX25_004127 [Auxenochlorella protothecoides]	KAI3435813.1 hypothetical protein D9Q98_001871 [Chlorella vulgaris]
OG0003116	RMZ57298.1 hypothetical protein APUTEX25_004132 [Auxenochlorella protothecoides]	KAI3435962.1 hypothetical protein D9Q98_002020 [Chlorella vulgaris]
OG0003117	RMZ57317.1 hypothetical protein APUTEX25_004151 [Auxenochlorella protothecoides]	KAI3424979.1 hypothetical protein D9Q98_008360 [Chlorella vulgaris]
OG0003118	RMZ57337.1 hypothetical protein APUTEX25_004171 [Auxenochlorella protothecoides]	KAI3435819.1 hypothetical protein D9Q98_001877 [Chlorella vulgaris]
OG0003119	RMZ57338.1 hypothetical protein APUTEX25_004172 [Auxenochlorella protothecoides]	KAI3428452.1 hypothetical protein D9Q98_007279 [Chlorella vulgaris]
OG0003120	RMZ57339.1 hypothetical protein APUTEX25_004173 [Auxenochlorella protothecoides]	KAI3425807.1 hypothetical protein D9Q98_007782 [Chlorella vulgaris]
OG0003121	RMZ57341.1 hypothetical protein APUTEX25_004175 [Auxenochlorella protothecoides]	KAI3428457.1 hypothetical protein D9Q98_007283 [Chlorella vulgaris]
OG0003122	RMZ57350.1 hypothetical protein APUTEX25_004184 [Auxenochlorella protothecoides]	KAI3425380.1 hypothetical protein D9Q98_009144 [Chlorella vulgaris]
OG0003123	RMZ57354.1 hypothetical protein APUTEX25_004188 [Auxenochlorella protothecoides]	KAI3429267.1 hypothetical protein D9Q98_005364 [Chlorella vulgaris]
OG0003124	RMZ57355.1 hypothetical protein APUTEX25_004189 [Auxenochlorella protothecoides]	KAI3429423.1 hypothetical protein D9Q98_005518 [Chlorella vulgaris]
OG0003125	RMZ57356.1 hypothetical protein APUTEX25_004190 [Auxenochlorella protothecoides]	KAI3424965.1 hypothetical protein D9Q98_008346 [Chlorella vulgaris]
OG0003126	RMZ57359.1 hypothetical protein APUTEX25_004193 [Auxenochlorella protothecoides]	KAI3432656.1 hypothetical protein D9Q98_004200 [Chlorella vulgaris]
OG0003127	RMZ57367.1 hypothetical protein APUTEX25_004201 [Auxenochlorella protothecoides]	KAI3439117.1 hypothetical protein D9Q98_001526 [Chlorella vulgaris]
OG0003128	RMZ57368.1 hypothetical protein APUTEX25_004202 [Auxenochlorella protothecoides]	KAI3428039.1 hypothetical protein D9Q98_006425 [Chlorella vulgaris]
OG0003129	RMZ57373.1 hypothetical protein APUTEX25_004207_ partial [Auxenochlorella protothecoides]	KAI3438806.1 hypothetical protein D9Q98_001223 [Chlorella vulgaris]
OG0003130	RMZ57378.1 hypothetical protein APUTEX25_004212 [Auxenochlorella protothecoides]	KAI3429278.1 hypothetical protein D9Q98_005374 [Chlorella vulgaris]
OG0003131	RMZ57383.1 hypothetical protein APUTEX25_004217 [Auxenochlorella protothecoides]	KAI3429357.1 hypothetical protein D9Q98_005452 [Chlorella vulgaris]
OG0003132	RMZ57387.1 hypothetical protein APUTEX25_004221_ partial [Auxenochlorella protothecoides]	KAI3433687.1 hypothetical protein D9Q98_003496 [Chlorella vulgaris]
OG0003133	RMZ57394.1 hypothetical protein APUTEX25_004228_ partial [Auxenochlorella protothecoides]	KAI3433666.1 hypothetical protein D9Q98_003475 [Chlorella vulgaris]
OG0003134	RMZ57403.1 hypothetical protein APUTEX25_004237 [Auxenochlorella protothecoides]	KAI3425236.1 hypothetical protein D9Q98_009004 [Chlorella vulgaris]
OG0003135	RMZ57413.1 hypothetical protein APUTEX25_004247 [Auxenochlorella protothecoides]	KAI3433663.1 hypothetical protein D9Q98_003472 [Chlorella vulgaris]
OG0003136	RMZ57414.1 hypothetical protein APUTEX25_004248 [Auxenochlorella protothecoides]	KAI3430657.1 hypothetical protein D9Q98_005249 [Chlorella vulgaris]
OG0003138	RMZ57429.1 hypothetical protein APUTEX25_004263_ partial [Auxenochlorella protothecoides]	KAI3431433.1 hypothetical protein D9Q98_004485 [Chlorella vulgaris], KAI3431432.1 hypothetical protein D9Q98_004485 [Chlorella vulgaris]
OG0003139	RMZ57440.1 hypothetical protein APUTEX25_004274 [Auxenochlorella protothecoides]	KAI3430431.1 hypothetical protein D9Q98_005026 [Chlorella vulgaris]
OG0003140	RMZ57454.1 hypothetical protein APUTEX25_004288 [Auxenochlorella protothecoides]	KAI3425221.1 hypothetical protein D9Q98_008989 [Chlorella vulgaris], KAI3425225.1 hypothetical protein D9Q98_008993 [Chlorella vulgaris]
OG0003141	RMZ57460.1 hypothetical protein APUTEX25_004294_ partial [Auxenochlorella protothecoides]	KAI3432646.1 hypothetical protein D9Q98_004192 [Chlorella vulgaris]
OG0003142	RMZ57495.1 hypothetical protein APUTEX25_003738 [Auxenochlorella protothecoides]	KAI3433810.1 hypothetical protein D9Q98_003614 [Chlorella vulgaris]
OG0003143	RMZ57513.1 hypothetical protein APUTEX25_003756 [Auxenochlorella protothecoides]	KAI3433809.1 hypothetical protein D9Q98_003613 [Chlorella vulgaris]
OG0003144	RMZ57516.1 hypothetical protein APUTEX25_003759 [Auxenochlorella protothecoides]	KAI3433877.1 hypothetical protein D9Q98_003679 [Chlorella vulgaris]
OG0003145	RMZ57530.1 hypothetical protein APUTEX25_001730 [Auxenochlorella protothecoides]	KAI3433938.1 hypothetical protein D9Q98_003740 [Chlorella vulgaris]
OG0003147	RMZ57539.1 hypothetical protein APUTEX25_001739 [Auxenochlorella protothecoides]	KAI3423709.1 hypothetical protein D9Q98_010683 [Chlorella vulgaris]
OG0003148	RMZ57540.1 hypothetical protein APUTEX25_001740 [Auxenochlorella protothecoides]	KAI3426346.1 hypothetical protein D9Q98_008719 [Chlorella vulgaris]
OG0003149	RMZ57542.1 hypothetical protein APUTEX25_001742 [Auxenochlorella protothecoides]	KAI3424968.1 hypothetical protein D9Q98_008349 [Chlorella vulgaris]
OG0003150	RMZ57548.1 hypothetical protein APUTEX25_001748 [Auxenochlorella protothecoides]	KAI3426510.1 hypothetical protein D9Q98_008875 [Chlorella vulgaris]
OG0003151	RMZ57556.1 hypothetical protein APUTEX25_001756_ partial [Auxenochlorella protothecoides]	KAI3426366.1 hypothetical protein D9Q98_008738 [Chlorella vulgaris]
OG0003152	RMZ57557.1 hypothetical protein APUTEX25_001757 [Auxenochlorella protothecoides]	KAI3438768.1 hypothetical protein D9Q98_001186 [Chlorella vulgaris]
OG0003153	RMZ57559.1 hypothetical protein APUTEX25_001759_ partial [Auxenochlorella protothecoides]	KAI3424895.1 hypothetical protein D9Q98_008279 [Chlorella vulgaris]
OG0003154	RMZ57562.1 hypothetical protein APUTEX25_001762_ partial [Auxenochlorella protothecoides]	KAI3439127.1 hypothetical protein D9Q98_001535 [Chlorella vulgaris]
OG0003155	RMZ57570.1 hypothetical protein APUTEX25_001770_ partial [Auxenochlorella protothecoides]	KAI3434931.1 hypothetical protein D9Q98_002985 [Chlorella vulgaris]
OG0003156	RMZ57573.1 hypothetical protein APUTEX25_001773 [Auxenochlorella protothecoides]	KAI3439129.1 hypothetical protein D9Q98_001537 [Chlorella vulgaris]
OG0003157	RMZ57574.1 hypothetical protein APUTEX25_001774 [Auxenochlorella protothecoides]	KAI3424884.1 hypothetical protein D9Q98_008268 [Chlorella vulgaris]
OG0003158	RMZ57577.1 hypothetical protein APUTEX25_001777 [Auxenochlorella protothecoides]	KAI3434954.1 hypothetical protein D9Q98_003008 [Chlorella vulgaris]
OG0003159	RMZ57585.1 hypothetical protein APUTEX25_001785_ partial [Auxenochlorella protothecoides]	KAI3438625.1 hypothetical protein D9Q98_001047 [Chlorella vulgaris]
OG0003160	RMZ57587.1 hypothetical protein APUTEX25_001787 [Auxenochlorella protothecoides]	KAI3426082.1 hypothetical protein D9Q98_008050 [Chlorella vulgaris]
OG0003161	RMZ57590.1 hypothetical protein APUTEX25_001790 [Auxenochlorella protothecoides]	KAI3426503.1 hypothetical protein D9Q98_008868 [Chlorella vulgaris]
OG0003162	RMZ57609.1 hypothetical protein APUTEX25_001809_ partial [Auxenochlorella protothecoides]	KAI3426382.1 hypothetical protein D9Q98_008753 [Chlorella vulgaris]
OG0003163	RMZ57617.1 hypothetical protein APUTEX25_001817 [Auxenochlorella protothecoides]	KAI3431345.1 hypothetical protein D9Q98_004403 [Chlorella vulgaris]
OG0003164	RMZ57639.1 hypothetical protein APUTEX25_001839 [Auxenochlorella protothecoides]	KAI3424875.1 hypothetical protein D9Q98_008259 [Chlorella vulgaris]
OG0003165	RMZ57648.1 hypothetical protein APUTEX25_001848 [Auxenochlorella protothecoides]	KAI3428696.1 hypothetical protein D9Q98_007519 [Chlorella vulgaris]
OG0003166	RMZ57651.1 hypothetical protein APUTEX25_001851 [Auxenochlorella protothecoides]	KAI3426505.1 hypothetical protein D9Q98_008870 [Chlorella vulgaris]
OG0003167	RMZ57662.1 hypothetical protein APUTEX25_001862 [Auxenochlorella protothecoides]	KAI3426347.1 hypothetical protein D9Q98_008720 [Chlorella vulgaris]
OG0003168	RMZ57668.1 hypothetical protein APUTEX25_001868 [Auxenochlorella protothecoides]	KAI3433940.1 hypothetical protein D9Q98_003742 [Chlorella vulgaris]
OG0003169	RMZ57671.1 hypothetical protein APUTEX25_001871_ partial [Auxenochlorella protothecoides]	KAI3438618.1 hypothetical protein D9Q98_001041 [Chlorella vulgaris]
OG0003170	RMZ57672.1 hypothetical protein APUTEX25_001872 [Auxenochlorella protothecoides]	KAI3433949.1 hypothetical protein D9Q98_003751 [Chlorella vulgaris]
OG0003171	RMZ57674.1 hypothetical protein APUTEX25_001874 [Auxenochlorella protothecoides]	KAI3438647.1 hypothetical protein D9Q98_001069 [Chlorella vulgaris]
OG0003172	RMZ57677.1 hypothetical protein APUTEX25_001877 [Auxenochlorella protothecoides]	KAI3426392.1 hypothetical protein D9Q98_008763 [Chlorella vulgaris]
OG0003173	RMZ57680.1 hypothetical protein APUTEX25_001880 [Auxenochlorella protothecoides]	KAI3438769.1 hypothetical protein D9Q98_001187 [Chlorella vulgaris]
OG0003174	RMZ57685.1 hypothetical protein APUTEX25_001885 [Auxenochlorella protothecoides]	KAI3426339.1 hypothetical protein D9Q98_008712 [Chlorella vulgaris]
OG0003175	RMZ57696.1 hypothetical protein APUTEX25_001896 [Auxenochlorella protothecoides]	KAI3426394.1 hypothetical protein D9Q98_008765 [Chlorella vulgaris]
OG0003176	RMZ57721.1 hypothetical protein APUTEX25_002111_ partial [Auxenochlorella protothecoides]	KAI3432884.1 hypothetical protein D9Q98_010466 [Chlorella vulgaris]
OG0003177	RMZ57743.1 hypothetical protein APUTEX25_003267_ partial [Auxenochlorella protothecoides]	KAI3424253.1 hypothetical protein D9Q98_009607 [Chlorella vulgaris], KAI3424252.1 hypothetical protein D9Q98_009607 [Chlorella vulgaris]
OG0003178	RMZ57750.1 hypothetical protein APUTEX25_001718_ partial [Auxenochlorella protothecoides]	KAI3438996.1 hypothetical protein D9Q98_001408 [Chlorella vulgaris]
OG0003179	RMZ57759.1 hypothetical protein APUTEX25_004611_ partial [Auxenochlorella protothecoides]	KAI3430487.1 hypothetical protein D9Q98_005082 [Chlorella vulgaris]
OG0003180	RMZ57833.1 hypothetical protein APUTEX25_003427_ partial [Auxenochlorella protothecoides]	KAI3430424.1 hypothetical protein D9Q98_005019 [Chlorella vulgaris]
OG0003348	RMZ52017.1 hypothetical protein APUTEX25_001211 [Auxenochlorella protothecoides]	KAI3432284.1 hypothetical protein D9Q98_003844 [Chlorella vulgaris]
OG0003349	RMZ52018.1 hypothetical protein APUTEX25_001212 [Auxenochlorella protothecoides]	KAI3434667.1 hypothetical protein D9Q98_002731 [Chlorella vulgaris]
OG0003350	RMZ52024.1 hypothetical protein APUTEX25_001218_ partial [Auxenochlorella protothecoides]	KAI3434632.1 hypothetical protein D9Q98_002699 [Chlorella vulgaris]
OG0003351	RMZ52029.1 hypothetical protein APUTEX25_001223_ partial [Auxenochlorella protothecoides]	KAI3438198.1 hypothetical protein D9Q98_000635 [Chlorella vulgaris]
OG0003352	RMZ52038.1 hypothetical protein APUTEX25_001232_ partial [Auxenochlorella protothecoides]	KAI3431517.1 hypothetical protein D9Q98_004567 [Chlorella vulgaris]
OG0003354	RMZ52057.1 hypothetical protein APUTEX25_001251_ partial [Auxenochlorella protothecoides]	KAI3428210.1 hypothetical protein D9Q98_006590 [Chlorella vulgaris]
OG0003355	RMZ52068.1 hypothetical protein APUTEX25_001262 [Auxenochlorella protothecoides]	KAI3436772.1 hypothetical protein D9Q98_006184 [Chlorella vulgaris]
OG0003356	RMZ52069.1 hypothetical protein APUTEX25_001263_ partial [Auxenochlorella protothecoides]	KAI3438157.1 hypothetical protein D9Q98_000595 [Chlorella vulgaris]
OG0003357	RMZ52074.1 hypothetical protein APUTEX25_001268 [Auxenochlorella protothecoides]	KAI3434651.1 hypothetical protein D9Q98_002716 [Chlorella vulgaris]
OG0003358	RMZ52077.1 hypothetical protein APUTEX25_001271_ partial [Auxenochlorella protothecoides]	KAI3434631.1 hypothetical protein D9Q98_002698 [Chlorella vulgaris]
OG0003359	RMZ52083.1 hypothetical protein APUTEX25_001277 [Auxenochlorella protothecoides]	KAI3438181.1 hypothetical protein D9Q98_000618 [Chlorella vulgaris]
OG0003360	RMZ52086.1 hypothetical protein APUTEX25_001280_ partial [Auxenochlorella protothecoides]	KAI3438199.1 hypothetical protein D9Q98_000636 [Chlorella vulgaris]
OG0003361	RMZ52100.1 hypothetical protein APUTEX25_001294 [Auxenochlorella protothecoides]	KAI3438186.1 hypothetical protein D9Q98_000623 [Chlorella vulgaris]
OG0003362	RMZ52114.1 hypothetical protein APUTEX25_001308 [Auxenochlorella protothecoides]	KAI3434630.1 hypothetical protein D9Q98_002697 [Chlorella vulgaris]
OG0003364	RMZ52132.1 hypothetical protein APUTEX25_001522 [Auxenochlorella protothecoides]	KAI3423407.1 hypothetical protein D9Q98_010624 [Chlorella vulgaris]
OG0003365	RMZ52145.1 hypothetical protein APUTEX25_001535 [Auxenochlorella protothecoides]	KAI3424084.1 hypothetical protein D9Q98_009446 [Chlorella vulgaris]
OG0003366	RMZ52147.1 hypothetical protein APUTEX25_001537_ partial [Auxenochlorella protothecoides]	KAI3424112.1 hypothetical protein D9Q98_009473 [Chlorella vulgaris]
OG0003367	RMZ52162.1 hypothetical protein APUTEX25_001552 [Auxenochlorella protothecoides]	KAI3432295.1 hypothetical protein D9Q98_003855 [Chlorella vulgaris]
OG0003368	RMZ52165.1 hypothetical protein APUTEX25_001555 [Auxenochlorella protothecoides]	KAI3423421.1 hypothetical protein D9Q98_010637 [Chlorella vulgaris]
OG0003369	RMZ52168.1 hypothetical protein APUTEX25_001558_ partial [Auxenochlorella protothecoides]	KAI3433434.1 hypothetical protein D9Q98_003249 [Chlorella vulgaris]
OG0003370	RMZ52179.1 hypothetical protein APUTEX25_001569 [Auxenochlorella protothecoides]	KAI3424920.1 hypothetical protein D9Q98_008304 [Chlorella vulgaris]
OG0003371	RMZ52181.1 hypothetical protein APUTEX25_001571 [Auxenochlorella protothecoides]	KAI3424267.1 hypothetical protein D9Q98_009621 [Chlorella vulgaris]
OG0003372	RMZ52186.1 hypothetical protein APUTEX25_001576_ partial [Auxenochlorella protothecoides]	KAI3432293.1 hypothetical protein D9Q98_003853 [Chlorella vulgaris]
OG0003373	RMZ52189.1 hypothetical protein APUTEX25_001579 [Auxenochlorella protothecoides]	KAI3433390.1 hypothetical protein D9Q98_003206 [Chlorella vulgaris]
OG0003374	RMZ52190.1 hypothetical protein APUTEX25_001580 [Auxenochlorella protothecoides]	KAI3433388.1 hypothetical protein D9Q98_003204 [Chlorella vulgaris]
OG0003375	RMZ52200.1 hypothetical protein APUTEX25_001590 [Auxenochlorella protothecoides]	KAI3431761.1 hypothetical protein D9Q98_004803 [Chlorella vulgaris], KAI3431763.1 hypothetical protein D9Q98_004805 [Chlorella vulgaris]
OG0003376	RMZ52208.1 hypothetical protein APUTEX25_001598 [Auxenochlorella protothecoides]	KAI3424062.1 hypothetical protein D9Q98_009425 [Chlorella vulgaris]
OG0003377	RMZ52225.1 hypothetical protein APUTEX25_001615 [Auxenochlorella protothecoides]	KAI3424105.1 hypothetical protein D9Q98_009466 [Chlorella vulgaris]
OG0003378	RMZ52226.1 hypothetical protein APUTEX25_001616 [Auxenochlorella protothecoides]	KAI3424260.1 hypothetical protein D9Q98_009614 [Chlorella vulgaris]
OG0003379	RMZ52232.1 hypothetical protein APUTEX25_001622 [Auxenochlorella protothecoides]	KAI3433387.1 hypothetical protein D9Q98_003203 [Chlorella vulgaris]
OG0003380	RMZ52233.1 hypothetical protein APUTEX25_001623_ partial [Auxenochlorella protothecoides]	KAI3430981.1 hypothetical protein D9Q98_009385 [Chlorella vulgaris]
OG0003381	RMZ52234.1 hypothetical protein APUTEX25_001624_ partial [Auxenochlorella protothecoides]	KAI3424915.1 hypothetical protein D9Q98_008299 [Chlorella vulgaris]
OG0003382	RMZ52242.1 hypothetical protein APUTEX25_001632_ partial [Auxenochlorella protothecoides]	KAI3427065.1 hypothetical protein D9Q98_007005 [Chlorella vulgaris]
OG0003383	RMZ52252.1 hypothetical protein APUTEX25_001642 [Auxenochlorella protothecoides]	KAI3424102.1 hypothetical protein D9Q98_009463 [Chlorella vulgaris]
OG0003384	RMZ52258.1 hypothetical protein APUTEX25_001648_ partial [Auxenochlorella protothecoides]	KAI3432265.1 hypothetical protein D9Q98_003825 [Chlorella vulgaris]
OG0003385	RMZ52274.1 hypothetical protein APUTEX25_001664 [Auxenochlorella protothecoides]	KAI3423195.1 hypothetical protein D9Q98_010717 [Chlorella vulgaris], KAI3423404.1 hypothetical protein D9Q98_010621 [Chlorella vulgaris]
OG0003386	RMZ52277.1 hypothetical protein APUTEX25_001667_ partial [Auxenochlorella protothecoides]	KAI3431558.1 hypothetical protein D9Q98_004607 [Chlorella vulgaris]
OG0003387	RMZ52279.1 hypothetical protein APUTEX25_001669_ partial [Auxenochlorella protothecoides]	KAI3424070.1 hypothetical protein D9Q98_009433 [Chlorella vulgaris]
OG0003388	RMZ52289.1 hypothetical protein APUTEX25_001679_ partial [Auxenochlorella protothecoides]	KAI3424063.1 hypothetical protein D9Q98_009426 [Chlorella vulgaris]
OG0003389	RMZ52308.1 hypothetical protein APUTEX25_005061_ partial [Auxenochlorella protothecoides]	KAI3436556.1 hypothetical protein D9Q98_005972 [Chlorella vulgaris]
OG0003392	RMZ52328.1 hypothetical protein APUTEX25_005081 [Auxenochlorella protothecoides]	KAI3432883.1 hypothetical protein D9Q98_010465 [Chlorella vulgaris]
