Orthogroup	Auxenochlorella_protothecoides	Coccomyxa_SubellipsoideaC169
OG0001872	RMZ53988.1 hypothetical protein APUTEX25_002565 [Auxenochlorella protothecoides]	EIE25743.1 chloroplast cytochrome B6/F complex rieske iron-sulfur protein [Coccomyxa subellipsoidea C-169]
OG0001873	RMZ53989.1 hypothetical protein APUTEX25_002566 [Auxenochlorella protothecoides]	EIE24277.1 MiaB-like tRNA modifying enzyme [Coccomyxa subellipsoidea C-169]
OG0001874	RMZ53999.1 hypothetical protein APUTEX25_002576_ partial [Auxenochlorella protothecoides]	EIE24185.1 alcohol dehydrogenase [Coccomyxa subellipsoidea C-169]
OG0001875	RMZ54010.1 hypothetical protein APUTEX25_002587 [Auxenochlorella protothecoides]	EIE22233.1 translation initiation factor eIF3 subunit [Coccomyxa subellipsoidea C-169]
OG0001876	RMZ54020.1 hypothetical protein APUTEX25_002597 [Auxenochlorella protothecoides]	EIE24000.1 malate dehydrogenase [Coccomyxa subellipsoidea C-169]
OG0001877	RMZ54021.1 hypothetical protein APUTEX25_002598_ partial [Auxenochlorella protothecoides]	EIE20064.1 Aldo/keto reductase_ partial [Coccomyxa subellipsoidea C-169]
OG0001878	RMZ54033.1 hypothetical protein APUTEX25_002610_ partial [Auxenochlorella protothecoides]	EIE20663.1 hypothetical protein COCSUDRAFT_30404 [Coccomyxa subellipsoidea C-169], EIE20424.1 hypothetical protein COCSUDRAFT_67358 [Coccomyxa subellipsoidea C-169]
OG0001879	RMZ54035.1 hypothetical protein APUTEX25_002612 [Auxenochlorella protothecoides]	EIE22460.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Coccomyxa subellipsoidea C-169]
OG0001880	RMZ54051.1 hypothetical protein APUTEX25_002628_ partial [Auxenochlorella protothecoides]	EIE21370.1 ubiquitin carboxyl-terminal hydrolase 6 [Coccomyxa subellipsoidea C-169]
OG0001881	RMZ54069.1 hypothetical protein APUTEX25_002646 [Auxenochlorella protothecoides]	EIE22219.1 hypothetical protein COCSUDRAFT_55915 [Coccomyxa subellipsoidea C-169]
OG0001882	RMZ54082.1 hypothetical protein APUTEX25_002659_ partial [Auxenochlorella protothecoides]	EIE23997.1 vitamin B6 biosynthesis protein [Coccomyxa subellipsoidea C-169]
OG0001883	RMZ54085.1 hypothetical protein APUTEX25_002662 [Auxenochlorella protothecoides]	EIE22479.1 TGF-beta receptor-interacting protein 1 [Coccomyxa subellipsoidea C-169]
OG0001884	RMZ54112.1 hypothetical protein APUTEX25_002689 [Auxenochlorella protothecoides]	EIE27627.1 CSD-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE27785.1 CSD-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001885	RMZ54124.1 hypothetical protein APUTEX25_005280_ partial [Auxenochlorella protothecoides]	EIE22269.1 ribosomal protein L3 component of cytosolic 80S ribosome and 60S large subunit [Coccomyxa subellipsoidea C-169]
OG0001886	RMZ54136.1 hypothetical protein APUTEX25_005292 [Auxenochlorella protothecoides]	EIE25984.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]
OG0001887	RMZ54180.1 hypothetical protein APUTEX25_005336_ partial [Auxenochlorella protothecoides]	EIE25855.1 EAP30-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001888	RMZ54184.1 hypothetical protein APUTEX25_005340 [Auxenochlorella protothecoides]	EIE19531.1 putative 26S proteasome regulatory subunit [Coccomyxa subellipsoidea C-169]
OG0001889	RMZ54189.1 hypothetical protein APUTEX25_005345 [Auxenochlorella protothecoides]	EIE20139.1 PMSR-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE19115.1 peptide methionine sulfoxide reductase [Coccomyxa subellipsoidea C-169]
OG0001890	RMZ54196.1 hypothetical protein APUTEX25_005352 [Auxenochlorella protothecoides]	EIE19147.1 protein phosphatase methylesterase [Coccomyxa subellipsoidea C-169]
OG0001891	RMZ54198.1 hypothetical protein APUTEX25_005354_ partial [Auxenochlorella protothecoides]	EIE24250.1 DUF482-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001892	RMZ54204.1 hypothetical protein APUTEX25_005360 [Auxenochlorella protothecoides]	EIE19542.1 DNA repair helicase [Coccomyxa subellipsoidea C-169]
OG0001893	RMZ54263.1 hypothetical protein APUTEX25_000614_ partial [Auxenochlorella protothecoides]	EIE24769.1 thioredoxin-like protein [Coccomyxa subellipsoidea C-169]
OG0001894	RMZ54269.1 hypothetical protein APUTEX25_000620 [Auxenochlorella protothecoides]	EIE24913.1 RNA-binding domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001895	RMZ54276.1 hypothetical protein APUTEX25_001434 [Auxenochlorella protothecoides]	EIE21579.1 N-acetyl-gamma-glutamyl-phosphate reductase [Coccomyxa subellipsoidea C-169]
OG0001896	RMZ54287.1 hypothetical protein APUTEX25_001445_ partial [Auxenochlorella protothecoides]	EIE21565.1 Calreticulin/calnexin [Coccomyxa subellipsoidea C-169]
OG0001897	RMZ54288.1 hypothetical protein APUTEX25_001446_ partial [Auxenochlorella protothecoides]	EIE21062.1 EXS-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001898	RMZ54293.1 hypothetical protein APUTEX25_001451_ partial [Auxenochlorella protothecoides]	EIE23120.1 hypothetical protein COCSUDRAFT_33252_ partial [Coccomyxa subellipsoidea C-169], EIE21510.1 Nucleotidyltransferase_ partial [Coccomyxa subellipsoidea C-169]
OG0001899	RMZ54295.1 hypothetical protein APUTEX25_001453 [Auxenochlorella protothecoides]	EIE21599.1 16S rRNA processing protein RimM [Coccomyxa subellipsoidea C-169]
OG0001900	RMZ54297.1 hypothetical protein APUTEX25_001455 [Auxenochlorella protothecoides]	EIE23851.1 UFD1-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001901	RMZ54301.1 hypothetical protein APUTEX25_001459 [Auxenochlorella protothecoides]	EIE26334.1 amidase signature enzyme [Coccomyxa subellipsoidea C-169]
OG0001902	RMZ54305.1 hypothetical protein APUTEX25_001463 [Auxenochlorella protothecoides]	EIE21409.1 adenosine kinase isoform 1T-like protein [Coccomyxa subellipsoidea C-169]
OG0001903	RMZ54307.1 hypothetical protein APUTEX25_001465 [Auxenochlorella protothecoides]	EIE21040.1 hypothetical protein COCSUDRAFT_56960 [Coccomyxa subellipsoidea C-169]
OG0001904	RMZ54313.1 hypothetical protein APUTEX25_001471 [Auxenochlorella protothecoides]	EIE21462.1 ABC1-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE25093.1 ABC1-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001905	RMZ54321.1 hypothetical protein APUTEX25_001479 [Auxenochlorella protothecoides]	EIE23119.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169]
OG0001906	RMZ54324.1 hypothetical protein APUTEX25_001482 [Auxenochlorella protothecoides]	EIE22898.1 spermidine synthase [Coccomyxa subellipsoidea C-169]
OG0001907	RMZ54331.1 hypothetical protein APUTEX25_001489 [Auxenochlorella protothecoides]	EIE21388.1 hypothetical protein COCSUDRAFT_33651 [Coccomyxa subellipsoidea C-169]
OG0001908	RMZ54351.1 hypothetical protein APUTEX25_001927_ partial [Auxenochlorella protothecoides]	EIE18189.1 RNA-binding domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001909	RMZ54373.1 hypothetical protein APUTEX25_001949 [Auxenochlorella protothecoides]	EIE26816.1 DNA repair helicase [Coccomyxa subellipsoidea C-169]
OG0001910	RMZ54383.1 hypothetical protein APUTEX25_001959_ partial [Auxenochlorella protothecoides]	EIE20900.1 cycloartenol synthase [Coccomyxa subellipsoidea C-169]
OG0001911	RMZ54385.1 hypothetical protein APUTEX25_001961_ partial [Auxenochlorella protothecoides]	EIE21183.1 glycosyl transferase [Coccomyxa subellipsoidea C-169]
OG0001912	RMZ54396.1 hypothetical protein APUTEX25_001972 [Auxenochlorella protothecoides]	EIE20863.1 RecF/RecN/SMC protein [Coccomyxa subellipsoidea C-169]
OG0001913	RMZ54406.1 hypothetical protein APUTEX25_001982 [Auxenochlorella protothecoides]	EIE25972.1 vacuolar protein sorting-associated protein 35_ partial [Coccomyxa subellipsoidea C-169]
OG0001914	RMZ54407.1 hypothetical protein APUTEX25_001983 [Auxenochlorella protothecoides]	EIE19628.1 hypothetical protein COCSUDRAFT_67727 [Coccomyxa subellipsoidea C-169]
OG0001915	RMZ54414.1 hypothetical protein APUTEX25_001990 [Auxenochlorella protothecoides]	EIE23151.1 RCC1/BLIP-II [Coccomyxa subellipsoidea C-169]
OG0001916	RMZ54423.1 hypothetical protein APUTEX25_001999 [Auxenochlorella protothecoides]	EIE18597.1 DNA repair protein rada [Coccomyxa subellipsoidea C-169]
OG0001917	RMZ54459.1 hypothetical protein APUTEX25_002035_ partial [Auxenochlorella protothecoides]	EIE27500.1 hypothetical protein COCSUDRAFT_32019 [Coccomyxa subellipsoidea C-169]
OG0001918	RMZ54461.1 hypothetical protein APUTEX25_002037_ partial [Auxenochlorella protothecoides]	EIE27241.1 acetylornithine aminotransferase [Coccomyxa subellipsoidea C-169]
OG0001919	RMZ54473.1 hypothetical protein APUTEX25_002049 [Auxenochlorella protothecoides]	EIE24256.1 acetolactate synthase [Coccomyxa subellipsoidea C-169]
OG0001920	RMZ54480.1 hypothetical protein APUTEX25_002056 [Auxenochlorella protothecoides]	EIE22031.1 cyclophilin-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0001921	RMZ54483.1 hypothetical protein APUTEX25_002059_ partial [Auxenochlorella protothecoides]	EIE26104.1 vacuolar H+ ATPase V0 sector_ subunit D [Coccomyxa subellipsoidea C-169]
OG0001922	RMZ54495.1 hypothetical protein APUTEX25_002071_ partial [Auxenochlorella protothecoides]	EIE27534.1 kinesin-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001923	RMZ54541.1 hypothetical protein APUTEX25_002116 [Auxenochlorella protothecoides]	EIE18729.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001924	RMZ54549.1 hypothetical protein APUTEX25_002124_ partial [Auxenochlorella protothecoides]	EIE18073.1 hypothetical protein COCSUDRAFT_26470 [Coccomyxa subellipsoidea C-169]
OG0001925	RMZ54555.1 hypothetical protein APUTEX25_002130_ partial [Auxenochlorella protothecoides]	EIE24609.1 ATP-citrate lyase subunit A [Coccomyxa subellipsoidea C-169]
OG0001926	RMZ57850.1 hypothetical protein APUTEX25_000705_ partial [Auxenochlorella protothecoides], RMZ54561.1 hypothetical protein APUTEX25_002136_ partial [Auxenochlorella protothecoides]	EIE26146.1 hypothetical protein COCSUDRAFT_61136 [Coccomyxa subellipsoidea C-169]
OG0001927	RMZ54587.1 hypothetical protein APUTEX25_002173 [Auxenochlorella protothecoides]	EIE25927.1 hypothetical protein COCSUDRAFT_64902 [Coccomyxa subellipsoidea C-169]
OG0001928	RMZ54591.1 hypothetical protein APUTEX25_002177 [Auxenochlorella protothecoides]	EIE24157.1 hypothetical protein COCSUDRAFT_14797 [Coccomyxa subellipsoidea C-169]
OG0001929	RMZ54592.1 hypothetical protein APUTEX25_002178_ partial [Auxenochlorella protothecoides]	EIE26237.1 hypothetical protein COCSUDRAFT_83612 [Coccomyxa subellipsoidea C-169]
OG0001930	RMZ54600.1 hypothetical protein APUTEX25_002186 [Auxenochlorella protothecoides]	EIE25834.1 coatomer delta subunit [Coccomyxa subellipsoidea C-169]
OG0001931	RMZ54602.1 hypothetical protein APUTEX25_002188 [Auxenochlorella protothecoides]	EIE25845.1 hypothetical protein COCSUDRAFT_52595 [Coccomyxa subellipsoidea C-169]
OG0001932	RMZ54614.1 hypothetical protein APUTEX25_002200_ partial [Auxenochlorella protothecoides]	EIE25849.1 hypothetical protein COCSUDRAFT_64865 [Coccomyxa subellipsoidea C-169]
OG0001933	RMZ54622.1 hypothetical protein APUTEX25_001692_ partial [Auxenochlorella protothecoides]	EIE18260.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0001934	RMZ54631.1 hypothetical protein APUTEX25_003009 [Auxenochlorella protothecoides]	EIE27696.1 RCC1/BLIP-II [Coccomyxa subellipsoidea C-169]
OG0001935	RMZ54633.1 hypothetical protein APUTEX25_003011 [Auxenochlorella protothecoides]	EIE22053.1 NADH-quinone oxidoreductase_ partial [Coccomyxa subellipsoidea C-169]
OG0001936	RMZ54637.1 hypothetical protein APUTEX25_003015 [Auxenochlorella protothecoides]	EIE23698.1 mitochondrial phosphate carrier 1_ minor isoform [Coccomyxa subellipsoidea C-169]
OG0001937	RMZ54642.1 hypothetical protein APUTEX25_003020 [Auxenochlorella protothecoides]	EIE26448.1 RIO1-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001938	RMZ54653.1 hypothetical protein APUTEX25_003031 [Auxenochlorella protothecoides]	EIE24670.1 ribosomal protein S5 domain 2-like protein [Coccomyxa subellipsoidea C-169]
OG0001939	RMZ54666.1 hypothetical protein APUTEX25_003044 [Auxenochlorella protothecoides]	EIE18803.1 hypothetical protein COCSUDRAFT_59934 [Coccomyxa subellipsoidea C-169]
OG0001940	RMZ54684.1 hypothetical protein APUTEX25_003062 [Auxenochlorella protothecoides]	EIE24847.1 hypothetical protein COCSUDRAFT_14202_ partial [Coccomyxa subellipsoidea C-169]
OG0001941	RMZ54688.1 hypothetical protein APUTEX25_003066 [Auxenochlorella protothecoides]	EIE22268.1 hypothetical protein COCSUDRAFT_24197 [Coccomyxa subellipsoidea C-169]
OG0001942	RMZ54689.1 hypothetical protein APUTEX25_003067 [Auxenochlorella protothecoides]	EIE20744.1 cysteine synthase [Coccomyxa subellipsoidea C-169]
OG0001943	RMZ54693.1 hypothetical protein APUTEX25_003071 [Auxenochlorella protothecoides]	EIE18244.1 eukaryotic release factor 1 [Coccomyxa subellipsoidea C-169]
OG0001944	RMZ54695.1 hypothetical protein APUTEX25_003073 [Auxenochlorella protothecoides]	EIE18425.1 S-adenosyl-L-methionine-dependent methyltransferase_ partial [Coccomyxa subellipsoidea C-169]
OG0001945	RMZ54701.1 hypothetical protein APUTEX25_003079 [Auxenochlorella protothecoides]	EIE24011.1 AAA-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001946	RMZ54703.1 hypothetical protein APUTEX25_003081 [Auxenochlorella protothecoides]	EIE25428.1 epsilon-cop [Coccomyxa subellipsoidea C-169]
OG0001947	RMZ54707.1 hypothetical protein APUTEX25_003085 [Auxenochlorella protothecoides]	EIE26840.1 putative leucyl tRNA synthetase [Coccomyxa subellipsoidea C-169]
OG0001948	RMZ54708.1 hypothetical protein APUTEX25_003086 [Auxenochlorella protothecoides]	EIE21638.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]
OG0001949	RMZ54711.1 hypothetical protein APUTEX25_003089_ partial [Auxenochlorella protothecoides]	EIE18242.1 hypothetical protein COCSUDRAFT_45504 [Coccomyxa subellipsoidea C-169]
OG0001950	RMZ54735.1 hypothetical protein APUTEX25_003113 [Auxenochlorella protothecoides]	EIE21615.1 histidine tRNA 5'-guanylyltransferase [Coccomyxa subellipsoidea C-169]
OG0001951	RMZ54745.1 hypothetical protein APUTEX25_003123_ partial [Auxenochlorella protothecoides]	EIE24636.1 ribosomal protein S18 component of cytosolic 80S ribosome and 40S small subunit [Coccomyxa subellipsoidea C-169]
OG0001952	RMZ54747.1 hypothetical protein APUTEX25_003125_ partial [Auxenochlorella protothecoides]	EIE24637.1 26S proteasome regulatory subunit [Coccomyxa subellipsoidea C-169]
OG0001953	RMZ54766.1 hypothetical protein APUTEX25_000283 [Auxenochlorella protothecoides]	EIE22446.1 hypothetical protein COCSUDRAFT_56130 [Coccomyxa subellipsoidea C-169]
OG0001954	RMZ54771.1 hypothetical protein APUTEX25_000288_ partial [Auxenochlorella protothecoides]	EIE22455.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]
OG0001955	RMZ54776.1 hypothetical protein APUTEX25_000293 [Auxenochlorella protothecoides]	EIE23587.1 peptidase M18_ aminopeptidase I [Coccomyxa subellipsoidea C-169]
OG0001956	RMZ54781.1 hypothetical protein APUTEX25_000298_ partial [Auxenochlorella protothecoides]	EIE19836.1 glycyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]
OG0001957	RMZ54786.1 hypothetical protein APUTEX25_000303 [Auxenochlorella protothecoides]	EIE25131.1 hypothetical protein COCSUDRAFT_46598 [Coccomyxa subellipsoidea C-169]
OG0001958	RMZ54795.1 hypothetical protein APUTEX25_000312 [Auxenochlorella protothecoides]	EIE19736.1 heme peroxidase [Coccomyxa subellipsoidea C-169]
OG0001960	RMZ54820.1 hypothetical protein APUTEX25_000337_ partial [Auxenochlorella protothecoides]	EIE19108.1 spliceosome component_ nuclear pre-mRNA splicing factor [Coccomyxa subellipsoidea C-169]
OG0001961	RMZ54822.1 hypothetical protein APUTEX25_000339 [Auxenochlorella protothecoides]	EIE22621.1 hypothetical protein COCSUDRAFT_53607 [Coccomyxa subellipsoidea C-169]
OG0001962	RMZ54835.1 hypothetical protein APUTEX25_000352 [Auxenochlorella protothecoides]	EIE26619.1 phosphatases II [Coccomyxa subellipsoidea C-169]
OG0001963	RMZ54852.1 hypothetical protein APUTEX25_000369 [Auxenochlorella protothecoides]	EIE25157.1 hypothetical protein COCSUDRAFT_27846 [Coccomyxa subellipsoidea C-169]
OG0001964	RMZ54990.1 hypothetical protein APUTEX25_000507 [Auxenochlorella protothecoides]	EIE20662.1 hypothetical protein COCSUDRAFT_54194 [Coccomyxa subellipsoidea C-169]
OG0001964	RMZ54858.1 hypothetical protein APUTEX25_000375 [Auxenochlorella protothecoides]	EIE22336.1 hypothetical protein COCSUDRAFT_56029 [Coccomyxa subellipsoidea C-169]
OG0001965	RMZ54870.1 hypothetical protein APUTEX25_000387 [Auxenochlorella protothecoides]	EIE21705.1 long-chain acyl-CoA oxidase [Coccomyxa subellipsoidea C-169]
OG0001966	RMZ54875.1 hypothetical protein APUTEX25_000392 [Auxenochlorella protothecoides]	EIE26653.1 hypothetical protein COCSUDRAFT_59173 [Coccomyxa subellipsoidea C-169]
OG0001967	RMZ54886.1 hypothetical protein APUTEX25_000403 [Auxenochlorella protothecoides]	EIE19467.1 ribosomal protein S19 [Coccomyxa subellipsoidea C-169]
OG0001968	RMZ57751.1 hypothetical protein APUTEX25_004614_ partial [Auxenochlorella protothecoides], RMZ54893.1 hypothetical protein APUTEX25_000410_ partial [Auxenochlorella protothecoides]	EIE18937.1 phophatdylinositol 4-kinase [Coccomyxa subellipsoidea C-169]
OG0001969	RMZ54902.1 hypothetical protein APUTEX25_000419 [Auxenochlorella protothecoides]	EIE24722.1 nucleotide binding protein [Coccomyxa subellipsoidea C-169]
OG0001970	RMZ54905.1 hypothetical protein APUTEX25_000422 [Auxenochlorella protothecoides]	EIE21063.1 GTPase EngC_ partial [Coccomyxa subellipsoidea C-169]
OG0001971	RMZ54906.1 hypothetical protein APUTEX25_000423 [Auxenochlorella protothecoides]	EIE20255.1 hypothetical protein COCSUDRAFT_2352_ partial [Coccomyxa subellipsoidea C-169]
OG0001972	RMZ54916.1 hypothetical protein APUTEX25_000433 [Auxenochlorella protothecoides]	EIE19247.1 starch branching enzyme [Coccomyxa subellipsoidea C-169]
OG0001973	RMZ54923.1 hypothetical protein APUTEX25_000440 [Auxenochlorella protothecoides]	EIE25878.1 p-hydroxyphenylpyruvate dioxigenase [Coccomyxa subellipsoidea C-169]
OG0001974	RMZ54936.1 hypothetical protein APUTEX25_000453 [Auxenochlorella protothecoides]	EIE20990.1 hypothetical protein COCSUDRAFT_54084 [Coccomyxa subellipsoidea C-169]
OG0001975	RMZ54985.1 hypothetical protein APUTEX25_000502_ partial [Auxenochlorella protothecoides]	EIE25813.1 hydrogenobyrinic acid a_c-diamide cobaltochelatase_ partial [Coccomyxa subellipsoidea C-169]
OG0001976	RMZ54995.1 hypothetical protein APUTEX25_000512 [Auxenochlorella protothecoides]	EIE26706.1 glyoxalase I [Coccomyxa subellipsoidea C-169]
OG0001978	RMZ55006.1 hypothetical protein APUTEX25_000523 [Auxenochlorella protothecoides]	EIE22579.1 hypothetical protein COCSUDRAFT_66290 [Coccomyxa subellipsoidea C-169]
OG0001979	RMZ55017.1 hypothetical protein APUTEX25_005643 [Auxenochlorella protothecoides]	EIE25465.1 Nop-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001980	RMZ55022.1 hypothetical protein APUTEX25_005648 [Auxenochlorella protothecoides]	EIE21667.1 vacuolar ATP synthase subunit H [Coccomyxa subellipsoidea C-169]
OG0001981	RMZ55025.1 hypothetical protein APUTEX25_005651 [Auxenochlorella protothecoides]	EIE21708.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]
OG0001982	RMZ55070.1 hypothetical protein APUTEX25_005696 [Auxenochlorella protothecoides]	EIE18167.1 hypothetical protein COCSUDRAFT_49374 [Coccomyxa subellipsoidea C-169], EIE22009.1 hypothetical protein COCSUDRAFT_43000 [Coccomyxa subellipsoidea C-169]
OG0001983	RMZ55072.1 hypothetical protein APUTEX25_005698_ partial [Auxenochlorella protothecoides]	EIE22865.1 hypothetical protein COCSUDRAFT_63988 [Coccomyxa subellipsoidea C-169]
OG0001984	RMZ55083.1 hypothetical protein APUTEX25_005709 [Auxenochlorella protothecoides]	EIE25551.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]
OG0001986	RMZ55096.1 hypothetical protein APUTEX25_005722_ partial [Auxenochlorella protothecoides]	EIE20935.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0001987	RMZ55128.1 hypothetical protein APUTEX25_005406 [Auxenochlorella protothecoides]	EIE23713.1 hypothetical protein COCSUDRAFT_41874 [Coccomyxa subellipsoidea C-169]
OG0001988	RMZ55132.1 hypothetical protein APUTEX25_005410 [Auxenochlorella protothecoides]	EIE26750.1 AIG2-like protein [Coccomyxa subellipsoidea C-169]
OG0001989	RMZ55137.1 hypothetical protein APUTEX25_005415 [Auxenochlorella protothecoides]	EIE26377.1 hypothetical protein COCSUDRAFT_32152_ partial [Coccomyxa subellipsoidea C-169]
OG0001990	RMZ55148.1 hypothetical protein APUTEX25_005426_ partial [Auxenochlorella protothecoides]	EIE22118.1 L30e-like protein [Coccomyxa subellipsoidea C-169]
OG0001991	RMZ55149.1 hypothetical protein APUTEX25_005427 [Auxenochlorella protothecoides]	EIE23132.1 HlyIII-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001992	RMZ55158.1 hypothetical protein APUTEX25_005436 [Auxenochlorella protothecoides]	EIE19723.1 ser/thr kinase_ ABC1 family [Coccomyxa subellipsoidea C-169]
OG0001993	RMZ55171.1 hypothetical protein APUTEX25_005449 [Auxenochlorella protothecoides]	EIE22822.1 Flavokinase-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001994	RMZ55174.1 hypothetical protein APUTEX25_005452 [Auxenochlorella protothecoides]	EIE25888.1 adenosine/AMP deaminase family protein [Coccomyxa subellipsoidea C-169]
OG0001995	RMZ55181.1 hypothetical protein APUTEX25_005459 [Auxenochlorella protothecoides]	EIE26434.1 Pkinase-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001996	RMZ55191.1 hypothetical protein APUTEX25_005469 [Auxenochlorella protothecoides]	EIE23728.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Coccomyxa subellipsoidea C-169]
OG0001997	RMZ55202.1 hypothetical protein APUTEX25_005480_ partial [Auxenochlorella protothecoides]	EIE23912.1 SM/Sec1-family protein [Coccomyxa subellipsoidea C-169]
OG0001998	RMZ55219.1 hypothetical protein APUTEX25_005497 [Auxenochlorella protothecoides]	EIE24693.1 cyclopropyl isomerase [Coccomyxa subellipsoidea C-169]
OG0001999	RMZ55221.1 hypothetical protein APUTEX25_005499 [Auxenochlorella protothecoides]	EIE26765.1 riboflavin synthase domain-like protein [Coccomyxa subellipsoidea C-169]
OG0002000	RMZ55227.1 hypothetical protein APUTEX25_005505 [Auxenochlorella protothecoides]	EIE23742.1 glutamine amidotransferase/cyclase [Coccomyxa subellipsoidea C-169]
OG0002001	RMZ55228.1 hypothetical protein APUTEX25_005506 [Auxenochlorella protothecoides]	EIE26974.1 hypothetical protein COCSUDRAFT_12091 [Coccomyxa subellipsoidea C-169]
OG0002002	RMZ55230.1 hypothetical protein APUTEX25_005508 [Auxenochlorella protothecoides]	EIE24720.1 hypothetical protein COCSUDRAFT_36047 [Coccomyxa subellipsoidea C-169]
OG0002003	RMZ55244.1 hypothetical protein APUTEX25_005522 [Auxenochlorella protothecoides]	EIE20087.1 XAP5-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002004	RMZ55246.1 hypothetical protein APUTEX25_005524 [Auxenochlorella protothecoides]	EIE26835.1 V-snare-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002005	RMZ55293.1 hypothetical protein APUTEX25_003431 [Auxenochlorella protothecoides]	EIE27273.1 nucleic acid binding protein [Coccomyxa subellipsoidea C-169]
OG0002006	RMZ55303.1 hypothetical protein APUTEX25_003441_ partial [Auxenochlorella protothecoides]	EIE27347.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169]
OG0002007	RMZ55305.1 hypothetical protein APUTEX25_003443 [Auxenochlorella protothecoides]	EIE27359.1 Cse1-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002008	RMZ55307.1 hypothetical protein APUTEX25_003445 [Auxenochlorella protothecoides]	EIE21798.1 putative DnaJ protein [Coccomyxa subellipsoidea C-169]
OG0002009	RMZ55311.1 hypothetical protein APUTEX25_003449 [Auxenochlorella protothecoides]	EIE27411.1 ATP synthase-like protein O subunit_ mitochondrial precursor [Coccomyxa subellipsoidea C-169]
OG0002010	RMZ55322.1 hypothetical protein APUTEX25_003460 [Auxenochlorella protothecoides]	EIE27419.1 CCAAT-binding transcription factor subunit A [Coccomyxa subellipsoidea C-169]
OG0002011	RMZ55326.1 hypothetical protein APUTEX25_003464 [Auxenochlorella protothecoides]	EIE27414.1 vacuolar ATP synthase subunit B [Coccomyxa subellipsoidea C-169]
OG0002012	RMZ55327.1 hypothetical protein APUTEX25_003465_ partial [Auxenochlorella protothecoides]	EIE18249.1 hypothetical protein COCSUDRAFT_45509 [Coccomyxa subellipsoidea C-169]
OG0002013	RMZ55330.1 hypothetical protein APUTEX25_003468 [Auxenochlorella protothecoides]	EIE27272.1 SCO1-SenC-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002014	RMZ55333.1 hypothetical protein APUTEX25_003471 [Auxenochlorella protothecoides]	EIE27391.1 RNA-binding domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002015	RMZ55365.1 hypothetical protein APUTEX25_002223_ partial [Auxenochlorella protothecoides]	EIE20468.1 pyrroline-5-carboxlyate synthetase [Coccomyxa subellipsoidea C-169]
OG0002016	RMZ55378.1 hypothetical protein APUTEX25_003592_ partial [Auxenochlorella protothecoides]	EIE24049.1 ClpX_ ATPase regulatory subunit [Coccomyxa subellipsoidea C-169]
OG0002017	RMZ55384.1 hypothetical protein APUTEX25_003508 [Auxenochlorella protothecoides]	EIE18923.1 putative valyl tRNA synthetase [Coccomyxa subellipsoidea C-169]
OG0002018	RMZ55388.1 hypothetical protein APUTEX25_003512 [Auxenochlorella protothecoides]	EIE26831.1 acyl-CoA oxidase [Coccomyxa subellipsoidea C-169]
OG0002019	RMZ55390.1 hypothetical protein APUTEX25_003514 [Auxenochlorella protothecoides]	EIE25319.1 hypothetical protein COCSUDRAFT_65190 [Coccomyxa subellipsoidea C-169]
OG0002020	RMZ55399.1 hypothetical protein APUTEX25_003523_ partial [Auxenochlorella protothecoides]	EIE25134.1 Mog1p/PsbP-like protein [Coccomyxa subellipsoidea C-169]
