Orthogroup	Auxenochlorella_protothecoides	Chlorella_Sorokiniana1602
OG0002464	RMZ52664.1 hypothetical protein APUTEX25_000783_ partial [Auxenochlorella protothecoides]	PRW57116.1 putative alpha_alpha-trehalose-phosphate synthase [UDP-forming] 7 [Chlorella sorokiniana]
OG0002465	RMZ52665.1 hypothetical protein APUTEX25_000784_ partial [Auxenochlorella protothecoides]	PRW44413.1 DNA replication licensing factor MCM3 [Chlorella sorokiniana]
OG0002466	RMZ52666.1 hypothetical protein APUTEX25_000785_ partial [Auxenochlorella protothecoides]	PRW44355.1 G8 domain-containing [Chlorella sorokiniana]
OG0002467	RMZ52670.1 hypothetical protein APUTEX25_000789_ partial [Auxenochlorella protothecoides]	PRW60191.1 tyrosine phosphatase [Chlorella sorokiniana]
OG0002468	RMZ52684.1 hypothetical protein APUTEX25_000803 [Auxenochlorella protothecoides]	PRW21088.1 Peptide-N_4_-_N-acetyl-beta-D-glucosaminyl_a sparagine amidase F [Chlorella sorokiniana], PRW45563.1 Peptide-N_4_-_N-acetyl-beta-D-glucosaminyl_a sparagine amidase F [Chlorella sorokiniana]
OG0002469	RMZ52687.1 hypothetical protein APUTEX25_000806 [Auxenochlorella protothecoides]	PRW58069.1 Dol-P-Man_Man_5_ c_2_-PP-Dol alpha-1_3-mannosyltransferase isoform A [Chlorella sorokiniana]
OG0002470	RMZ52689.1 hypothetical protein APUTEX25_000808_ partial [Auxenochlorella protothecoides]	PRW44322.1 Surfeit locus 1 [Chlorella sorokiniana]
OG0002471	RMZ52713.1 hypothetical protein APUTEX25_000832 [Auxenochlorella protothecoides]	PRW21108.1 multidrug resistance-associated 1 isoform X3 [Chlorella sorokiniana]
OG0002472	RMZ52718.1 hypothetical protein APUTEX25_000837 [Auxenochlorella protothecoides]	PRW21004.1 Vacuolar transporter chaperone 1 [Chlorella sorokiniana]
OG0002473	RMZ52724.1 hypothetical protein APUTEX25_000843_ partial [Auxenochlorella protothecoides]	PRW34096.1 RNA polymerase I-specific transcription initiation factor RRN3-like [Chlorella sorokiniana]
OG0002474	RMZ52727.1 hypothetical protein APUTEX25_000846_ partial [Auxenochlorella protothecoides]	PRW57074.1 carboxyl-terminal-processing peptidase chloroplastic [Chlorella sorokiniana]
OG0002475	RMZ52736.1 hypothetical protein APUTEX25_000855_ partial [Auxenochlorella protothecoides]	PRW60493.1 ATP-dependent helicase hrq1 isoform X1 [Chlorella sorokiniana]
OG0002476	RMZ52745.1 hypothetical protein APUTEX25_000864 [Auxenochlorella protothecoides]	PRW33045.1 traB domain-containing -like [Chlorella sorokiniana], PRW60821.1 traB domain-containing -like [Chlorella sorokiniana]
OG0002477	RMZ52752.1 hypothetical protein APUTEX25_000871 [Auxenochlorella protothecoides]	PRW45416.1 transcription elongation factor SPT6 isoform B [Chlorella sorokiniana], PRW45415.1 transcription elongation factor SPT6 isoform A [Chlorella sorokiniana]
OG0002478	RMZ52764.1 hypothetical protein APUTEX25_000883_ partial [Auxenochlorella protothecoides]	PRW60263.1 hypothetical protein C2E21_1177 [Chlorella sorokiniana]
OG0002479	RMZ52779.1 hypothetical protein APUTEX25_000898 [Auxenochlorella protothecoides]	PRW57519.1 putative aarF domain-containing kinase chloroplastic [Chlorella sorokiniana]
OG0002480	RMZ52781.1 hypothetical protein APUTEX25_000900 [Auxenochlorella protothecoides]	PRW20735.1 ELC-like [Chlorella sorokiniana]
OG0002481	RMZ52816.1 hypothetical protein APUTEX25_000935_ partial [Auxenochlorella protothecoides]	PRW59048.1 60S ribosomal L38 [Chlorella sorokiniana]
OG0002482	RMZ52829.1 hypothetical protein APUTEX25_000948_ partial [Auxenochlorella protothecoides]	PRW44618.1 Exosome complex exonuclease RRP44 [Chlorella sorokiniana]
OG0002483	RMZ52831.1 hypothetical protein APUTEX25_000950_ partial [Auxenochlorella protothecoides]	PRW59022.1 DEAD-box ATP-dependent RNA helicase 8 [Chlorella sorokiniana]
OG0002484	RMZ52845.1 hypothetical protein APUTEX25_000964 [Auxenochlorella protothecoides]	PRW60717.1 serine threonine phosphatase 2A 57 kDa regulatory subunit B theta isoform-like [Chlorella sorokiniana]
OG0002485	RMZ52861.1 hypothetical protein APUTEX25_000980 [Auxenochlorella protothecoides]	PRW45653.1 Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase mitochondrial [Chlorella sorokiniana]
OG0002486	RMZ52863.1 hypothetical protein APUTEX25_000982 [Auxenochlorella protothecoides]	PRW57506.1 Proline dehydrogenase [Chlorella sorokiniana]
OG0002487	RMZ52866.1 hypothetical protein APUTEX25_000985 [Auxenochlorella protothecoides]	PRW60620.1 homocysteine S-methyltransferase isoform A [Chlorella sorokiniana], PRW60619.1 homocysteine S-methyltransferase isoform B [Chlorella sorokiniana]
OG0002488	RMZ52871.1 hypothetical protein APUTEX25_000990 [Auxenochlorella protothecoides]	PRW20167.1 Oxidoreductase NAD-binding Rossmann fold [Chlorella sorokiniana]
OG0002489	RMZ52875.1 hypothetical protein APUTEX25_000994 [Auxenochlorella protothecoides]	PRW20336.1 UDP-N-acetylglucosamine transferase subunit ALG14-like protein [Chlorella sorokiniana]
OG0002490	RMZ52882.1 hypothetical protein APUTEX25_001001 [Auxenochlorella protothecoides]	PRW20642.1 U3 small nucleolar RNA-associated 15 [Chlorella sorokiniana]
OG0002491	RMZ52889.1 hypothetical protein APUTEX25_001008 [Auxenochlorella protothecoides]	PRW56036.1 AP-4 complex subunit mu [Chlorella sorokiniana]
OG0002492	RMZ52897.1 hypothetical protein APUTEX25_001016 [Auxenochlorella protothecoides]	PRW56061.1 photosystem I reaction center subunit III [Chlorella sorokiniana]
OG0002493	RMZ52912.1 hypothetical protein APUTEX25_001031_ partial [Auxenochlorella protothecoides]	PRW32984.1 ubiquinone biosynthesis [Chlorella sorokiniana]
OG0002494	RMZ52913.1 hypothetical protein APUTEX25_001032_ partial [Auxenochlorella protothecoides]	PRW59759.1 putative sucrose-phosphate synthase 3 isoform X1 [Chlorella sorokiniana]
OG0002495	RMZ52920.1 hypothetical protein APUTEX25_001039_ partial [Auxenochlorella protothecoides]	PRW20902.1 Geranylgeranyl transferase type-2 subunit alpha [Chlorella sorokiniana]
OG0002496	RMZ52922.1 hypothetical protein APUTEX25_001041 [Auxenochlorella protothecoides]	PRW20894.1 folate-biopterin transporter chloroplastic [Chlorella sorokiniana]
OG0002497	RMZ52924.1 hypothetical protein APUTEX25_001043 [Auxenochlorella protothecoides]	PRW56023.1 type II cytoskeletal 2 epidermal [Chlorella sorokiniana]
OG0002498	RMZ52938.1 hypothetical protein APUTEX25_001057 [Auxenochlorella protothecoides]	PRW60629.1 hypothetical protein C2E21_0788 [Chlorella sorokiniana]
OG0002499	RMZ52942.1 hypothetical protein APUTEX25_001061_ partial [Auxenochlorella protothecoides]	PRW59014.1 zinc finger CCCH domain-containing 19 [Chlorella sorokiniana], PRW39288.1 sulfatase [Chlorella sorokiniana], PRW59250.1 sulfatase [Chlorella sorokiniana], PRW55969.1 RNA binding rRNA processing [Chlorella sorokiniana]
OG0002500	RMZ52950.1 hypothetical protein APUTEX25_001069 [Auxenochlorella protothecoides]	PRW58842.1 CD2 antigen cytoplasmic tail-binding 2 [Chlorella sorokiniana]
OG0002501	RMZ52956.1 hypothetical protein APUTEX25_001075_ partial [Auxenochlorella protothecoides]	PRW20751.1 survival of motor neuron-related-splicing factor 30 [Chlorella sorokiniana]
OG0002502	RMZ52958.1 hypothetical protein APUTEX25_001077_ partial [Auxenochlorella protothecoides]	PRW57084.1 N-alpha-acetyltransferase auxiliary subunit [Chlorella sorokiniana]
OG0002503	RMZ52959.1 hypothetical protein APUTEX25_001078 [Auxenochlorella protothecoides]	PRW20900.1 RRP5-like protein [Chlorella sorokiniana]
OG0002504	RMZ52972.1 hypothetical protein APUTEX25_001091_ partial [Auxenochlorella protothecoides]	PRW60420.1 elongator complex 4 [Chlorella sorokiniana]
OG0002505	RMZ52982.1 hypothetical protein APUTEX25_001101_ partial [Auxenochlorella protothecoides]	PRW44435.1 DNA methyltransferase 1-associated 1 [Chlorella sorokiniana]
OG0002506	RMZ52992.1 hypothetical protein APUTEX25_001111_ partial [Auxenochlorella protothecoides]	PRW20976.1 calcium-transporting ATPase endoplasmic reticulum-type isoform A [Chlorella sorokiniana], PRW20975.1 calcium-transporting ATPase endoplasmic reticulum-type isoform B [Chlorella sorokiniana]
OG0002507	RMZ53015.1 hypothetical protein APUTEX25_001134 [Auxenochlorella protothecoides]	PRW20957.1 RING finger 121 [Chlorella sorokiniana]
OG0002508	RMZ53016.1 hypothetical protein APUTEX25_001135 [Auxenochlorella protothecoides]	PRW20749.1 Serine threonine- kinase rio2 [Chlorella sorokiniana]
OG0002509	RMZ53027.1 hypothetical protein APUTEX25_001146_ partial [Auxenochlorella protothecoides]	PRW45723.1 la 1 [Chlorella sorokiniana]
OG0002510	RMZ53032.1 hypothetical protein APUTEX25_001151 [Auxenochlorella protothecoides]	PRW45691.1 serine threonine- kinase receptor R831 [Chlorella sorokiniana], PRW45678.1 serine threonine- kinase [Chlorella sorokiniana], PRW45562.1 serine threonine- kinase receptor R831 [Chlorella sorokiniana]
OG0002512	RMZ53081.1 hypothetical protein APUTEX25_001200 [Auxenochlorella protothecoides]	PRW56066.1 NIPSNAP-related _ISS_ [Chlorella sorokiniana], PRW61063.1 hypothetical protein C2E21_0579 [Chlorella sorokiniana]
OG0002513	RMZ53083.1 hypothetical protein APUTEX25_002492_ partial [Auxenochlorella protothecoides]	PRW58159.1 auxin efflux carrier [Chlorella sorokiniana]
OG0002514	RMZ53089.1 hypothetical protein APUTEX25_002498 [Auxenochlorella protothecoides]	PRW58257.1 3-hydroxybutyrate dehydrogenase [Chlorella sorokiniana]
OG0002515	RMZ53090.1 hypothetical protein APUTEX25_002499_ partial [Auxenochlorella protothecoides], RMZ56702.1 hypothetical protein APUTEX25_002791_ partial [Auxenochlorella protothecoides]	PRW60133.1 MLO 11 [Chlorella sorokiniana]
OG0002516	RMZ53091.1 hypothetical protein APUTEX25_002500 [Auxenochlorella protothecoides]	PRW58119.1 hypothetical protein C2E21_2721 [Chlorella sorokiniana]
OG0002517	RMZ53109.1 hypothetical protein APUTEX25_002518 [Auxenochlorella protothecoides]	PRW33303.1 mediator of RNA polymerase II transcription subunit 31 [Chlorella sorokiniana]
OG0002518	RMZ53137.1 hypothetical protein APUTEX25_005126 [Auxenochlorella protothecoides]	PRW57124.1 DNA replication licensing factor MCM7 [Chlorella sorokiniana]
OG0002519	RMZ53138.1 hypothetical protein APUTEX25_005127_ partial [Auxenochlorella protothecoides]	PRW60079.1 putative serine threonine- kinase GCN2 isoform X2 [Chlorella sorokiniana]
OG0002520	RMZ53155.1 hypothetical protein APUTEX25_005144 [Auxenochlorella protothecoides]	PRW44450.1 ankyrin repeat [Chlorella sorokiniana]
OG0002521	RMZ53157.1 hypothetical protein APUTEX25_005146 [Auxenochlorella protothecoides]	PRW05774.1 metal ABC transporter permease isoform B [Chlorella sorokiniana], PRW05775.1 metal ABC transporter permease isoform A [Chlorella sorokiniana]
OG0002522	RMZ53160.1 hypothetical protein APUTEX25_005149_ partial [Auxenochlorella protothecoides]	PRW39363.1 50S ribosomal L22-like isoform X2 isoform A [Chlorella sorokiniana], PRW39364.1 50S ribosomal L22-like isoform X2 isoform B [Chlorella sorokiniana]
OG0002523	RMZ53164.1 hypothetical protein APUTEX25_005153 [Auxenochlorella protothecoides]	PRW05791.1 mitotic checkpoint serine threonine- kinase BUB1 [Chlorella sorokiniana]
OG0002524	RMZ53166.1 hypothetical protein APUTEX25_005155 [Auxenochlorella protothecoides]	PRW57355.1 60S ribosomal L44 [Chlorella sorokiniana]
OG0002525	RMZ53174.1 hypothetical protein APUTEX25_005163 [Auxenochlorella protothecoides]	PRW44303.1 dimethyladenosine transferase [Chlorella sorokiniana]
OG0002526	RMZ53176.1 hypothetical protein APUTEX25_005165 [Auxenochlorella protothecoides]	PRW60825.1 ribosome-recycling chloroplastic [Chlorella sorokiniana]
OG0002527	RMZ53179.1 hypothetical protein APUTEX25_005168 [Auxenochlorella protothecoides]	PRW56977.1 WD-40 repeat-containing MSI1 [Chlorella sorokiniana]
OG0002528	RMZ53180.1 hypothetical protein APUTEX25_005169 [Auxenochlorella protothecoides]	PRW59961.1 DEAD DEAH box helicase [Chlorella sorokiniana]
OG0002529	RMZ53185.1 hypothetical protein APUTEX25_005174_ partial [Auxenochlorella protothecoides]	PRW57121.1 CHROMATIN REMODELING 8 [Chlorella sorokiniana]
OG0002530	RMZ53189.1 hypothetical protein APUTEX25_005178_ partial [Auxenochlorella protothecoides]	PRW57401.1 aarF domain-containing kinase 4 [Chlorella sorokiniana]
OG0002531	RMZ53215.1 hypothetical protein APUTEX25_005204 [Auxenochlorella protothecoides]	PRW44523.1 DNAJ heat shock N-terminal domain-containing [Chlorella sorokiniana]
OG0002532	RMZ53217.1 hypothetical protein APUTEX25_005206_ partial [Auxenochlorella protothecoides]	PRW44349.1 thioredoxin-disulfide reductase [Chlorella sorokiniana]
OG0002533	RMZ53228.1 hypothetical protein APUTEX25_005217 [Auxenochlorella protothecoides]	PRW61313.1 beta-catenin 1 [Chlorella sorokiniana]
OG0002534	RMZ53237.1 hypothetical protein APUTEX25_005226 [Auxenochlorella protothecoides]	PRW61557.1 Dicarboxylate transporter chloroplastic [Chlorella sorokiniana]
OG0002535	RMZ53246.1 hypothetical protein APUTEX25_005235 [Auxenochlorella protothecoides]	PRW60170.1 proteasome subunit beta type-2-A [Chlorella sorokiniana]
OG0002536	RMZ53250.1 hypothetical protein APUTEX25_005239 [Auxenochlorella protothecoides]	PRW44323.1 26S protease regulatory subunit 6A-like protein [Chlorella sorokiniana]
OG0002537	RMZ56917.1 hypothetical protein APUTEX25_004979 [Auxenochlorella protothecoides], RMZ55247.1 hypothetical protein APUTEX25_005525 [Auxenochlorella protothecoides], RMZ53257.1 hypothetical protein APUTEX25_005246 [Auxenochlorella protothecoides]	PRW57404.1 cytochrome c heme lyase [Chlorella sorokiniana]
OG0002538	RMZ53260.1 hypothetical protein APUTEX25_005249 [Auxenochlorella protothecoides]	PRW57439.1 DNA replication factor C complex subunit 3 [Chlorella sorokiniana]
OG0002539	RMZ53272.1 hypothetical protein APUTEX25_005261 [Auxenochlorella protothecoides]	PRW60799.1 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13-B [Chlorella sorokiniana]
OG0002540	RMZ53275.1 hypothetical protein APUTEX25_005264 [Auxenochlorella protothecoides]	PRW59453.1 hypothetical protein C2E21_1555 [Chlorella sorokiniana]
OG0002541	RMZ53277.1 hypothetical protein APUTEX25_005266 [Auxenochlorella protothecoides]	PRW59543.1 14-3-3 protein [Chlorella sorokiniana]
OG0002542	RMZ53282.1 hypothetical protein APUTEX25_005271 [Auxenochlorella protothecoides]	PRW33133.1 Long-chain-fatty-acid- ligase 15 [Chlorella sorokiniana]
OG0002543	RMZ53291.1 hypothetical protein APUTEX25_004779 [Auxenochlorella protothecoides]	PRW57156.1 asparagine synthetase [Chlorella sorokiniana]
OG0002544	RMZ53296.1 hypothetical protein APUTEX25_004784_ partial [Auxenochlorella protothecoides]	PRW61020.1 ADP_ATP carrier chloroplastic [Chlorella sorokiniana]
OG0002545	RMZ53300.1 hypothetical protein APUTEX25_004788 [Auxenochlorella protothecoides]	PRW59111.1 L-arabinokinase-like isoform X2 [Chlorella sorokiniana]
OG0002546	RMZ53309.1 hypothetical protein APUTEX25_004797 [Auxenochlorella protothecoides]	PRW61241.1 ATP-dependent DNA helicase Q-like 4A isoform X3 [Chlorella sorokiniana]
OG0002547	RMZ53313.1 hypothetical protein APUTEX25_004801 [Auxenochlorella protothecoides]	PRW57521.1 30S ribosomal chloroplastic [Chlorella sorokiniana]
OG0002548	RMZ53315.1 hypothetical protein APUTEX25_004803 [Auxenochlorella protothecoides]	PRW56925.1 ATP-dependent DNA helicase [Chlorella sorokiniana]
OG0002549	RMZ53319.1 hypothetical protein APUTEX25_004807 [Auxenochlorella protothecoides]	PRW57537.1 50S ribosomal L3- chloroplastic [Chlorella sorokiniana]
OG0002550	RMZ53322.1 hypothetical protein APUTEX25_004810 [Auxenochlorella protothecoides]	PRW61158.1 GTPase Der [Chlorella sorokiniana]
OG0002551	RMZ53329.1 hypothetical protein APUTEX25_004817 [Auxenochlorella protothecoides]	PRW61003.1 Peptidyl-prolyl cis-trans isomerase-like 4 [Chlorella sorokiniana]
OG0002552	RMZ53331.1 hypothetical protein APUTEX25_004819_ partial [Auxenochlorella protothecoides]	PRW60895.1 ion channel [Chlorella sorokiniana]
OG0002553	RMZ53339.1 hypothetical protein APUTEX25_004827 [Auxenochlorella protothecoides]	PRW58821.1 charged multivesicular body 5-like [Chlorella sorokiniana]
OG0002554	RMZ53345.1 hypothetical protein APUTEX25_004833_ partial [Auxenochlorella protothecoides]	PRW61325.1 DNA polymerase V [Chlorella sorokiniana]
OG0002555	RMZ53348.1 hypothetical protein APUTEX25_004836 [Auxenochlorella protothecoides]	PRW60946.1 Wee1 kinase [Chlorella sorokiniana]
OG0002556	RMZ53352.1 hypothetical protein APUTEX25_004840 [Auxenochlorella protothecoides]	PRW55926.1 LOW PSII ACCUMULATION chloroplastic [Chlorella sorokiniana]
OG0002557	RMZ53353.1 hypothetical protein APUTEX25_004841 [Auxenochlorella protothecoides]	PRW60956.1 Ubiquitin-conjugating enzyme E2 7 [Chlorella sorokiniana]
OG0002558	RMZ53372.1 hypothetical protein APUTEX25_004860 [Auxenochlorella protothecoides]	PRW58834.1 psbP domain-containing chloroplastic [Chlorella sorokiniana]
OG0002559	RMZ53387.1 hypothetical protein APUTEX25_004875 [Auxenochlorella protothecoides]	PRW59273.1 Lysophosphatidic acid phosphatase type 6 [Chlorella sorokiniana]
OG0002560	RMZ53403.1 hypothetical protein APUTEX25_004891_ partial [Auxenochlorella protothecoides]	PRW32617.1 sugar ABC transporter ATP-binding [Chlorella sorokiniana], PRW50974.1 hypothetical protein C2E21_5525 [Chlorella sorokiniana], PRW58984.1 hypothetical protein C2E21_2559 [Chlorella sorokiniana], PRW45587.1 hypothetical protein C2E21_5794 [Chlorella sorokiniana], PRW57588.1 hypothetical protein C2E21_3389 [Chlorella sorokiniana]
OG0002561	RMZ53420.1 hypothetical protein APUTEX25_004908_ partial [Auxenochlorella protothecoides]	PRW61086.1 mitochondrial import receptor subunit TOM40-1-like [Chlorella sorokiniana]
OG0002562	RMZ53423.1 hypothetical protein APUTEX25_004911 [Auxenochlorella protothecoides]	PRW60231.1 ribosomal RNA methyltransferase mitochondrial isoform X1 [Chlorella sorokiniana]
OG0002563	RMZ53426.1 hypothetical protein APUTEX25_004914 [Auxenochlorella protothecoides]	PRW61337.1 zinc finger CCCH domain-containing 69-like [Chlorella sorokiniana]
OG0002564	RMZ53442.1 hypothetical protein APUTEX25_004930 [Auxenochlorella protothecoides]	PRW57071.1 serine threonine- kinase ATM isoform X2 [Chlorella sorokiniana]
OG0002565	RMZ53444.1 hypothetical protein APUTEX25_004932 [Auxenochlorella protothecoides]	PRW57518.1 G10 family [Chlorella sorokiniana]
OG0002566	RMZ53463.1 hypothetical protein APUTEX25_003285_ partial [Auxenochlorella protothecoides]	PRW56768.1 LTV1-like protein [Chlorella sorokiniana]
OG0002567	RMZ53478.1 hypothetical protein APUTEX25_003300_ partial [Auxenochlorella protothecoides]	PRW56428.1 transmembrane 184C-like isoform X1 [Chlorella sorokiniana]
OG0002568	RMZ53481.1 hypothetical protein APUTEX25_003303 [Auxenochlorella protothecoides]	PRW33215.1 Retinoblastoma-binding 5 [Chlorella sorokiniana], PRW33201.1 hypothetical protein C2E21_7735 [Chlorella sorokiniana]
OG0002569	RMZ53490.1 hypothetical protein APUTEX25_003312 [Auxenochlorella protothecoides]	PRW56451.1 GTP-binding 1 [Chlorella sorokiniana]
OG0002570	RMZ53500.1 hypothetical protein APUTEX25_003322_ partial [Auxenochlorella protothecoides]	PRW59920.1 Nucleolar 16 [Chlorella sorokiniana]
OG0002571	RMZ53524.1 hypothetical protein APUTEX25_003346_ partial [Auxenochlorella protothecoides]	PRW33298.1 E2F family transcription factor [Chlorella sorokiniana]
OG0002572	RMZ53557.1 hypothetical protein APUTEX25_003379_ partial [Auxenochlorella protothecoides]	PRW33295.1 metaxin 1 [Chlorella sorokiniana]
OG0002573	RMZ53571.1 hypothetical protein APUTEX25_003393 [Auxenochlorella protothecoides]	PRW33225.1 outer dynein arm-docking complex subunit 1 [Chlorella sorokiniana]
OG0002574	RMZ53576.1 hypothetical protein APUTEX25_003398_ partial [Auxenochlorella protothecoides]	PRW20477.1 DNA polymerase epsilon catalytic subunit A [Chlorella sorokiniana]
OG0002575	RMZ53584.1 hypothetical protein APUTEX25_003406 [Auxenochlorella protothecoides]	PRW60230.1 60S ribosomal L27a-3 [Chlorella sorokiniana]
OG0002576	RMZ53585.1 hypothetical protein APUTEX25_003407 [Auxenochlorella protothecoides]	PRW57637.1 hypothetical protein C2E21_3375 [Chlorella sorokiniana], PRW58040.1 hypothetical protein C2E21_3378 [Chlorella sorokiniana]
OG0002577	RMZ53593.1 hypothetical protein APUTEX25_003415_ partial [Auxenochlorella protothecoides]	PRW56747.1 40S ribosomal X isoform [Chlorella sorokiniana]
OG0002578	RMZ53606.1 hypothetical protein APUTEX25_003140 [Auxenochlorella protothecoides]	PRW61612.1 tRNA _guanine-N_7_-_-methyltransferase non-catalytic subunit wdr4 [Chlorella sorokiniana]
OG0002579	RMZ53611.1 hypothetical protein APUTEX25_003145_ partial [Auxenochlorella protothecoides]	PRW58270.1 histone acetyltransferase MCC1-like [Chlorella sorokiniana]
OG0002580	RMZ53616.1 hypothetical protein APUTEX25_003150 [Auxenochlorella protothecoides]	PRW56101.1 NADP-dependent malic enzyme [Chlorella sorokiniana]
OG0002581	RMZ53622.1 hypothetical protein APUTEX25_003156 [Auxenochlorella protothecoides]	PRW05881.1 Mitochondrial import inner membrane translocase subunit TIM10 [Chlorella sorokiniana]
OG0002582	RMZ53624.1 hypothetical protein APUTEX25_003158 [Auxenochlorella protothecoides]	PRW61320.1 fatty-acid-binding 1 [Chlorella sorokiniana]
OG0002583	RMZ53631.1 hypothetical protein APUTEX25_003165_ partial [Auxenochlorella protothecoides], RMZ53630.1 hypothetical protein APUTEX25_003164 [Auxenochlorella protothecoides]	PRW56894.1 autophagy-related 2 [Chlorella sorokiniana]
OG0002584	RMZ53634.1 hypothetical protein APUTEX25_003168 [Auxenochlorella protothecoides]	PRW61490.1 K_+_ efflux antiporter chloroplastic-like [Chlorella sorokiniana]
OG0002586	RMZ53657.1 hypothetical protein APUTEX25_003191_ partial [Auxenochlorella protothecoides]	PRW56206.1 DNA repair REV1 isoform X1 [Chlorella sorokiniana]
OG0002587	RMZ53671.1 hypothetical protein APUTEX25_003205 [Auxenochlorella protothecoides]	PRW61501.1 Arogenate dehydratase prephenate dehydratase chloroplastic [Chlorella sorokiniana], PRW61427.1 arogenate prephenate dehydratase [Chlorella sorokiniana]
OG0002589	RMZ53681.1 hypothetical protein APUTEX25_003215 [Auxenochlorella protothecoides]	PRW45343.1 serine protease [Chlorella sorokiniana]
OG0002590	RMZ53688.1 hypothetical protein APUTEX25_003222_ partial [Auxenochlorella protothecoides]	PRW60108.1 pyruvate dehydrogenase E1 beta subunit [Chlorella sorokiniana]
OG0002591	RMZ53690.1 hypothetical protein APUTEX25_003224 [Auxenochlorella protothecoides]	PRW50770.1 hypothetical protein C2E21_5640 [Chlorella sorokiniana]
OG0002592	RMZ53698.1 hypothetical protein APUTEX25_003232 [Auxenochlorella protothecoides]	PRW61412.1 developmentally-regulated G- 3 [Chlorella sorokiniana]
OG0002593	RMZ53700.1 hypothetical protein APUTEX25_003234 [Auxenochlorella protothecoides]	PRW61390.1 ER membrane complex subunit 8 9-like protein [Chlorella sorokiniana]
OG0002594	RMZ53727.1 hypothetical protein APUTEX25_003261 [Auxenochlorella protothecoides]	PRW61187.1 X-linked retinitis pigmentosa GTPase regulator-interacting 1 [Chlorella sorokiniana]
OG0002595	RMZ53755.1 hypothetical protein APUTEX25_003894 [Auxenochlorella protothecoides]	PRW20998.1 long chain base biosynthesis 1-like [Chlorella sorokiniana]
OG0002596	RMZ53761.1 hypothetical protein APUTEX25_003900 [Auxenochlorella protothecoides]	PRW21109.1 malate dehydrogenase [Chlorella sorokiniana]
OG0002597	RMZ53766.1 hypothetical protein APUTEX25_003905 [Auxenochlorella protothecoides]	PRW20426.1 methylcrotonoyl- carboxylase [Chlorella sorokiniana]
OG0002598	RMZ53767.1 hypothetical protein APUTEX25_003906 [Auxenochlorella protothecoides]	PRW59376.1 betaine aldehyde dehydrogenase isoform B [Chlorella sorokiniana], PRW59377.1 betaine aldehyde dehydrogenase isoform A [Chlorella sorokiniana]
OG0002599	RMZ53770.1 hypothetical protein APUTEX25_003909_ partial [Auxenochlorella protothecoides]	PRW20428.1 proteasome activator subunit 4 [Chlorella sorokiniana]
OG0002600	RMZ53777.1 hypothetical protein APUTEX25_003916 [Auxenochlorella protothecoides]	PRW56266.1 ribonuclease III [Chlorella sorokiniana]
OG0002601	RMZ53798.1 hypothetical protein APUTEX25_003937 [Auxenochlorella protothecoides]	PRW55982.1 Inositol monophosphatase 3 [Chlorella sorokiniana]
OG0002602	RMZ53799.1 hypothetical protein APUTEX25_003938_ partial [Auxenochlorella protothecoides]	PRW59240.1 ATPase associated with various cellular activities AAA_5 [Chlorella sorokiniana]
OG0002603	RMZ53804.1 hypothetical protein APUTEX25_003943_ partial [Auxenochlorella protothecoides]	PRW20651.1 DNA mismatch repair Mlh1 isoform X1 [Chlorella sorokiniana]
OG0002605	RMZ53827.1 hypothetical protein APUTEX25_003966 [Auxenochlorella protothecoides]	PRW18357.1 Alcohol dehydrogenase [NADP_+_] [Chlorella sorokiniana], PRW21059.1 Alcohol dehydrogenase [NADP_+_] [Chlorella sorokiniana]
OG0002606	RMZ53844.1 hypothetical protein APUTEX25_005590 [Auxenochlorella protothecoides]	PRW18294.1 DEAD-box ATP-dependent RNA helicase 50 [Chlorella sorokiniana]
OG0002607	RMZ53848.1 hypothetical protein APUTEX25_005594 [Auxenochlorella protothecoides]	PRW45199.1 carboxylic ester hydrolase [Chlorella sorokiniana]
OG0002608	RMZ53849.1 hypothetical protein APUTEX25_005595 [Auxenochlorella protothecoides]	PRW44889.1 OTU domain-containing 3 isoform X1 [Chlorella sorokiniana]
OG0002609	RMZ53852.1 hypothetical protein APUTEX25_005598 [Auxenochlorella protothecoides]	PRW59931.1 nucleotide release factor [Chlorella sorokiniana]
OG0002610	RMZ53853.1 hypothetical protein APUTEX25_005599 [Auxenochlorella protothecoides]	PRW33671.1 UPF0553 -like [Chlorella sorokiniana]
OG0002611	RMZ53856.1 hypothetical protein APUTEX25_005602_ partial [Auxenochlorella protothecoides]	PRW59895.1 N-terminal acetyltransferase complex C component MAK3 [Chlorella sorokiniana]
OG0002612	RMZ53859.1 hypothetical protein APUTEX25_005605 [Auxenochlorella protothecoides]	PRW45011.1 phosphatidylinositol 3- and 4-kinase family [Chlorella sorokiniana]
OG0002613	RMZ53863.1 hypothetical protein APUTEX25_005609 [Auxenochlorella protothecoides]	PRW59628.1 UPF0603 chloroplastic [Chlorella sorokiniana]
OG0002614	RMZ53866.1 hypothetical protein APUTEX25_005612_ partial [Auxenochlorella protothecoides]	PRW20561.1 T-complex 1 subunit epsilon [Chlorella sorokiniana]
OG0002615	RMZ53870.1 hypothetical protein APUTEX25_005616_ partial [Auxenochlorella protothecoides]	PRW20579.1 biotin-- ligase 2-like [Chlorella sorokiniana]
OG0002616	RMZ53872.1 hypothetical protein APUTEX25_005618 [Auxenochlorella protothecoides]	PRW45090.1 long chain base biosynthesis 2a [Chlorella sorokiniana]
