Orthogroup	Chlorella_Vulgaris2111P	Auxenochlorella_protothecoides
OG0002631	KAI3437605.1 hypothetical protein D9Q98_000057 [Chlorella vulgaris]	RMZ54017.1 hypothetical protein APUTEX25_002594 [Auxenochlorella protothecoides]
OG0002632	KAI3426433.1 hypothetical protein D9Q98_008801 [Chlorella vulgaris]	RMZ54018.1 hypothetical protein APUTEX25_002595_ partial [Auxenochlorella protothecoides]
OG0002633	KAI3438579.1 hypothetical protein D9Q98_001004 [Chlorella vulgaris]	RMZ54028.1 hypothetical protein APUTEX25_002605 [Auxenochlorella protothecoides]
OG0002634	KAI3426954.1 hypothetical protein D9Q98_006898 [Chlorella vulgaris]	RMZ54029.1 hypothetical protein APUTEX25_002606 [Auxenochlorella protothecoides]
OG0002635	KAI3429702.1 hypothetical protein D9Q98_005787 [Chlorella vulgaris]	RMZ54039.1 hypothetical protein APUTEX25_002616 [Auxenochlorella protothecoides]
OG0002636	KAI3432869.1 hypothetical protein D9Q98_010452 [Chlorella vulgaris]	RMZ54052.1 hypothetical protein APUTEX25_002629 [Auxenochlorella protothecoides]
OG0002637	KAI3426946.1 hypothetical protein D9Q98_006890 [Chlorella vulgaris]	RMZ54057.1 hypothetical protein APUTEX25_002634 [Auxenochlorella protothecoides]
OG0002638	KAI3431574.1 hypothetical protein D9Q98_004624 [Chlorella vulgaris]	RMZ54060.1 hypothetical protein APUTEX25_002637 [Auxenochlorella protothecoides]
OG0002639	KAI3426157.1 hypothetical protein D9Q98_008534 [Chlorella vulgaris]	RMZ54063.1 hypothetical protein APUTEX25_002640 [Auxenochlorella protothecoides]
OG0002640	KAI3432459.1 hypothetical protein D9Q98_004008 [Chlorella vulgaris]	RMZ54070.1 hypothetical protein APUTEX25_002647 [Auxenochlorella protothecoides]
OG0002641	KAI3431569.1 hypothetical protein D9Q98_004619 [Chlorella vulgaris]	RMZ54078.1 hypothetical protein APUTEX25_002655 [Auxenochlorella protothecoides]
OG0002642	KAI3429589.1 hypothetical protein D9Q98_005675 [Chlorella vulgaris]	RMZ54081.1 hypothetical protein APUTEX25_002658 [Auxenochlorella protothecoides]
OG0002643	KAI3426323.1 hypothetical protein D9Q98_008696 [Chlorella vulgaris]	RMZ54084.1 hypothetical protein APUTEX25_002661 [Auxenochlorella protothecoides]
OG0002644	KAI3436196.1 hypothetical protein D9Q98_002251 [Chlorella vulgaris]	RMZ54103.1 hypothetical protein APUTEX25_002680_ partial [Auxenochlorella protothecoides]
OG0002645	KAI3429672.1 hypothetical protein D9Q98_005757 [Chlorella vulgaris]	RMZ54113.1 hypothetical protein APUTEX25_002690 [Auxenochlorella protothecoides]
OG0002646	KAI3432855.1 hypothetical protein D9Q98_010438 [Chlorella vulgaris]	RMZ54116.1 hypothetical protein APUTEX25_002693_ partial [Auxenochlorella protothecoides]
OG0002647	KAI3424165.1 hypothetical protein D9Q98_009524 [Chlorella vulgaris]	RMZ54125.1 hypothetical protein APUTEX25_005281 [Auxenochlorella protothecoides]
OG0002648	KAI3425165.1 hypothetical protein D9Q98_008936 [Chlorella vulgaris]	RMZ54131.1 hypothetical protein APUTEX25_005287_ partial [Auxenochlorella protothecoides]
OG0002649	KAI3426841.1 hypothetical protein D9Q98_006787 [Chlorella vulgaris]	RMZ54132.1 hypothetical protein APUTEX25_005288 [Auxenochlorella protothecoides]
OG0002650	KAI3426859.1 hypothetical protein D9Q98_006805 [Chlorella vulgaris]	RMZ54133.1 hypothetical protein APUTEX25_005289 [Auxenochlorella protothecoides]
OG0002651	KAI3426226.1 hypothetical protein D9Q98_008602 [Chlorella vulgaris]	RMZ54142.1 hypothetical protein APUTEX25_005298 [Auxenochlorella protothecoides]
OG0002652	KAI3426219.1 hypothetical protein D9Q98_008595 [Chlorella vulgaris]	RMZ54147.1 hypothetical protein APUTEX25_005303 [Auxenochlorella protothecoides]
OG0002653	KAI3425174.1 hypothetical protein D9Q98_008944 [Chlorella vulgaris]	RMZ54149.1 hypothetical protein APUTEX25_005305 [Auxenochlorella protothecoides]
OG0002654	KAI3426231.1 hypothetical protein D9Q98_008607 [Chlorella vulgaris]	RMZ54158.1 hypothetical protein APUTEX25_005314 [Auxenochlorella protothecoides]
OG0002655	KAI3426892.1 hypothetical protein D9Q98_006836 [Chlorella vulgaris]	RMZ54168.1 hypothetical protein APUTEX25_005324 [Auxenochlorella protothecoides]
OG0002656	KAI3431516.1 hypothetical protein D9Q98_004566 [Chlorella vulgaris]	RMZ54169.1 hypothetical protein APUTEX25_005325 [Auxenochlorella protothecoides]
OG0002657	KAI3426218.1 hypothetical protein D9Q98_008594 [Chlorella vulgaris]	RMZ54174.1 hypothetical protein APUTEX25_005330 [Auxenochlorella protothecoides]
OG0002658	KAI3426893.1 hypothetical protein D9Q98_006837 [Chlorella vulgaris]	RMZ54186.1 hypothetical protein APUTEX25_005342_ partial [Auxenochlorella protothecoides]
OG0002659	KAI3424166.1 hypothetical protein D9Q98_009525 [Chlorella vulgaris]	RMZ54187.1 hypothetical protein APUTEX25_005343 [Auxenochlorella protothecoides]
OG0002660	KAI3426862.1 hypothetical protein D9Q98_006808 [Chlorella vulgaris]	RMZ54201.1 hypothetical protein APUTEX25_005357 [Auxenochlorella protothecoides]
OG0002661	KAI3427261.1 hypothetical protein D9Q98_007194 [Chlorella vulgaris]	RMZ54218.1 hypothetical protein APUTEX25_005374_ partial [Auxenochlorella protothecoides]
OG0002662	KAI3426220.1 hypothetical protein D9Q98_008596 [Chlorella vulgaris]	RMZ54219.1 hypothetical protein APUTEX25_005375 [Auxenochlorella protothecoides], RMZ57838.1 hypothetical protein APUTEX25_005586_ partial [Auxenochlorella protothecoides]
OG0002663	KAI3430727.1 hypothetical protein D9Q98_005313 [Chlorella vulgaris]	RMZ54225.1 hypothetical protein APUTEX25_000576 [Auxenochlorella protothecoides]
OG0002664	KAI3430693.1 hypothetical protein D9Q98_005282 [Chlorella vulgaris]	RMZ54233.1 hypothetical protein APUTEX25_000584 [Auxenochlorella protothecoides]
OG0002665	KAI3430672.1 hypothetical protein D9Q98_005263 [Chlorella vulgaris]	RMZ54241.1 hypothetical protein APUTEX25_000592 [Auxenochlorella protothecoides]
OG0002666	KAI3424379.1 hypothetical protein D9Q98_009932 [Chlorella vulgaris]	RMZ55102.1 hypothetical protein APUTEX25_000001_ partial [Auxenochlorella protothecoides], RMZ54243.1 hypothetical protein APUTEX25_000594_ partial [Auxenochlorella protothecoides]
OG0002667	KAI3430709.1 hypothetical protein D9Q98_005297 [Chlorella vulgaris]	RMZ54259.1 hypothetical protein APUTEX25_000610 [Auxenochlorella protothecoides]
OG0002668	KAI3430993.1 hypothetical protein D9Q98_009396 [Chlorella vulgaris], KAI3430994.1 hypothetical protein D9Q98_009396 [Chlorella vulgaris]	RMZ54264.1 hypothetical protein APUTEX25_000615 [Auxenochlorella protothecoides]
OG0002669	KAI3430691.1 hypothetical protein D9Q98_005280 [Chlorella vulgaris]	RMZ54266.1 hypothetical protein APUTEX25_000617 [Auxenochlorella protothecoides]
OG0002670	KAI3424363.1 hypothetical protein D9Q98_009916 [Chlorella vulgaris]	RMZ54272.1 hypothetical protein APUTEX25_000623 [Auxenochlorella protothecoides]
OG0002671	KAI3436376.1 hypothetical protein D9Q98_002429 [Chlorella vulgaris], KAI3436375.1 hypothetical protein D9Q98_002428 [Chlorella vulgaris]	RMZ54277.1 hypothetical protein APUTEX25_001435 [Auxenochlorella protothecoides]
OG0002672	KAI3431506.1 hypothetical protein D9Q98_004556 [Chlorella vulgaris]	RMZ54278.1 hypothetical protein APUTEX25_001436 [Auxenochlorella protothecoides]
OG0002673	KAI3436318.1 hypothetical protein D9Q98_002371 [Chlorella vulgaris]	RMZ54286.1 hypothetical protein APUTEX25_001444 [Auxenochlorella protothecoides]
OG0002674	KAI3436340.1 hypothetical protein D9Q98_002393 [Chlorella vulgaris]	RMZ54304.1 hypothetical protein APUTEX25_001462 [Auxenochlorella protothecoides]
OG0002675	KAI3436191.1 hypothetical protein D9Q98_002246 [Chlorella vulgaris]	RMZ54316.1 hypothetical protein APUTEX25_001474 [Auxenochlorella protothecoides]
OG0002676	KAI3436194.1 hypothetical protein D9Q98_002249 [Chlorella vulgaris]	RMZ54322.1 hypothetical protein APUTEX25_001480 [Auxenochlorella protothecoides]
OG0002677	KAI3436315.1 hypothetical protein D9Q98_002368 [Chlorella vulgaris]	RMZ54323.1 hypothetical protein APUTEX25_001481 [Auxenochlorella protothecoides]
OG0002678	KAI3436343.1 hypothetical protein D9Q98_002396 [Chlorella vulgaris]	RMZ54329.1 hypothetical protein APUTEX25_001487_ partial [Auxenochlorella protothecoides]
OG0002679	KAI3436331.1 hypothetical protein D9Q98_002384 [Chlorella vulgaris]	RMZ54334.1 hypothetical protein APUTEX25_001492_ partial [Auxenochlorella protothecoides]
OG0002680	KAI3436312.1 hypothetical protein D9Q98_002365 [Chlorella vulgaris]	RMZ54338.1 hypothetical protein APUTEX25_001496 [Auxenochlorella protothecoides]
OG0002681	KAI3437602.1 hypothetical protein D9Q98_000055 [Chlorella vulgaris], KAI3437603.1 hypothetical protein D9Q98_000055 [Chlorella vulgaris]	RMZ54346.1 hypothetical protein APUTEX25_001922 [Auxenochlorella protothecoides]
OG0002682	KAI3431665.1 hypothetical protein D9Q98_004712 [Chlorella vulgaris]	RMZ54350.1 hypothetical protein APUTEX25_001926 [Auxenochlorella protothecoides]
OG0002683	KAI3431629.1 hypothetical protein D9Q98_004677 [Chlorella vulgaris]	RMZ54358.1 hypothetical protein APUTEX25_001934_ partial [Auxenochlorella protothecoides]
OG0002684	KAI3427138.1 hypothetical protein D9Q98_007075 [Chlorella vulgaris]	RMZ54360.1 hypothetical protein APUTEX25_001936 [Auxenochlorella protothecoides]
OG0002685	KAI3435717.1 hypothetical protein D9Q98_001775 [Chlorella vulgaris]	RMZ54363.1 hypothetical protein APUTEX25_001939 [Auxenochlorella protothecoides]
OG0002686	KAI3427172.1 hypothetical protein D9Q98_007109 [Chlorella vulgaris]	RMZ54370.1 hypothetical protein APUTEX25_001946 [Auxenochlorella protothecoides]
OG0002687	KAI3429465.1 hypothetical protein D9Q98_005557 [Chlorella vulgaris]	RMZ54376.1 hypothetical protein APUTEX25_001952_ partial [Auxenochlorella protothecoides]
OG0002688	KAI3431573.1 hypothetical protein D9Q98_004623 [Chlorella vulgaris]	RMZ54386.1 hypothetical protein APUTEX25_001962 [Auxenochlorella protothecoides]
OG0002690	KAI3431661.1 hypothetical protein D9Q98_004708 [Chlorella vulgaris]	RMZ54394.1 hypothetical protein APUTEX25_001970 [Auxenochlorella protothecoides]
OG0002691	KAI3426291.1 hypothetical protein D9Q98_008664 [Chlorella vulgaris]	RMZ54397.1 hypothetical protein APUTEX25_001973 [Auxenochlorella protothecoides]
OG0002692	KAI3431670.1 hypothetical protein D9Q98_004717 [Chlorella vulgaris]	RMZ54404.1 hypothetical protein APUTEX25_001980 [Auxenochlorella protothecoides]
OG0002693	KAI3433441.1 hypothetical protein D9Q98_003255 [Chlorella vulgaris]	RMZ54409.1 hypothetical protein APUTEX25_001985 [Auxenochlorella protothecoides]
OG0002694	KAI3431616.1 hypothetical protein D9Q98_004665 [Chlorella vulgaris]	RMZ54415.1 hypothetical protein APUTEX25_001991_ partial [Auxenochlorella protothecoides]
OG0002695	KAI3429553.1 hypothetical protein D9Q98_005641 [Chlorella vulgaris]	RMZ54416.1 hypothetical protein APUTEX25_001992 [Auxenochlorella protothecoides]
OG0002696	KAI3427394.1 hypothetical protein D9Q98_010309 [Chlorella vulgaris]	RMZ54422.1 hypothetical protein APUTEX25_001998_ partial [Auxenochlorella protothecoides]
OG0002697	KAI3429406.1 hypothetical protein D9Q98_005501 [Chlorella vulgaris]	RMZ54430.1 hypothetical protein APUTEX25_002006_ partial [Auxenochlorella protothecoides]
OG0002698	KAI3435694.1 hypothetical protein D9Q98_001752 [Chlorella vulgaris]	RMZ54431.1 hypothetical protein APUTEX25_002007 [Auxenochlorella protothecoides]
OG0002699	KAI3431690.1 hypothetical protein D9Q98_004736 [Chlorella vulgaris]	RMZ54434.1 hypothetical protein APUTEX25_002010_ partial [Auxenochlorella protothecoides]
OG0002700	KAI3423847.1 hypothetical protein D9Q98_009682 [Chlorella vulgaris]	RMZ54437.1 hypothetical protein APUTEX25_002013 [Auxenochlorella protothecoides]
OG0002701	KAI3437665.1 hypothetical protein D9Q98_000115 [Chlorella vulgaris]	RMZ54439.1 hypothetical protein APUTEX25_002015 [Auxenochlorella protothecoides]
OG0002702	KAI3428477.1 hypothetical protein D9Q98_007302 [Chlorella vulgaris]	RMZ54446.1 hypothetical protein APUTEX25_002022_ partial [Auxenochlorella protothecoides]
OG0002703	KAI3427158.1 hypothetical protein D9Q98_007095 [Chlorella vulgaris]	RMZ54454.1 hypothetical protein APUTEX25_002030 [Auxenochlorella protothecoides]
OG0002704	KAI3429552.1 hypothetical protein D9Q98_005640 [Chlorella vulgaris]	RMZ54464.1 hypothetical protein APUTEX25_002040 [Auxenochlorella protothecoides]
OG0002705	KAI3433423.1 hypothetical protein D9Q98_003238 [Chlorella vulgaris]	RMZ54472.1 hypothetical protein APUTEX25_002048 [Auxenochlorella protothecoides]
OG0002706	KAI3437756.1 hypothetical protein D9Q98_000204 [Chlorella vulgaris]	RMZ54497.1 hypothetical protein APUTEX25_002073_ partial [Auxenochlorella protothecoides]
OG0002707	KAI3431663.1 hypothetical protein D9Q98_004710 [Chlorella vulgaris]	RMZ54499.1 hypothetical protein APUTEX25_002075_ partial [Auxenochlorella protothecoides]
OG0002708	KAI3427259.1 hypothetical protein D9Q98_007192 [Chlorella vulgaris]	RMZ54508.1 hypothetical protein APUTEX25_002084 [Auxenochlorella protothecoides]
OG0002709	KAI3437719.1 hypothetical protein D9Q98_000167 [Chlorella vulgaris]	RMZ54509.1 hypothetical protein APUTEX25_002085 [Auxenochlorella protothecoides]
OG0002710	KAI3423826.1 hypothetical protein D9Q98_009662 [Chlorella vulgaris]	RMZ54534.1 hypothetical protein APUTEX25_001706 [Auxenochlorella protothecoides]
OG0002711	KAI3433593.1 hypothetical protein D9Q98_003404 [Chlorella vulgaris]	RMZ54538.1 hypothetical protein APUTEX25_002113 [Auxenochlorella protothecoides]
OG0002712	KAI3433560.1 hypothetical protein D9Q98_003371 [Chlorella vulgaris]	RMZ54540.1 hypothetical protein APUTEX25_002115 [Auxenochlorella protothecoides]
OG0002713	KAI3427929.1 hypothetical protein D9Q98_006321 [Chlorella vulgaris]	RMZ54542.1 hypothetical protein APUTEX25_002117_ partial [Auxenochlorella protothecoides]
OG0002714	KAI3438753.1 hypothetical protein D9Q98_001172 [Chlorella vulgaris]	RMZ54550.1 hypothetical protein APUTEX25_002125 [Auxenochlorella protothecoides]
OG0002715	KAI3427921.1 hypothetical protein D9Q98_006313 [Chlorella vulgaris]	RMZ54570.1 hypothetical protein APUTEX25_002145_ partial [Auxenochlorella protothecoides]
OG0002716	KAI3431803.1 hypothetical protein D9Q98_010556 [Chlorella vulgaris]	RMZ54583.1 hypothetical protein APUTEX25_002169 [Auxenochlorella protothecoides]
OG0002717	KAI3431826.1 hypothetical protein D9Q98_010579 [Chlorella vulgaris], KAI3423130.1 hypothetical protein D9Q98_010686 [Chlorella vulgaris]	RMZ54588.1 hypothetical protein APUTEX25_002174 [Auxenochlorella protothecoides]
OG0002718	KAI3423976.1 hypothetical protein D9Q98_009810 [Chlorella vulgaris]	RMZ54596.1 hypothetical protein APUTEX25_002182 [Auxenochlorella protothecoides]
OG0002719	KAI3433404.1 hypothetical protein D9Q98_003220 [Chlorella vulgaris]	RMZ54597.1 hypothetical protein APUTEX25_002183 [Auxenochlorella protothecoides]
OG0002720	KAI3431753.1 hypothetical protein D9Q98_004795 [Chlorella vulgaris]	RMZ54605.1 hypothetical protein APUTEX25_002191_ partial [Auxenochlorella protothecoides]
OG0002721	KAI3433723.1 hypothetical protein D9Q98_003531 [Chlorella vulgaris]	RMZ54628.1 hypothetical protein APUTEX25_003006 [Auxenochlorella protothecoides]
OG0002722	KAI3430376.1 hypothetical protein D9Q98_004971 [Chlorella vulgaris]	RMZ54630.1 hypothetical protein APUTEX25_003008 [Auxenochlorella protothecoides]
OG0002723	KAI3430598.1 hypothetical protein D9Q98_005191 [Chlorella vulgaris]	RMZ54632.1 hypothetical protein APUTEX25_003010 [Auxenochlorella protothecoides]
OG0002724	KAI3430383.1 hypothetical protein D9Q98_004978 [Chlorella vulgaris]	RMZ54638.1 hypothetical protein APUTEX25_003016 [Auxenochlorella protothecoides]
OG0002725	KAI3430619.1 hypothetical protein D9Q98_005211 [Chlorella vulgaris]	RMZ54661.1 hypothetical protein APUTEX25_003039 [Auxenochlorella protothecoides]
OG0002726	KAI3430249.1 hypothetical protein D9Q98_004845 [Chlorella vulgaris]	RMZ54664.1 hypothetical protein APUTEX25_003042_ partial [Auxenochlorella protothecoides]
OG0002727	KAI3428220.1 hypothetical protein D9Q98_006600 [Chlorella vulgaris]	RMZ54672.1 hypothetical protein APUTEX25_003050_ partial [Auxenochlorella protothecoides]
OG0002728	KAI3430266.1 hypothetical protein D9Q98_004862 [Chlorella vulgaris]	RMZ54674.1 hypothetical protein APUTEX25_003052 [Auxenochlorella protothecoides]
OG0002730	KAI3430248.1 hypothetical protein D9Q98_004844 [Chlorella vulgaris]	RMZ54699.1 hypothetical protein APUTEX25_003077 [Auxenochlorella protothecoides]
OG0002731	KAI3430225.1 hypothetical protein D9Q98_004822 [Chlorella vulgaris]	RMZ54706.1 hypothetical protein APUTEX25_003084_ partial [Auxenochlorella protothecoides]
OG0002732	KAI3433742.1 hypothetical protein D9Q98_003549 [Chlorella vulgaris]	RMZ54715.1 hypothetical protein APUTEX25_003093 [Auxenochlorella protothecoides]
OG0002733	KAI3430271.1 hypothetical protein D9Q98_004867 [Chlorella vulgaris]	RMZ54719.1 hypothetical protein APUTEX25_003097_ partial [Auxenochlorella protothecoides]
OG0002734	KAI3430391.1 hypothetical protein D9Q98_004986 [Chlorella vulgaris]	RMZ54722.1 hypothetical protein APUTEX25_003100_ partial [Auxenochlorella protothecoides]
OG0002735	KAI3428224.1 hypothetical protein D9Q98_006604 [Chlorella vulgaris]	RMZ54723.1 hypothetical protein APUTEX25_003101_ partial [Auxenochlorella protothecoides]
OG0002736	KAI3430642.1 hypothetical protein D9Q98_005235 [Chlorella vulgaris]	RMZ54725.1 hypothetical protein APUTEX25_003103 [Auxenochlorella protothecoides]
OG0002737	KAI3433712.1 hypothetical protein D9Q98_003521 [Chlorella vulgaris]	RMZ54736.1 hypothetical protein APUTEX25_003114 [Auxenochlorella protothecoides]
OG0002738	KAI3433767.1 hypothetical protein D9Q98_003573 [Chlorella vulgaris], KAI3433766.1 hypothetical protein D9Q98_003573 [Chlorella vulgaris]	RMZ54749.1 hypothetical protein APUTEX25_003127 [Auxenochlorella protothecoides]
OG0002739	KAI3434921.1 hypothetical protein D9Q98_002975 [Chlorella vulgaris]	RMZ54756.1 hypothetical protein APUTEX25_000273 [Auxenochlorella protothecoides]
OG0002740	KAI3436413.1 hypothetical protein D9Q98_005830 [Chlorella vulgaris]	RMZ54757.1 hypothetical protein APUTEX25_000274 [Auxenochlorella protothecoides]
OG0002741	KAI3436483.1 hypothetical protein D9Q98_005900 [Chlorella vulgaris]	RMZ54761.1 hypothetical protein APUTEX25_000278 [Auxenochlorella protothecoides]
OG0002742	KAI3425765.1 hypothetical protein D9Q98_007740 [Chlorella vulgaris]	RMZ54768.1 hypothetical protein APUTEX25_000285 [Auxenochlorella protothecoides]
OG0002743	KAI3435670.1 hypothetical protein D9Q98_001728 [Chlorella vulgaris]	RMZ54770.1 hypothetical protein APUTEX25_000287 [Auxenochlorella protothecoides]
OG0002744	KAI3425828.1 hypothetical protein D9Q98_007803 [Chlorella vulgaris]	RMZ54778.1 hypothetical protein APUTEX25_000295 [Auxenochlorella protothecoides]
OG0002745	KAI3425309.1 hypothetical protein D9Q98_009074 [Chlorella vulgaris], KAI3425308.1 hypothetical protein D9Q98_009073 [Chlorella vulgaris]	RMZ54779.1 hypothetical protein APUTEX25_000296 [Auxenochlorella protothecoides]
OG0002746	KAI3426065.1 hypothetical protein D9Q98_008033 [Chlorella vulgaris]	RMZ54782.1 hypothetical protein APUTEX25_000299 [Auxenochlorella protothecoides]
OG0002747	KAI3425821.1 hypothetical protein D9Q98_007796 [Chlorella vulgaris]	RMZ54785.1 hypothetical protein APUTEX25_000302 [Auxenochlorella protothecoides]
OG0002748	KAI3436390.1 hypothetical protein D9Q98_005807 [Chlorella vulgaris]	RMZ54789.1 hypothetical protein APUTEX25_000306 [Auxenochlorella protothecoides]
OG0002749	KAI3424938.1 hypothetical protein D9Q98_008321 [Chlorella vulgaris]	RMZ54791.1 hypothetical protein APUTEX25_000308 [Auxenochlorella protothecoides]
OG0002750	KAI3435954.1 hypothetical protein D9Q98_002012 [Chlorella vulgaris]	RMZ54792.1 hypothetical protein APUTEX25_000309 [Auxenochlorella protothecoides]
OG0002751	KAI3436197.1 hypothetical protein D9Q98_002252 [Chlorella vulgaris]	RMZ54796.1 hypothetical protein APUTEX25_000313_ partial [Auxenochlorella protothecoides]
OG0002752	KAI3436839.1 hypothetical protein D9Q98_006249 [Chlorella vulgaris]	RMZ54799.1 hypothetical protein APUTEX25_000316_ partial [Auxenochlorella protothecoides]
OG0002753	KAI3425793.1 hypothetical protein D9Q98_007768 [Chlorella vulgaris]	RMZ54814.1 hypothetical protein APUTEX25_000331 [Auxenochlorella protothecoides]
OG0002754	KAI3436858.1 hypothetical protein D9Q98_006268 [Chlorella vulgaris]	RMZ54815.1 hypothetical protein APUTEX25_000332 [Auxenochlorella protothecoides]
OG0002755	KAI3424937.1 hypothetical protein D9Q98_008320 [Chlorella vulgaris]	RMZ54826.1 hypothetical protein APUTEX25_000343 [Auxenochlorella protothecoides]
OG0002756	KAI3436777.1 hypothetical protein D9Q98_006189 [Chlorella vulgaris]	RMZ54828.1 hypothetical protein APUTEX25_000345 [Auxenochlorella protothecoides]
OG0002757	KAI3424958.1 hypothetical protein D9Q98_008339 [Chlorella vulgaris]	RMZ54837.1 hypothetical protein APUTEX25_000354 [Auxenochlorella protothecoides]
OG0002758	KAI3427950.1 hypothetical protein D9Q98_006340 [Chlorella vulgaris]	RMZ54840.1 hypothetical protein APUTEX25_000357 [Auxenochlorella protothecoides]
OG0002759	KAI3435999.1 hypothetical protein D9Q98_002056 [Chlorella vulgaris]	RMZ54841.1 hypothetical protein APUTEX25_000358 [Auxenochlorella protothecoides]
OG0002760	KAI3427948.1 hypothetical protein D9Q98_006338 [Chlorella vulgaris]	RMZ54842.1 hypothetical protein APUTEX25_000359 [Auxenochlorella protothecoides]
OG0002761	KAI3435980.1 hypothetical protein D9Q98_002038 [Chlorella vulgaris]	RMZ54845.1 hypothetical protein APUTEX25_000362 [Auxenochlorella protothecoides]
OG0002762	KAI3436869.1 hypothetical protein D9Q98_006279 [Chlorella vulgaris]	RMZ54857.1 hypothetical protein APUTEX25_000374 [Auxenochlorella protothecoides]
OG0002763	KAI3434879.1 hypothetical protein D9Q98_002933 [Chlorella vulgaris]	RMZ54861.1 hypothetical protein APUTEX25_000378 [Auxenochlorella protothecoides]
OG0002764	KAI3436802.1 hypothetical protein D9Q98_006212 [Chlorella vulgaris]	RMZ54865.1 hypothetical protein APUTEX25_000382 [Auxenochlorella protothecoides]
OG0002765	KAI3425987.1 hypothetical protein D9Q98_007955 [Chlorella vulgaris]	RMZ54877.1 hypothetical protein APUTEX25_000394 [Auxenochlorella protothecoides]
OG0002766	KAI3436198.1 hypothetical protein D9Q98_002253 [Chlorella vulgaris], KAI3436199.1 hypothetical protein D9Q98_002253 [Chlorella vulgaris]	RMZ54878.1 hypothetical protein APUTEX25_000395 [Auxenochlorella protothecoides]
OG0002767	KAI3424330.1 hypothetical protein D9Q98_009883 [Chlorella vulgaris]	RMZ54879.1 hypothetical protein APUTEX25_000396 [Auxenochlorella protothecoides]
OG0002768	KAI3425758.1 hypothetical protein D9Q98_007733 [Chlorella vulgaris]	RMZ54880.1 hypothetical protein APUTEX25_000397 [Auxenochlorella protothecoides]
OG0002769	KAI3436808.1 hypothetical protein D9Q98_006218 [Chlorella vulgaris]	RMZ54887.1 hypothetical protein APUTEX25_000404 [Auxenochlorella protothecoides]
OG0002770	KAI3424350.1 hypothetical protein D9Q98_009903 [Chlorella vulgaris]	RMZ54891.1 hypothetical protein APUTEX25_000408 [Auxenochlorella protothecoides]
OG0002771	KAI3436776.1 hypothetical protein D9Q98_006188 [Chlorella vulgaris]	RMZ54896.1 hypothetical protein APUTEX25_000413 [Auxenochlorella protothecoides]
OG0002772	KAI3436485.1 hypothetical protein D9Q98_005902 [Chlorella vulgaris]	RMZ54911.1 hypothetical protein APUTEX25_000428 [Auxenochlorella protothecoides]
OG0002773	KAI3434883.1 hypothetical protein D9Q98_002937 [Chlorella vulgaris]	RMZ54915.1 hypothetical protein APUTEX25_000432 [Auxenochlorella protothecoides]
OG0002774	KAI3436859.1 hypothetical protein D9Q98_006269 [Chlorella vulgaris]	RMZ54919.1 hypothetical protein APUTEX25_000436_ partial [Auxenochlorella protothecoides]
OG0002775	KAI3424344.1 hypothetical protein D9Q98_009897 [Chlorella vulgaris]	RMZ54921.1 hypothetical protein APUTEX25_000438 [Auxenochlorella protothecoides]
OG0002776	KAI3436484.1 hypothetical protein D9Q98_005901 [Chlorella vulgaris]	RMZ54930.1 hypothetical protein APUTEX25_000447 [Auxenochlorella protothecoides]
OG0002777	KAI3426067.1 hypothetical protein D9Q98_008035 [Chlorella vulgaris]	RMZ54931.1 hypothetical protein APUTEX25_000448 [Auxenochlorella protothecoides]
OG0002778	KAI3430293.1 hypothetical protein D9Q98_004889 [Chlorella vulgaris]	RMZ54944.1 hypothetical protein APUTEX25_000461 [Auxenochlorella protothecoides]
OG0002779	KAI3435890.1 hypothetical protein D9Q98_001948 [Chlorella vulgaris]	RMZ54957.1 hypothetical protein APUTEX25_000474_ partial [Auxenochlorella protothecoides]
OG0002780	KAI3433870.1 hypothetical protein D9Q98_003673 [Chlorella vulgaris]	RMZ54960.1 hypothetical protein APUTEX25_000477_ partial [Auxenochlorella protothecoides]
OG0002781	KAI3436854.1 hypothetical protein D9Q98_006264 [Chlorella vulgaris]	RMZ54963.1 hypothetical protein APUTEX25_000480_ partial [Auxenochlorella protothecoides]
OG0002782	KAI3434967.1 hypothetical protein D9Q98_003019 [Chlorella vulgaris]	RMZ54976.1 hypothetical protein APUTEX25_000493 [Auxenochlorella protothecoides]
OG0002783	KAI3427991.1 hypothetical protein D9Q98_006379 [Chlorella vulgaris]	RMZ54979.1 hypothetical protein APUTEX25_000496_ partial [Auxenochlorella protothecoides]
OG0002784	KAI3436131.1 hypothetical protein D9Q98_002188 [Chlorella vulgaris]	RMZ54982.1 hypothetical protein APUTEX25_000499 [Auxenochlorella protothecoides]
OG0002785	KAI3426936.1 hypothetical protein D9Q98_006880 [Chlorella vulgaris]	RMZ54994.1 hypothetical protein APUTEX25_000511 [Auxenochlorella protothecoides]
OG0002786	KAI3436846.1 hypothetical protein D9Q98_006256 [Chlorella vulgaris]	RMZ54996.1 hypothetical protein APUTEX25_000513 [Auxenochlorella protothecoides]
OG0002787	KAI3426939.1 hypothetical protein D9Q98_006883 [Chlorella vulgaris]	RMZ55005.1 hypothetical protein APUTEX25_000522 [Auxenochlorella protothecoides]
OG0002788	KAI3436128.1 hypothetical protein D9Q98_002186 [Chlorella vulgaris]	RMZ55018.1 hypothetical protein APUTEX25_005644 [Auxenochlorella protothecoides]
OG0002789	KAI3436091.1 hypothetical protein D9Q98_002149 [Chlorella vulgaris]	RMZ55019.1 hypothetical protein APUTEX25_005645 [Auxenochlorella protothecoides]
