Orthogroup	Chlorella_Vulgaris2111P	Scenedesmus_NREL
OG0002922	KAI3438276.1 hypothetical protein D9Q98_000711 [Chlorella vulgaris]	KAF6251757.1 beta-lactamase-like protein [Scenedesmus sp. NREL 46B-D3]
OG0002923	KAI3438929.1 hypothetical protein D9Q98_001343 [Chlorella vulgaris]	KAF6256883.1 ribosome biogenesis protein Nop53/GLTSCR2 [Scenedesmus sp. NREL 46B-D3]
OG0002924	KAI3428110.1 hypothetical protein D9Q98_006493 [Chlorella vulgaris]	KAF6263133.1 PUA-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002925	KAI3438297.1 hypothetical protein D9Q98_000731 [Chlorella vulgaris]	KAF6252912.1 electron transfer flavo protein-ubiquinone oxidoreductase [Scenedesmus sp. NREL 46B-D3]
OG0002926	KAI3425848.1 hypothetical protein D9Q98_007822 [Chlorella vulgaris]	KAF6264015.1 ATP phosphoribosyl transferase [Scenedesmus sp. NREL 46B-D3], KAF6264027.1 hypothetical protein COO60DRAFT_268630 [Scenedesmus sp. NREL 46B-D3]
OG0002927	KAI3425858.1 hypothetical protein D9Q98_007832 [Chlorella vulgaris]	KAF6259833.1 hypothetical protein COO60DRAFT_964462 [Scenedesmus sp. NREL 46B-D3]
OG0002928	KAI3433621.1 hypothetical protein D9Q98_003430 [Chlorella vulgaris]	KAF6260405.1 Dos2-interacting transcription regulator of RNA-Pol-II-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257917.1 Dos2-interacting transcription regulator of RNA-Pol-II-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002929	KAI3437914.1 hypothetical protein D9Q98_000359 [Chlorella vulgaris]	KAF6255886.1 hypothetical protein COO60DRAFT_1532750 [Scenedesmus sp. NREL 46B-D3], KAF6251934.1 hypothetical protein COO60DRAFT_1704515 [Scenedesmus sp. NREL 46B-D3]
OG0002930	KAI3425813.1 hypothetical protein D9Q98_007788 [Chlorella vulgaris]	KAF6262911.1 ABC transporter type 1_ transmembrane domain MetI-like protein [Scenedesmus sp. NREL 46B-D3]
OG0002931	KAI3438904.1 hypothetical protein D9Q98_001319 [Chlorella vulgaris]	KAF6253362.1 hypothetical protein COO60DRAFT_1273754 [Scenedesmus sp. NREL 46B-D3]
OG0002932	KAI3428097.1 hypothetical protein D9Q98_006480 [Chlorella vulgaris]	KAF6258966.1 tryptophan synthetase alpha subunit [Scenedesmus sp. NREL 46B-D3]
OG0002933	KAI3428121.1 hypothetical protein D9Q98_006504 [Chlorella vulgaris]	KAF6258749.1 hypothetical protein COO60DRAFT_1517298 [Scenedesmus sp. NREL 46B-D3]
OG0002934	KAI3438924.1 hypothetical protein D9Q98_001338 [Chlorella vulgaris], KAI3438923.1 hypothetical protein D9Q98_001337 [Chlorella vulgaris]	KAF6260387.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0002935	KAI3438897.1 hypothetical protein D9Q98_001312 [Chlorella vulgaris]	KAF6265297.1 hypothetical protein COO60DRAFT_1621510 [Scenedesmus sp. NREL 46B-D3]
OG0002936	KAI3424756.1 hypothetical protein D9Q98_008145 [Chlorella vulgaris]	KAF6259903.1 Clavaminate synthase-like protein [Scenedesmus sp. NREL 46B-D3]
OG0002937	KAI3434614.1 hypothetical protein D9Q98_002682 [Chlorella vulgaris]	KAF6265622.1 guanine-N-7 methyltransferase [Scenedesmus sp. NREL 46B-D3]
OG0002938	KAI3438325.1 hypothetical protein D9Q98_000759 [Chlorella vulgaris]	KAF6252925.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002939	KAI3433527.1 hypothetical protein D9Q98_003337 [Chlorella vulgaris]	KAF6263166.1 cell division cycle protein 14_ partial [Scenedesmus sp. NREL 46B-D3]
OG0002940	KAI3438308.1 hypothetical protein D9Q98_000742 [Chlorella vulgaris]	KAF6262929.1 hypothetical protein COO60DRAFT_1699063 [Scenedesmus sp. NREL 46B-D3]
OG0002941	KAI3425728.1 hypothetical protein D9Q98_007704 [Chlorella vulgaris]	KAF6250571.1 pontin [Scenedesmus sp. NREL 46B-D3]
OG0002942	KAI3438402.1 hypothetical protein D9Q98_000834 [Chlorella vulgaris]	KAF6254128.1 hypothetical protein COO60DRAFT_1622500 [Scenedesmus sp. NREL 46B-D3]
OG0002943	KAI3433633.1 hypothetical protein D9Q98_003442 [Chlorella vulgaris]	KAF6252780.1 pyruvate dehydrogenase [Scenedesmus sp. NREL 46B-D3]
OG0002944	KAI3423870.1 hypothetical protein D9Q98_009704 [Chlorella vulgaris]	KAF6258293.1 ABC transporter type 1_ transmembrane domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002945	KAI3427097.1 hypothetical protein D9Q98_007036 [Chlorella vulgaris]	KAF6259419.1 hypothetical protein COO60DRAFT_1008906 [Scenedesmus sp. NREL 46B-D3]
OG0002946	KAI3433400.1 hypothetical protein D9Q98_003216 [Chlorella vulgaris]	KAF6265106.1 WD40 repeat-like protein [Scenedesmus sp. NREL 46B-D3]
OG0002947	KAI3433496.1 hypothetical protein D9Q98_003308 [Chlorella vulgaris]	KAF6258235.1 hypothetical protein COO60DRAFT_1701416 [Scenedesmus sp. NREL 46B-D3]
OG0002948	KAI3433619.1 hypothetical protein D9Q98_003428 [Chlorella vulgaris]	KAF6265489.1 hypothetical protein COO60DRAFT_1457089 [Scenedesmus sp. NREL 46B-D3]
OG0002949	KAI3438926.1 hypothetical protein D9Q98_001340 [Chlorella vulgaris]	KAF6265186.1 flagellar/basal body protein [Scenedesmus sp. NREL 46B-D3], KAF6252093.1 flagellar/basal body protein [Scenedesmus sp. NREL 46B-D3]
OG0002950	KAI3438320.1 hypothetical protein D9Q98_000754 [Chlorella vulgaris]	KAF6251363.1 RecF/RecN/SMC [Scenedesmus sp. NREL 46B-D3]
OG0002951	KAI3433603.1 hypothetical protein D9Q98_003413 [Chlorella vulgaris], KAI3433604.1 hypothetical protein D9Q98_003413 [Chlorella vulgaris]	KAF6261283.1 SAC domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002952	KAI3434564.1 hypothetical protein D9Q98_002637 [Chlorella vulgaris], KAI3434565.1 hypothetical protein D9Q98_002637 [Chlorella vulgaris]	KAF6265921.1 glutamyl tRNA amidotransferase_ subunit A [Scenedesmus sp. NREL 46B-D3]
OG0002953	KAI3427137.1 hypothetical protein D9Q98_007074 [Chlorella vulgaris]	KAF6265212.1 amine oxidase [Scenedesmus sp. NREL 46B-D3]
OG0002954	KAI3438296.1 hypothetical protein D9Q98_000730 [Chlorella vulgaris]	KAF6256710.1 ribosomal protein L23/L15e core domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002955	KAI3438301.1 hypothetical protein D9Q98_000735 [Chlorella vulgaris]	KAF6251367.1 L domain-like protein [Scenedesmus sp. NREL 46B-D3]
OG0002956	KAI3433641.1 hypothetical protein D9Q98_003450 [Chlorella vulgaris]	KAF6265896.1 RecF/RecN/SMC [Scenedesmus sp. NREL 46B-D3]
OG0002957	KAI3433484.1 hypothetical protein D9Q98_003296 [Chlorella vulgaris]	KAF6257607.1 hypothetical protein COO60DRAFT_1701744 [Scenedesmus sp. NREL 46B-D3]
OG0002958	KAI3427156.1 hypothetical protein D9Q98_007093 [Chlorella vulgaris]	KAF6260417.1 hypothetical protein COO60DRAFT_890406 [Scenedesmus sp. NREL 46B-D3], KAF6251984.1 hypothetical protein COO60DRAFT_1704512 [Scenedesmus sp. NREL 46B-D3]
OG0002959	KAI3432876.1 hypothetical protein D9Q98_010459 [Chlorella vulgaris]	KAF6255787.1 tRNA synthetases class I-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002960	KAI3432861.1 hypothetical protein D9Q98_010444 [Chlorella vulgaris]	KAF6258408.1 DNA-directed RNA polymerase III_ subunit 2 [Scenedesmus sp. NREL 46B-D3]
OG0002961	KAI3432398.1 hypothetical protein D9Q98_003954 [Chlorella vulgaris]	KAF6250379.1 methionine aminopeptidase [Scenedesmus sp. NREL 46B-D3]
OG0002962	KAI3428540.1 hypothetical protein D9Q98_007362 [Chlorella vulgaris]	KAF6266723.1 GDP dissociation inhibitor [Scenedesmus sp. NREL 46B-D3]
OG0002963	KAI3425102.1 hypothetical protein D9Q98_008480 [Chlorella vulgaris]	KAF6263116.1 Symplekin tight junction protein C terminal-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263117.1 hypothetical protein COO60DRAFT_1671782 [Scenedesmus sp. NREL 46B-D3]
OG0002964	KAI3428510.1 hypothetical protein D9Q98_007334 [Chlorella vulgaris]	KAF6247880.1 hypothetical protein COO60DRAFT_1135630 [Scenedesmus sp. NREL 46B-D3], KAF6251998.1 hypothetical protein COO60DRAFT_566783 [Scenedesmus sp. NREL 46B-D3]
OG0002965	KAI3430344.1 hypothetical protein D9Q98_004939 [Chlorella vulgaris]	KAF6266543.1 helicase C-terminal domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002966	KAI3425100.1 hypothetical protein D9Q98_008478 [Chlorella vulgaris]	KAF6255536.1 hypothetical protein COO60DRAFT_1702779 [Scenedesmus sp. NREL 46B-D3], KAF6255538.1 hypothetical protein COO60DRAFT_1702781 [Scenedesmus sp. NREL 46B-D3]
OG0002967	KAI3430706.1 hypothetical protein D9Q98_005295 [Chlorella vulgaris]	KAF6260598.1 hypothetical protein COO60DRAFT_1269332 [Scenedesmus sp. NREL 46B-D3]
OG0002968	KAI3434373.1 hypothetical protein D9Q98_002452 [Chlorella vulgaris]	KAF6266491.1 TIM21-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002969	KAI3428530.1 hypothetical protein D9Q98_007353 [Chlorella vulgaris]	KAF6251811.1 hypothetical protein COO60DRAFT_1464035 [Scenedesmus sp. NREL 46B-D3]
OG0002970	KAI3434691.1 hypothetical protein D9Q98_002754 [Chlorella vulgaris]	KAF6255175.1 sulfite oxidase [Scenedesmus sp. NREL 46B-D3]
OG0002971	KAI3434716.1 hypothetical protein D9Q98_002777 [Chlorella vulgaris]	KAF6254970.1 hypothetical protein COO60DRAFT_1537822 [Scenedesmus sp. NREL 46B-D3]
OG0002972	KAI3434720.1 hypothetical protein D9Q98_002781 [Chlorella vulgaris]	KAF6261900.1 Aldehyde/histidinol dehydrogenase [Scenedesmus sp. NREL 46B-D3]
OG0002973	KAI3434697.1 hypothetical protein D9Q98_002759 [Chlorella vulgaris]	KAF6262146.1 hypothetical protein COO60DRAFT_675450 [Scenedesmus sp. NREL 46B-D3]
OG0002974	KAI3432730.1 hypothetical protein D9Q98_004271 [Chlorella vulgaris]	KAF6257017.1 hypothetical protein COO60DRAFT_1526229 [Scenedesmus sp. NREL 46B-D3]
OG0002975	KAI3428807.1 hypothetical protein D9Q98_007624 [Chlorella vulgaris]	KAF6266737.1 phosphoribosylformylglycinamidine cyclo-ligase [Scenedesmus sp. NREL 46B-D3]
OG0002977	KAI3433369.1 hypothetical protein D9Q98_003186 [Chlorella vulgaris]	KAF6265078.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002978	KAI3436069.1 hypothetical protein D9Q98_002127 [Chlorella vulgaris]	KAF6266389.1 transcription factor Tfb4-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266391.1 VTC domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002979	KAI3432734.1 hypothetical protein D9Q98_004275 [Chlorella vulgaris]	KAF6254016.1 thioredoxin-like protein [Scenedesmus sp. NREL 46B-D3]
OG0002980	KAI3432717.1 hypothetical protein D9Q98_004260 [Chlorella vulgaris]	KAF6264581.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3]
OG0002981	KAI3432759.1 hypothetical protein D9Q98_004299 [Chlorella vulgaris]	KAF6254101.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]
OG0002982	KAI3432761.1 hypothetical protein D9Q98_004301 [Chlorella vulgaris]	KAF6251129.1 hypothetical protein COO60DRAFT_1705044 [Scenedesmus sp. NREL 46B-D3]
OG0002983	KAI3432276.1 hypothetical protein D9Q98_003836 [Chlorella vulgaris]	KAF6258354.1 hypothetical protein COO60DRAFT_1701346 [Scenedesmus sp. NREL 46B-D3]
OG0002984	KAI3432688.1 hypothetical protein D9Q98_004231 [Chlorella vulgaris]	KAF6265833.1 membrane associated metalloprotease [Scenedesmus sp. NREL 46B-D3]
OG0002985	KAI3428207.1 hypothetical protein D9Q98_006587 [Chlorella vulgaris]	KAF6253123.1 ribosomal protein L17 component of cytosolic 80S ribosome and 60S large subunit [Scenedesmus sp. NREL 46B-D3]
OG0002986	KAI3428198.1 hypothetical protein D9Q98_006578 [Chlorella vulgaris]	KAF6259385.1 splicing factor_ CC1-like protein [Scenedesmus sp. NREL 46B-D3]
OG0002987	KAI3436025.1 hypothetical protein D9Q98_002082 [Chlorella vulgaris]	KAF6264735.1 regulator of Vps4 activity in the MVB pathway-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002988	KAI3430645.1 hypothetical protein D9Q98_005238 [Chlorella vulgaris]	KAF6263000.1 isoprenoid synthase domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002989	KAI3436155.1 hypothetical protein D9Q98_002212 [Chlorella vulgaris]	KAF6255000.1 hypothetical protein COO60DRAFT_1641869 [Scenedesmus sp. NREL 46B-D3], KAF6254596.1 hypothetical protein COO60DRAFT_1539727 [Scenedesmus sp. NREL 46B-D3]
OG0002990	KAI3428202.1 hypothetical protein D9Q98_006582 [Chlorella vulgaris]	KAF6258103.1 putative phosphate/phosphoenolpyruvate translocator precursor [Scenedesmus sp. NREL 46B-D3]
OG0002991	KAI3428175.1 hypothetical protein D9Q98_006555 [Chlorella vulgaris]	KAF6258327.1 SNF2 family N-terminal domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002992	KAI3428183.1 hypothetical protein D9Q98_006563 [Chlorella vulgaris]	KAF6260658.1 hypothetical protein COO60DRAFT_1269318 [Scenedesmus sp. NREL 46B-D3]
OG0002993	KAI3436164.1 hypothetical protein D9Q98_002221 [Chlorella vulgaris]	KAF6260043.1 hypothetical protein COO60DRAFT_1700504 [Scenedesmus sp. NREL 46B-D3]
OG0002994	KAI3435894.1 hypothetical protein D9Q98_001952 [Chlorella vulgaris]	KAF6259391.1 GINS complex_ Psf2 component [Scenedesmus sp. NREL 46B-D3]
OG0002995	KAI3429850.1 hypothetical protein D9Q98_010162 [Chlorella vulgaris]	KAF6252468.1 hypothetical protein COO60DRAFT_1552963 [Scenedesmus sp. NREL 46B-D3], KAF6250456.1 subunit of the ESCRT-III complex [Scenedesmus sp. NREL 46B-D3]
OG0002996	KAI3429741.1 hypothetical protein D9Q98_010056 [Chlorella vulgaris]	KAF6265841.1 acyl-CoA N-acyltransferase [Scenedesmus sp. NREL 46B-D3]
OG0002997	KAI3429787.1 hypothetical protein D9Q98_010100 [Chlorella vulgaris]	KAF6264352.1 hypothetical protein COO60DRAFT_177404 [Scenedesmus sp. NREL 46B-D3]
OG0002998	KAI3430886.1 hypothetical protein D9Q98_009295 [Chlorella vulgaris]	KAF6265516.1 hypothetical protein COO60DRAFT_1623882 [Scenedesmus sp. NREL 46B-D3], KAF6263226.1 hypothetical protein COO60DRAFT_1267627 [Scenedesmus sp. NREL 46B-D3]
OG0002999	KAI3431590.1 hypothetical protein D9Q98_004640 [Chlorella vulgaris]	KAF6251901.1 subtilase family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0003000	KAI3429789.1 hypothetical protein D9Q98_010102 [Chlorella vulgaris]	KAF6262622.1 thioredoxin-like protein [Scenedesmus sp. NREL 46B-D3]
OG0003001	KAI3430815.1 hypothetical protein D9Q98_009226 [Chlorella vulgaris]	KAF6252770.1 hypothetical protein COO60DRAFT_1643734 [Scenedesmus sp. NREL 46B-D3], KAF6252769.1 hypothetical protein COO60DRAFT_1463523 [Scenedesmus sp. NREL 46B-D3]
OG0003002	KAI3430820.1 hypothetical protein D9Q98_009231 [Chlorella vulgaris]	KAF6257884.1 hypothetical protein COO60DRAFT_1639576 [Scenedesmus sp. NREL 46B-D3]
OG0003003	KAI3429836.1 hypothetical protein D9Q98_010149 [Chlorella vulgaris]	KAF6260794.1 SART-1 protein [Scenedesmus sp. NREL 46B-D3]
OG0003004	KAI3434500.1 hypothetical protein D9Q98_002575 [Chlorella vulgaris]	KAF6255182.1 hypothetical protein COO60DRAFT_1702945 [Scenedesmus sp. NREL 46B-D3], KAF6262591.1 hypothetical protein COO60DRAFT_1699170_ partial [Scenedesmus sp. NREL 46B-D3]
OG0003005	KAI3434495.1 hypothetical protein D9Q98_002570 [Chlorella vulgaris]	KAF6255847.1 fructose-bisphosphate aldolase 1_ chloroplastic [Scenedesmus sp. NREL 46B-D3]
OG0003006	KAI3429865.1 hypothetical protein D9Q98_010176 [Chlorella vulgaris]	KAF6266775.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]
OG0003007	KAI3432680.1 hypothetical protein D9Q98_004223 [Chlorella vulgaris]	KAF6257275.1 ribosomal protein L13e [Scenedesmus sp. NREL 46B-D3]
OG0003008	KAI3429886.1 hypothetical protein D9Q98_010197 [Chlorella vulgaris]	KAF6264516.1 glutamyl-tRNA reductase precursor [Scenedesmus sp. NREL 46B-D3]
OG0003009	KAI3429783.1 hypothetical protein D9Q98_010096 [Chlorella vulgaris]	KAF6254299.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]
OG0003010	KAI3437909.1 hypothetical protein D9Q98_000354 [Chlorella vulgaris]	KAF6263883.1 hypothetical protein COO60DRAFT_1267257_ partial [Scenedesmus sp. NREL 46B-D3]
OG0003011	KAI3437941.1 hypothetical protein D9Q98_000385 [Chlorella vulgaris]	KAF6263443.1 MOSC N-terminal beta barrel domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6263444.1 MOSC-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0003012	KAI3431479.1 hypothetical protein D9Q98_004531 [Chlorella vulgaris]	KAF6251556.1 hypothetical protein COO60DRAFT_1644889 [Scenedesmus sp. NREL 46B-D3], KAF6256948.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6266630.1 hypothetical protein COO60DRAFT_7107 [Scenedesmus sp. NREL 46B-D3]
OG0003013	KAI3430889.1 hypothetical protein D9Q98_009298 [Chlorella vulgaris]	KAF6258370.1 zeaxanthin epoxidase precursor [Scenedesmus sp. NREL 46B-D3]
OG0003014	KAI3429758.1 hypothetical protein D9Q98_010071 [Chlorella vulgaris]	KAF6263582.1 elongation factor EF-Tu-like protein [Scenedesmus sp. NREL 46B-D3]
OG0003015	KAI3431589.1 hypothetical protein D9Q98_004639 [Chlorella vulgaris]	KAF6256091.1 hypothetical protein COO60DRAFT_1471149 [Scenedesmus sp. NREL 46B-D3]
OG0003016	KAI3432677.1 hypothetical protein D9Q98_004220 [Chlorella vulgaris]	KAF6255979.1 protein phosphatase 2C [Scenedesmus sp. NREL 46B-D3]
OG0003017	KAI3434492.1 hypothetical protein D9Q98_002567 [Chlorella vulgaris]	KAF6255183.1 low molecular mass early light-induced protein [Scenedesmus sp. NREL 46B-D3]
OG0003018	KAI3429828.1 hypothetical protein D9Q98_010141 [Chlorella vulgaris]	KAF6254768.1 Vta1 like-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0003019	KAI3437922.1 hypothetical protein D9Q98_000367 [Chlorella vulgaris]	KAF6252193.1 acyl-CoA N-acyltransferase [Scenedesmus sp. NREL 46B-D3]
OG0003020	KAI3436865.1 hypothetical protein D9Q98_006275 [Chlorella vulgaris]	KAF6254051.1 hypothetical protein COO60DRAFT_1543504 [Scenedesmus sp. NREL 46B-D3]
OG0003021	KAI3435875.1 hypothetical protein D9Q98_001933 [Chlorella vulgaris]	KAF6257942.1 DNA glycosylase [Scenedesmus sp. NREL 46B-D3]
OG0003022	KAI3426479.1 hypothetical protein D9Q98_008845 [Chlorella vulgaris]	KAF6265193.1 hypothetical protein COO60DRAFT_1034201 [Scenedesmus sp. NREL 46B-D3]
OG0003023	KAI3424429.1 hypothetical protein D9Q98_009981 [Chlorella vulgaris]	KAF6266265.1 chloroplast glyceraldehyde-3-phosphate dehydrogenase [Scenedesmus sp. NREL 46B-D3]
OG0003024	KAI3435878.1 hypothetical protein D9Q98_001936 [Chlorella vulgaris]	KAF6250718.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0003025	KAI3430214.1 hypothetical protein D9Q98_004812 [Chlorella vulgaris]	KAF6258924.1 eIF3 subunit 6 N terminal domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0003026	KAI3425789.1 hypothetical protein D9Q98_007764 [Chlorella vulgaris]	KAF6253532.1 hypothetical protein COO60DRAFT_408847 [Scenedesmus sp. NREL 46B-D3], KAF6253531.1 TLD-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0003027	KAI3425743.1 hypothetical protein D9Q98_007719 [Chlorella vulgaris]	KAF6254553.1 hypothetical protein COO60DRAFT_1703247 [Scenedesmus sp. NREL 46B-D3]
OG0003028	KAI3425795.1 hypothetical protein D9Q98_007770 [Chlorella vulgaris]	KAF6262391.1 thiolase-like protein [Scenedesmus sp. NREL 46B-D3]
OG0003029	KAI3436806.1 hypothetical protein D9Q98_006216 [Chlorella vulgaris]	KAF6265288.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]
OG0003030	KAI3428830.1 hypothetical protein D9Q98_007647 [Chlorella vulgaris]	KAF6266247.1 large subunit of isopropylmalate dehydratase [Scenedesmus sp. NREL 46B-D3]
OG0003031	KAI3423551.1 hypothetical protein D9Q98_010733_ partial _chloroplast_ [Chlorella vulgaris], KAI3430372.1 hypothetical protein D9Q98_004967 [Chlorella vulgaris]	KAF6262394.1 Nop14-like family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0003032	KAI3438826.1 hypothetical protein D9Q98_001243 [Chlorella vulgaris]	KAF6265648.1 hypothetical protein COO60DRAFT_866003 [Scenedesmus sp. NREL 46B-D3]
OG0003033	KAI3428842.1 hypothetical protein D9Q98_007659 [Chlorella vulgaris]	KAF6265825.1 NAD-dependent glycerol-3-phosphate dehydrogenase [Scenedesmus sp. NREL 46B-D3], KAF6266827.1 NAD-dependent glycerol-3-phosphate dehydrogenase [Scenedesmus sp. NREL 46B-D3]
OG0003034	KAI3429690.1 hypothetical protein D9Q98_005775 [Chlorella vulgaris]	KAF6262291.1 FAD linked oxidase [Scenedesmus sp. NREL 46B-D3]
OG0003035	KAI3438544.1 hypothetical protein D9Q98_000972 [Chlorella vulgaris]	KAF6266374.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0003036	KAI3428373.1 hypothetical protein D9Q98_006753 [Chlorella vulgaris]	KAF6250867.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]
OG0003037	KAI3435897.1 hypothetical protein D9Q98_001955 [Chlorella vulgaris]	KAF6253724.1 Spo11/DNA topoisomerase VI subunit A [Scenedesmus sp. NREL 46B-D3]
OG0003038	KAI3438541.1 hypothetical protein D9Q98_000969 [Chlorella vulgaris]	KAF6255517.1 hypothetical protein COO60DRAFT_1702769 [Scenedesmus sp. NREL 46B-D3]
OG0003039	KAI3429692.1 hypothetical protein D9Q98_005777 [Chlorella vulgaris]	KAF6266176.1 PAS domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0003040	KAI3428839.1 hypothetical protein D9Q98_007656 [Chlorella vulgaris]	KAF6259017.1 SNF2 family N-terminal domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0003041	KAI3430373.1 hypothetical protein D9Q98_004968 [Chlorella vulgaris]	KAF6261694.1 hypothetical protein COO60DRAFT_1268542 [Scenedesmus sp. NREL 46B-D3]
OG0003042	KAI3435883.1 hypothetical protein D9Q98_001941 [Chlorella vulgaris]	KAF6258674.1 hypothetical protein COO60DRAFT_1517822 [Scenedesmus sp. NREL 46B-D3]
OG0003043	KAI3425799.1 hypothetical protein D9Q98_007774 [Chlorella vulgaris]	KAF6250938.1 hypothetical protein COO60DRAFT_709067 [Scenedesmus sp. NREL 46B-D3]
OG0003044	KAI3435871.1 hypothetical protein D9Q98_001929 [Chlorella vulgaris]	KAF6259299.1 hypothetical protein COO60DRAFT_1024087 [Scenedesmus sp. NREL 46B-D3]
OG0003045	KAI3435483.1 hypothetical protein D9Q98_001550 [Chlorella vulgaris], KAI3435484.1 hypothetical protein D9Q98_001550 [Chlorella vulgaris]	KAF6256963.1 origin recognition complex subunit 5 C-terminus-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0003046	KAI3438825.1 hypothetical protein D9Q98_001242 [Chlorella vulgaris]	KAF6258780.1 chloroplast ATP-binding protein [Scenedesmus sp. NREL 46B-D3]
OG0003047	KAI3430212.1 hypothetical protein D9Q98_004810 [Chlorella vulgaris]	KAF6256131.1 hypothetical protein COO60DRAFT_144187 [Scenedesmus sp. NREL 46B-D3], KAF6256132.1 hypothetical protein COO60DRAFT_144260 [Scenedesmus sp. NREL 46B-D3]
OG0003048	KAI3428836.1 hypothetical protein D9Q98_007653 [Chlorella vulgaris]	KAF6257552.1 protein arginine N-methyltransferase [Scenedesmus sp. NREL 46B-D3]
OG0003049	KAI3434991.1 hypothetical protein D9Q98_003043 [Chlorella vulgaris]	KAF6255369.1 phosphatidate cytidylyltransferase [Scenedesmus sp. NREL 46B-D3]
OG0003050	KAI3438563.1 hypothetical protein D9Q98_000990 [Chlorella vulgaris]	KAF6259441.1 hypothetical protein COO60DRAFT_1700842 [Scenedesmus sp. NREL 46B-D3]
OG0003051	KAI3428369.1 hypothetical protein D9Q98_006749 [Chlorella vulgaris]	KAF6258939.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]
OG0003052	KAI3429693.1 hypothetical protein D9Q98_005778 [Chlorella vulgaris]	KAF6263945.1 hypothetical protein COO60DRAFT_310658 [Scenedesmus sp. NREL 46B-D3]
OG0003053	KAI3428338.1 hypothetical protein D9Q98_006718 [Chlorella vulgaris]	KAF6257774.1 hypothetical protein COO60DRAFT_1701668 [Scenedesmus sp. NREL 46B-D3]
OG0003055	KAI3424405.1 hypothetical protein D9Q98_009957 [Chlorella vulgaris]	KAF6256723.1 hypothetical protein COO60DRAFT_1702203 [Scenedesmus sp. NREL 46B-D3]
OG0003056	KAI3436880.1 hypothetical protein D9Q98_006288 [Chlorella vulgaris]	KAF6265161.1 eukaryotic translation initiation factor 6 [Scenedesmus sp. NREL 46B-D3]
OG0003057	KAI3428381.1 hypothetical protein D9Q98_006761 [Chlorella vulgaris]	KAF6253247.1 C-8_7 sterol isomerase [Scenedesmus sp. NREL 46B-D3]
OG0003058	KAI3438554.1 hypothetical protein D9Q98_000982 [Chlorella vulgaris]	KAF6264090.1 adenylosuccinate lyase [Scenedesmus sp. NREL 46B-D3]
OG0003059	KAI3436886.1 hypothetical protein D9Q98_006294 [Chlorella vulgaris]	KAF6260060.1 AP complex_ mu/sigma subunit [Scenedesmus sp. NREL 46B-D3]
OG0003060	KAI3435919.1 hypothetical protein D9Q98_001977 [Chlorella vulgaris]	KAF6252446.1 hypothetical protein COO60DRAFT_1704264 [Scenedesmus sp. NREL 46B-D3]
OG0003061	KAI3425313.1 hypothetical protein D9Q98_009078 [Chlorella vulgaris]	KAF6259477.1 hypothetical protein COO60DRAFT_1000760 [Scenedesmus sp. NREL 46B-D3]
