Orthogroup	Chlorella_Vulgaris2111P	Chlorella_VariabilisNC64A
OG0003046	KAI3438825.1 hypothetical protein D9Q98_001242 [Chlorella vulgaris]	XP_005849913.1 hypothetical protein CHLNCDRAFT_143202 [Chlorella variabilis]
OG0003047	KAI3430212.1 hypothetical protein D9Q98_004810 [Chlorella vulgaris]	XP_005844552.1 hypothetical protein CHLNCDRAFT_54503 [Chlorella variabilis]
OG0003048	KAI3428836.1 hypothetical protein D9Q98_007653 [Chlorella vulgaris]	XP_005850198.1 hypothetical protein CHLNCDRAFT_142415 [Chlorella variabilis]
OG0003049	KAI3434991.1 hypothetical protein D9Q98_003043 [Chlorella vulgaris]	XP_005849038.1 hypothetical protein CHLNCDRAFT_143470 [Chlorella variabilis]
OG0003050	KAI3438563.1 hypothetical protein D9Q98_000990 [Chlorella vulgaris]	XP_005849794.1 hypothetical protein CHLNCDRAFT_57224 [Chlorella variabilis]
OG0003051	KAI3428369.1 hypothetical protein D9Q98_006749 [Chlorella vulgaris]	XP_005850445.1 hypothetical protein CHLNCDRAFT_142394 [Chlorella variabilis]
OG0003052	KAI3429693.1 hypothetical protein D9Q98_005778 [Chlorella vulgaris]	XP_005851883.1 hypothetical protein CHLNCDRAFT_33616 [Chlorella variabilis]
OG0003053	KAI3428338.1 hypothetical protein D9Q98_006718 [Chlorella vulgaris]	XP_005850175.1 hypothetical protein CHLNCDRAFT_142359 [Chlorella variabilis]
OG0003054	KAI3428325.1 hypothetical protein D9Q98_006705 [Chlorella vulgaris]	XP_005850421.1 hypothetical protein CHLNCDRAFT_142343 [Chlorella variabilis]
OG0003055	KAI3424405.1 hypothetical protein D9Q98_009957 [Chlorella vulgaris]	XP_005843123.1 hypothetical protein CHLNCDRAFT_55386 [Chlorella variabilis]
OG0003056	KAI3436880.1 hypothetical protein D9Q98_006288 [Chlorella vulgaris]	XP_005850550.1 hypothetical protein CHLNCDRAFT_29747 [Chlorella variabilis]
OG0003057	KAI3428381.1 hypothetical protein D9Q98_006761 [Chlorella vulgaris]	XP_005850194.1 hypothetical protein CHLNCDRAFT_34496 [Chlorella variabilis]
OG0003058	KAI3438554.1 hypothetical protein D9Q98_000982 [Chlorella vulgaris]	XP_005849789.1 hypothetical protein CHLNCDRAFT_142879 [Chlorella variabilis]
OG0003059	KAI3436886.1 hypothetical protein D9Q98_006294 [Chlorella vulgaris]	XP_005850549.1 hypothetical protein CHLNCDRAFT_48112 [Chlorella variabilis]
OG0003060	KAI3435919.1 hypothetical protein D9Q98_001977 [Chlorella vulgaris]	XP_005846257.1 hypothetical protein CHLNCDRAFT_13101_ partial [Chlorella variabilis]
OG0003061	KAI3425313.1 hypothetical protein D9Q98_009078 [Chlorella vulgaris]	XP_005845738.1 hypothetical protein CHLNCDRAFT_58432 [Chlorella variabilis]
OG0003062	KAI3438844.1 hypothetical protein D9Q98_001261 [Chlorella vulgaris]	XP_005849920.1 hypothetical protein CHLNCDRAFT_21084 [Chlorella variabilis]
OG0003063	KAI3428659.1 hypothetical protein D9Q98_007482 [Chlorella vulgaris]	XP_005847414.1 hypothetical protein CHLNCDRAFT_52503 [Chlorella variabilis]
OG0003064	KAI3428662.1 hypothetical protein D9Q98_007485 [Chlorella vulgaris]	XP_005847413.1 hypothetical protein CHLNCDRAFT_134278 [Chlorella variabilis]
OG0003065	KAI3426090.1 hypothetical protein D9Q98_008058 [Chlorella vulgaris]	XP_005844243.1 hypothetical protein CHLNCDRAFT_56325 [Chlorella variabilis]
OG0003066	KAI3428769.1 hypothetical protein D9Q98_007590 [Chlorella vulgaris]	XP_005847364.1 hypothetical protein CHLNCDRAFT_57908 [Chlorella variabilis]
OG0003067	KAI3428672.1 hypothetical protein D9Q98_007495 [Chlorella vulgaris]	XP_005847260.1 hypothetical protein CHLNCDRAFT_57944 [Chlorella variabilis]
OG0003068	KAI3428676.1 hypothetical protein D9Q98_007499 [Chlorella vulgaris]	XP_005847405.1 hypothetical protein CHLNCDRAFT_23687_ partial [Chlorella variabilis]
OG0003069	KAI3428691.1 hypothetical protein D9Q98_007514 [Chlorella vulgaris]	XP_005847396.1 hypothetical protein CHLNCDRAFT_134243 [Chlorella variabilis]
OG0003070	KAI3426089.1 hypothetical protein D9Q98_008057 [Chlorella vulgaris]	XP_005844157.1 hypothetical protein CHLNCDRAFT_139273 [Chlorella variabilis]
OG0003071	KAI3428763.1 hypothetical protein D9Q98_007584 [Chlorella vulgaris]	XP_005847365.1 hypothetical protein CHLNCDRAFT_31189 [Chlorella variabilis]
OG0003072	KAI3428661.1 hypothetical protein D9Q98_007484 [Chlorella vulgaris]	XP_005847265.1 hypothetical protein CHLNCDRAFT_134279 [Chlorella variabilis]
OG0003073	KAI3428684.1 hypothetical protein D9Q98_007507 [Chlorella vulgaris]	XP_005847400.1 hypothetical protein CHLNCDRAFT_57939 [Chlorella variabilis]
OG0003074	KAI3438665.1 hypothetical protein D9Q98_001086 [Chlorella vulgaris]	XP_005849844.1 hypothetical protein CHLNCDRAFT_34723 [Chlorella variabilis]
OG0003075	KAI3433671.1 hypothetical protein D9Q98_003480 [Chlorella vulgaris]	XP_005851177.1 hypothetical protein CHLNCDRAFT_18937 [Chlorella variabilis]
OG0003076	KAI3432690.1 hypothetical protein D9Q98_004233 [Chlorella vulgaris]	XP_005843525.1 hypothetical protein CHLNCDRAFT_28067_ partial [Chlorella variabilis]
OG0003077	KAI3436596.1 hypothetical protein D9Q98_006013 [Chlorella vulgaris]	XP_005850970.1 hypothetical protein CHLNCDRAFT_34202 [Chlorella variabilis]
OG0003078	KAI3436690.1 hypothetical protein D9Q98_006105 [Chlorella vulgaris]	XP_005850636.1 hypothetical protein CHLNCDRAFT_19680_ partial [Chlorella variabilis]
OG0003079	KAI3424748.1 hypothetical protein D9Q98_008137 [Chlorella vulgaris]	XP_005845158.1 hypothetical protein CHLNCDRAFT_137326 [Chlorella variabilis]
OG0003080	KAI3436741.1 hypothetical protein D9Q98_006156 [Chlorella vulgaris]	XP_005850612.1 hypothetical protein CHLNCDRAFT_56004 [Chlorella variabilis]
OG0003081	KAI3431340.1 hypothetical protein D9Q98_004397 [Chlorella vulgaris]	XP_005846112.1 hypothetical protein CHLNCDRAFT_59721 [Chlorella variabilis]
OG0003082	KAI3424828.1 hypothetical protein D9Q98_008214 [Chlorella vulgaris]	XP_005845086.1 hypothetical protein CHLNCDRAFT_26277_ partial [Chlorella variabilis]
OG0003083	KAI3424832.1 hypothetical protein D9Q98_008218 [Chlorella vulgaris]	XP_005845194.1 hypothetical protein CHLNCDRAFT_137413 [Chlorella variabilis]
OG0003083	KAI3424833.1 hypothetical protein D9Q98_008219 [Chlorella vulgaris]	XP_005845195.1 hypothetical protein CHLNCDRAFT_137414 [Chlorella variabilis]
OG0003084	KAI3436758.1 hypothetical protein D9Q98_006170 [Chlorella vulgaris]	XP_005850890.1 hypothetical protein CHLNCDRAFT_34107 [Chlorella variabilis]
OG0003085	KAI3436743.1 hypothetical protein D9Q98_006158 [Chlorella vulgaris]	XP_005850611.1 hypothetical protein CHLNCDRAFT_140567 [Chlorella variabilis]
OG0003086	KAI3433683.1 hypothetical protein D9Q98_003492 [Chlorella vulgaris]	XP_005851171.1 hypothetical protein CHLNCDRAFT_137805 [Chlorella variabilis]
OG0003087	KAI3425876.1 hypothetical protein D9Q98_007849 [Chlorella vulgaris]	XP_005847622.1 hypothetical protein CHLNCDRAFT_23208 [Chlorella variabilis]
OG0003089	KAI3434905.1 hypothetical protein D9Q98_002959 [Chlorella vulgaris]	XP_005849071.1 hypothetical protein CHLNCDRAFT_143558 [Chlorella variabilis]
OG0003090	KAI3434552.1 hypothetical protein D9Q98_002625 [Chlorella vulgaris]	XP_005843893.1 hypothetical protein CHLNCDRAFT_32922 [Chlorella variabilis]
OG0003091	KAI3431341.1 hypothetical protein D9Q98_004398 [Chlorella vulgaris]	XP_005845989.1 hypothetical protein CHLNCDRAFT_58364 [Chlorella variabilis]
OG0003092	KAI3424857.1 hypothetical protein D9Q98_008241 [Chlorella vulgaris]	XP_005845204.1 hypothetical protein CHLNCDRAFT_137436 [Chlorella variabilis], XP_005842734.1 hypothetical protein CHLNCDRAFT_28927_ partial [Chlorella variabilis], XP_005845205.1 hypothetical protein CHLNCDRAFT_26240_ partial [Chlorella variabilis]
OG0003093	KAI3424830.1 hypothetical protein D9Q98_008216 [Chlorella vulgaris]	XP_005845087.1 expressed protein [Chlorella variabilis]
OG0003094	KAI3436734.1 hypothetical protein D9Q98_006149 [Chlorella vulgaris]	XP_005849109.1 hypothetical protein CHLNCDRAFT_143670 [Chlorella variabilis], XP_005850897.1 hypothetical protein CHLNCDRAFT_50289 [Chlorella variabilis]
OG0003095	KAI3436770.1 hypothetical protein D9Q98_006182 [Chlorella vulgaris]	XP_005850601.1 hypothetical protein CHLNCDRAFT_59578 [Chlorella variabilis]
OG0003096	KAI3438047.1 hypothetical protein D9Q98_000490 [Chlorella vulgaris]	XP_005846964.1 hypothetical protein CHLNCDRAFT_24292_ partial [Chlorella variabilis]
OG0003097	KAI3430682.1 hypothetical protein D9Q98_005271 [Chlorella vulgaris]	XP_005844042.1 hypothetical protein CHLNCDRAFT_11521_ partial [Chlorella variabilis]
OG0003098	KAI3432639.1 hypothetical protein D9Q98_004185 [Chlorella vulgaris]	XP_005843605.1 hypothetical protein CHLNCDRAFT_18031_ partial [Chlorella variabilis]
OG0003099	KAI3430634.1 hypothetical protein D9Q98_005227 [Chlorella vulgaris]	XP_005844020.1 hypothetical protein CHLNCDRAFT_32796 [Chlorella variabilis]
OG0003100	KAI3429248.1 hypothetical protein D9Q98_005345 [Chlorella vulgaris]	XP_005851987.1 hypothetical protein CHLNCDRAFT_49321 [Chlorella variabilis]
OG0003101	KAI3425224.1 hypothetical protein D9Q98_008992 [Chlorella vulgaris]	XP_005845897.1 hypothetical protein CHLNCDRAFT_53603 [Chlorella variabilis]
OG0003102	KAI3430422.1 hypothetical protein D9Q98_005017 [Chlorella vulgaris], KAI3430421.1 hypothetical protein D9Q98_005016 [Chlorella vulgaris]	XP_005844559.1 hypothetical protein CHLNCDRAFT_12611_ partial [Chlorella variabilis]
OG0003103	KAI3433882.1 hypothetical protein D9Q98_003684 [Chlorella vulgaris]	XP_005851091.1 CPD photolyase [Chlorella variabilis]
OG0003104	KAI3428483.1 hypothetical protein D9Q98_007308 [Chlorella vulgaris]	XP_005847329.1 hypothetical protein CHLNCDRAFT_134489 [Chlorella variabilis]
OG0003105	KAI3425118.1 hypothetical protein D9Q98_008890 [Chlorella vulgaris]	XP_005845823.1 hypothetical protein CHLNCDRAFT_58500 [Chlorella variabilis]
OG0003106	KAI3425710.1 hypothetical protein D9Q98_007686 [Chlorella vulgaris]	XP_005847541.1 hypothetical protein CHLNCDRAFT_35384 [Chlorella variabilis]
OG0003107	KAI3432740.1 hypothetical protein D9Q98_004281 [Chlorella vulgaris]	XP_005843492.1 hypothetical protein CHLNCDRAFT_141008 [Chlorella variabilis]
OG0003108	KAI3430411.1 hypothetical protein D9Q98_005006 [Chlorella vulgaris]	XP_005844465.1 hypothetical protein CHLNCDRAFT_15662_ partial [Chlorella variabilis]
OG0003109	KAI3433655.1 hypothetical protein D9Q98_003464 [Chlorella vulgaris]	XP_005851183.1 hypothetical protein CHLNCDRAFT_9310_ partial [Chlorella variabilis]
OG0003110	KAI3428544.1 hypothetical protein D9Q98_007366 [Chlorella vulgaris]	XP_005847300.1 hypothetical protein CHLNCDRAFT_134409 [Chlorella variabilis]
OG0003111	KAI3429426.1 hypothetical protein D9Q98_005520 [Chlorella vulgaris]	XP_005852084.1 hypothetical protein CHLNCDRAFT_133107 [Chlorella variabilis]
OG0003112	KAI3429347.1 hypothetical protein D9Q98_005442 [Chlorella vulgaris]	XP_005852042.1 hypothetical protein CHLNCDRAFT_133012 [Chlorella variabilis]
OG0003113	KAI3424975.1 hypothetical protein D9Q98_008356 [Chlorella vulgaris]	XP_005846672.1 hypothetical protein CHLNCDRAFT_135387 [Chlorella variabilis]
OG0003114	KAI3429247.1 hypothetical protein D9Q98_005344 [Chlorella vulgaris]	XP_005851666.1 hypothetical protein CHLNCDRAFT_56429 [Chlorella variabilis]
OG0003115	KAI3435813.1 hypothetical protein D9Q98_001871 [Chlorella vulgaris]	XP_005846306.1 hypothetical protein CHLNCDRAFT_135679 [Chlorella variabilis]
OG0003116	KAI3435962.1 hypothetical protein D9Q98_002020 [Chlorella vulgaris]	XP_005846230.1 hypothetical protein CHLNCDRAFT_13944_ partial [Chlorella variabilis]
OG0003117	KAI3424979.1 hypothetical protein D9Q98_008360 [Chlorella vulgaris]	XP_005846815.1 hypothetical protein CHLNCDRAFT_135382 [Chlorella variabilis]
OG0003118	KAI3435819.1 hypothetical protein D9Q98_001877 [Chlorella vulgaris]	XP_005846478.1 hypothetical protein CHLNCDRAFT_31757 [Chlorella variabilis]
OG0003119	KAI3428452.1 hypothetical protein D9Q98_007279 [Chlorella vulgaris]	XP_005847338.1 hypothetical protein CHLNCDRAFT_134530 [Chlorella variabilis]
OG0003120	KAI3425807.1 hypothetical protein D9Q98_007782 [Chlorella vulgaris]	XP_005847587.1 hypothetical protein CHLNCDRAFT_133857 [Chlorella variabilis]
OG0003121	KAI3428457.1 hypothetical protein D9Q98_007283 [Chlorella vulgaris]	XP_005847508.1 hypothetical protein CHLNCDRAFT_134525 [Chlorella variabilis]
OG0003122	KAI3425380.1 hypothetical protein D9Q98_009144 [Chlorella vulgaris]	XP_005845720.1 hypothetical protein CHLNCDRAFT_53494 [Chlorella variabilis]
OG0003123	KAI3429267.1 hypothetical protein D9Q98_005364 [Chlorella vulgaris]	XP_005851674.1 hypothetical protein CHLNCDRAFT_132916 [Chlorella variabilis]
OG0003124	KAI3429423.1 hypothetical protein D9Q98_005518 [Chlorella vulgaris]	XP_005852083.1 hypothetical protein CHLNCDRAFT_133105 [Chlorella variabilis]
OG0003125	KAI3424965.1 hypothetical protein D9Q98_008346 [Chlorella vulgaris]	XP_005846681.1 hypothetical protein CHLNCDRAFT_135406 [Chlorella variabilis]
OG0003126	KAI3432656.1 hypothetical protein D9Q98_004200 [Chlorella vulgaris]	XP_005843614.1 hypothetical protein CHLNCDRAFT_59225 [Chlorella variabilis]
OG0003127	KAI3439117.1 hypothetical protein D9Q98_001526 [Chlorella vulgaris]	XP_005843467.1 hypothetical protein CHLNCDRAFT_55198 [Chlorella variabilis]
OG0003128	KAI3428039.1 hypothetical protein D9Q98_006425 [Chlorella vulgaris]	XP_005850031.1 hypothetical protein CHLNCDRAFT_142013 [Chlorella variabilis]
OG0003129	KAI3438806.1 hypothetical protein D9Q98_001223 [Chlorella vulgaris]	XP_005849905.1 hypothetical protein CHLNCDRAFT_143180 [Chlorella variabilis]
OG0003130	KAI3429278.1 hypothetical protein D9Q98_005374 [Chlorella vulgaris]	XP_005851676.1 hypothetical protein CHLNCDRAFT_132927 [Chlorella variabilis]
OG0003131	KAI3429357.1 hypothetical protein D9Q98_005452 [Chlorella vulgaris]	XP_005852047.1 hypothetical protein CHLNCDRAFT_133025 [Chlorella variabilis]
OG0003132	KAI3433687.1 hypothetical protein D9Q98_003496 [Chlorella vulgaris]	XP_005851169.1 hypothetical protein CHLNCDRAFT_137801 [Chlorella variabilis]
OG0003133	KAI3433666.1 hypothetical protein D9Q98_003475 [Chlorella vulgaris]	XP_005851464.1 hypothetical protein CHLNCDRAFT_137823 [Chlorella variabilis]
OG0003134	KAI3425236.1 hypothetical protein D9Q98_009004 [Chlorella vulgaris]	XP_005845886.1 hypothetical protein CHLNCDRAFT_53578 [Chlorella variabilis]
OG0003135	KAI3433663.1 hypothetical protein D9Q98_003472 [Chlorella vulgaris]	XP_005851465.1 hypothetical protein CHLNCDRAFT_137826 [Chlorella variabilis]
OG0003136	KAI3430657.1 hypothetical protein D9Q98_005249 [Chlorella vulgaris]	XP_005842691.1 hypothetical protein CHLNCDRAFT_136591 [Chlorella variabilis]
OG0003138	KAI3431433.1 hypothetical protein D9Q98_004485 [Chlorella vulgaris], KAI3431432.1 hypothetical protein D9Q98_004485 [Chlorella vulgaris]	XP_005846153.1 hypothetical protein CHLNCDRAFT_36258 [Chlorella variabilis]
OG0003139	KAI3430431.1 hypothetical protein D9Q98_005026 [Chlorella vulgaris]	XP_005844555.1 hypothetical protein CHLNCDRAFT_58840 [Chlorella variabilis]
OG0003140	KAI3425221.1 hypothetical protein D9Q98_008989 [Chlorella vulgaris]	XP_005845895.1 hypothetical protein CHLNCDRAFT_136465 [Chlorella variabilis]
OG0003140	KAI3425225.1 hypothetical protein D9Q98_008993 [Chlorella vulgaris]	XP_005845781.1 hypothetical protein CHLNCDRAFT_25566_ partial [Chlorella variabilis]
OG0003141	KAI3432646.1 hypothetical protein D9Q98_004192 [Chlorella vulgaris]	XP_005843610.1 hypothetical protein CHLNCDRAFT_140195 [Chlorella variabilis]
OG0003142	KAI3433810.1 hypothetical protein D9Q98_003614 [Chlorella vulgaris]	XP_005851410.1 hypothetical protein CHLNCDRAFT_137672 [Chlorella variabilis]
OG0003143	KAI3433809.1 hypothetical protein D9Q98_003613 [Chlorella vulgaris]	XP_005851110.1 hypothetical protein CHLNCDRAFT_33763 [Chlorella variabilis]
OG0003144	KAI3433877.1 hypothetical protein D9Q98_003679 [Chlorella vulgaris]	XP_005851093.1 hypothetical protein CHLNCDRAFT_55965 [Chlorella variabilis]
OG0003145	KAI3433938.1 hypothetical protein D9Q98_003740 [Chlorella vulgaris]	XP_005851078.1 hypothetical protein CHLNCDRAFT_137593 [Chlorella variabilis]
OG0003147	KAI3423709.1 hypothetical protein D9Q98_010683 [Chlorella vulgaris]	XP_005851352.1 hypothetical protein CHLNCDRAFT_48446 [Chlorella variabilis]
OG0003148	KAI3426346.1 hypothetical protein D9Q98_008719 [Chlorella vulgaris]	XP_005848508.1 hypothetical protein CHLNCDRAFT_35154 [Chlorella variabilis]
OG0003149	KAI3424968.1 hypothetical protein D9Q98_008349 [Chlorella vulgaris]	XP_005846677.1 hypothetical protein CHLNCDRAFT_35967 [Chlorella variabilis]
OG0003151	KAI3426366.1 hypothetical protein D9Q98_008738 [Chlorella vulgaris]	XP_005848519.1 hypothetical protein CHLNCDRAFT_13502_ partial [Chlorella variabilis]
OG0003152	KAI3438768.1 hypothetical protein D9Q98_001186 [Chlorella vulgaris]	XP_005849892.1 hypothetical protein CHLNCDRAFT_21212_ partial [Chlorella variabilis]
OG0003153	KAI3424895.1 hypothetical protein D9Q98_008279 [Chlorella vulgaris]	XP_005845108.1 hypothetical protein CHLNCDRAFT_7049_ partial [Chlorella variabilis]
OG0003154	KAI3439127.1 hypothetical protein D9Q98_001535 [Chlorella vulgaris]	XP_005843473.1 hypothetical protein CHLNCDRAFT_28101 [Chlorella variabilis]
OG0003155	KAI3434931.1 hypothetical protein D9Q98_002985 [Chlorella vulgaris]	XP_005849267.1 hypothetical protein CHLNCDRAFT_143536 [Chlorella variabilis]
OG0003156	KAI3439129.1 hypothetical protein D9Q98_001537 [Chlorella vulgaris]	XP_005843475.1 hypothetical protein CHLNCDRAFT_141151 [Chlorella variabilis]
OG0003157	KAI3424884.1 hypothetical protein D9Q98_008268 [Chlorella vulgaris]	XP_005845214.1 hypothetical protein CHLNCDRAFT_26293_ partial [Chlorella variabilis]
OG0003158	KAI3434954.1 hypothetical protein D9Q98_003008 [Chlorella vulgaris]	XP_005849056.1 hypothetical protein CHLNCDRAFT_143513 [Chlorella variabilis]
OG0003159	KAI3438625.1 hypothetical protein D9Q98_001047 [Chlorella vulgaris]	XP_005849826.1 hypothetical protein CHLNCDRAFT_57254 [Chlorella variabilis]
OG0003160	KAI3426082.1 hypothetical protein D9Q98_008050 [Chlorella vulgaris]	XP_005844155.1 hypothetical protein CHLNCDRAFT_56324 [Chlorella variabilis]
OG0003161	KAI3426503.1 hypothetical protein D9Q98_008868 [Chlorella vulgaris]	XP_005848383.1 hypothetical protein CHLNCDRAFT_145161 [Chlorella variabilis]
OG0003162	KAI3426382.1 hypothetical protein D9Q98_008753 [Chlorella vulgaris]	XP_005848526.1 hypothetical protein CHLNCDRAFT_48751 [Chlorella variabilis]
OG0003163	KAI3431345.1 hypothetical protein D9Q98_004403 [Chlorella vulgaris]	XP_005845990.1 hypothetical protein CHLNCDRAFT_53380 [Chlorella variabilis]
OG0003164	KAI3424875.1 hypothetical protein D9Q98_008259 [Chlorella vulgaris]	XP_005845210.1 hypothetical protein CHLNCDRAFT_26258 [Chlorella variabilis]
OG0003165	KAI3428696.1 hypothetical protein D9Q98_007519 [Chlorella vulgaris]	XP_005847394.1 hypothetical protein CHLNCDRAFT_48832 [Chlorella variabilis]
OG0003166	KAI3426505.1 hypothetical protein D9Q98_008870 [Chlorella vulgaris]	XP_005848584.1 hypothetical protein CHLNCDRAFT_48764 [Chlorella variabilis]
OG0003167	KAI3426347.1 hypothetical protein D9Q98_008720 [Chlorella vulgaris]	XP_005848319.1 hypothetical protein CHLNCDRAFT_144988 [Chlorella variabilis]
OG0003168	KAI3433940.1 hypothetical protein D9Q98_003742 [Chlorella vulgaris]	XP_005851079.1 hypothetical protein CHLNCDRAFT_48452 [Chlorella variabilis]
OG0003169	KAI3438618.1 hypothetical protein D9Q98_001041 [Chlorella vulgaris]	XP_005849821.1 expressed protein [Chlorella variabilis]
OG0003170	KAI3433949.1 hypothetical protein D9Q98_003751 [Chlorella vulgaris]	XP_005851082.1 hypothetical protein CHLNCDRAFT_19302 [Chlorella variabilis]
OG0003171	KAI3438647.1 hypothetical protein D9Q98_001069 [Chlorella vulgaris]	XP_005849833.1 hypothetical protein CHLNCDRAFT_56078 [Chlorella variabilis]
OG0003172	KAI3426392.1 hypothetical protein D9Q98_008763 [Chlorella vulgaris]	XP_005848341.1 hypothetical protein CHLNCDRAFT_48752 [Chlorella variabilis]
OG0003173	KAI3438769.1 hypothetical protein D9Q98_001187 [Chlorella vulgaris]	XP_005849635.1 hypothetical protein CHLNCDRAFT_34754 [Chlorella variabilis]
OG0003174	KAI3426339.1 hypothetical protein D9Q98_008712 [Chlorella vulgaris]	XP_005848503.1 hypothetical protein CHLNCDRAFT_144977 [Chlorella variabilis]
OG0003175	KAI3426394.1 hypothetical protein D9Q98_008765 [Chlorella vulgaris]	XP_005848342.1 hypothetical protein CHLNCDRAFT_57654 [Chlorella variabilis]
OG0003176	KAI3432884.1 hypothetical protein D9Q98_010466 [Chlorella vulgaris]	XP_005844405.1 hypothetical protein CHLNCDRAFT_139073 [Chlorella variabilis]
OG0003177	KAI3424253.1 hypothetical protein D9Q98_009607 [Chlorella vulgaris], KAI3424252.1 hypothetical protein D9Q98_009607 [Chlorella vulgaris]	XP_005842864.1 hypothetical protein CHLNCDRAFT_142561 [Chlorella variabilis]
OG0003178	KAI3438996.1 hypothetical protein D9Q98_001408 [Chlorella vulgaris]	XP_005843824.1 hypothetical protein CHLNCDRAFT_139890 [Chlorella variabilis]
OG0003179	KAI3430487.1 hypothetical protein D9Q98_005082 [Chlorella vulgaris]	XP_005843388.1 hypothetical protein CHLNCDRAFT_141224 [Chlorella variabilis]
OG0003180	KAI3430424.1 hypothetical protein D9Q98_005019 [Chlorella vulgaris]	XP_005844459.1 hypothetical protein CHLNCDRAFT_54387 [Chlorella variabilis]
OG0003181	KAI3433832.1 hypothetical protein D9Q98_003636 [Chlorella vulgaris]	XP_005851106.1 hypothetical protein CHLNCDRAFT_137656 [Chlorella variabilis]
OG0003182	KAI3436212.1 hypothetical protein D9Q98_002266 [Chlorella vulgaris]	XP_005845418.1 hypothetical protein CHLNCDRAFT_137002 [Chlorella variabilis]
OG0003183	KAI3433722.1 hypothetical protein D9Q98_003530 [Chlorella vulgaris]	XP_005851441.1 hypothetical protein CHLNCDRAFT_56697 [Chlorella variabilis]
OG0003185	KAI3428270.1 hypothetical protein D9Q98_006649 [Chlorella vulgaris]	XP_005850148.1 hypothetical protein CHLNCDRAFT_34452 [Chlorella variabilis]
OG0003186	KAI3433470.1 hypothetical protein D9Q98_003282 [Chlorella vulgaris]	XP_005851562.1 hypothetical protein CHLNCDRAFT_138040 [Chlorella variabilis]
OG0003187	KAI3433401.1 hypothetical protein D9Q98_003217 [Chlorella vulgaris]	XP_005851596.1 hypothetical protein CHLNCDRAFT_56782 [Chlorella variabilis]
OG0003188	KAI3425157.1 hypothetical protein D9Q98_008928 [Chlorella vulgaris]	XP_005845808.1 expressed protein [Chlorella variabilis]
OG0003188	KAI3428759.1 hypothetical protein D9Q98_007581 [Chlorella vulgaris]	XP_005847224.1 expressed protein [Chlorella variabilis]
OG0003189	KAI3425036.1 hypothetical protein D9Q98_008414 [Chlorella vulgaris]	XP_005846642.1 hypothetical protein CHLNCDRAFT_135311 [Chlorella variabilis]
OG0003191	KAI3429735.1 hypothetical protein D9Q98_010050 [Chlorella vulgaris]	XP_005851899.1 hypothetical protein CHLNCDRAFT_33649 [Chlorella variabilis]
OG0003192	KAI3425907.1 hypothetical protein D9Q98_007879 [Chlorella vulgaris]	XP_005847643.1 hypothetical protein CHLNCDRAFT_23323 [Chlorella variabilis]
OG0003193	KAI3430262.1 hypothetical protein D9Q98_004858 [Chlorella vulgaris], KAI3430330.1 hypothetical protein D9Q98_004925 [Chlorella vulgaris]	XP_005844630.1 hypothetical protein CHLNCDRAFT_54474 [Chlorella variabilis]
OG0003194	KAI3426959.1 hypothetical protein D9Q98_006903 [Chlorella vulgaris]	XP_005848951.1 hypothetical protein CHLNCDRAFT_144442 [Chlorella variabilis]
OG0003196	KAI3426108.1 hypothetical protein D9Q98_008487 [Chlorella vulgaris]	XP_005848392.1 hypothetical protein CHLNCDRAFT_144676 [Chlorella variabilis]
OG0003197	KAI3426341.1 hypothetical protein D9Q98_008714 [Chlorella vulgaris]	XP_005848504.1 hypothetical protein CHLNCDRAFT_30835 [Chlorella variabilis]
OG0003198	KAI3426179.1 hypothetical protein D9Q98_008556 [Chlorella vulgaris]	XP_005848231.1 hypothetical protein CHLNCDRAFT_48732 [Chlorella variabilis]
OG0003199	KAI3426166.1 hypothetical protein D9Q98_008543 [Chlorella vulgaris]	XP_005848417.1 hypothetical protein CHLNCDRAFT_51750 [Chlorella variabilis]
OG0003201	KAI3430613.1 hypothetical protein D9Q98_005205 [Chlorella vulgaris]	XP_005844011.1 hypothetical protein CHLNCDRAFT_59064 [Chlorella variabilis]
OG0003201	KAI3433543.1 hypothetical protein D9Q98_003353 [Chlorella vulgaris]	XP_005851243.1 hypothetical protein CHLNCDRAFT_137966 [Chlorella variabilis]
OG0003202	KAI3431742.1 hypothetical protein D9Q98_004784 [Chlorella vulgaris]	XP_005844833.1 hypothetical protein CHLNCDRAFT_9136_ partial [Chlorella variabilis]
OG0003203	KAI3439000.1 hypothetical protein D9Q98_001412 [Chlorella vulgaris]	XP_005843770.1 hypothetical protein CHLNCDRAFT_139894 [Chlorella variabilis]
OG0003204	KAI3428832.1 hypothetical protein D9Q98_007649 [Chlorella vulgaris]	XP_005850465.1 hypothetical protein CHLNCDRAFT_142438 [Chlorella variabilis]
OG0003205	KAI3428250.1 hypothetical protein D9Q98_006629 [Chlorella vulgaris]	XP_005850384.1 hypothetical protein CHLNCDRAFT_142258 [Chlorella variabilis]
OG0003206	KAI3437569.1 hypothetical protein D9Q98_000022 [Chlorella vulgaris]	XP_005848022.1 hypothetical protein CHLNCDRAFT_10674_ partial [Chlorella variabilis]
OG0003207	KAI3437694.1 hypothetical protein D9Q98_000143 [Chlorella vulgaris]	XP_005848140.1 hypothetical protein CHLNCDRAFT_145478 [Chlorella variabilis]
OG0003208	KAI3437752.1 hypothetical protein D9Q98_000200 [Chlorella vulgaris]	XP_005847954.1 hypothetical protein CHLNCDRAFT_48784 [Chlorella variabilis]
