Orthogroup	Auxenochlorella_protothecoides	Chlorella_A99	Chlorella_KRBP	Chlorella_Sorokiniana1602	Chlorella_VariabilisNC64A	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180	Scenedesmus_NREL	Scenedesmus_PABB004
OG0014603								PSC76456.1 hypothetical protein C2E20_0158 [Micractinium conductrix]		
OG0014604								PSC76485.1 hypothetical protein C2E20_0531 [Micractinium conductrix]		
OG0014605								PSC76486.1 hypothetical protein C2E20_0012 [Micractinium conductrix]		
OG0014606								PSC76544.1 hypothetical protein C2E20_0455 [Micractinium conductrix]		
OG0014607								PSC76555.1 intraflagellar transport 88-like protein isoform X2 [Micractinium conductrix]		
OG0014608								PSC76559.1 CRISPR-associated helicase endonuclease Cas3 [Micractinium conductrix]		
OG0014609								PSC76584.1 56kda selenium binding [Micractinium conductrix]		
OG0014610								PSC76589.1 P-loop containing nucleoside triphosphate hydrolase [Micractinium conductrix]		
OG0014611								PSC76630.1 hypothetical protein C2E20_0725 [Micractinium conductrix]		
OG0014612								PSC76659.1 A alpha-helical domain with a conserved ER moti [Micractinium conductrix]		
OG0014613								PSC76692.1 hypothetical protein C2E20_0933 [Micractinium conductrix]		
OG0014614								PSC76699.1 pyruvate dehydrogenase [Micractinium conductrix]		
OG0014615								PSC76729.1 E3 ubiquitin-ligase DZIP3 isoform X2 [Micractinium conductrix]		
OG0014616								PSC76733.1 hypothetical protein C2E20_0820 [Micractinium conductrix]		
OG0014617								PSC76817.1 nitrate ABC transporter substrate-binding [Micractinium conductrix]		
OG0014618								PSC76823.1 ABC transporter _Adp1_ [Micractinium conductrix]		
OG0014619								PSC76856.1 hypothetical protein C2E20_0154 [Micractinium conductrix]		
OG0014620								PSC76922.1 hypothetical protein C2E20_0535 [Micractinium conductrix]		
OG0014621								PSC76945.1 hypothetical protein C2E20_0572 [Micractinium conductrix]		
OG0014622								PSC76950.1 hypothetical protein C2E20_0787 [Micractinium conductrix]		
OG0014623								PSC76951.1 shikimate [Micractinium conductrix]		
OG0014624								PSC76978.1 acyl-dehydrogenase [Micractinium conductrix]		
OG0014625								PSC76986.1 ABC transporter permease [Micractinium conductrix]		
OG0014626								PSC76988.1 hypothetical protein C2E20_0137 [Micractinium conductrix]		
OG0014627								PSC76993.1 hypothetical protein C2E20_0574 [Micractinium conductrix]		
OG0014628								PSC77026.1 hypothetical protein C2E20_0906 [Micractinium conductrix]		
OG0014629									KAF6231373.1 hypothetical protein COO60DRAFT_1654077 [Scenedesmus sp. NREL 46B-D3]	
OG0014630									KAF6231897.1 hypothetical protein COO60DRAFT_1654005 [Scenedesmus sp. NREL 46B-D3]	
OG0014631									KAF6232493.1 hypothetical protein COO60DRAFT_1469937 [Scenedesmus sp. NREL 46B-D3]	
OG0014632									KAF6232854.1 hypothetical protein COO60DRAFT_1653897_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014633									KAF6233695.1 hypothetical protein COO60DRAFT_541534 [Scenedesmus sp. NREL 46B-D3]	
OG0014634									KAF6234311.1 hypothetical protein COO60DRAFT_526623 [Scenedesmus sp. NREL 46B-D3]	
OG0014635									KAF6234466.1 hypothetical protein COO60DRAFT_1619096 [Scenedesmus sp. NREL 46B-D3]	
OG0014636									KAF6234467.1 hypothetical protein COO60DRAFT_1653661_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014637									KAF6234469.1 hypothetical protein COO60DRAFT_1469849 [Scenedesmus sp. NREL 46B-D3]	
OG0014638									KAF6234881.1 hypothetical protein COO60DRAFT_1469825 [Scenedesmus sp. NREL 46B-D3]	
OG0014639									KAF6234882.1 ankyrin repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	
OG0014640									KAF6235185.1 hypothetical protein COO60DRAFT_507909 [Scenedesmus sp. NREL 46B-D3]	
OG0014641									KAF6235445.1 hypothetical protein COO60DRAFT_1671582_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014642									KAF6235702.1 hypothetical protein COO60DRAFT_1280614_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014643									KAF6235934.1 hypothetical protein COO60DRAFT_493944 [Scenedesmus sp. NREL 46B-D3]	
OG0014644									KAF6235938.1 hypothetical protein COO60DRAFT_492118 [Scenedesmus sp. NREL 46B-D3]	
OG0014645									KAF6235941.1 hypothetical protein COO60DRAFT_1617611_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014646									KAF6236429.1 hypothetical protein COO60DRAFT_477018 [Scenedesmus sp. NREL 46B-D3]	
OG0014647									KAF6236435.1 hypothetical protein COO60DRAFT_1617026 [Scenedesmus sp. NREL 46B-D3]	
OG0014648									KAF6238023.1 hypothetical protein COO60DRAFT_417991 [Scenedesmus sp. NREL 46B-D3]	
OG0014649									KAF6238024.1 hypothetical protein COO60DRAFT_1614902_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014650									KAF6238214.1 hypothetical protein COO60DRAFT_1614782 [Scenedesmus sp. NREL 46B-D3]	
OG0014651									KAF6238215.1 hypothetical protein COO60DRAFT_1614785 [Scenedesmus sp. NREL 46B-D3]	
OG0014652									KAF6238530.1 squalene epoxidase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
OG0014653									KAF6239164.1 hypothetical protein COO60DRAFT_1469313_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014654									KAF6239169.1 hypothetical protein COO60DRAFT_375062 [Scenedesmus sp. NREL 46B-D3]	
OG0014655									KAF6239457.1 hypothetical protein COO60DRAFT_1469260 [Scenedesmus sp. NREL 46B-D3]	
OG0014656									KAF6239460.1 hypothetical protein COO60DRAFT_1709130 [Scenedesmus sp. NREL 46B-D3]	
OG0014657									KAF6239889.1 hypothetical protein COO60DRAFT_351461 [Scenedesmus sp. NREL 46B-D3]	
OG0014658									KAF6240402.1 hypothetical protein COO60DRAFT_339114 [Scenedesmus sp. NREL 46B-D3]	
OG0014659									KAF6240405.1 hypothetical protein COO60DRAFT_1611513 [Scenedesmus sp. NREL 46B-D3]	
OG0014660									KAF6240410.1 hypothetical protein COO60DRAFT_1611419 [Scenedesmus sp. NREL 46B-D3]	
OG0014661									KAF6240837.1 hypothetical protein COO60DRAFT_1291001 [Scenedesmus sp. NREL 46B-D3]	
OG0014662									KAF6241285.1 hypothetical protein COO60DRAFT_1652194 [Scenedesmus sp. NREL 46B-D3]	
OG0014663									KAF6241289.1 hypothetical protein COO60DRAFT_284832 [Scenedesmus sp. NREL 46B-D3]	
OG0014664									KAF6241290.1 hypothetical protein COO60DRAFT_1609020_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014665									KAF6241921.1 hypothetical protein COO60DRAFT_1608479 [Scenedesmus sp. NREL 46B-D3]	
OG0014666									KAF6241923.1 hypothetical protein COO60DRAFT_1608204_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014667									KAF6241924.1 hypothetical protein COO60DRAFT_263444 [Scenedesmus sp. NREL 46B-D3]	
OG0014668									KAF6241925.1 hypothetical protein COO60DRAFT_263443 [Scenedesmus sp. NREL 46B-D3]	
OG0014669									KAF6241926.1 hypothetical protein COO60DRAFT_1608205 [Scenedesmus sp. NREL 46B-D3]	
OG0014670									KAF6241947.1 hypothetical protein COO60DRAFT_1468717_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014671									KAF6241949.1 hypothetical protein COO60DRAFT_1468719_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014672									KAF6241962.1 hypothetical protein COO60DRAFT_255545 [Scenedesmus sp. NREL 46B-D3]	
OG0014673									KAF6242158.1 hypothetical protein COO60DRAFT_228738 [Scenedesmus sp. NREL 46B-D3]	
OG0014674									KAF6242388.1 hypothetical protein COO60DRAFT_205625 [Scenedesmus sp. NREL 46B-D3]	
OG0014675									KAF6242393.1 hypothetical protein COO60DRAFT_205524 [Scenedesmus sp. NREL 46B-D3]	
OG0014676									KAF6243420.1 hypothetical protein COO60DRAFT_1603347 [Scenedesmus sp. NREL 46B-D3]	
OG0014677									KAF6243636.1 hypothetical protein COO60DRAFT_150070 [Scenedesmus sp. NREL 46B-D3]	
OG0014678									KAF6243702.1 hypothetical protein COO60DRAFT_145432 [Scenedesmus sp. NREL 46B-D3]	
OG0014679									KAF6244107.1 hypothetical protein COO60DRAFT_1601277_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014680									KAF6244111.1 hypothetical protein COO60DRAFT_1601279_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014681									KAF6244113.1 hypothetical protein COO60DRAFT_1601282_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014682									KAF6244115.1 hypothetical protein COO60DRAFT_117893 [Scenedesmus sp. NREL 46B-D3]	
OG0014683									KAF6244118.1 hypothetical protein COO60DRAFT_1468031 [Scenedesmus sp. NREL 46B-D3]	
OG0014684									KAF6244119.1 hypothetical protein COO60DRAFT_1601073_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014685									KAF6244120.1 hypothetical protein COO60DRAFT_116101 [Scenedesmus sp. NREL 46B-D3]	
OG0014686									KAF6244127.1 hypothetical protein COO60DRAFT_1600751_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014687									KAF6244128.1 hypothetical protein COO60DRAFT_109202 [Scenedesmus sp. NREL 46B-D3]	
OG0014688									KAF6244129.1 hypothetical protein COO60DRAFT_109207 [Scenedesmus sp. NREL 46B-D3]	
OG0014689									KAF6244130.1 hypothetical protein COO60DRAFT_109219 [Scenedesmus sp. NREL 46B-D3]	
OG0014690									KAF6244131.1 hypothetical protein COO60DRAFT_109209 [Scenedesmus sp. NREL 46B-D3]	
OG0014691									KAF6244134.1 hypothetical protein COO60DRAFT_107504 [Scenedesmus sp. NREL 46B-D3]	
OG0014692									KAF6244146.1 hypothetical protein COO60DRAFT_94129 [Scenedesmus sp. NREL 46B-D3]	
OG0014693									KAF6244149.1 hypothetical protein COO60DRAFT_1708074 [Scenedesmus sp. NREL 46B-D3]	
OG0014694									KAF6244725.1 hypothetical protein COO60DRAFT_1598846 [Scenedesmus sp. NREL 46B-D3]	
OG0014695									KAF6244986.1 hypothetical protein COO60DRAFT_1650465 [Scenedesmus sp. NREL 46B-D3]	
OG0014696									KAF6245032.1 hypothetical protein COO60DRAFT_1707929 [Scenedesmus sp. NREL 46B-D3]	
OG0014697									KAF6245035.1 hypothetical protein COO60DRAFT_1597679_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014698									KAF6245144.1 hypothetical protein COO60DRAFT_1597572 [Scenedesmus sp. NREL 46B-D3]	
OG0014699									KAF6245145.1 hypothetical protein COO60DRAFT_1650417 [Scenedesmus sp. NREL 46B-D3]	
OG0014700									KAF6245146.1 hypothetical protein COO60DRAFT_1650418 [Scenedesmus sp. NREL 46B-D3]	
OG0014701									KAF6245150.1 hypothetical protein COO60DRAFT_1597456 [Scenedesmus sp. NREL 46B-D3]	
OG0014702									KAF6245557.1 hypothetical protein COO60DRAFT_32754 [Scenedesmus sp. NREL 46B-D3]	
OG0014703									KAF6245559.1 hypothetical protein COO60DRAFT_1278551_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014704									KAF6245563.1 hypothetical protein COO60DRAFT_1650203 [Scenedesmus sp. NREL 46B-D3]	
OG0014705									KAF6245566.1 hypothetical protein COO60DRAFT_28775 [Scenedesmus sp. NREL 46B-D3]	
OG0014706									KAF6245569.1 hypothetical protein COO60DRAFT_1650178 [Scenedesmus sp. NREL 46B-D3]	
OG0014707									KAF6245570.1 hypothetical protein COO60DRAFT_27484 [Scenedesmus sp. NREL 46B-D3]	
OG0014708									KAF6246114.1 hypothetical protein COO60DRAFT_1230335 [Scenedesmus sp. NREL 46B-D3]	
OG0014709									KAF6246270.1 hypothetical protein COO60DRAFT_1594358 [Scenedesmus sp. NREL 46B-D3]	
OG0014710									KAF6246274.1 hypothetical protein COO60DRAFT_1594246 [Scenedesmus sp. NREL 46B-D3]	
OG0014711									KAF6246277.1 hypothetical protein COO60DRAFT_1210636 [Scenedesmus sp. NREL 46B-D3]	
OG0014712									KAF6246423.1 hypothetical protein COO60DRAFT_1593870 [Scenedesmus sp. NREL 46B-D3]	
OG0014713									KAF6246424.1 hypothetical protein COO60DRAFT_1205676 [Scenedesmus sp. NREL 46B-D3]	
OG0014714									KAF6246654.1 hypothetical protein COO60DRAFT_1593662 [Scenedesmus sp. NREL 46B-D3]	
OG0014715									KAF6246663.1 hypothetical protein COO60DRAFT_1593305 [Scenedesmus sp. NREL 46B-D3]	
OG0014716									KAF6247046.1 hypothetical protein COO60DRAFT_1707511 [Scenedesmus sp. NREL 46B-D3]	
OG0014717									KAF6247230.1 hypothetical protein COO60DRAFT_1649583 [Scenedesmus sp. NREL 46B-D3]	
OG0014718									KAF6247233.1 hypothetical protein COO60DRAFT_1467170 [Scenedesmus sp. NREL 46B-D3]	
OG0014719									KAF6247234.1 hypothetical protein COO60DRAFT_1167648 [Scenedesmus sp. NREL 46B-D3]	
OG0014720									KAF6247243.1 hypothetical protein COO60DRAFT_1167369 [Scenedesmus sp. NREL 46B-D3]	
OG0014721									KAF6247245.1 hypothetical protein COO60DRAFT_1167412 [Scenedesmus sp. NREL 46B-D3]	
OG0014722									KAF6248246.1 hypothetical protein COO60DRAFT_1300381_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014723									KAF6248248.1 hypothetical protein COO60DRAFT_1589842 [Scenedesmus sp. NREL 46B-D3]	
OG0014724									KAF6248252.1 hypothetical protein COO60DRAFT_1466923 [Scenedesmus sp. NREL 46B-D3]	
OG0014725									KAF6248256.1 hypothetical protein COO60DRAFT_1124347 [Scenedesmus sp. NREL 46B-D3]	
OG0014726									KAF6248263.1 hypothetical protein COO60DRAFT_1589473 [Scenedesmus sp. NREL 46B-D3]	
OG0014727									KAF6248264.1 hypothetical protein COO60DRAFT_1589474_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014728									KAF6248265.1 hypothetical protein COO60DRAFT_1589477 [Scenedesmus sp. NREL 46B-D3]	
OG0014729									KAF6248290.1 hypothetical protein COO60DRAFT_1104208 [Scenedesmus sp. NREL 46B-D3]	
OG0014730									KAF6248298.1 hypothetical protein COO60DRAFT_1588821_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014731									KAF6248304.1 hypothetical protein COO60DRAFT_1277728 [Scenedesmus sp. NREL 46B-D3]	
OG0014732									KAF6248316.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
OG0014733									KAF6248318.1 hypothetical protein COO60DRAFT_1100200 [Scenedesmus sp. NREL 46B-D3]	
OG0014734									KAF6248346.1 hypothetical protein COO60DRAFT_1588619 [Scenedesmus sp. NREL 46B-D3]	
OG0014735									KAF6248355.1 hypothetical protein COO60DRAFT_1098240 [Scenedesmus sp. NREL 46B-D3]	
OG0014736									KAF6248406.1 hypothetical protein COO60DRAFT_1090832 [Scenedesmus sp. NREL 46B-D3]	
OG0014737									KAF6248420.1 hypothetical protein COO60DRAFT_1466724 [Scenedesmus sp. NREL 46B-D3]	
OG0014738									KAF6248440.1 hypothetical protein COO60DRAFT_1587785 [Scenedesmus sp. NREL 46B-D3]	
OG0014739									KAF6248443.1 hypothetical protein COO60DRAFT_1587813 [Scenedesmus sp. NREL 46B-D3]	
OG0014740									KAF6248546.1 hypothetical protein COO60DRAFT_1069957 [Scenedesmus sp. NREL 46B-D3]	
OG0014741									KAF6248548.1 hypothetical protein COO60DRAFT_1070127 [Scenedesmus sp. NREL 46B-D3]	
OG0014742									KAF6248549.1 hypothetical protein COO60DRAFT_1070128 [Scenedesmus sp. NREL 46B-D3]	
OG0014743									KAF6248568.1 hypothetical protein COO60DRAFT_1586595_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014744									KAF6248581.1 hypothetical protein COO60DRAFT_1648756 [Scenedesmus sp. NREL 46B-D3]	
OG0014745									KAF6248584.1 hypothetical protein COO60DRAFT_1064961 [Scenedesmus sp. NREL 46B-D3]	
OG0014746									KAF6248585.1 hypothetical protein COO60DRAFT_1064948 [Scenedesmus sp. NREL 46B-D3]	
OG0014747									KAF6248732.1 hypothetical protein COO60DRAFT_1033170 [Scenedesmus sp. NREL 46B-D3]	
OG0014748									KAF6248734.1 hypothetical protein COO60DRAFT_1584941 [Scenedesmus sp. NREL 46B-D3]	
OG0014749									KAF6248737.1 hypothetical protein COO60DRAFT_1706825 [Scenedesmus sp. NREL 46B-D3]	
OG0014750									KAF6248761.1 hypothetical protein COO60DRAFT_1032251 [Scenedesmus sp. NREL 46B-D3]	
OG0014751									KAF6248775.1 hypothetical protein COO60DRAFT_1028378 [Scenedesmus sp. NREL 46B-D3]	
OG0014752									KAF6248835.1 hypothetical protein COO60DRAFT_1584346 [Scenedesmus sp. NREL 46B-D3]	
OG0014753									KAF6248836.1 hypothetical protein COO60DRAFT_1025886 [Scenedesmus sp. NREL 46B-D3]	
OG0014754									KAF6248850.1 hypothetical protein COO60DRAFT_1689146 [Scenedesmus sp. NREL 46B-D3]	
OG0014755									KAF6248877.1 hypothetical protein COO60DRAFT_1020067 [Scenedesmus sp. NREL 46B-D3]	
OG0014756									KAF6248880.1 hypothetical protein COO60DRAFT_1584121 [Scenedesmus sp. NREL 46B-D3]	
OG0014757									KAF6248907.1 hypothetical protein COO60DRAFT_1018719 [Scenedesmus sp. NREL 46B-D3]	
OG0014758									KAF6248936.1 hypothetical protein COO60DRAFT_1583819 [Scenedesmus sp. NREL 46B-D3]	
OG0014759									KAF6248938.1 hypothetical protein COO60DRAFT_1583823 [Scenedesmus sp. NREL 46B-D3]	
OG0014760									KAF6248939.1 hypothetical protein COO60DRAFT_1706733 [Scenedesmus sp. NREL 46B-D3]	
OG0014761									KAF6248940.1 hypothetical protein COO60DRAFT_1013627 [Scenedesmus sp. NREL 46B-D3]	
OG0014762									KAF6248950.1 hypothetical protein COO60DRAFT_1583764_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014763									KAF6248975.1 hypothetical protein COO60DRAFT_1583635_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014764									KAF6248978.1 hypothetical protein COO60DRAFT_1007664 [Scenedesmus sp. NREL 46B-D3]	
OG0014765									KAF6248979.1 hypothetical protein COO60DRAFT_1648326 [Scenedesmus sp. NREL 46B-D3]	
OG0014766									KAF6248980.1 hypothetical protein COO60DRAFT_1007700 [Scenedesmus sp. NREL 46B-D3]	
OG0014767									KAF6248982.1 hypothetical protein COO60DRAFT_1007788 [Scenedesmus sp. NREL 46B-D3]	
OG0014768									KAF6248986.1 hypothetical protein COO60DRAFT_1007350 [Scenedesmus sp. NREL 46B-D3]	
OG0014769									KAF6248987.1 hypothetical protein COO60DRAFT_1007457 [Scenedesmus sp. NREL 46B-D3]	
OG0014770									KAF6248988.1 hypothetical protein COO60DRAFT_1007483 [Scenedesmus sp. NREL 46B-D3]	
OG0014771									KAF6248989.1 hypothetical protein COO60DRAFT_1688598 [Scenedesmus sp. NREL 46B-D3]	
OG0014772									KAF6249019.1 hypothetical protein COO60DRAFT_1005688 [Scenedesmus sp. NREL 46B-D3]	
OG0014773									KAF6249022.1 hypothetical protein COO60DRAFT_1583370 [Scenedesmus sp. NREL 46B-D3]	
OG0014774									KAF6249026.1 hypothetical protein COO60DRAFT_1583385 [Scenedesmus sp. NREL 46B-D3]	
OG0014775									KAF6249080.1 hypothetical protein COO60DRAFT_1000166 [Scenedesmus sp. NREL 46B-D3]	
OG0014776									KAF6249091.1 hypothetical protein COO60DRAFT_1583164 [Scenedesmus sp. NREL 46B-D3]	
OG0014777									KAF6249111.1 hypothetical protein COO60DRAFT_998532 [Scenedesmus sp. NREL 46B-D3]	
OG0014778									KAF6249198.1 granule-bound starch synthase I [Scenedesmus sp. NREL 46B-D3]	
OG0014779									KAF6249254.1 hypothetical protein COO60DRAFT_1687781 [Scenedesmus sp. NREL 46B-D3]	
OG0014780									KAF6249257.1 hypothetical protein COO60DRAFT_1582174 [Scenedesmus sp. NREL 46B-D3]	
OG0014781									KAF6249259.1 hypothetical protein COO60DRAFT_1582175_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014782									KAF6249261.1 hypothetical protein COO60DRAFT_1648094 [Scenedesmus sp. NREL 46B-D3]	
OG0014783									KAF6249279.1 hypothetical protein COO60DRAFT_1582110_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014784									KAF6249358.1 hypothetical protein COO60DRAFT_977445 [Scenedesmus sp. NREL 46B-D3]	
OG0014785									KAF6249359.1 hypothetical protein COO60DRAFT_977519 [Scenedesmus sp. NREL 46B-D3]	
OG0014786									KAF6249398.1 hypothetical protein COO60DRAFT_1581399 [Scenedesmus sp. NREL 46B-D3]	
OG0014787									KAF6249415.1 hypothetical protein COO60DRAFT_1581208 [Scenedesmus sp. NREL 46B-D3]	
OG0014788									KAF6249421.1 hypothetical protein COO60DRAFT_1581256_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014789									KAF6249435.1 hypothetical protein COO60DRAFT_1581084 [Scenedesmus sp. NREL 46B-D3]	
OG0014790									KAF6249472.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	
OG0014791									KAF6249473.1 hypothetical protein COO60DRAFT_968331 [Scenedesmus sp. NREL 46B-D3]	
OG0014792									KAF6249500.1 hypothetical protein COO60DRAFT_951424 [Scenedesmus sp. NREL 46B-D3]	
OG0014793									KAF6249502.1 hypothetical protein COO60DRAFT_1580681 [Scenedesmus sp. NREL 46B-D3]	
OG0014794									KAF6249536.1 hypothetical protein COO60DRAFT_1647886 [Scenedesmus sp. NREL 46B-D3]	
OG0014795									KAF6249543.1 hypothetical protein COO60DRAFT_1686733_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014796									KAF6249587.1 hypothetical protein COO60DRAFT_1580341 [Scenedesmus sp. NREL 46B-D3]	
OG0014797									KAF6249588.1 hypothetical protein COO60DRAFT_948518 [Scenedesmus sp. NREL 46B-D3]	
OG0014798									KAF6249590.1 hypothetical protein COO60DRAFT_1466031 [Scenedesmus sp. NREL 46B-D3]	
OG0014799									KAF6249633.1 hypothetical protein COO60DRAFT_943512 [Scenedesmus sp. NREL 46B-D3]	
OG0014800									KAF6249636.1 hypothetical protein COO60DRAFT_943531 [Scenedesmus sp. NREL 46B-D3]	
OG0014801									KAF6249637.1 hypothetical protein COO60DRAFT_1580124 [Scenedesmus sp. NREL 46B-D3]	
OG0014802									KAF6249659.1 hypothetical protein COO60DRAFT_942923 [Scenedesmus sp. NREL 46B-D3]	
OG0014803									KAF6249788.1 hypothetical protein COO60DRAFT_933260 [Scenedesmus sp. NREL 46B-D3]	
OG0014804									KAF6249831.1 hypothetical protein COO60DRAFT_927627 [Scenedesmus sp. NREL 46B-D3]	
OG0014805									KAF6249972.1 hypothetical protein COO60DRAFT_919203 [Scenedesmus sp. NREL 46B-D3]	
OG0014806									KAF6249973.1 hypothetical protein COO60DRAFT_1647584 [Scenedesmus sp. NREL 46B-D3]	
OG0014807									KAF6250025.1 hypothetical protein COO60DRAFT_912959 [Scenedesmus sp. NREL 46B-D3]	
OG0014808									KAF6250027.1 hypothetical protein COO60DRAFT_912950 [Scenedesmus sp. NREL 46B-D3]	
OG0014809									KAF6250028.1 hypothetical protein COO60DRAFT_1578278 [Scenedesmus sp. NREL 46B-D3]	
OG0014810									KAF6250032.1 hypothetical protein COO60DRAFT_913087 [Scenedesmus sp. NREL 46B-D3]	
OG0014811									KAF6250063.1 hypothetical protein COO60DRAFT_912436 [Scenedesmus sp. NREL 46B-D3]	
OG0014812									KAF6250065.1 hypothetical protein COO60DRAFT_1578186_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014813									KAF6250101.1 hypothetical protein COO60DRAFT_1578106 [Scenedesmus sp. NREL 46B-D3]	
OG0014814									KAF6250104.1 hypothetical protein COO60DRAFT_911888 [Scenedesmus sp. NREL 46B-D3]	
OG0014815									KAF6250171.1 hypothetical protein COO60DRAFT_1647467 [Scenedesmus sp. NREL 46B-D3]	
OG0014816									KAF6250172.1 hypothetical protein COO60DRAFT_1647468 [Scenedesmus sp. NREL 46B-D3]	
OG0014817									KAF6250209.1 hypothetical protein COO60DRAFT_1577703 [Scenedesmus sp. NREL 46B-D3]	
OG0014818									KAF6250257.1 hypothetical protein COO60DRAFT_1465765_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014819									KAF6250258.1 hypothetical protein COO60DRAFT_903154 [Scenedesmus sp. NREL 46B-D3]	
OG0014820									KAF6250259.1 hypothetical protein COO60DRAFT_903131 [Scenedesmus sp. NREL 46B-D3]	
OG0014821									KAF6250305.1 hypothetical protein COO60DRAFT_1465734 [Scenedesmus sp. NREL 46B-D3]	
OG0014822									KAF6250310.1 hypothetical protein COO60DRAFT_895122 [Scenedesmus sp. NREL 46B-D3]	
OG0014823									KAF6250313.1 hypothetical protein COO60DRAFT_1576606 [Scenedesmus sp. NREL 46B-D3]	
OG0014824									KAF6250329.1 hypothetical protein COO60DRAFT_894493 [Scenedesmus sp. NREL 46B-D3]	
OG0014825									KAF6250342.1 hypothetical protein COO60DRAFT_1629902 [Scenedesmus sp. NREL 46B-D3]	
OG0014826									KAF6250343.1 hypothetical protein COO60DRAFT_889686 [Scenedesmus sp. NREL 46B-D3]	
OG0014827									KAF6250348.1 hypothetical protein COO60DRAFT_1261821_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014828									KAF6250351.1 hypothetical protein COO60DRAFT_887671 [Scenedesmus sp. NREL 46B-D3]	
OG0014829									KAF6250357.1 hypothetical protein COO60DRAFT_1576127 [Scenedesmus sp. NREL 46B-D3]	
OG0014830									KAF6250361.1 hypothetical protein COO60DRAFT_887597 [Scenedesmus sp. NREL 46B-D3]	
OG0014831									KAF6250367.1 hypothetical protein COO60DRAFT_881517 [Scenedesmus sp. NREL 46B-D3]	
OG0014832									KAF6250368.1 hypothetical protein COO60DRAFT_1575940_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014833									KAF6250369.1 hypothetical protein COO60DRAFT_881528 [Scenedesmus sp. NREL 46B-D3]	
OG0014834									KAF6250373.1 hypothetical protein COO60DRAFT_1684437_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014835									KAF6250377.1 hypothetical protein COO60DRAFT_860130 [Scenedesmus sp. NREL 46B-D3]	
OG0014836									KAF6250378.1 hypothetical protein COO60DRAFT_860171 [Scenedesmus sp. NREL 46B-D3]	
OG0014837									KAF6250381.1 hypothetical protein COO60DRAFT_860263 [Scenedesmus sp. NREL 46B-D3]	
OG0014838									KAF6250383.1 hypothetical protein COO60DRAFT_860493 [Scenedesmus sp. NREL 46B-D3]	
OG0014839									KAF6250389.1 hypothetical protein COO60DRAFT_859974 [Scenedesmus sp. NREL 46B-D3]	
OG0014840									KAF6250396.1 hypothetical protein COO60DRAFT_858850 [Scenedesmus sp. NREL 46B-D3]	
OG0014841									KAF6250397.1 hypothetical protein COO60DRAFT_858863 [Scenedesmus sp. NREL 46B-D3]	
OG0014842									KAF6250402.1 hypothetical protein COO60DRAFT_1629808_ partial [Scenedesmus sp. NREL 46B-D3]	
OG0014843									KAF6250404.1 hypothetical protein COO60DRAFT_858254 [Scenedesmus sp. NREL 46B-D3]	
OG0014844									KAF6250406.1 hypothetical protein COO60DRAFT_1574970 [Scenedesmus sp. NREL 46B-D3]	
OG0014845									KAF6250408.1 hypothetical protein COO60DRAFT_1574977 [Scenedesmus sp. NREL 46B-D3]	
OG0014846									KAF6250412.1 hypothetical protein COO60DRAFT_1574706 [Scenedesmus sp. NREL 46B-D3]	
OG0014847									KAF6250417.1 hypothetical protein COO60DRAFT_1574280 [Scenedesmus sp. NREL 46B-D3]	
