Orthogroup	Scenedesmus_NREL	Chlorella_A99
OG0001443	KAF6258057.1 acetate kinase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000077.1 g1747 [Chlorella sp. A99]
OG0001445	KAF6252875.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000003.1 g1049 [Chlorella sp. A99]
OG0001446	KAF6252879.1 RNA polymerase_ partial [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g258 [Chlorella sp. A99]
OG0001447	KAF6250353.1 Sac2 family-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250352.1 hypothetical protein COO60DRAFT_1647305 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g268 [Chlorella sp. A99]
OG0001449	KAF6266368.1 hypothetical protein COO60DRAFT_449669 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000008.1 g1140 [Chlorella sp. A99]
OG0001450	KAF6254772.1 cation efflux protein [Scenedesmus sp. NREL 46B-D3], KAF6254771.1 HAUS augmin-like complex subunit 6 N-terminus-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000002.1 g665 [Chlorella sp. A99]
OG0001451	KAF6261350.1 hypothetical protein COO60DRAFT_1636929 [Scenedesmus sp. NREL 46B-D3], KAF6253888.1 putative bithoraxoid-like protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g17 [Chlorella sp. A99]
OG0001452	KAF6265524.1 exonuclease-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6265522.1 ubiquitin carboxyl-terminal hydrolase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g69 [Chlorella sp. A99]
OG0001453	KAF6257287.1 hypothetical protein COO60DRAFT_1524954 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g72 [Chlorella sp. A99]
OG0001455	KAF6257977.1 CYP97C3 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000015.1 g2968 [Chlorella sp. A99]
OG0001456	KAF6257845.1 hypothetical protein COO60DRAFT_1701643 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000001.1 g1016 [Chlorella sp. A99]
OG0001458	KAF6262309.1 P-loop containing nucleoside triphosphate hydrolase protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6252047.1 EF hand associated-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g501 [Chlorella sp. A99]
OG0001460	KAF6255600.1 plastid/chloroplast ribosomal protein L15 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000015.1 g2966 [Chlorella sp. A99]
OG0001465	KAF6251973.1 dihydropryrimidine dehydrogenase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000005.1 g771 [Chlorella sp. A99]
OG0001466	KAF6262913.1 magnesium chelatase subunit of protochlorophyllide reductase [Scenedesmus sp. NREL 46B-D3], KAF6256262.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000015.1 g2997 [Chlorella sp. A99]
OG0001470	KAF6253544.1 PspA/IM30 family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000023.1 g2227 [Chlorella sp. A99]
OG0001472	KAF6264124.1 hypothetical protein COO60DRAFT_1634562 [Scenedesmus sp. NREL 46B-D3], KAF6263842.1 hypothetical protein COO60DRAFT_1698539 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000006.1 g3175 [Chlorella sp. A99]
OG0001473	KAF6265642.1 PTHB1 N-terminus-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6265627.1 DNA-binding protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1246 [Chlorella sp. A99]
OG0001475	KAF6261257.1 peptidase M16C associated-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000018.1 g415 [Chlorella sp. A99]
OG0001476	KAF6250612.1 component of oligomeric golgi complex 6 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g241 [Chlorella sp. A99]
OG0001478	KAF6251122.1 JAB1/Mov34/MPN/PAD-1 ubiquitin protease-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6251118.1 hypothetical protein COO60DRAFT_1645405_ partial [Scenedesmus sp. NREL 46B-D3], KAF6251119.1 hypothetical protein COO60DRAFT_1705041 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000006.1 g3170 [Chlorella sp. A99]
OG0001479	KAF6264156.1 nucleotide-diphospho-sugar transferase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000037.1 g2356 [Chlorella sp. A99]
OG0001481	KAF6258501.1 hypothetical protein COO60DRAFT_1295277 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000006.1 g3186 [Chlorella sp. A99]
OG0001482	KAF6242043.1 hypothetical protein COO60DRAFT_1651842 [Scenedesmus sp. NREL 46B-D3], KAF6253056.1 non-discriminatory gln-glu-trna synthetase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000009.1 g1698 [Chlorella sp. A99]
OG0001483	KAF6264448.1 XRN 5'-3' exonuclease N-terminus-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000081.1 g1587 [Chlorella sp. A99]
OG0001485	KAF6261621.1 hypothetical protein COO60DRAFT_742532 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000037.1 g2471 [Chlorella sp. A99]
OG0001487	KAF6264247.1 si-synthase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g276 [Chlorella sp. A99], PCFQ01000058.1 g285 [Chlorella sp. A99]
OG0001488	KAF6241970.1 hypothetical protein COO60DRAFT_1631864 [Scenedesmus sp. NREL 46B-D3], KAF6262324.1 hypothetical protein COO60DRAFT_1699333 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000007.1 g1209 [Chlorella sp. A99]
OG0001490	KAF6251999.1 flagellar outer dynein arm heavy chain beta [Scenedesmus sp. NREL 46B-D3], KAF6247881.1 dynein heavy chain_ N-terminal region 1-domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g279 [Chlorella sp. A99]
OG0001492	KAF6242387.1 hypothetical protein COO60DRAFT_1661373 [Scenedesmus sp. NREL 46B-D3], KAF6249607.1 hypothetical protein COO60DRAFT_1580224 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000009.1 g1687 [Chlorella sp. A99]
OG0001493	KAF6263522.1 NSG5 protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g282 [Chlorella sp. A99], PCFQ01000017.1 g2284 [Chlorella sp. A99]
OG0001494	KAF6255495.1 26S proteasome regulatory complex [Scenedesmus sp. NREL 46B-D3]	PCFQ01000077.1 g1779 [Chlorella sp. A99]
OG0001496	KAF6254490.1 hypothetical protein COO60DRAFT_1703283 [Scenedesmus sp. NREL 46B-D3], KAF6263493.1 hypothetical protein COO60DRAFT_1292980 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1432 [Chlorella sp. A99]
OG0001498	KAF6264625.1 MCM2/3/5 family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1458 [Chlorella sp. A99]
OG0001502	KAF6266396.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3], KAF6252195.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2190 [Chlorella sp. A99]
OG0001503	KAF6255227.1 chloroplast ATP synthase subunit II [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1455 [Chlorella sp. A99]
OG0001504	KAF6252283.1 calmodulin [Scenedesmus sp. NREL 46B-D3], KAF6260750.1 putative calmodulin [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1448 [Chlorella sp. A99]
OG0001506	KAF6251605.1 ribosomal protein L13 domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000017.1 g2285 [Chlorella sp. A99], PCFQ01000007.1 g1234 [Chlorella sp. A99]
OG0001507	KAF6263247.1 chloroplast SRP receptor [Scenedesmus sp. NREL 46B-D3]	PCFQ01000014.1 g1882 [Chlorella sp. A99]
OG0001510	KAF6251321.1 hypothetical protein COO60DRAFT_1645171 [Scenedesmus sp. NREL 46B-D3], KAF6263100.1 subunit of retromer complex [Scenedesmus sp. NREL 46B-D3], KAF6251319.1 subunit of retromer complex [Scenedesmus sp. NREL 46B-D3]	PCFQ01000014.1 g1881 [Chlorella sp. A99]
OG0001512	KAF6263261.1 hypothetical protein COO60DRAFT_1470387 [Scenedesmus sp. NREL 46B-D3], KAF6251413.1 hypothetical protein COO60DRAFT_1675845 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000010.1 g329 [Chlorella sp. A99]
OG0001513	KAF6261032.1 hypothetical protein COO60DRAFT_1294061 [Scenedesmus sp. NREL 46B-D3], KAF6248951.1 dihydrodipicolinate reductase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000010.1 g326 [Chlorella sp. A99]
OG0001514	KAF6264543.1 cytochrome c1 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000010.1 g324 [Chlorella sp. A99]
OG0001515	KAF6255658.1 hypothetical protein COO60DRAFT_191669 [Scenedesmus sp. NREL 46B-D3], KAF6255664.1 TIP49 C-terminus-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000010.1 g346 [Chlorella sp. A99]
OG0001518	KAF6257838.1 DNA photolyase_ FAD-binding/Cryptochrome [Scenedesmus sp. NREL 46B-D3], KAF6254480.1 DNA photolyase_ FAD-binding/Cryptochrome [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g164 [Chlorella sp. A99]
OG0001519	KAF6255484.1 peptidase family S49-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000037.1 g2367 [Chlorella sp. A99]
OG0001521	KAF6260638.1 hypothetical protein COO60DRAFT_1684228 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000013.1 g3275 [Chlorella sp. A99]
OG0001522	KAF6262887.1 hypothetical protein COO60DRAFT_1635537 [Scenedesmus sp. NREL 46B-D3], KAF6262889.1 hypothetical protein COO60DRAFT_553009 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g528 [Chlorella sp. A99]
OG0001525	KAF6262938.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g525 [Chlorella sp. A99]
OG0001526	KAF6263693.1 aspartyl-tRNA synthetase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000017.1 g2275 [Chlorella sp. A99], PCFQ01000082.1 g545 [Chlorella sp. A99]
OG0001527	KAF6260754.1 PRP38 family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000077.1 g1762 [Chlorella sp. A99]
OG0001528	KAF6252231.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000008.1 g1168 [Chlorella sp. A99]
OG0001529	KAF6262526.1 hypothetical protein COO60DRAFT_1621760 [Scenedesmus sp. NREL 46B-D3], KAF6262524.1 hypothetical protein COO60DRAFT_1635873 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000004.1 g2668 [Chlorella sp. A99]
OG0001530	KAF6260393.1 hypothetical protein COO60DRAFT_1637651 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000037.1 g2368 [Chlorella sp. A99]
OG0001533	KAF6265552.1 hypothetical protein COO60DRAFT_1697812 [Scenedesmus sp. NREL 46B-D3], KAF6253727.1 hypothetical protein COO60DRAFT_1703701 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1273 [Chlorella sp. A99]
OG0001534	KAF6261572.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000073.1 g1967 [Chlorella sp. A99]
OG0001537	KAF6265727.1 hypothetical protein COO60DRAFT_870422 [Scenedesmus sp. NREL 46B-D3], KAF6265726.1 hypothetical protein COO60DRAFT_1266278 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000037.1 g2383 [Chlorella sp. A99]
OG0001539	KAF6260756.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000002.1 g714 [Chlorella sp. A99]
OG0001540	KAF6254976.1 hypothetical protein COO60DRAFT_262134 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g246 [Chlorella sp. A99]
OG0001543	KAF6262917.1 dehydrogenase E1 component-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000014.1 g1895 [Chlorella sp. A99]
OG0001545	KAF6251864.1 PRMT5 arginine-N-methyltransferase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000008.1 g1162 [Chlorella sp. A99]
OG0001549	KAF6257961.1 centromere/microtubule-binding protein cbf5 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000018.1 g473 [Chlorella sp. A99]
OG0001550	KAF6262579.1 hypothetical protein COO60DRAFT_1251193_ partial [Scenedesmus sp. NREL 46B-D3]	PCFQ01000018.1 g420 [Chlorella sp. A99]
OG0001552	KAF6260502.1 hypothetical protein COO60DRAFT_1507155 [Scenedesmus sp. NREL 46B-D3], KAF6260465.1 hypothetical protein COO60DRAFT_1506516 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000081.1 g1604 [Chlorella sp. A99]
OG0001554	KAF6254198.1 phosphoglucomutase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2087 [Chlorella sp. A99]
OG0001556	KAF6264208.1 hypothetical protein COO60DRAFT_1281924 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000008.1 g1088 [Chlorella sp. A99]
OG0001561	KAF6262765.1 pre-mRNA processing factor 3-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6238383.1 pre-mRNA processing factor 3-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g552 [Chlorella sp. A99]
OG0001562	KAF6264703.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3], KAF6264704.1 hypothetical protein COO60DRAFT_1698098 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2082 [Chlorella sp. A99]
OG0001563	KAF6262723.1 heat shock protein Hsp70G [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2048 [Chlorella sp. A99]
OG0001566	KAF6259335.1 microsomal glutathione S-transferase 3-like protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g127 [Chlorella sp. A99]
OG0001567	KAF6254068.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3], KAF6254067.1 DHHC palmitoyltransferase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2054 [Chlorella sp. A99]
OG0001568	KAF6251664.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2780 [Chlorella sp. A99]
OG0001569	KAF6263145.1 hypothetical protein COO60DRAFT_1698920_ partial [Scenedesmus sp. NREL 46B-D3], KAF6263147.1 GPCR-chaperone-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1513 [Chlorella sp. A99]
OG0001571	KAF6258764.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g547 [Chlorella sp. A99]
OG0001572	KAF6248627.1 peptidase M16 inactive domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6258558.1 hypothetical protein COO60DRAFT_1109192 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000006.1 g3111 [Chlorella sp. A99]
OG0001574	KAF6263409.1 mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2769 [Chlorella sp. A99]
OG0001575	KAF6259256.1 peptidase M24_ structural domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000004.1 g2636 [Chlorella sp. A99]
OG0001576	KAF6255342.1 ClpP/crotonase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000018.1 g482 [Chlorella sp. A99]
OG0001578	KAF6264116.1 TLC ATP/ADP transporter-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g76 [Chlorella sp. A99]
OG0001579	KAF6258989.1 gamma tubulin [Scenedesmus sp. NREL 46B-D3]	PCFQ01000013.1 g3330 [Chlorella sp. A99]
OG0001581	KAF6244154.1 hypothetical protein COO60DRAFT_1290311 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g264 [Chlorella sp. A99]
OG0001582	KAF6254171.1 hypothetical protein COO60DRAFT_1543014 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g78 [Chlorella sp. A99]
OG0001583	KAF6260213.1 glycine cleavage system P-protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000077.1 g1770 [Chlorella sp. A99], PCFQ01000022.1 g2330 [Chlorella sp. A99]
OG0001585	KAF6255937.1 NUDIX hydrolase domain-like protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000002.1 g645 [Chlorella sp. A99]
OG0001586	KAF6259749.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252942.1 cyclic nucleotide dependent protein kinase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2809 [Chlorella sp. A99]
OG0001592	KAF6257925.1 hypothetical protein COO60DRAFT_1284744 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g44 [Chlorella sp. A99]
OG0001593	KAF6266276.1 hypothetical protein COO60DRAFT_1697323 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000020.1 g889 [Chlorella sp. A99]
OG0001595	KAF6257946.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000023.1 g2238 [Chlorella sp. A99]
OG0001597	KAF6250711.1 reversibly glycosylated polypeptide family [Scenedesmus sp. NREL 46B-D3]	PCFQ01000004.1 g2612 [Chlorella sp. A99]
OG0001599	KAF6256953.1 CPLD51 protein required for cyt b6 assembly [Scenedesmus sp. NREL 46B-D3]	PCFQ01000073.1 g1981 [Chlorella sp. A99]
OG0001602	KAF6259680.1 telomere recombination-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g92 [Chlorella sp. A99]
OG0001603	KAF6261179.1 hypothetical protein COO60DRAFT_812780 [Scenedesmus sp. NREL 46B-D3], KAF6253051.1 hypothetical protein COO60DRAFT_1549354 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g160 [Chlorella sp. A99]
OG0001605	KAF6253377.1 hypothetical protein COO60DRAFT_1286678 [Scenedesmus sp. NREL 46B-D3], KAF6248326.1 hypothetical protein COO60DRAFT_1649063 [Scenedesmus sp. NREL 46B-D3], KAF6251377.1 putative carboxypeptidase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000018.1 g449 [Chlorella sp. A99]
OG0001606	KAF6262603.1 tRNA synthetases class I _C_ catalytic domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g532 [Chlorella sp. A99]
OG0001607	KAF6255080.1 hypothetical protein COO60DRAFT_1641858 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g533 [Chlorella sp. A99]
OG0001608	KAF6265324.1 isomerase [Scenedesmus sp. NREL 46B-D3], KAF6265326.1 hypothetical protein COO60DRAFT_1479875 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000013.1 g3365 [Chlorella sp. A99], PCFQ01000002.1 g679 [Chlorella sp. A99]
OG0001610	KAF6261427.1 phytoene dehydrogenase [Scenedesmus sp. NREL 46B-D3], KAF6257860.1 hypothetical protein COO60DRAFT_1192714 [Scenedesmus sp. NREL 46B-D3], KAF6262119.1 hypothetical protein COO60DRAFT_1636158 [Scenedesmus sp. NREL 46B-D3], KAF6257861.1 hypothetical protein COO60DRAFT_1522022_ partial [Scenedesmus sp. NREL 46B-D3], KAF6262118.1 hypothetical protein COO60DRAFT_673820 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1321 [Chlorella sp. A99]
OG0001611	KAF6258871.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1324 [Chlorella sp. A99]
OG0001612	KAF6253722.1 hypothetical protein COO60DRAFT_1642949 [Scenedesmus sp. NREL 46B-D3], KAF6255155.1 hypothetical protein COO60DRAFT_1627634 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1332 [Chlorella sp. A99]
OG0001613	KAF6261537.1 hypothetical protein COO60DRAFT_1636684 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1386 [Chlorella sp. A99]
OG0001614	KAF6266449.1 hypothetical protein COO60DRAFT_454016 [Scenedesmus sp. NREL 46B-D3], KAF6251798.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3], KAF6265987.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3], KAF6266383.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3], KAF6265983.1 hypothetical protein COO60DRAFT_1477187 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000081.1 g1608 [Chlorella sp. A99]
OG0001615	KAF6253761.1 hypothetical protein COO60DRAFT_1642928 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000009.1 g1717 [Chlorella sp. A99], PCFQ01000013.1 g3322 [Chlorella sp. A99]
OG0001616	KAF6260010.1 hypothetical protein COO60DRAFT_939280 [Scenedesmus sp. NREL 46B-D3], KAF6253777.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000019.1 g1802 [Chlorella sp. A99]
OG0001618	KAF6254680.1 HotDog domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254679.1 hypothetical protein COO60DRAFT_291261 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000037.1 g2362 [Chlorella sp. A99]
OG0001619	KAF6265294.1 type I metacaspase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000004.1 g2701 [Chlorella sp. A99]
OG0001620	KAF6263001.1 hypothetical protein COO60DRAFT_1698969 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2820 [Chlorella sp. A99]
OG0001621	KAF6261552.1 glutamine synthetase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000015.1 g2939 [Chlorella sp. A99]
OG0001622	KAF6252781.1 nucleophile aminohydrolase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000006.1 g3242 [Chlorella sp. A99]
OG0001623	KAF6266751.1 hypothetical protein COO60DRAFT_1473285 [Scenedesmus sp. NREL 46B-D3], KAF6250349.1 HAD-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000013.1 g3368 [Chlorella sp. A99]
OG0001664	KAF6251859.1 putative metallochaperone [Scenedesmus sp. NREL 46B-D3], KAF6258022.1 CobW/HypB/UreG domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g239 [Chlorella sp. A99]
OG0001665	KAF6258697.1 ribosomal protein S26e [Scenedesmus sp. NREL 46B-D3]	PCFQ01000015.1 g3086 [Chlorella sp. A99]
OG0001666	KAF6264457.1 transketolase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2735 [Chlorella sp. A99]
OG0001667	KAF6253271.1 hypothetical protein COO60DRAFT_1703896 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000015.1 g3072 [Chlorella sp. A99]
OG0001668	KAF6252926.1 Qc-snare protein_ SYP7-family [Scenedesmus sp. NREL 46B-D3]	PCFQ01000009.1 g1691 [Chlorella sp. A99]
OG0001670	KAF6264382.1 glutamate-1-semialdehyde 2_1-aminomutase_ chloroplastic [Scenedesmus sp. NREL 46B-D3]	PCFQ01000046.1 g1874 [Chlorella sp. A99]
OG0001672	KAF6251718.1 tRNA methyl transferase-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6260585.1 tRNA-specific 2-thiouridylase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000015.1 g3089 [Chlorella sp. A99]
OG0001673	KAF6253313.1 pyruvate phosphate dikinase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000037.1 g2503 [Chlorella sp. A99]
OG0001674	KAF6261590.1 brefeldin A-inhibited guanine nucleotide-exchange protein 1-like protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000013.1 g3313 [Chlorella sp. A99]
OG0001675	KAF6258469.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2830 [Chlorella sp. A99]
OG0001676	KAF6260222.1 ARM repeat-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g582 [Chlorella sp. A99]
OG0001677	KAF6260541.1 molybdenum cofactor biosynthesis prote [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2165 [Chlorella sp. A99]
OG0001678	KAF6259287.1 hypothetical protein COO60DRAFT_1700921 [Scenedesmus sp. NREL 46B-D3], KAF6259285.1 hypothetical protein COO60DRAFT_1023579 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1340 [Chlorella sp. A99]
OG0001679	KAF6263770.1 mitochondrial glycoprotein [Scenedesmus sp. NREL 46B-D3], KAF6266713.1 mitochondrial glycoprotein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1339 [Chlorella sp. A99]
OG0001681	KAF6265707.1 CobB/CobQ-like glutamine amidotransferase domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000014.1 g1899 [Chlorella sp. A99]
OG0001682	KAF6251961.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1370 [Chlorella sp. A99], PCFQ01000008.1 g1145 [Chlorella sp. A99]
OG0001684	KAF6252970.1 MIF4G domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g589 [Chlorella sp. A99]
OG0001686	KAF6255267.1 clathrin heavy chain [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1275 [Chlorella sp. A99]
OG0001687	KAF6250622.1 NADH_ubiquinone oxidoreductase B14 subunit [Scenedesmus sp. NREL 46B-D3]	PCFQ01000010.1 g385 [Chlorella sp. A99]
OG0001689	KAF6252229.1 nucleophile aminohydrolase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000015.1 g3030 [Chlorella sp. A99]
OG0001692	KAF6261118.1 outer dynein arm docking complex protein ODA1 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g579 [Chlorella sp. A99]
OG0001694	KAF6264164.1 Mak16 protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000010.1 g374 [Chlorella sp. A99]
OG0001698	KAF6259518.1 aldolase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000075.1 g1941 [Chlorella sp. A99]
OG0001700	KAF6252909.1 heat shock protein Hsp70E [Scenedesmus sp. NREL 46B-D3]	PCFQ01000009.1 g1727 [Chlorella sp. A99]
OG0001701	KAF6256719.1 plastidic phosphate translocator-like protein 2 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000037.1 g2426 [Chlorella sp. A99]
OG0001702	KAF6263925.1 hypothetical protein COO60DRAFT_1487967 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000007.1 g1226 [Chlorella sp. A99]
OG0001703	KAF6255494.1 DNA polymerase alpha/epsilon subunit B-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g1994 [Chlorella sp. A99]
