Orthogroup	Coccomyxa_SubellipsoideaC169	Chlorella_Vulgaris2111P
OG0002717	EIE25850.1 hypothetical protein COCSUDRAFT_64866 [Coccomyxa subellipsoidea C-169]	KAI3431826.1 hypothetical protein D9Q98_010579 [Chlorella vulgaris], KAI3423130.1 hypothetical protein D9Q98_010686 [Chlorella vulgaris]
OG0002718	EIE21732.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]	KAI3423976.1 hypothetical protein D9Q98_009810 [Chlorella vulgaris]
OG0002719	EIE19067.1 GINS complex_ Sld5 component [Coccomyxa subellipsoidea C-169]	KAI3433404.1 hypothetical protein D9Q98_003220 [Chlorella vulgaris]
OG0002720	EIE25956.1 hypothetical protein COCSUDRAFT_64915 [Coccomyxa subellipsoidea C-169]	KAI3431753.1 hypothetical protein D9Q98_004795 [Chlorella vulgaris]
OG0002721	EIE18171.1 putative plastid geranylgeranyl reductase precursor [Coccomyxa subellipsoidea C-169]	KAI3433723.1 hypothetical protein D9Q98_003531 [Chlorella vulgaris]
OG0002722	EIE24575.1 FAD/NAD_P_-binding domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3430376.1 hypothetical protein D9Q98_004971 [Chlorella vulgaris]
OG0002723	EIE23799.1 DNA/RNA polymerase [Coccomyxa subellipsoidea C-169]	KAI3430598.1 hypothetical protein D9Q98_005191 [Chlorella vulgaris]
OG0002724	EIE24576.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	KAI3430383.1 hypothetical protein D9Q98_004978 [Chlorella vulgaris]
OG0002725	EIE25583.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	KAI3430619.1 hypothetical protein D9Q98_005211 [Chlorella vulgaris]
OG0002726	EIE23783.1 hypothetical protein COCSUDRAFT_63305 [Coccomyxa subellipsoidea C-169]	KAI3430249.1 hypothetical protein D9Q98_004845 [Chlorella vulgaris]
OG0002727	EIE22688.1 Phytoene desaturase [Coccomyxa subellipsoidea C-169]	KAI3428220.1 hypothetical protein D9Q98_006600 [Chlorella vulgaris]
OG0002728	EIE23767.1 DNA topoisomerase I [Coccomyxa subellipsoidea C-169]	KAI3430266.1 hypothetical protein D9Q98_004862 [Chlorella vulgaris]
OG0002730	EIE20850.1 hypothetical protein COCSUDRAFT_9790_ partial [Coccomyxa subellipsoidea C-169]	KAI3430248.1 hypothetical protein D9Q98_004844 [Chlorella vulgaris]
OG0002731	EIE18960.1 AAA-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3430225.1 hypothetical protein D9Q98_004822 [Chlorella vulgaris]
OG0002732	EIE26166.1 hypothetical protein COCSUDRAFT_65015 [Coccomyxa subellipsoidea C-169]	KAI3433742.1 hypothetical protein D9Q98_003549 [Chlorella vulgaris]
OG0002733	EIE20894.1 TRAPP I complex [Coccomyxa subellipsoidea C-169]	KAI3430271.1 hypothetical protein D9Q98_004867 [Chlorella vulgaris]
OG0002735	EIE22037.1 N-terminal nucleophile aminohydrolase [Coccomyxa subellipsoidea C-169]	KAI3428224.1 hypothetical protein D9Q98_006604 [Chlorella vulgaris]
OG0002736	EIE27522.1 prokaryotic type I DNA topoisomerase [Coccomyxa subellipsoidea C-169]	KAI3430642.1 hypothetical protein D9Q98_005235 [Chlorella vulgaris]
OG0002737	EIE20230.1 phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide isomerase [Coccomyxa subellipsoidea C-169]	KAI3433712.1 hypothetical protein D9Q98_003521 [Chlorella vulgaris]
OG0002738	EIE26845.1 DUF1777-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3433767.1 hypothetical protein D9Q98_003573 [Chlorella vulgaris], KAI3433766.1 hypothetical protein D9Q98_003573 [Chlorella vulgaris]
OG0002739	EIE23536.1 dynein light chain 9_ partial [Coccomyxa subellipsoidea C-169]	KAI3434921.1 hypothetical protein D9Q98_002975 [Chlorella vulgaris]
OG0002740	EIE24392.1 acyl-CoA N-acyltransferase [Coccomyxa subellipsoidea C-169]	KAI3436413.1 hypothetical protein D9Q98_005830 [Chlorella vulgaris]
OG0002741	EIE19120.1 T-complex protein_ delta subunit [Coccomyxa subellipsoidea C-169]	KAI3436483.1 hypothetical protein D9Q98_005900 [Chlorella vulgaris]
OG0002742	EIE24631.1 ClpP/crotonase [Coccomyxa subellipsoidea C-169]	KAI3425765.1 hypothetical protein D9Q98_007740 [Chlorella vulgaris]
OG0002743	EIE26827.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]	KAI3435670.1 hypothetical protein D9Q98_001728 [Chlorella vulgaris]
OG0002745	EIE20252.1 hypothetical protein COCSUDRAFT_25458 [Coccomyxa subellipsoidea C-169]	KAI3425309.1 hypothetical protein D9Q98_009074 [Chlorella vulgaris], KAI3425308.1 hypothetical protein D9Q98_009073 [Chlorella vulgaris]
OG0002746	EIE20918.1 HAD-like protein [Coccomyxa subellipsoidea C-169]	KAI3426065.1 hypothetical protein D9Q98_008033 [Chlorella vulgaris]
OG0002747	EIE24238.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3425821.1 hypothetical protein D9Q98_007796 [Chlorella vulgaris]
OG0002748	EIE18206.1 CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Coccomyxa subellipsoidea C-169]	KAI3436390.1 hypothetical protein D9Q98_005807 [Chlorella vulgaris]
OG0002749	EIE22565.1 hypothetical protein COCSUDRAFT_66283 [Coccomyxa subellipsoidea C-169]	KAI3424938.1 hypothetical protein D9Q98_008321 [Chlorella vulgaris]
OG0002750	EIE21001.1 DUF747-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3435954.1 hypothetical protein D9Q98_002012 [Chlorella vulgaris]
OG0002751	EIE21372.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	KAI3436197.1 hypothetical protein D9Q98_002252 [Chlorella vulgaris]
OG0002753	EIE20843.1 coatomer protein complex_ beta prime [Coccomyxa subellipsoidea C-169]	KAI3425793.1 hypothetical protein D9Q98_007768 [Chlorella vulgaris]
OG0002754	EIE25788.1 putative replication factor C 37 kDa subunit [Coccomyxa subellipsoidea C-169]	KAI3436858.1 hypothetical protein D9Q98_006268 [Chlorella vulgaris]
OG0002755	EIE22593.1 ribosomal protein L1 [Coccomyxa subellipsoidea C-169]	KAI3424937.1 hypothetical protein D9Q98_008320 [Chlorella vulgaris]
OG0002756	EIE26609.1 hypothetical protein COCSUDRAFT_64574 [Coccomyxa subellipsoidea C-169]	KAI3436777.1 hypothetical protein D9Q98_006189 [Chlorella vulgaris]
OG0002757	EIE22808.1 complex 1 family protein-like protein [Coccomyxa subellipsoidea C-169]	KAI3424958.1 hypothetical protein D9Q98_008339 [Chlorella vulgaris]
OG0002758	EIE25146.1 hypothetical protein COCSUDRAFT_52776 [Coccomyxa subellipsoidea C-169]	KAI3427950.1 hypothetical protein D9Q98_006340 [Chlorella vulgaris]
OG0002759	EIE21145.1 cysteine proteinase [Coccomyxa subellipsoidea C-169]	KAI3435999.1 hypothetical protein D9Q98_002056 [Chlorella vulgaris]
OG0002760	EIE25422.1 hypothetical protein COCSUDRAFT_65239 [Coccomyxa subellipsoidea C-169]	KAI3427947.1 hypothetical protein D9Q98_006337 [Chlorella vulgaris]
OG0002760	EIE26162.1 hypothetical protein COCSUDRAFT_61152 [Coccomyxa subellipsoidea C-169]	KAI3427948.1 hypothetical protein D9Q98_006338 [Chlorella vulgaris]
OG0002761	EIE21646.1 monophosphate synthase [Coccomyxa subellipsoidea C-169]	KAI3435980.1 hypothetical protein D9Q98_002038 [Chlorella vulgaris]
OG0002762	EIE26677.1 aci-reductone dioxygenase [Coccomyxa subellipsoidea C-169]	KAI3436869.1 hypothetical protein D9Q98_006279 [Chlorella vulgaris]
OG0002763	EIE18568.1 hypothetical protein COCSUDRAFT_9085_ partial [Coccomyxa subellipsoidea C-169]	KAI3434879.1 hypothetical protein D9Q98_002933 [Chlorella vulgaris]
OG0002764	EIE27013.1 hypothetical protein COCSUDRAFT_83572 [Coccomyxa subellipsoidea C-169]	KAI3436802.1 hypothetical protein D9Q98_006212 [Chlorella vulgaris]
OG0002765	EIE20916.1 low-CO2-inducible protein [Coccomyxa subellipsoidea C-169]	KAI3425987.1 hypothetical protein D9Q98_007955 [Chlorella vulgaris]
OG0002766	EIE21525.1 hypothetical protein COCSUDRAFT_66932 [Coccomyxa subellipsoidea C-169]	KAI3436198.1 hypothetical protein D9Q98_002253 [Chlorella vulgaris], KAI3436199.1 hypothetical protein D9Q98_002253 [Chlorella vulgaris]
OG0002767	EIE19091.1 ribosomal protein L18 component of cytosolic 80S ribosome and 60S large subunit [Coccomyxa subellipsoidea C-169]	KAI3424330.1 hypothetical protein D9Q98_009883 [Chlorella vulgaris]
OG0002768	EIE26179.1 hypothetical protein COCSUDRAFT_8646_ partial [Coccomyxa subellipsoidea C-169]	KAI3425758.1 hypothetical protein D9Q98_007733 [Chlorella vulgaris]
OG0002769	EIE26389.1 hypothetical protein COCSUDRAFT_21671 [Coccomyxa subellipsoidea C-169]	KAI3436808.1 hypothetical protein D9Q98_006218 [Chlorella vulgaris]
OG0002770	EIE19109.1 60S ribosomal protein L7 [Coccomyxa subellipsoidea C-169]	KAI3424350.1 hypothetical protein D9Q98_009903 [Chlorella vulgaris]
OG0002771	EIE24972.1 hypothetical protein COCSUDRAFT_83665 [Coccomyxa subellipsoidea C-169]	KAI3436776.1 hypothetical protein D9Q98_006188 [Chlorella vulgaris]
OG0002772	EIE21674.1 DUF602-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3436485.1 hypothetical protein D9Q98_005902 [Chlorella vulgaris]
OG0002773	EIE25828.1 chlorophyll synthase [Coccomyxa subellipsoidea C-169]	KAI3434883.1 hypothetical protein D9Q98_002937 [Chlorella vulgaris]
OG0002774	EIE18930.1 mitochondrial carrier [Coccomyxa subellipsoidea C-169]	KAI3436859.1 hypothetical protein D9Q98_006269 [Chlorella vulgaris]
OG0002775	EIE19155.1 hypothetical protein COCSUDRAFT_59638 [Coccomyxa subellipsoidea C-169]	KAI3424344.1 hypothetical protein D9Q98_009897 [Chlorella vulgaris]
OG0002776	EIE21780.1 eukaryotic initiation factor [Coccomyxa subellipsoidea C-169]	KAI3436484.1 hypothetical protein D9Q98_005901 [Chlorella vulgaris]
OG0002778	EIE23805.1 PRP38-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3430293.1 hypothetical protein D9Q98_004889 [Chlorella vulgaris]
OG0002779	EIE21680.1 Dolichyl-diphosphooligosaccharide-protein glycosyltransferase 48kDa subunit [Coccomyxa subellipsoidea C-169]	KAI3435890.1 hypothetical protein D9Q98_001948 [Chlorella vulgaris]
OG0002780	EIE26585.1 DNA/RNA polymerase [Coccomyxa subellipsoidea C-169]	KAI3433870.1 hypothetical protein D9Q98_003673 [Chlorella vulgaris]
OG0002781	EIE26657.1 nucleotide-diphospho-sugar transferase [Coccomyxa subellipsoidea C-169]	KAI3436854.1 hypothetical protein D9Q98_006264 [Chlorella vulgaris]
OG0002782	EIE18874.1 RUB1 conjugating enzyme [Coccomyxa subellipsoidea C-169]	KAI3434967.1 hypothetical protein D9Q98_003019 [Chlorella vulgaris]
OG0002783	EIE25017.1 hypothetical protein COCSUDRAFT_40379 [Coccomyxa subellipsoidea C-169]	KAI3427991.1 hypothetical protein D9Q98_006379 [Chlorella vulgaris]
OG0002784	EIE21689.1 DUF819-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3436131.1 hypothetical protein D9Q98_002188 [Chlorella vulgaris]
OG0002785	EIE21237.1 Clc chloride channel [Coccomyxa subellipsoidea C-169]	KAI3426936.1 hypothetical protein D9Q98_006880 [Chlorella vulgaris]
OG0002786	EIE23350.1 hypothetical protein COCSUDRAFT_65874 [Coccomyxa subellipsoidea C-169]	KAI3436846.1 hypothetical protein D9Q98_006256 [Chlorella vulgaris]
OG0002787	EIE19713.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169]	KAI3426939.1 hypothetical protein D9Q98_006883 [Chlorella vulgaris]
OG0002788	EIE24028.1 hypothetical protein COCSUDRAFT_47107 [Coccomyxa subellipsoidea C-169]	KAI3436128.1 hypothetical protein D9Q98_002186 [Chlorella vulgaris]
OG0002789	EIE21482.1 WD40 repeat-like protein_ partial [Coccomyxa subellipsoidea C-169]	KAI3436091.1 hypothetical protein D9Q98_002149 [Chlorella vulgaris]
OG0002790	EIE19378.1 hypothetical protein COCSUDRAFT_44718 [Coccomyxa subellipsoidea C-169]	KAI3439095.1 hypothetical protein D9Q98_001504 [Chlorella vulgaris]
OG0002791	EIE25100.1 hypothetical protein COCSUDRAFT_9560_ partial [Coccomyxa subellipsoidea C-169]	KAI3428791.1 hypothetical protein D9Q98_007610 [Chlorella vulgaris]
OG0002792	EIE21118.1 T-complex protein_ eta subunit [Coccomyxa subellipsoidea C-169]	KAI3436121.1 hypothetical protein D9Q98_002179 [Chlorella vulgaris]
OG0002793	EIE19305.1 hypothetical protein COCSUDRAFT_31183 [Coccomyxa subellipsoidea C-169]	KAI3439092.1 hypothetical protein D9Q98_001502 [Chlorella vulgaris]
OG0002794	EIE21455.1 hypothetical protein COCSUDRAFT_66895 [Coccomyxa subellipsoidea C-169]	KAI3430892.1 hypothetical protein D9Q98_009301 [Chlorella vulgaris]
OG0002796	EIE19408.1 hypothetical protein COCSUDRAFT_67882 [Coccomyxa subellipsoidea C-169]	KAI3439087.1 hypothetical protein D9Q98_001497 [Chlorella vulgaris]
OG0002797	EIE22930.1 hypothetical protein COCSUDRAFT_83702 [Coccomyxa subellipsoidea C-169]	KAI3430823.1 hypothetical protein D9Q98_009234 [Chlorella vulgaris]
OG0002798	EIE19413.1 hypothetical protein COCSUDRAFT_25855 [Coccomyxa subellipsoidea C-169]	KAI3439048.1 hypothetical protein D9Q98_001458 [Chlorella vulgaris]
OG0002800	EIE21133.1 adenylate kinase [Coccomyxa subellipsoidea C-169]	KAI3435828.1 hypothetical protein D9Q98_001886 [Chlorella vulgaris]
OG0002801	EIE26752.1 Uroporphyrinogen decarboxylase [Coccomyxa subellipsoidea C-169]	KAI3435503.1 hypothetical protein D9Q98_001569 [Chlorella vulgaris]
OG0002803	EIE23131.1 barren-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3423889.1 hypothetical protein D9Q98_009723 [Chlorella vulgaris]
OG0002804	EIE22173.1 DNA replication factor C complex subunit 2 [Coccomyxa subellipsoidea C-169]	KAI3435564.1 hypothetical protein D9Q98_001629 [Chlorella vulgaris]
OG0002805	EIE26380.1 endoplasmic reticulum oxidoreductin 1 [Coccomyxa subellipsoidea C-169]	KAI3432253.1 hypothetical protein D9Q98_003814 [Chlorella vulgaris]
OG0002806	EIE26834.1 hypothetical protein COCSUDRAFT_59342 [Coccomyxa subellipsoidea C-169]	KAI3435617.1 hypothetical protein D9Q98_001678 [Chlorella vulgaris], KAI3435618.1 hypothetical protein D9Q98_001678 [Chlorella vulgaris]
OG0002807	EIE22158.1 R-SNARE protein_ Sec22-family [Coccomyxa subellipsoidea C-169]	KAI3435562.1 hypothetical protein D9Q98_001627 [Chlorella vulgaris]
OG0002808	EIE25948.1 zeta-carotene desaturase [Coccomyxa subellipsoidea C-169]	KAI3423942.1 hypothetical protein D9Q98_009776 [Chlorella vulgaris]
OG0002809	EIE26777.1 hypothetical protein COCSUDRAFT_64653 [Coccomyxa subellipsoidea C-169]	KAI3435510.1 hypothetical protein D9Q98_001576 [Chlorella vulgaris]
OG0002810	EIE26751.1 hypothetical protein COCSUDRAFT_32261_ partial [Coccomyxa subellipsoidea C-169]	KAI3435496.1 hypothetical protein D9Q98_001562 [Chlorella vulgaris]
OG0002811	EIE24393.1 hypothetical protein COCSUDRAFT_14021 [Coccomyxa subellipsoidea C-169]	KAI3423955.1 hypothetical protein D9Q98_009789 [Chlorella vulgaris]
OG0002812	EIE27437.1 hypothetical protein COCSUDRAFT_26736 [Coccomyxa subellipsoidea C-169]	KAI3437958.1 hypothetical protein D9Q98_000402 [Chlorella vulgaris]
OG0002813	EIE25653.1 galactose oxidase [Coccomyxa subellipsoidea C-169]	KAI3435576.1 hypothetical protein D9Q98_001641 [Chlorella vulgaris]
OG0002814	EIE26430.1 hypothetical protein COCSUDRAFT_58968 [Coccomyxa subellipsoidea C-169]	KAI3432456.1 hypothetical protein D9Q98_004006 [Chlorella vulgaris]
OG0002815	EIE18927.1 hypothetical protein COCSUDRAFT_49110 [Coccomyxa subellipsoidea C-169]	KAI3436687.1 hypothetical protein D9Q98_006102 [Chlorella vulgaris]
OG0002816	EIE18794.1 hypothetical protein COCSUDRAFT_68202 [Coccomyxa subellipsoidea C-169]	KAI3433310.1 hypothetical protein D9Q98_003128 [Chlorella vulgaris]
OG0002817	EIE19801.1 hypothetical protein COCSUDRAFT_58530 [Coccomyxa subellipsoidea C-169]	KAI3433284.1 hypothetical protein D9Q98_003103 [Chlorella vulgaris]
OG0002818	EIE27025.1 hypothetical protein COCSUDRAFT_83584 [Coccomyxa subellipsoidea C-169]	KAI3435507.1 hypothetical protein D9Q98_001573 [Chlorella vulgaris]
OG0002819	EIE26754.1 tocopherol cyclase [Coccomyxa subellipsoidea C-169]	KAI3435497.1 hypothetical protein D9Q98_001563 [Chlorella vulgaris]
OG0002820	EIE20224.1 ubiquinone biosynthesis O-methyltransferase [Coccomyxa subellipsoidea C-169]	KAI3435509.1 hypothetical protein D9Q98_001575 [Chlorella vulgaris]
OG0002821	EIE22622.1 Adaptor protein complex AP-1 gamma subunit [Coccomyxa subellipsoidea C-169]	KAI3433299.1 hypothetical protein D9Q98_003118 [Chlorella vulgaris]
OG0002822	EIE18618.1 DUF947-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3435531.1 hypothetical protein D9Q98_001596 [Chlorella vulgaris], KAI3435530.1 hypothetical protein D9Q98_001596 [Chlorella vulgaris]
OG0002824	EIE19554.1 hypothetical protein COCSUDRAFT_67698 [Coccomyxa subellipsoidea C-169]	KAI3423795.1 hypothetical protein D9Q98_009633 [Chlorella vulgaris]
OG0002825	EIE27024.1 hypothetical protein COCSUDRAFT_83583 [Coccomyxa subellipsoidea C-169]	KAI3435499.1 hypothetical protein D9Q98_001565 [Chlorella vulgaris]
OG0002826	EIE26363.1 RNA-binding domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3432216.1 hypothetical protein D9Q98_003778 [Chlorella vulgaris]
OG0002827	EIE27356.1 MGC81798 protein-like protein [Coccomyxa subellipsoidea C-169]	KAI3438101.1 hypothetical protein D9Q98_000543 [Chlorella vulgaris]
OG0002828	EIE21921.1 hypothetical protein COCSUDRAFT_42941 [Coccomyxa subellipsoidea C-169]	KAI3438059.1 hypothetical protein D9Q98_000502 [Chlorella vulgaris]
OG0002829	EIE27392.1 hypothetical protein COCSUDRAFT_34803 [Coccomyxa subellipsoidea C-169]	KAI3438129.1 hypothetical protein D9Q98_000570 [Chlorella vulgaris]
OG0002830	EIE18302.1 protein serine/threonine phosphatase 2C_ partial [Coccomyxa subellipsoidea C-169]	KAI3438057.1 hypothetical protein D9Q98_000500 [Chlorella vulgaris]
OG0002831	EIE21978.1 eukaryotic initiation factor [Coccomyxa subellipsoidea C-169]	KAI3438146.1 hypothetical protein D9Q98_000587 [Chlorella vulgaris]
OG0002832	EIE19821.1 phosphatidylinositol 3 and 4-kinase family protein_ partial [Coccomyxa subellipsoidea C-169]	KAI3438092.1 hypothetical protein D9Q98_000534 [Chlorella vulgaris]
OG0002833	EIE18248.1 hypothetical protein COCSUDRAFT_9602_ partial [Coccomyxa subellipsoidea C-169]	KAI3438119.1 hypothetical protein D9Q98_000560 [Chlorella vulgaris]
OG0002834	EIE27309.1 hypothetical protein COCSUDRAFT_55328 [Coccomyxa subellipsoidea C-169], EIE27307.1 hypothetical protein COCSUDRAFT_55326 [Coccomyxa subellipsoidea C-169]	KAI3438117.1 hypothetical protein D9Q98_000558 [Chlorella vulgaris]
OG0002835	EIE18298.1 cyclin-like protein [Coccomyxa subellipsoidea C-169]	KAI3438058.1 hypothetical protein D9Q98_000501 [Chlorella vulgaris]
OG0002836	EIE24114.1 UPF0103-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3438094.1 hypothetical protein D9Q98_000536 [Chlorella vulgaris]
OG0002837	EIE27351.1 DNA polymerase zeta [Coccomyxa subellipsoidea C-169]	KAI3438074.1 hypothetical protein D9Q98_000516 [Chlorella vulgaris]
OG0002838	EIE25495.1 hypothetical protein COCSUDRAFT_61708 [Coccomyxa subellipsoidea C-169]	KAI3428154.1 hypothetical protein D9Q98_006538 [Chlorella vulgaris]
OG0002839	EIE19483.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	KAI3438773.1 hypothetical protein D9Q98_001191 [Chlorella vulgaris]
OG0002840	EIE19437.1 Dynamin-related protein 5A [Coccomyxa subellipsoidea C-169]	KAI3438765.1 hypothetical protein D9Q98_001183 [Chlorella vulgaris]
OG0002841	EIE19405.1 DUF393-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3438762.1 hypothetical protein D9Q98_001180 [Chlorella vulgaris]
OG0002842	EIE25144.1 ribosomal protein L36 component of cytosolic 80S ribosome and 60S large subunit [Coccomyxa subellipsoidea C-169]	KAI3427967.1 hypothetical protein D9Q98_006357 [Chlorella vulgaris]
OG0002843	EIE23886.1 hypothetical protein COCSUDRAFT_62416 [Coccomyxa subellipsoidea C-169]	KAI3429847.1 hypothetical protein D9Q98_010159 [Chlorella vulgaris]
OG0002844	EIE25158.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]	KAI3428010.1 hypothetical protein D9Q98_006396 [Chlorella vulgaris]
OG0002845	EIE25136.1 Pkinase-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3427965.1 hypothetical protein D9Q98_006355 [Chlorella vulgaris]
OG0002846	EIE22095.1 hypothetical protein COCSUDRAFT_83486_ partial [Coccomyxa subellipsoidea C-169]	KAI3432588.1 hypothetical protein D9Q98_004136 [Chlorella vulgaris]
OG0002847	EIE20883.1 hypothetical protein COCSUDRAFT_43765 [Coccomyxa subellipsoidea C-169]	KAI3434553.1 hypothetical protein D9Q98_002626 [Chlorella vulgaris]
OG0002848	EIE27107.1 ribosomal protein L1 [Coccomyxa subellipsoidea C-169]	KAI3434477.1 hypothetical protein D9Q98_002553 [Chlorella vulgaris]
OG0002849	EIE25089.1 hypothetical protein COCSUDRAFT_35637 [Coccomyxa subellipsoidea C-169]	KAI3428140.1 hypothetical protein D9Q98_006523 [Chlorella vulgaris]
OG0002850	EIE26531.1 nucleic acid-binding protein [Coccomyxa subellipsoidea C-169]	KAI3427986.1 hypothetical protein D9Q98_006374 [Chlorella vulgaris], KAI3427985.1 hypothetical protein D9Q98_006374 [Chlorella vulgaris]
OG0002851	EIE25159.1 uridylate kinase [Coccomyxa subellipsoidea C-169]	KAI3428009.1 hypothetical protein D9Q98_006395 [Chlorella vulgaris]
OG0002852	EIE22097.1 hypothetical protein COCSUDRAFT_83488_ partial [Coccomyxa subellipsoidea C-169]	KAI3425785.1 hypothetical protein D9Q98_007760 [Chlorella vulgaris]
OG0002853	EIE25358.1 hypothetical protein COCSUDRAFT_6454_ partial [Coccomyxa subellipsoidea C-169]	KAI3428013.1 hypothetical protein D9Q98_006399 [Chlorella vulgaris]
OG0002854	EIE25111.1 DUF6-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3428028.1 hypothetical protein D9Q98_006414 [Chlorella vulgaris]
OG0002855	EIE21974.1 3-hydroxyisobutyrate dehydrogenase-like protein_ partial [Coccomyxa subellipsoidea C-169]	KAI3428715.1 hypothetical protein D9Q98_007539 [Chlorella vulgaris]
OG0002856	EIE22149.1 mitogen-activated protein kinase 5 [Coccomyxa subellipsoidea C-169]	KAI3435667.1 hypothetical protein D9Q98_001725 [Chlorella vulgaris]
OG0002857	EIE27130.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]	KAI3437977.1 hypothetical protein D9Q98_000421 [Chlorella vulgaris]
OG0002858	EIE25755.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	KAI3434463.1 hypothetical protein D9Q98_002540 [Chlorella vulgaris]
OG0002859	EIE23477.1 hypothetical protein COCSUDRAFT_65935 [Coccomyxa subellipsoidea C-169]	KAI3430548.1 hypothetical protein D9Q98_005141 [Chlorella vulgaris]
OG0002860	EIE19733.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	KAI3430499.1 hypothetical protein D9Q98_005094 [Chlorella vulgaris]
OG0002861	EIE18809.1 glycerol-3-phosphate O-acyltransferase [Coccomyxa subellipsoidea C-169]	KAI3435020.1 hypothetical protein D9Q98_003072 [Chlorella vulgaris]
OG0002863	EIE20609.1 hypothetical protein COCSUDRAFT_18474 [Coccomyxa subellipsoidea C-169]	KAI3438472.1 hypothetical protein D9Q98_000901 [Chlorella vulgaris]
OG0002864	EIE25703.1 TOR kinase binding protein [Coccomyxa subellipsoidea C-169]	KAI3424206.1 hypothetical protein D9Q98_009562 [Chlorella vulgaris]
OG0002865	EIE23773.1 COP-II coat subunit [Coccomyxa subellipsoidea C-169]	KAI3430505.1 hypothetical protein D9Q98_005100 [Chlorella vulgaris]
OG0002866	EIE20697.1 26S proteasome regulatory subunit [Coccomyxa subellipsoidea C-169]	KAI3438613.1 hypothetical protein D9Q98_001036 [Chlorella vulgaris]
OG0002867	EIE27710.1 hypothetical protein COCSUDRAFT_45960 [Coccomyxa subellipsoidea C-169]	KAI3438738.1 hypothetical protein D9Q98_001157 [Chlorella vulgaris]
OG0002868	EIE19693.1 hypothetical protein COCSUDRAFT_31081 [Coccomyxa subellipsoidea C-169]	KAI3427212.1 hypothetical protein D9Q98_007147 [Chlorella vulgaris]
OG0002869	EIE22862.1 ABC1-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3430556.1 hypothetical protein D9Q98_005149 [Chlorella vulgaris]
OG0002870	EIE24854.1 hypothetical protein COCSUDRAFT_41132 [Coccomyxa subellipsoidea C-169]	KAI3436247.1 hypothetical protein D9Q98_002300 [Chlorella vulgaris]
OG0002871	EIE22825.1 TPR protein [Coccomyxa subellipsoidea C-169]	KAI3431671.1 hypothetical protein D9Q98_004718 [Chlorella vulgaris]
OG0002872	EIE21250.1 UBC-like protein [Coccomyxa subellipsoidea C-169]	KAI3427432.1 hypothetical protein D9Q98_010347 [Chlorella vulgaris]
OG0002873	EIE24911.1 hypothetical protein COCSUDRAFT_62321 [Coccomyxa subellipsoidea C-169]	KAI3430576.1 hypothetical protein D9Q98_005169 [Chlorella vulgaris]
OG0002874	EIE21438.1 hypothetical protein COCSUDRAFT_53990 [Coccomyxa subellipsoidea C-169]	KAI3436248.1 hypothetical protein D9Q98_002301 [Chlorella vulgaris]
OG0002875	EIE25110.1 N-ethylmaleimide sensitive fusion protein_ partial [Coccomyxa subellipsoidea C-169]	KAI3436611.1 hypothetical protein D9Q98_006028 [Chlorella vulgaris]
OG0002876	EIE20822.1 DUF149-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3430484.1 hypothetical protein D9Q98_005079 [Chlorella vulgaris]
OG0002877	EIE18986.1 glutaredoxin [Coccomyxa subellipsoidea C-169]	KAI3430558.1 hypothetical protein D9Q98_005151 [Chlorella vulgaris]
OG0002878	EIE26241.1 hypothetical protein COCSUDRAFT_83616 [Coccomyxa subellipsoidea C-169]	KAI3431674.1 hypothetical protein D9Q98_004721 [Chlorella vulgaris], KAI3431675.1 hypothetical protein D9Q98_004721 [Chlorella vulgaris]
OG0002879	EIE19694.1 nucleoporin-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3427442.1 hypothetical protein D9Q98_010357 [Chlorella vulgaris]
