Orthogroup	Coccomyxa_SubellipsoideaC169	Scenedesmus_NREL
OG0002298	EIE21810.1 glutamine synthetase/guanido kinase_ partial [Coccomyxa subellipsoidea C-169]	KAF6262809.1 hypothetical protein COO60DRAFT_573156 [Scenedesmus sp. NREL 46B-D3]
OG0002299	EIE23261.1 proteasome subunit [Coccomyxa subellipsoidea C-169]	KAF6259083.1 20S proteasome beta subunit A2 [Scenedesmus sp. NREL 46B-D3]
OG0002300	EIE26393.1 hypothetical protein COCSUDRAFT_58930 [Coccomyxa subellipsoidea C-169]	KAF6260867.1 hypothetical protein COO60DRAFT_839673 [Scenedesmus sp. NREL 46B-D3], KAF6262043.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]
OG0002301	EIE24921.1 heavy metal translocatin_ partial [Coccomyxa subellipsoidea C-169]	KAF6247867.1 E1-E2 ATPase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002302	EIE18089.1 hypothetical protein COCSUDRAFT_9466_ partial [Coccomyxa subellipsoidea C-169], EIE18104.1 hypothetical protein COCSUDRAFT_9481_ partial [Coccomyxa subellipsoidea C-169]	KAF6258678.1 hypothetical protein COO60DRAFT_1691647 [Scenedesmus sp. NREL 46B-D3]
OG0002303	EIE26059.1 hypothetical protein COCSUDRAFT_61055 [Coccomyxa subellipsoidea C-169]	KAF6258716.1 hypothetical protein COO60DRAFT_1089462 [Scenedesmus sp. NREL 46B-D3]
OG0002305	EIE25267.1 Phospholipase/carboxylesterase [Coccomyxa subellipsoidea C-169]	KAF6250823.1 Phospholipase/Carboxylesterase-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6258418.1 Phospholipase/Carboxylesterase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002307	EIE27478.1 hypothetical protein COCSUDRAFT_55486 [Coccomyxa subellipsoidea C-169]	KAF6254203.1 hypothetical protein COO60DRAFT_347427 [Scenedesmus sp. NREL 46B-D3], KAF6253947.1 hypothetical protein COO60DRAFT_366141 [Scenedesmus sp. NREL 46B-D3]
OG0002308	EIE25839.1 peptidase A22B_ signal peptide peptidase [Coccomyxa subellipsoidea C-169]	KAF6259387.1 signal peptide peptidase-like protein [Scenedesmus sp. NREL 46B-D3]
OG0002312	EIE19592.1 Zn-dependent exopeptidase_ partial [Coccomyxa subellipsoidea C-169]	KAF6251333.1 hypothetical protein COO60DRAFT_635459 [Scenedesmus sp. NREL 46B-D3], KAF6264265.1 hypothetical protein COO60DRAFT_171986 [Scenedesmus sp. NREL 46B-D3], KAF6262167.1 hypothetical protein COO60DRAFT_676903 [Scenedesmus sp. NREL 46B-D3], KAF6250173.1 hypothetical protein COO60DRAFT_905307 [Scenedesmus sp. NREL 46B-D3]
OG0002313	EIE25589.1 hypothetical protein COCSUDRAFT_52933 [Coccomyxa subellipsoidea C-169]	KAF6253736.1 hypothetical protein COO60DRAFT_1545112 [Scenedesmus sp. NREL 46B-D3]
OG0002314	EIE25407.1 hypothetical protein COCSUDRAFT_61626 [Coccomyxa subellipsoidea C-169], EIE18229.1 hypothetical protein COCSUDRAFT_45494 [Coccomyxa subellipsoidea C-169]	KAF6264713.1 Seleno protein U [Scenedesmus sp. NREL 46B-D3]
OG0002316	EIE18245.1 hypothetical protein COCSUDRAFT_49343 [Coccomyxa subellipsoidea C-169]	KAF6260933.1 hypothetical protein COO60DRAFT_1637153 [Scenedesmus sp. NREL 46B-D3], KAF6260936.1 hypothetical protein COO60DRAFT_1700049 [Scenedesmus sp. NREL 46B-D3], KAF6260934.1 hypothetical protein COO60DRAFT_1682485 [Scenedesmus sp. NREL 46B-D3], KAF6260981.1 hypothetical protein COO60DRAFT_1637190 [Scenedesmus sp. NREL 46B-D3], KAF6260983.1 hypothetical protein COO60DRAFT_1637192 [Scenedesmus sp. NREL 46B-D3]
OG0002318	EIE26427.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	KAF6255693.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002320	EIE22739.1 acyl-CoA N-acyltransferase [Coccomyxa subellipsoidea C-169]	KAF6254767.1 acyl-CoA N-acyltransferase [Scenedesmus sp. NREL 46B-D3]
OG0002321	EIE19182.1 hypothetical protein COCSUDRAFT_49036 [Coccomyxa subellipsoidea C-169]	KAF6255825.1 hypothetical protein COO60DRAFT_1532990 [Scenedesmus sp. NREL 46B-D3]
OG0002323	EIE19574.1 hypothetical protein COCSUDRAFT_58323 [Coccomyxa subellipsoidea C-169]	KAF6252313.1 muts domain V-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252298.1 hypothetical protein COO60DRAFT_1704354 [Scenedesmus sp. NREL 46B-D3], KAF6252300.1 hypothetical protein COO60DRAFT_540731 [Scenedesmus sp. NREL 46B-D3]
OG0002324	EIE20653.1 hypothetical protein COCSUDRAFT_57220 [Coccomyxa subellipsoidea C-169], EIE20652.1 hypothetical protein COCSUDRAFT_57219 [Coccomyxa subellipsoidea C-169]	KAF6252747.1 hypothetical protein COO60DRAFT_1463541 [Scenedesmus sp. NREL 46B-D3], KAF6261459.1 hypothetical protein COO60DRAFT_1636753 [Scenedesmus sp. NREL 46B-D3]
OG0002325	EIE23888.1 hypothetical protein COCSUDRAFT_62418 [Coccomyxa subellipsoidea C-169]	KAF6261367.1 hypothetical protein COO60DRAFT_782032 [Scenedesmus sp. NREL 46B-D3]
OG0002327	EIE24912.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]	KAF6254629.1 glycoside hydrolase [Scenedesmus sp. NREL 46B-D3], KAF6262946.1 glycoside hydrolase superfamily [Scenedesmus sp. NREL 46B-D3], KAF6262814.1 glycoside hydrolase [Scenedesmus sp. NREL 46B-D3]
OG0002328	EIE25614.1 hypothetical protein COCSUDRAFT_83621 [Coccomyxa subellipsoidea C-169]	KAF6261969.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3], KAF6258431.1 hypothetical protein COO60DRAFT_1120138 [Scenedesmus sp. NREL 46B-D3]
OG0002329	EIE18180.1 hypothetical protein COCSUDRAFT_20922_ partial [Coccomyxa subellipsoidea C-169]	KAF6262303.1 hypothetical protein COO60DRAFT_1677178 [Scenedesmus sp. NREL 46B-D3]
OG0002330	EIE23602.1 hypothetical protein COCSUDRAFT_63130 [Coccomyxa subellipsoidea C-169], EIE23817.1 hypothetical protein COCSUDRAFT_83692 [Coccomyxa subellipsoidea C-169]	KAF6260870.1 hypothetical protein COO60DRAFT_1700107 [Scenedesmus sp. NREL 46B-D3]
OG0002331	EIE20859.1 HAD-like protein_ partial [Coccomyxa subellipsoidea C-169]	KAF6255031.1 hypothetical protein COO60DRAFT_259290 [Scenedesmus sp. NREL 46B-D3]
OG0002332	EIE27823.1 hypothetical protein COCSUDRAFT_83443 [Coccomyxa subellipsoidea C-169]	KAF6256222.1 tyrosine phosphatase-like protein [Scenedesmus sp. NREL 46B-D3]
OG0002333	EIE18647.1 hypothetical protein COCSUDRAFT_68140 [Coccomyxa subellipsoidea C-169]	KAF6251338.1 Foie gras liver health family 1-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002334	EIE22745.1 hypothetical protein COCSUDRAFT_36835 [Coccomyxa subellipsoidea C-169]	KAF6263581.1 hypothetical protein COO60DRAFT_1667061 [Scenedesmus sp. NREL 46B-D3], KAF6260258.1 hypothetical protein COO60DRAFT_906930 [Scenedesmus sp. NREL 46B-D3]
OG0002335	EIE25142.1 hypothetical protein COCSUDRAFT_46605 [Coccomyxa subellipsoidea C-169], EIE25143.1 hypothetical protein COCSUDRAFT_65115 [Coccomyxa subellipsoidea C-169], EIE20561.1 hypothetical protein COCSUDRAFT_67421 [Coccomyxa subellipsoidea C-169]	KAF6263428.1 hypothetical protein COO60DRAFT_1698844 [Scenedesmus sp. NREL 46B-D3]
OG0002336	EIE25354.1 hypothetical protein COCSUDRAFT_40625 [Coccomyxa subellipsoidea C-169]	KAF6251629.1 hypothetical protein COO60DRAFT_1644806 [Scenedesmus sp. NREL 46B-D3]
OG0002339	EIE20345.1 hypothetical protein COCSUDRAFT_83545 [Coccomyxa subellipsoidea C-169]	KAF6256098.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3]
OG0002340	EIE21312.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169]	KAF6252262.1 hypothetical protein COO60DRAFT_1704373 [Scenedesmus sp. NREL 46B-D3], KAF6250855.1 hypothetical protein COO60DRAFT_1705312 [Scenedesmus sp. NREL 46B-D3], KAF6250856.1 hypothetical protein COO60DRAFT_1645853 [Scenedesmus sp. NREL 46B-D3]
OG0002341	EIE25272.1 hypothetical protein COCSUDRAFT_65173 [Coccomyxa subellipsoidea C-169], EIE19299.1 hypothetical protein COCSUDRAFT_67839 [Coccomyxa subellipsoidea C-169]	KAF6258700.1 hypothetical protein COO60DRAFT_1517006 [Scenedesmus sp. NREL 46B-D3], KAF6258699.1 hypothetical protein COO60DRAFT_1088483 [Scenedesmus sp. NREL 46B-D3]
OG0002342	EIE18236.1 hypothetical protein COCSUDRAFT_10830_ partial [Coccomyxa subellipsoidea C-169]	KAF6254253.1 hypothetical protein COO60DRAFT_1703407 [Scenedesmus sp. NREL 46B-D3], KAF6264248.1 hypothetical protein COO60DRAFT_1698474 [Scenedesmus sp. NREL 46B-D3]
OG0002343	EIE22216.1 phosphatases II_ partial [Coccomyxa subellipsoidea C-169]	KAF6261739.1 protein-tyrosine phosphatase-like protein [Scenedesmus sp. NREL 46B-D3]
OG0002344	EIE25522.1 hypothetical protein COCSUDRAFT_61728 [Coccomyxa subellipsoidea C-169]	KAF6255204.1 hypothetical protein COO60DRAFT_1536874 [Scenedesmus sp. NREL 46B-D3]
OG0002348	EIE22844.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]	KAF6261181.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]
OG0002349	EIE18646.1 Lipoxigenase [Coccomyxa subellipsoidea C-169], EIE19399.1 Lipoxigenase_ partial [Coccomyxa subellipsoidea C-169]	KAF6251343.1 lipoxygenase [Scenedesmus sp. NREL 46B-D3], KAF6248848.1 lipoxygenase [Scenedesmus sp. NREL 46B-D3], KAF6251346.1 lipoxygenase [Scenedesmus sp. NREL 46B-D3], KAF6251345.1 hypothetical protein COO60DRAFT_632734 [Scenedesmus sp. NREL 46B-D3]
OG0002350	EIE22680.1 hypothetical protein COCSUDRAFT_63820 [Coccomyxa subellipsoidea C-169]	KAF6249362.1 hypothetical protein COO60DRAFT_977658 [Scenedesmus sp. NREL 46B-D3]
OG0002350	EIE21148.1 hypothetical protein COCSUDRAFT_17962 [Coccomyxa subellipsoidea C-169]	KAF6262614.1 hypothetical protein COO60DRAFT_599971_ partial [Scenedesmus sp. NREL 46B-D3]
OG0002350	EIE24894.1 hypothetical protein COCSUDRAFT_62303 [Coccomyxa subellipsoidea C-169]	KAF6249361.1 hypothetical protein COO60DRAFT_977572 [Scenedesmus sp. NREL 46B-D3]
OG0002351	EIE24960.1 hypothetical protein COCSUDRAFT_83652 [Coccomyxa subellipsoidea C-169]	KAF6255850.1 hypothetical protein COO60DRAFT_1532571 [Scenedesmus sp. NREL 46B-D3], KAF6264266.1 hypothetical protein COO60DRAFT_1698345 [Scenedesmus sp. NREL 46B-D3], KAF6255852.1 hypothetical protein COO60DRAFT_1532573_ partial [Scenedesmus sp. NREL 46B-D3], KAF6255851.1 hypothetical protein COO60DRAFT_167776 [Scenedesmus sp. NREL 46B-D3], KAF6264269.1 hypothetical protein COO60DRAFT_172349 [Scenedesmus sp. NREL 46B-D3], KAF6264270.1 Sec23-binding domain of Sec16-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002355	EIE25213.1 hypothetical protein COCSUDRAFT_40528 [Coccomyxa subellipsoidea C-169], EIE24761.1 hypothetical protein COCSUDRAFT_62178 [Coccomyxa subellipsoidea C-169], EIE19537.1 hypothetical protein COCSUDRAFT_54539 [Coccomyxa subellipsoidea C-169], EIE22983.1 hypothetical protein COCSUDRAFT_63373 [Coccomyxa subellipsoidea C-169]	KAF6257350.1 diacylglycerol acyltransferase-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266346.1 diacylglycerol acyltransferase [Scenedesmus sp. NREL 46B-D3], KAF6259785.1 diacylglycerol acyltransferase-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266772.1 diacylglycerol acyltransferase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002356	EIE23992.1 hypothetical protein COCSUDRAFT_62519 [Coccomyxa subellipsoidea C-169]	KAF6253937.1 hypothetical protein COO60DRAFT_370678 [Scenedesmus sp. NREL 46B-D3]
OG0002366	EIE20833.1 adenine nucleotide hydrolase [Coccomyxa subellipsoidea C-169]	KAF6258273.1 hypothetical protein COO60DRAFT_1295424 [Scenedesmus sp. NREL 46B-D3]
OG0002367	EIE27370.1 hypothetical protein COCSUDRAFT_11398 [Coccomyxa subellipsoidea C-169]	KAF6259168.1 hypothetical protein COO60DRAFT_1701000 [Scenedesmus sp. NREL 46B-D3]
OG0002368	EIE18688.1 hypothetical protein COCSUDRAFT_49169 [Coccomyxa subellipsoidea C-169]	KAF6256877.1 hypothetical protein COO60DRAFT_1640403 [Scenedesmus sp. NREL 46B-D3]
OG0002369	EIE27341.1 hypothetical protein COCSUDRAFT_11586_ partial [Coccomyxa subellipsoidea C-169]	KAF6263148.1 ABC transporter transmembrane region 2-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002370	EIE25753.1 PCI-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6263628.1 26S proteasome regulatory complex [Scenedesmus sp. NREL 46B-D3]
OG0002371	EIE27405.1 histone acetyltransferase [Coccomyxa subellipsoidea C-169]	KAF6248551.1 hypothetical protein COO60DRAFT_1300135 [Scenedesmus sp. NREL 46B-D3]
OG0002372	EIE18024.1 soluble starch synthase [Coccomyxa subellipsoidea C-169]	KAF6258181.1 soluble starch synthase [Scenedesmus sp. NREL 46B-D3]
OG0002374	EIE20534.1 hypothetical protein COCSUDRAFT_54347 [Coccomyxa subellipsoidea C-169]	KAF6258891.1 glycosyl transferase family 4-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002375	EIE27364.1 ubiquinone/menaquinone biosynthesis methyltransferase_ partial [Coccomyxa subellipsoidea C-169]	KAF6258874.1 ubiE/COQ5 methyltransferase family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002377	EIE25733.1 glycerol-3-phosphate 1-acyltransferase_ partial [Coccomyxa subellipsoidea C-169]	KAF6258633.1 hypothetical protein COO60DRAFT_1701277 [Scenedesmus sp. NREL 46B-D3]
OG0002378	EIE27293.1 hypothetical protein COCSUDRAFT_11390 [Coccomyxa subellipsoidea C-169]	KAF6257239.1 hypothetical protein COO60DRAFT_1640076 [Scenedesmus sp. NREL 46B-D3]
OG0002379	EIE25510.1 T-complex protein 1 [Coccomyxa subellipsoidea C-169]	KAF6250936.1 chaperonin complex component [Scenedesmus sp. NREL 46B-D3]
OG0002380	EIE18700.1 hypothetical protein COCSUDRAFT_45178 [Coccomyxa subellipsoidea C-169]	KAF6254441.1 hypothetical protein COO60DRAFT_1541035 [Scenedesmus sp. NREL 46B-D3]
OG0002381	EIE27206.1 DNA/RNA polymerase [Coccomyxa subellipsoidea C-169]	KAF6253020.1 hypothetical protein COO60DRAFT_1549574 [Scenedesmus sp. NREL 46B-D3]
OG0002382	EIE27296.1 hypothetical protein COCSUDRAFT_64161 [Coccomyxa subellipsoidea C-169]	KAF6253497.1 LMBR1-like membrane protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002383	EIE27367.1 hypothetical protein COCSUDRAFT_64195 [Coccomyxa subellipsoidea C-169]	KAF6258148.1 hypothetical protein COO60DRAFT_1701501 [Scenedesmus sp. NREL 46B-D3]
OG0002384	EIE18692.1 hypothetical protein COCSUDRAFT_68160 [Coccomyxa subellipsoidea C-169]	KAF6251975.1 hypothetical protein COO60DRAFT_1704507 [Scenedesmus sp. NREL 46B-D3]
OG0002385	EIE19084.1 hypothetical protein COCSUDRAFT_31344 [Coccomyxa subellipsoidea C-169]	KAF6263110.1 thiamine diphosphate-binding protein [Scenedesmus sp. NREL 46B-D3]
OG0002386	EIE19062.1 vacuolar ATP synthase_ subunit A [Coccomyxa subellipsoidea C-169]	KAF6262128.1 vacuolar ATP synthase_ subunit A [Scenedesmus sp. NREL 46B-D3]
OG0002387	EIE19118.1 hypothetical protein COCSUDRAFT_19902_ partial [Coccomyxa subellipsoidea C-169]	KAF6260230.1 Phytochelatin synthase-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6260231.1 Phytochelatin synthase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002388	EIE25751.1 hypothetical protein COCSUDRAFT_12888 [Coccomyxa subellipsoidea C-169]	KAF6261609.1 60Kd inner membrane protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002389	EIE19145.1 hypothetical protein COCSUDRAFT_59628 [Coccomyxa subellipsoidea C-169]	KAF6259330.1 hypothetical protein COO60DRAFT_1014853 [Scenedesmus sp. NREL 46B-D3], KAF6259329.1 hypothetical protein COO60DRAFT_1014852 [Scenedesmus sp. NREL 46B-D3]
OG0002390	EIE26862.1 hypothetical protein COCSUDRAFT_39838 [Coccomyxa subellipsoidea C-169]	KAF6258987.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002391	EIE18778.1 metal-dependent protein hydrolase [Coccomyxa subellipsoidea C-169]	KAF6260914.1 metal-dependent protein hydrolase [Scenedesmus sp. NREL 46B-D3]
OG0002392	EIE23550.1 zeta-cop_ subunit of COP-I complex [Coccomyxa subellipsoidea C-169]	KAF6256050.1 zeta-cop_ subunit of COP-I complex [Scenedesmus sp. NREL 46B-D3]
OG0002393	EIE19590.1 4A/4B type thioredoxin-like protein [Coccomyxa subellipsoidea C-169]	KAF6254999.1 mitosis protein DIM1-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254595.1 mitosis protein DIM1-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002396	EIE23395.1 hypothetical protein COCSUDRAFT_62930 [Coccomyxa subellipsoidea C-169]	KAF6259328.1 hypothetical protein COO60DRAFT_1700862 [Scenedesmus sp. NREL 46B-D3]
OG0002397	EIE26403.1 hypothetical protein COCSUDRAFT_46074 [Coccomyxa subellipsoidea C-169]	KAF6259638.1 hypothetical protein COO60DRAFT_988210 [Scenedesmus sp. NREL 46B-D3]
OG0002398	EIE23593.1 photosystem II biogenesis protein Psp29 [Coccomyxa subellipsoidea C-169]	KAF6253835.1 photosystem II biogenesis protein Psp29 [Scenedesmus sp. NREL 46B-D3]
OG0002399	EIE25999.1 RabGAP/TBC protein [Coccomyxa subellipsoidea C-169]	KAF6264666.1 rab-GTPase-TBC domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002400	EIE23592.1 hypothetical protein COCSUDRAFT_66002 [Coccomyxa subellipsoidea C-169]	KAF6264856.1 hypothetical protein COO60DRAFT_1481147 [Scenedesmus sp. NREL 46B-D3]
OG0002401	EIE20807.1 hypothetical protein COCSUDRAFT_67242_ partial [Coccomyxa subellipsoidea C-169]	KAF6254714.1 diacylglycerol kinase accessory domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250393.1 diacylglycerol kinase accessory domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002402	EIE25418.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6257920.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6260407.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0002403	EIE19194.1 DUF382-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6264232.1 hypothetical protein COO60DRAFT_1621623 [Scenedesmus sp. NREL 46B-D3]
OG0002404	EIE18798.1 20S proteasome beta subunit_ type 4 [Coccomyxa subellipsoidea C-169]	KAF6264306.1 nucleophile aminohydrolase [Scenedesmus sp. NREL 46B-D3]
OG0002405	EIE26215.1 TerC-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6261712.1 integral membrane protein TerC family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002406	EIE19077.1 RabGAP/TBC protein [Coccomyxa subellipsoidea C-169]	KAF6259561.1 rab-GTPase-TBC domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002407	EIE19780.1 DUF254-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6259192.1 trafficking protein Mon1-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002408	EIE26356.1 hypothetical protein COCSUDRAFT_12481 [Coccomyxa subellipsoidea C-169]	KAF6255348.1 AMMECR1 domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002409	EIE26497.1 hypothetical protein COCSUDRAFT_46111 [Coccomyxa subellipsoidea C-169]	KAF6251928.1 hypothetical protein COO60DRAFT_1674245 [Scenedesmus sp. NREL 46B-D3]
OG0002410	EIE26627.1 acetylglutamate kinase_ partial [Coccomyxa subellipsoidea C-169]	KAF6254835.1 acetylglutamate kinase-like protein [Scenedesmus sp. NREL 46B-D3]
OG0002411	EIE26584.1 ATP-binding cassette transporter [Coccomyxa subellipsoidea C-169]	KAF6256699.1 ABC transporter transmembrane region 2-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002412	EIE24320.1 allantoinase [Coccomyxa subellipsoidea C-169]	KAF6265397.1 allantoinase [Scenedesmus sp. NREL 46B-D3], KAF6253326.1 allantoinase [Scenedesmus sp. NREL 46B-D3]
OG0002413	EIE26494.1 P-loop containing nucleoside triphosphate hydrolase protein_ partial [Coccomyxa subellipsoidea C-169]	KAF6251424.1 hypothetical protein COO60DRAFT_1704822 [Scenedesmus sp. NREL 46B-D3]
OG0002414	EIE21976.1 phosphoribosyl pyrophosphate synthetase II [Coccomyxa subellipsoidea C-169]	KAF6263593.1 phosphoribosyltransferase-like protein [Scenedesmus sp. NREL 46B-D3]
OG0002415	EIE25991.1 Pantoate--beta-alanine ligase [Coccomyxa subellipsoidea C-169]	KAF6258680.1 hypothetical protein COO60DRAFT_1517833 [Scenedesmus sp. NREL 46B-D3]
OG0002416	EIE26853.1 electron transfer flavo protein beta-subunit_electron transfer flavo protein alpha subunit_ partial [Coccomyxa subellipsoidea C-169]	KAF6261253.1 hypothetical protein COO60DRAFT_1503022 [Scenedesmus sp. NREL 46B-D3]
OG0002417	EIE24059.1 mitochondrial substrate carrier protein [Coccomyxa subellipsoidea C-169]	KAF6251378.1 mitochondrial substrate carrier [Scenedesmus sp. NREL 46B-D3]
OG0002418	EIE27636.1 valyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]	KAF6258467.1 tRNA synthetases class I-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002421	EIE22151.1 DNA polymerase delta subunit one [Coccomyxa subellipsoidea C-169]	KAF6262665.1 DNA polymerase delta subunit one [Scenedesmus sp. NREL 46B-D3]
OG0002422	EIE24281.1 hypothetical protein COCSUDRAFT_28729 [Coccomyxa subellipsoidea C-169]	KAF6263102.1 mono-functional DNA-alkylating methyl methanesulfonate N-term-domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3]
OG0002423	EIE27514.1 DUF101-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6254625.1 Archease domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002424	EIE24817.1 4'-phosphopantetheinyl transferase [Coccomyxa subellipsoidea C-169]	KAF6252582.1 4'-phosphopantetheinyl transferase [Scenedesmus sp. NREL 46B-D3]
OG0002425	EIE27498.1 hypothetical protein COCSUDRAFT_32018 [Coccomyxa subellipsoidea C-169]	KAF6258638.1 hypothetical protein COO60DRAFT_1470892 [Scenedesmus sp. NREL 46B-D3], KAF6256990.1 hypothetical protein COO60DRAFT_1471050 [Scenedesmus sp. NREL 46B-D3]
OG0002426	EIE27540.1 endoplasmic reticulum-type calcium-transporting ATPase [Coccomyxa subellipsoidea C-169]	KAF6263343.1 hypothetical protein COO60DRAFT_1293036 [Scenedesmus sp. NREL 46B-D3]
OG0002427	EIE19434.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	KAF6260807.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0002428	EIE27631.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]	KAF6266375.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3]
OG0002429	EIE27519.1 Sm-like ribonucleo protein [Coccomyxa subellipsoidea C-169]	KAF6253458.1 hypothetical protein COO60DRAFT_1643145 [Scenedesmus sp. NREL 46B-D3]
OG0002430	EIE18966.1 S-Adenosyl homocysteine hydrolase [Coccomyxa subellipsoidea C-169]	KAF6258559.1 Adenosylhomocysteinase [Scenedesmus sp. NREL 46B-D3]
OG0002431	EIE27680.1 NAD_P_-binding protein_ partial [Coccomyxa subellipsoidea C-169]	KAF6263401.1 chlorophyll b reductase [Scenedesmus sp. NREL 46B-D3]
OG0002432	EIE24409.1 heat shock protein 70 [Coccomyxa subellipsoidea C-169]	KAF6259885.1 heat shock protein 70B [Scenedesmus sp. NREL 46B-D3]
OG0002433	EIE21162.1 mitochondrial carrier_ partial [Coccomyxa subellipsoidea C-169]	KAF6264176.1 mitochondrial carrier domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002434	EIE24435.1 NAD-dependent epimerase/dehydratase [Coccomyxa subellipsoidea C-169]	KAF6260950.1 hypothetical protein COO60DRAFT_1637167 [Scenedesmus sp. NREL 46B-D3]
OG0002435	EIE20359.1 P-loop containing nucleoside triphosphate hydrolase protein_ partial [Coccomyxa subellipsoidea C-169]	KAF6262649.1 hypothetical protein COO60DRAFT_1635812 [Scenedesmus sp. NREL 46B-D3]
OG0002436	EIE22730.1 Xpo1-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6251257.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]
OG0002437	EIE25117.1 hypothetical protein COCSUDRAFT_61357 [Coccomyxa subellipsoidea C-169], EIE20465.1 hypothetical protein COCSUDRAFT_67376 [Coccomyxa subellipsoidea C-169]	KAF6264498.1 hypothetical protein COO60DRAFT_128154 [Scenedesmus sp. NREL 46B-D3]
OG0002438	EIE26287.1 hypothetical protein COCSUDRAFT_12244_ partial [Coccomyxa subellipsoidea C-169]	KAF6253267.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0002439	EIE20395.1 N2227-like protein [Coccomyxa subellipsoidea C-169]	KAF6266581.1 N2227-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002440	EIE19608.1 DRMBL-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]	KAF6251967.1 beta-lactamase-like protein [Scenedesmus sp. NREL 46B-D3]
OG0002441	EIE20476.1 hypothetical protein COCSUDRAFT_37771 [Coccomyxa subellipsoidea C-169]	KAF6263837.1 hypothetical protein COO60DRAFT_1487315 [Scenedesmus sp. NREL 46B-D3]
OG0002442	EIE22872.1 Rhodanese-like protein [Coccomyxa subellipsoidea C-169]	KAF6251696.1 Rhodanese-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0002443	EIE21022.1 hypothetical protein COCSUDRAFT_43387 [Coccomyxa subellipsoidea C-169]	KAF6258751.1 Choline/ethanolamine kinase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
