Orthogroup	Coccomyxa_SubellipsoideaC169	Chlorella_A99
OG0001563	EIE21504.1 HSP70-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2048 [Chlorella sp. A99]
OG0001566	EIE25236.1 glutathione S-transferase [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g127 [Chlorella sp. A99]
OG0001567	EIE23754.1 hypothetical protein COCSUDRAFT_47424 [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2054 [Chlorella sp. A99]
OG0001568	EIE25469.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2780 [Chlorella sp. A99]
OG0001569	EIE20803.1 hypothetical protein COCSUDRAFT_57359 [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1513 [Chlorella sp. A99]
OG0001571	EIE22218.1 kinesin-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000082.1 g547 [Chlorella sp. A99]
OG0001572	EIE26566.1 LuxS/MPP-like metallohydrolase [Coccomyxa subellipsoidea C-169]	PCFQ01000006.1 g3111 [Chlorella sp. A99]
OG0001574	EIE22663.1 mitochondrial pyruvate dehydrogenase kinase [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2769 [Chlorella sp. A99]
OG0001575	EIE20869.1 methionyl aminopeptidase-like protein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2636 [Chlorella sp. A99]
OG0001576	EIE18943.1 putative glyoxysomal fatty acid beta-oxidation multifunctional protein [Coccomyxa subellipsoidea C-169]	PCFQ01000018.1 g482 [Chlorella sp. A99]
OG0001578	EIE23264.1 ADP/ATP carrier protein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g76 [Chlorella sp. A99]
OG0001579	EIE24398.1 tubulin gamma chain [Coccomyxa subellipsoidea C-169]	PCFQ01000013.1 g3330 [Chlorella sp. A99]
OG0001581	EIE24082.1 cysteine desulfurase [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g264 [Chlorella sp. A99]
OG0001582	EIE21315.1 AMPKBI-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g78 [Chlorella sp. A99]
OG0001583	EIE25206.1 glycine dehydrogenase [Coccomyxa subellipsoidea C-169]	PCFQ01000077.1 g1770 [Chlorella sp. A99], PCFQ01000022.1 g2330 [Chlorella sp. A99]
OG0001585	EIE24855.1 hypothetical protein COCSUDRAFT_14382 [Coccomyxa subellipsoidea C-169]	PCFQ01000002.1 g645 [Chlorella sp. A99]
OG0001586	EIE25311.1 cyclic nucleotide dependent protein kinase [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2809 [Chlorella sp. A99]
OG0001591	EIE24437.1 hypothetical protein COCSUDRAFT_52960 [Coccomyxa subellipsoidea C-169]	PCFQ01000013.1 g3309 [Chlorella sp. A99]
OG0001592	EIE20097.1 AMP deaminase_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g44 [Chlorella sp. A99]
OG0001593	EIE22267.1 hypothetical protein COCSUDRAFT_47805 [Coccomyxa subellipsoidea C-169]	PCFQ01000020.1 g889 [Chlorella sp. A99]
OG0001595	EIE19423.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000023.1 g2238 [Chlorella sp. A99]
OG0001599	EIE22856.1 hypothetical protein COCSUDRAFT_29443 [Coccomyxa subellipsoidea C-169]	PCFQ01000073.1 g1981 [Chlorella sp. A99]
OG0001602	EIE26805.1 hypothetical protein COCSUDRAFT_64663 [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g92 [Chlorella sp. A99]
OG0001603	EIE22435.1 hypothetical protein COCSUDRAFT_53811 [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g160 [Chlorella sp. A99]
OG0001605	EIE24879.1 hypothetical protein COCSUDRAFT_14223 [Coccomyxa subellipsoidea C-169]	PCFQ01000018.1 g449 [Chlorella sp. A99]
OG0001606	EIE23980.1 hypothetical protein COCSUDRAFT_1550_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000082.1 g532 [Chlorella sp. A99]
OG0001608	EIE24014.1 NAD_P_-binding protein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000013.1 g3365 [Chlorella sp. A99], PCFQ01000002.1 g679 [Chlorella sp. A99]
OG0001611	EIE19040.1 mitogen-activated protein kinase 7 [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1324 [Chlorella sp. A99]
OG0001612	EIE21181.1 RNA-binding domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1332 [Chlorella sp. A99]
OG0001615	EIE23428.1 hypothetical protein COCSUDRAFT_53335 [Coccomyxa subellipsoidea C-169]	PCFQ01000013.1 g3322 [Chlorella sp. A99]
OG0001616	EIE26946.1 hypothetical protein COCSUDRAFT_11792_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000019.1 g1802 [Chlorella sp. A99]
OG0001617	EIE21143.1 TPR-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE27836.1 hypothetical protein COCSUDRAFT_83456 [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2150 [Chlorella sp. A99]
OG0001618	EIE20676.1 hypothetical protein COCSUDRAFT_57244 [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2362 [Chlorella sp. A99]
OG0001619	EIE25399.1 hypothetical protein COCSUDRAFT_40655 [Coccomyxa subellipsoidea C-169], EIE21936.1 hypothetical protein COCSUDRAFT_56378 [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2701 [Chlorella sp. A99]
OG0001620	EIE25432.1 L domain-like protein [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2820 [Chlorella sp. A99]
OG0001621	EIE23502.1 glutamine synthetase [Coccomyxa subellipsoidea C-169]	PCFQ01000015.1 g2939 [Chlorella sp. A99]
OG0001623	EIE21949.1 hypothetical protein COCSUDRAFT_16964 [Coccomyxa subellipsoidea C-169]	PCFQ01000013.1 g3368 [Chlorella sp. A99]
OG0001665	EIE27119.1 ribosomal protein S26 component of cytosolic 80S ribosome and 40S small subunit [Coccomyxa subellipsoidea C-169], EIE18661.1 ribosomal protein S26 component of cytosolic 80S ribosome and 40S small subunit_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000015.1 g3086 [Chlorella sp. A99]
OG0001666	EIE18713.1 transketolase 7 [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2735 [Chlorella sp. A99]
OG0001667	EIE25715.1 UPF0061-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000015.1 g3072 [Chlorella sp. A99]
OG0001668	EIE27389.1 hypothetical protein COCSUDRAFT_39074 [Coccomyxa subellipsoidea C-169]	PCFQ01000009.1 g1691 [Chlorella sp. A99]
OG0001670	EIE21309.1 glutamate-1-semialdehyde 2_1-aminomutase_ chloroplastic [Coccomyxa subellipsoidea C-169]	PCFQ01000046.1 g1874 [Chlorella sp. A99]
OG0001672	EIE25683.1 5-methylaminomethyl-2-thiouridylate-methyltransferase [Coccomyxa subellipsoidea C-169]	PCFQ01000015.1 g3089 [Chlorella sp. A99]
OG0001673	EIE24318.1 hypothetical protein COCSUDRAFT_47226 [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2503 [Chlorella sp. A99]
OG0001674	EIE27300.1 Sec7-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000013.1 g3313 [Chlorella sp. A99]
OG0001675	EIE19507.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169], EIE26181.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2830 [Chlorella sp. A99]
OG0001676	EIE19103.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000082.1 g582 [Chlorella sp. A99]
OG0001677	EIE21586.1 molybdenum cofactor biosynthesis prote [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2165 [Chlorella sp. A99]
OG0001678	EIE19228.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1340 [Chlorella sp. A99]
OG0001679	EIE18788.1 mitochondrial glyco protein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1339 [Chlorella sp. A99]
OG0001681	EIE23716.1 AIR synthase-related protein [Coccomyxa subellipsoidea C-169]	PCFQ01000014.1 g1899 [Chlorella sp. A99]
OG0001682	EIE26196.1 AAA-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1370 [Chlorella sp. A99], PCFQ01000008.1 g1145 [Chlorella sp. A99]
OG0001684	EIE18792.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000082.1 g589 [Chlorella sp. A99]
OG0001686	EIE26635.1 clathrin heavy chain [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1275 [Chlorella sp. A99]
OG0001687	EIE26072.1 hypothetical protein COCSUDRAFT_40238 [Coccomyxa subellipsoidea C-169]	PCFQ01000010.1 g385 [Chlorella sp. A99]
OG0001689	EIE23549.1 N-terminal nucleophile aminohydrolase [Coccomyxa subellipsoidea C-169]	PCFQ01000015.1 g3030 [Chlorella sp. A99]
OG0001692	EIE19202.1 hypothetical protein COCSUDRAFT_59686 [Coccomyxa subellipsoidea C-169]	PCFQ01000082.1 g579 [Chlorella sp. A99]
OG0001694	EIE26030.1 Mak16 protein [Coccomyxa subellipsoidea C-169]	PCFQ01000010.1 g374 [Chlorella sp. A99]
OG0001698	EIE26594.1 aldolase [Coccomyxa subellipsoidea C-169]	PCFQ01000075.1 g1941 [Chlorella sp. A99]
OG0001700	EIE18231.1 heat shock protein 70E [Coccomyxa subellipsoidea C-169]	PCFQ01000009.1 g1727 [Chlorella sp. A99]
OG0001701	EIE27219.1 TPT-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2426 [Chlorella sp. A99]
OG0001702	EIE27585.1 biotin synthase [Coccomyxa subellipsoidea C-169]	PCFQ01000007.1 g1226 [Chlorella sp. A99]
OG0001703	EIE22172.1 DNA polymerase alpha_ subunit B [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g1994 [Chlorella sp. A99]
OG0001704	EIE18938.1 cleft lip and palate transmembrane 1 [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2438 [Chlorella sp. A99]
OG0001705	EIE24010.1 aspartyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]	PCFQ01000018.1 g439 [Chlorella sp. A99]
OG0001706	EIE24695.1 hypothetical protein COCSUDRAFT_62118 [Coccomyxa subellipsoidea C-169]	PCFQ01000018.1 g452 [Chlorella sp. A99]
OG0001708	EIE20485.1 hypothetical protein COCSUDRAFT_30639 [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2439 [Chlorella sp. A99]
OG0001709	EIE27580.1 ankyrin [Coccomyxa subellipsoidea C-169]	PCFQ01000007.1 g1225 [Chlorella sp. A99]
OG0001711	EIE27484.1 periplasmic binding protein-like II_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000081.1 g1623 [Chlorella sp. A99]
OG0001712	EIE19427.1 ribosomal protein L13a component of cytosolic 80S ribosome and 60S large subunit [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2627 [Chlorella sp. A99]
OG0001713	EIE27769.1 lysyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]	PCFQ01000081.1 g1650 [Chlorella sp. A99]
OG0001715	EIE22347.1 putative bifunctional dihydrofolate reductase-thymidylate synthase [Coccomyxa subellipsoidea C-169]	PCFQ01000020.1 g922 [Chlorella sp. A99]
OG0001716	EIE20497.1 hypothetical protein COCSUDRAFT_18421 [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2358 [Chlorella sp. A99]
OG0001719	EIE19637.1 T-complex protein_ zeta subunit [Coccomyxa subellipsoidea C-169]	PCFQ01000005.1 g784 [Chlorella sp. A99]
OG0001720	EIE19643.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	PCFQ01000005.1 g794 [Chlorella sp. A99]
OG0001724	EIE18452.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]	PCFQ01000026.1 g2295 [Chlorella sp. A99]
OG0001727	EIE25043.1 Adaptor protein complex beta subunit [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g144 [Chlorella sp. A99]
OG0001728	EIE20835.1 ribosomal protein S19 component of cytosolic 80S ribosome and 40S small subunit [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2618 [Chlorella sp. A99]
OG0001729	EIE18163.1 DnaJ-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000081.1 g1652 [Chlorella sp. A99]
OG0001730	EIE20864.1 putative 40S ribosomal protein S3_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000006.1 g3214 [Chlorella sp. A99]
OG0001731	EIE27573.1 glutathione synthetase [Coccomyxa subellipsoidea C-169]	PCFQ01000081.1 g1605 [Chlorella sp. A99]
OG0001732	EIE20267.1 calcium-translocating P-type ATPase [Coccomyxa subellipsoidea C-169]	PCFQ01000009.1 g1709 [Chlorella sp. A99]
OG0001737	EIE27768.1 RNA-binding domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000007.1 g1232 [Chlorella sp. A99]
OG0001739	EIE26832.1 hypothetical protein COCSUDRAFT_64676 [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2001 [Chlorella sp. A99]
OG0001740	EIE23253.1 SPT16-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g1982 [Chlorella sp. A99]
OG0001743	EIE20188.1 26S proteasome AAA-ATPase subunit RPT6a [Coccomyxa subellipsoidea C-169]	PCFQ01000001.1 g967 [Chlorella sp. A99]
OG0001744	EIE27727.1 hypothetical protein COCSUDRAFT_55712 [Coccomyxa subellipsoidea C-169]	PCFQ01000007.1 g1231 [Chlorella sp. A99]
OG0001747	EIE20979.1 hypothetical protein COCSUDRAFT_83538 [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2651 [Chlorella sp. A99]
OG0001748	EIE21542.1 sterol 14 desaturase [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2043 [Chlorella sp. A99]
OG0001750	EIE21664.1 hypothetical protein COCSUDRAFT_37401 [Coccomyxa subellipsoidea C-169]	PCFQ01000015.1 g2972 [Chlorella sp. A99]
OG0001751	EIE18131.1 hypothetical protein COCSUDRAFT_55002 [Coccomyxa subellipsoidea C-169]	PCFQ01000007.1 g1180 [Chlorella sp. A99]
OG0001753	EIE21543.1 hypothetical protein COCSUDRAFT_33697 [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2044 [Chlorella sp. A99]
OG0001754	EIE23105.1 hypothetical protein COCSUDRAFT_15789_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1509 [Chlorella sp. A99]
OG0001756	EIE20106.1 translation elongation factor G [Coccomyxa subellipsoidea C-169]	PCFQ01000013.1 g3271 [Chlorella sp. A99]
OG0001758	EIE27159.1 methionyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]	PCFQ01000081.1 g1598 [Chlorella sp. A99], PCFQ01000081.1 g1597 [Chlorella sp. A99]
OG0001759	EIE21961.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	PCFQ01000018.1 g406 [Chlorella sp. A99]
OG0001760	EIE22918.1 zf-DHHC-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000006.1 g3206 [Chlorella sp. A99]
OG0001761	EIE23236.1 UVB-resistance 8 [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2451 [Chlorella sp. A99]
OG0001762	EIE24232.1 chloroplast w6 desaturase [Coccomyxa subellipsoidea C-169]	PCFQ01000006.1 g3227 [Chlorella sp. A99]
OG0001763	EIE24197.1 Clp1-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000013.1 g3316 [Chlorella sp. A99]
OG0001767	EIE18017.1 ALG6_ ALG8 glycosyltransferase [Coccomyxa subellipsoidea C-169]	PCFQ01000075.1 g1935 [Chlorella sp. A99]
OG0001770	EIE27532.1 ATP synthase gamma-subunit [Coccomyxa subellipsoidea C-169]	PCFQ01000007.1 g1196 [Chlorella sp. A99]
OG0001777	EIE21190.1 hypothetical protein COCSUDRAFT_67117 [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2429 [Chlorella sp. A99]
OG0001778	EIE25831.1 IMP dehydrogenase [Coccomyxa subellipsoidea C-169]	PCFQ01000003.1 g1039 [Chlorella sp. A99]
OG0001779	EIE23691.1 54-kd signal recognition particle specific protein [Coccomyxa subellipsoidea C-169]	PCFQ01000013.1 g3326 [Chlorella sp. A99]
OG0001780	EIE25277.1 ARM repeat-containing protein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2736 [Chlorella sp. A99]
OG0001781	EIE25302.1 hypothetical protein COCSUDRAFT_61526 [Coccomyxa subellipsoidea C-169]	PCFQ01000003.1 g1045 [Chlorella sp. A99]
OG0001783	EIE21070.1 Phosphoribosylaminoimidazole carboxylase [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2030 [Chlorella sp. A99]
OG0001785	EIE27794.1 hypothetical protein COCSUDRAFT_26904 [Coccomyxa subellipsoidea C-169]	PCFQ01000081.1 g1572 [Chlorella sp. A99]
OG0001786	EIE21261.1 Mov34-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000010.1 g291 [Chlorella sp. A99]
OG0001787	EIE22261.1 aromatic amino acid hydroxylase_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2032 [Chlorella sp. A99]
OG0001788	EIE25279.1 hypothetical protein COCSUDRAFT_6824_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2779 [Chlorella sp. A99]
OG0001789	EIE20514.1 light harvesting complex protein I-20 [Coccomyxa subellipsoidea C-169]	PCFQ01000081.1 g1565 [Chlorella sp. A99]
OG0001790	EIE27371.1 Coatomer_ gamma subunit [Coccomyxa subellipsoidea C-169]	PCFQ01000081.1 g1571 [Chlorella sp. A99]
OG0001791	EIE25448.1 cysteine proteinase [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2901 [Chlorella sp. A99], PCFQ01000082.1 g592 [Chlorella sp. A99]
OG0001792	EIE25557.1 ribosomal protein L1 [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2752 [Chlorella sp. A99]
OG0001793	EIE27106.1 hypothetical protein COCSUDRAFT_64071 [Coccomyxa subellipsoidea C-169]	PCFQ01000010.1 g313 [Chlorella sp. A99]
OG0001794	EIE27592.1 translation initiation factor 3_ RNA-binding subunit [Coccomyxa subellipsoidea C-169]	PCFQ01000081.1 g1575 [Chlorella sp. A99]
OG0001795	EIE27660.1 Aldo/keto reductase [Coccomyxa subellipsoidea C-169], EIE20954.1 L-galactose dehydrogenase [Coccomyxa subellipsoidea C-169]	PCFQ01000010.1 g309 [Chlorella sp. A99]
OG0001797	EIE27459.1 PEPCase 1 [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g256 [Chlorella sp. A99], PCFQ01000075.1 g1909 [Chlorella sp. A99]
OG0001800	EIE19443.1 RFC1-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g140 [Chlorella sp. A99]
OG0001801	EIE18424.1 DUF1084-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000009.1 g1683 [Chlorella sp. A99]
OG0001805	EIE26942.1 3_4-dihydroxy-2-butanone 4-phosphate synthase [Coccomyxa subellipsoidea C-169]	PCFQ01000009.1 g1676 [Chlorella sp. A99]
OG0001806	EIE23301.1 ABC family transporter _Fe-S assembly/SufBCD system_ [Coccomyxa subellipsoidea C-169]	PCFQ01000075.1 g1921 [Chlorella sp. A99]
OG0001807	EIE26642.1 hypothetical protein COCSUDRAFT_52411 [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1244 [Chlorella sp. A99]
OG0001809	EIE18254.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]	PCFQ01000015.1 g2936 [Chlorella sp. A99]
OG0001811	EIE24395.1 Oligoxyloglucan reducing end-specific cellobiohydrolase [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2591 [Chlorella sp. A99]
OG0001812	EIE22683.1 coatomer subunit beta [Coccomyxa subellipsoidea C-169]	PCFQ01000009.1 g1674 [Chlorella sp. A99]
OG0001813	EIE27112.1 phenylalanyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2432 [Chlorella sp. A99]
OG0001817	EIE27299.1 Vps5-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000009.1 g1677 [Chlorella sp. A99]
OG0001818	EIE25535.1 hypothetical protein COCSUDRAFT_52908 [Coccomyxa subellipsoidea C-169]	PCFQ01000008.1 g1127 [Chlorella sp. A99]
OG0001819	EIE26084.1 selenium binding protein [Coccomyxa subellipsoidea C-169]	PCFQ01000077.1 g1732 [Chlorella sp. A99]
OG0001821	EIE20981.1 protein phosphatase 1 beta [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2085 [Chlorella sp. A99]
OG0001822	EIE22641.1 ATP-dependent DNA helicase ii [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g1 [Chlorella sp. A99]
OG0001824	EIE25282.1 peptidase M24A_ methionine aminopeptidase [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2800 [Chlorella sp. A99]
OG0001825	EIE20986.1 acyl-CoA dehydrogenase NM domain-like protein [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2058 [Chlorella sp. A99]
OG0001826	EIE25367.1 T-complex protein_ theta subunit [Coccomyxa subellipsoidea C-169]	PCFQ01000008.1 g1126 [Chlorella sp. A99]
OG0001827	EIE25817.1 guanylate kinase [Coccomyxa subellipsoidea C-169]	PCFQ01000003.1 g1055 [Chlorella sp. A99]
OG0001829	EIE23516.1 V0/A0 complex_ 116-kDa subunit of ATPase [Coccomyxa subellipsoidea C-169]	PCFQ01000015.1 g3007 [Chlorella sp. A99]
OG0001830	EIE21053.1 3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase [Coccomyxa subellipsoidea C-169], EIE23839.1 3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2055 [Chlorella sp. A99]
OG0001831	EIE23515.1 serine-tRNA ligase [Coccomyxa subellipsoidea C-169]	PCFQ01000015.1 g3002 [Chlorella sp. A99]
OG0001833	EIE24070.1 hypothetical protein COCSUDRAFT_36258 [Coccomyxa subellipsoidea C-169], EIE18064.1 hypothetical protein COCSUDRAFT_55018 [Coccomyxa subellipsoidea C-169]	PCFQ01000003.1 g1023 [Chlorella sp. A99]
OG0001835	EIE25958.1 WD40 repeat-like protein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000003.1 g1026 [Chlorella sp. A99]
OG0001837	EIE24239.1 putative phosphoribosylaminoimidazolecarboxamide [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g147 [Chlorella sp. A99]
OG0001838	EIE25675.1 DUF663-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1264 [Chlorella sp. A99]
OG0001839	EIE25639.1 hypothetical protein COCSUDRAFT_22018 [Coccomyxa subellipsoidea C-169], EIE22011.1 PREP protein [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2016 [Chlorella sp. A99]
OG0001841	EIE26999.1 ABC transporter family protein [Coccomyxa subellipsoidea C-169]	PCFQ01000003.1 g1018 [Chlorella sp. A99]
OG0001842	EIE27817.1 acyl-ACP thioesterase_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000007.1 g1207 [Chlorella sp. A99]
OG0001843	EIE23809.1 hypothetical protein COCSUDRAFT_29028 [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2447 [Chlorella sp. A99]
OG0001844	EIE26529.1 pyrroline-5-carboxylate reductase [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2894 [Chlorella sp. A99]
OG0001845	EIE19881.1 MT-A70-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2874 [Chlorella sp. A99]
OG0001846	EIE27604.1 DNA-directed RNA polymerase II_ 19 kDa polypeptide [Coccomyxa subellipsoidea C-169]	PCFQ01000081.1 g1642 [Chlorella sp. A99]
OG0001847	EIE21947.1 SecY protein [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1258 [Chlorella sp. A99]
OG0001849	EIE24915.1 Protochlorophyllide reductase_ chloroplastic [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g149 [Chlorella sp. A99]
OG0001851	EIE21782.1 hypothetical protein COCSUDRAFT_17103 [Coccomyxa subellipsoidea C-169]	PCFQ01000020.1 g933 [Chlorella sp. A99]
OG0001853	EIE18471.1 beta-type carbonic anhydrase beta-CA1 [Coccomyxa subellipsoidea C-169]	PCFQ01000019.1 g1788 [Chlorella sp. A99], PCFQ01000058.1 g204 [Chlorella sp. A99]
OG0001854	EIE19029.1 sumo-1 in complex with A sumo-binding motif-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2841 [Chlorella sp. A99]
OG0001855	EIE23928.1 RNA-binding domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2835 [Chlorella sp. A99]
OG0001856	EIE19853.1 uracil phosphoribosyltransferase [Coccomyxa subellipsoidea C-169]	PCFQ01000019.1 g1791 [Chlorella sp. A99]
OG0001857	EIE26854.1 ran-like small GTPase [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2008 [Chlorella sp. A99]
OG0001858	EIE22275.1 ribosomal protein L8 component of cytosolic 80S ribosome and 60S large subunit [Coccomyxa subellipsoidea C-169]	PCFQ01000080.1 g1948 [Chlorella sp. A99]
OG0001860	EIE22293.1 hypothetical protein COCSUDRAFT_16778 [Coccomyxa subellipsoidea C-169]	PCFQ01000080.1 g1950 [Chlorella sp. A99]
OG0001861	EIE22241.1 GMP synthetase [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1485 [Chlorella sp. A99]
OG0001862	EIE22485.1 hypothetical protein COCSUDRAFT_53833 [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2508 [Chlorella sp. A99]
OG0001863	EIE26993.1 SM/Sec1-family protein [Coccomyxa subellipsoidea C-169]	PCFQ01000020.1 g914 [Chlorella sp. A99]
OG0001864	EIE22490.1 leucine carboxyl methyltransferase family protein [Coccomyxa subellipsoidea C-169]	PCFQ01000020.1 g918 [Chlorella sp. A99]
OG0001865	EIE22492.1 UDP-glucose pyrophosphorylase [Coccomyxa subellipsoidea C-169]	PCFQ01000019.1 g1811 [Chlorella sp. A99]
OG0001867	EIE21937.1 NADH_ubiquinone oxidoreductase complex I intermediate-associated protein 30 [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1488 [Chlorella sp. A99]
OG0001868	EIE24746.1 hypothetical protein COCSUDRAFT_62165 [Coccomyxa subellipsoidea C-169]	PCFQ01000014.1 g1883 [Chlorella sp. A99]
OG0001869	EIE22229.1 hypothetical protein COCSUDRAFT_53737 [Coccomyxa subellipsoidea C-169]	PCFQ01000019.1 g1808 [Chlorella sp. A99], PCFQ01000049.1 g2287 [Chlorella sp. A99]
OG0001870	EIE25840.1 O-acetyltransferase-related protein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000005.1 g804 [Chlorella sp. A99]
