Orthogroup	Chlorella_A99	Chlorella_Vulgaris2111P
OG0002048	PCFQ01000006.1 g3153 [Chlorella sp. A99]	KAI3435493.1 hypothetical protein D9Q98_001559 [Chlorella vulgaris]
OG0002050	PCFQ01000007.1 g1191 [Chlorella sp. A99]	KAI3437550.1 hypothetical protein D9Q98_000003 [Chlorella vulgaris]
OG0002051	PCFQ01000007.1 g1235 [Chlorella sp. A99]	KAI3437621.1 hypothetical protein D9Q98_000073 [Chlorella vulgaris]
OG0002052	PCFQ01000082.1 g494 [Chlorella sp. A99]	KAI3425893.1 hypothetical protein D9Q98_007866 [Chlorella vulgaris]
OG0002053	PCFQ01000079.1 g1464 [Chlorella sp. A99]	KAI3431000.1 hypothetical protein D9Q98_009402 [Chlorella vulgaris]
OG0002056	PCFQ01000010.1 g351 [Chlorella sp. A99]	KAI3431454.1 hypothetical protein D9Q98_004506 [Chlorella vulgaris]
OG0002058	PCFQ01000010.1 g301 [Chlorella sp. A99]	KAI3431467.1 hypothetical protein D9Q98_004519 [Chlorella vulgaris]
OG0002059	PCFQ01000010.1 g317 [Chlorella sp. A99]	KAI3431317.1 hypothetical protein D9Q98_004375 [Chlorella vulgaris]
OG0002063	PCFQ01000010.1 g330 [Chlorella sp. A99]	KAI3431326.1 hypothetical protein D9Q98_004384 [Chlorella vulgaris]
OG0002064	PCFQ01000010.1 g335 [Chlorella sp. A99]	KAI3431421.1 hypothetical protein D9Q98_004474 [Chlorella vulgaris]
OG0002066	PCFQ01000010.1 g318 [Chlorella sp. A99]	KAI3431316.1 hypothetical protein D9Q98_004374 [Chlorella vulgaris]
OG0002068	PCFQ01000058.1 g193 [Chlorella sp. A99]	KAI3433511.1 hypothetical protein D9Q98_003322 [Chlorella vulgaris]
OG0002069	PCFQ01000037.1 g2427 [Chlorella sp. A99]	KAI3438432.1 hypothetical protein D9Q98_000863 [Chlorella vulgaris]
OG0002072	PCFQ01000011.1 g2747 [Chlorella sp. A99]	KAI3432617.1 hypothetical protein D9Q98_004163 [Chlorella vulgaris]
OG0002074	PCFQ01000058.1 g89 [Chlorella sp. A99]	KAI3433642.1 hypothetical protein D9Q98_003451 [Chlorella vulgaris]
OG0002075	PCFQ01000058.1 g129 [Chlorella sp. A99]	KAI3433540.1 hypothetical protein D9Q98_003350 [Chlorella vulgaris]
OG0002076	PCFQ01000058.1 g104 [Chlorella sp. A99]	KAI3433598.1 hypothetical protein D9Q98_003408 [Chlorella vulgaris], KAI3433597.1 hypothetical protein D9Q98_003408 [Chlorella vulgaris]
OG0002079	PCFQ01000058.1 g130 [Chlorella sp. A99]	KAI3433541.1 hypothetical protein D9Q98_003351 [Chlorella vulgaris]
OG0002080	PCFQ01000058.1 g176 [Chlorella sp. A99]	KAI3433551.1 hypothetical protein D9Q98_003362 [Chlorella vulgaris]
OG0002081	PCFQ01000082.1 g539 [Chlorella sp. A99]	KAI3425814.1 hypothetical protein D9Q98_007789 [Chlorella vulgaris]
OG0002082	PCFQ01000037.1 g2443 [Chlorella sp. A99]	KAI3438232.1 hypothetical protein D9Q98_000669 [Chlorella vulgaris]
OG0002083	PCFQ01000011.1 g2760 [Chlorella sp. A99]	KAI3438303.1 hypothetical protein D9Q98_000737 [Chlorella vulgaris]
OG0002084	PCFQ01000037.1 g2388 [Chlorella sp. A99]	KAI3438421.1 hypothetical protein D9Q98_000852 [Chlorella vulgaris]
OG0002087	PCFQ01000004.1 g2621 [Chlorella sp. A99]	KAI3438905.1 hypothetical protein D9Q98_001320 [Chlorella vulgaris], KAI3438906.1 hypothetical protein D9Q98_001320 [Chlorella vulgaris]
OG0002088	PCFQ01000004.1 g2626 [Chlorella sp. A99]	KAI3438894.1 hypothetical protein D9Q98_001309 [Chlorella vulgaris]
OG0002089	PCFQ01000021.1 g2310 [Chlorella sp. A99], PCFQ01000077.1 g1738 [Chlorella sp. A99]	KAI3428074.1 hypothetical protein D9Q98_006458 [Chlorella vulgaris]
OG0002090	PCFQ01000004.1 g2623 [Chlorella sp. A99]	KAI3438888.1 hypothetical protein D9Q98_001303 [Chlorella vulgaris]
OG0002092	PCFQ01000006.1 g3116 [Chlorella sp. A99]	KAI3436789.1 hypothetical protein D9Q98_006200 [Chlorella vulgaris]
OG0002093	PCFQ01000082.1 g491 [Chlorella sp. A99]	KAI3425694.1 hypothetical protein D9Q98_007671 [Chlorella vulgaris]
OG0002095	PCFQ01000037.1 g2528 [Chlorella sp. A99]	KAI3431557.1 hypothetical protein D9Q98_004606 [Chlorella vulgaris]
OG0002097	PCFQ01000002.1 g708 [Chlorella sp. A99]	KAI3430350.1 hypothetical protein D9Q98_004945 [Chlorella vulgaris]
OG0002098	PCFQ01000078.1 g2089 [Chlorella sp. A99]	KAI3435952.1 hypothetical protein D9Q98_002010 [Chlorella vulgaris]
OG0002099	PCFQ01000006.1 g3212 [Chlorella sp. A99]	KAI3432854.1 hypothetical protein D9Q98_010437 [Chlorella vulgaris]
OG0002102	PCFQ01000010.1 g365 [Chlorella sp. A99]	KAI3431483.1 hypothetical protein D9Q98_004534 [Chlorella vulgaris]
OG0002103	PCFQ01000002.1 g700 [Chlorella sp. A99]	KAI3430366.1 hypothetical protein D9Q98_004961 [Chlorella vulgaris]
OG0002104	PCFQ01000002.1 g713 [Chlorella sp. A99]	KAI3430323.1 hypothetical protein D9Q98_004918 [Chlorella vulgaris]
OG0002105	PCFQ01000037.1 g2536 [Chlorella sp. A99]	KAI3428516.1 hypothetical protein D9Q98_007339 [Chlorella vulgaris]
OG0002106	PCFQ01000010.1 g364 [Chlorella sp. A99]	KAI3431493.1 hypothetical protein D9Q98_004544 [Chlorella vulgaris]
OG0002107	PCFQ01000001.1 g950 [Chlorella sp. A99]	KAI3425101.1 hypothetical protein D9Q98_008479 [Chlorella vulgaris]
OG0002109	PCFQ01000015.1 g3028 [Chlorella sp. A99]	KAI3434698.1 hypothetical protein D9Q98_002760 [Chlorella vulgaris]
OG0002110	PCFQ01000015.1 g3001 [Chlorella sp. A99]	KAI3434686.1 hypothetical protein D9Q98_002749 [Chlorella vulgaris]
OG0002112	PCFQ01000008.1 g1096 [Chlorella sp. A99]	KAI3428808.1 hypothetical protein D9Q98_007625 [Chlorella vulgaris]
OG0002115	PCFQ01000078.1 g2122 [Chlorella sp. A99]	KAI3436035.1 hypothetical protein D9Q98_002092 [Chlorella vulgaris]
OG0002116	PCFQ01000008.1 g1123 [Chlorella sp. A99]	KAI3428167.1 hypothetical protein D9Q98_006549 [Chlorella vulgaris], KAI3428168.1 hypothetical protein D9Q98_006549 [Chlorella vulgaris]
OG0002118	PCFQ01000078.1 g2154 [Chlorella sp. A99]	KAI3436055.1 hypothetical protein D9Q98_002114 [Chlorella vulgaris]
OG0002121	PCFQ01000008.1 g1155 [Chlorella sp. A99]	KAI3428197.1 hypothetical protein D9Q98_006577 [Chlorella vulgaris]
OG0002122	PCFQ01000078.1 g2137 [Chlorella sp. A99]	KAI3436063.1 hypothetical protein D9Q98_002121 [Chlorella vulgaris]
OG0002123	PCFQ01000078.1 g2119 [Chlorella sp. A99]	KAI3436150.1 hypothetical protein D9Q98_002207 [Chlorella vulgaris]
OG0002124	PCFQ01000008.1 g1164 [Chlorella sp. A99]	KAI3428233.1 hypothetical protein D9Q98_006613 [Chlorella vulgaris]
OG0002125	PCFQ01000008.1 g1154 [Chlorella sp. A99]	KAI3428230.1 hypothetical protein D9Q98_006610 [Chlorella vulgaris]
OG0002126	PCFQ01000037.1 g2475 [Chlorella sp. A99]	KAI3428506.1 hypothetical protein D9Q98_007330 [Chlorella vulgaris]
OG0002127	PCFQ01000081.1 g1629 [Chlorella sp. A99]	KAI3437938.1 hypothetical protein D9Q98_000382 [Chlorella vulgaris]
OG0002128	PCFQ01000018.1 g454 [Chlorella sp. A99]	KAI3429738.1 hypothetical protein D9Q98_010053 [Chlorella vulgaris]
OG0002129	PCFQ01000079.1 g1404 [Chlorella sp. A99]	KAI3430858.1 hypothetical protein D9Q98_009267 [Chlorella vulgaris], KAI3431505.1 hypothetical protein D9Q98_004555 [Chlorella vulgaris]
OG0002130	PCFQ01000018.1 g394 [Chlorella sp. A99]	KAI3429897.1 hypothetical protein D9Q98_010208 [Chlorella vulgaris]
OG0002131	PCFQ01000018.1 g396 [Chlorella sp. A99]	KAI3429867.1 hypothetical protein D9Q98_010178 [Chlorella vulgaris]
OG0002133	PCFQ01000010.1 g370 [Chlorella sp. A99]	KAI3431588.1 hypothetical protein D9Q98_004638 [Chlorella vulgaris]
OG0002135	PCFQ01000018.1 g399 [Chlorella sp. A99]	KAI3429797.1 hypothetical protein D9Q98_010110 [Chlorella vulgaris]
OG0002137	PCFQ01000081.1 g1603 [Chlorella sp. A99]	KAI3437921.1 hypothetical protein D9Q98_000366 [Chlorella vulgaris]
OG0002138	PCFQ01000006.1 g3108 [Chlorella sp. A99]	KAI3436824.1 hypothetical protein D9Q98_006234 [Chlorella vulgaris]
OG0002139	PCFQ01000011.1 g2785 [Chlorella sp. A99]	KAI3428350.1 hypothetical protein D9Q98_006730 [Chlorella vulgaris]
OG0002141	PCFQ01000015.1 g2948 [Chlorella sp. A99]	KAI3434789.1 hypothetical protein D9Q98_002847 [Chlorella vulgaris]
OG0002144	PCFQ01000018.1 g466 [Chlorella sp. A99]	KAI3429711.1 hypothetical protein D9Q98_005796 [Chlorella vulgaris]
OG0002146	PCFQ01000078.1 g2088 [Chlorella sp. A99]	KAI3435927.1 hypothetical protein D9Q98_001985 [Chlorella vulgaris]
OG0002147	PCFQ01000006.1 g3138 [Chlorella sp. A99]	KAI3436881.1 hypothetical protein D9Q98_006289 [Chlorella vulgaris]
OG0002148	PCFQ01000011.1 g2786 [Chlorella sp. A99]	KAI3428333.1 hypothetical protein D9Q98_006713 [Chlorella vulgaris]
OG0002149	PCFQ01000037.1 g2405 [Chlorella sp. A99]	KAI3438555.1 hypothetical protein D9Q98_000983 [Chlorella vulgaris]
OG0002152	PCFQ01000006.1 g3126 [Chlorella sp. A99], PCFQ01000006.1 g3127 [Chlorella sp. A99]	KAI3436781.1 hypothetical protein D9Q98_006192 [Chlorella vulgaris]
OG0002153	PCFQ01000004.1 g2656 [Chlorella sp. A99]	KAI3438831.1 hypothetical protein D9Q98_001248 [Chlorella vulgaris]
OG0002155	PCFQ01000006.1 g3136 [Chlorella sp. A99]	KAI3436876.1 hypothetical protein D9Q98_006285 [Chlorella vulgaris], KAI3436877.1 hypothetical protein D9Q98_006285 [Chlorella vulgaris]
OG0002156	PCFQ01000018.1 g460 [Chlorella sp. A99]	KAI3429732.1 hypothetical protein D9Q98_010047 [Chlorella vulgaris]
OG0002157	PCFQ01000018.1 g461 [Chlorella sp. A99]	KAI3429691.1 hypothetical protein D9Q98_005776 [Chlorella vulgaris]
OG0002158	PCFQ01000006.1 g3125 [Chlorella sp. A99]	KAI3436782.1 hypothetical protein D9Q98_006193 [Chlorella vulgaris]
OG0002159	PCFQ01000078.1 g2049 [Chlorella sp. A99]	KAI3435838.1 hypothetical protein D9Q98_001896 [Chlorella vulgaris]
OG0002160	PCFQ01000002.1 g690 [Chlorella sp. A99]	KAI3430616.1 hypothetical protein D9Q98_005208 [Chlorella vulgaris]
OG0002161	PCFQ01000012.1 g1826 [Chlorella sp. A99]	KAI3425297.1 hypothetical protein D9Q98_009063 [Chlorella vulgaris]
OG0002162	PCFQ01000082.1 g596 [Chlorella sp. A99]	KAI3424428.1 hypothetical protein D9Q98_009980 [Chlorella vulgaris]
OG0002163	PCFQ01000078.1 g2068 [Chlorella sp. A99]	KAI3435879.1 hypothetical protein D9Q98_001937 [Chlorella vulgaris]
OG0002164	PCFQ01000004.1 g2657 [Chlorella sp. A99]	KAI3432285.1 hypothetical protein D9Q98_003845 [Chlorella vulgaris], KAI3438827.1 hypothetical protein D9Q98_001244 [Chlorella vulgaris]
OG0002165	PCFQ01000015.1 g2949 [Chlorella sp. A99]	KAI3434788.1 hypothetical protein D9Q98_002846 [Chlorella vulgaris]
OG0002166	PCFQ01000078.1 g2083 [Chlorella sp. A99]	KAI3435932.1 hypothetical protein D9Q98_001990 [Chlorella vulgaris]
OG0002169	PCFQ01000037.1 g2386 [Chlorella sp. A99]	KAI3438410.1 hypothetical protein D9Q98_000841 [Chlorella vulgaris]
OG0002171	PCFQ01000082.1 g572 [Chlorella sp. A99]	KAI3426103.1 hypothetical protein D9Q98_008071 [Chlorella vulgaris]
OG0002172	PCFQ01000079.1 g1285 [Chlorella sp. A99]	KAI3428683.1 hypothetical protein D9Q98_007506 [Chlorella vulgaris]
OG0002173	PCFQ01000079.1 g1291 [Chlorella sp. A99]	KAI3428690.1 hypothetical protein D9Q98_007513 [Chlorella vulgaris]
OG0002174	PCFQ01000079.1 g1517 [Chlorella sp. A99]	KAI3426085.1 hypothetical protein D9Q98_008053 [Chlorella vulgaris]
OG0002175	PCFQ01000082.1 g573 [Chlorella sp. A99]	KAI3426102.1 hypothetical protein D9Q98_008070 [Chlorella vulgaris]
OG0002177	PCFQ01000079.1 g1287 [Chlorella sp. A99]	KAI3428693.1 hypothetical protein D9Q98_007516 [Chlorella vulgaris]
OG0002178	PCFQ01000011.1 g2738 [Chlorella sp. A99]	KAI3438269.1 hypothetical protein D9Q98_000704 [Chlorella vulgaris]
OG0002180	PCFQ01000079.1 g1518 [Chlorella sp. A99]	KAI3426076.1 hypothetical protein D9Q98_008044 [Chlorella vulgaris]
OG0002181	PCFQ01000037.1 g2540 [Chlorella sp. A99]	KAI3428658.1 hypothetical protein D9Q98_007481 [Chlorella vulgaris]
OG0002182	PCFQ01000006.1 g3150 [Chlorella sp. A99]	KAI3436708.1 hypothetical protein D9Q98_006123 [Chlorella vulgaris]
OG0002183	PCFQ01000014.1 g1887 [Chlorella sp. A99]	KAI3424858.1 hypothetical protein D9Q98_008242 [Chlorella vulgaris]
OG0002184	PCFQ01000006.1 g3129 [Chlorella sp. A99]	KAI3436769.1 hypothetical protein D9Q98_006181 [Chlorella vulgaris]
OG0002185	PCFQ01000003.1 g1033 [Chlorella sp. A99]	KAI3424856.1 hypothetical protein D9Q98_008240 [Chlorella vulgaris]
OG0002186	PCFQ01000058.1 g184 [Chlorella sp. A99]	KAI3433684.1 hypothetical protein D9Q98_003493 [Chlorella vulgaris]
OG0002188	PCFQ01000078.1 g2039 [Chlorella sp. A99]	KAI3435794.1 hypothetical protein D9Q98_001852 [Chlorella vulgaris]
OG0002189	PCFQ01000082.1 g546 [Chlorella sp. A99]	KAI3425839.1 hypothetical protein D9Q98_007813 [Chlorella vulgaris]
OG0002190	PCFQ01000058.1 g182 [Chlorella sp. A99]	KAI3433672.1 hypothetical protein D9Q98_003481 [Chlorella vulgaris]
OG0002191	PCFQ01000058.1 g186 [Chlorella sp. A99]	KAI3433700.1 hypothetical protein D9Q98_003509 [Chlorella vulgaris]
OG0002192	PCFQ01000015.1 g2961 [Chlorella sp. A99]	KAI3434903.1 hypothetical protein D9Q98_002957 [Chlorella vulgaris]
OG0002194	PCFQ01000081.1 g1537 [Chlorella sp. A99]	KAI3438069.1 hypothetical protein D9Q98_000511 [Chlorella vulgaris], KAI3438068.1 hypothetical protein D9Q98_000511 [Chlorella vulgaris]
OG0002195	PCFQ01000004.1 g2577 [Chlorella sp. A99]	KAI3439114.1 hypothetical protein D9Q98_001523 [Chlorella vulgaris]
OG0002197	PCFQ01000037.1 g2482 [Chlorella sp. A99]	KAI3428498.1 hypothetical protein D9Q98_007322 [Chlorella vulgaris]
OG0002198	PCFQ01000078.1 g2099 [Chlorella sp. A99]	KAI3435822.1 hypothetical protein D9Q98_001880 [Chlorella vulgaris]
OG0002200	PCFQ01000012.1 g1825 [Chlorella sp. A99], PCFQ01000008.1 g1100 [Chlorella sp. A99]	KAI3425378.1 hypothetical protein D9Q98_009142 [Chlorella vulgaris]
OG0002201	PCFQ01000002.1 g683 [Chlorella sp. A99]	KAI3430661.1 hypothetical protein D9Q98_005253 [Chlorella vulgaris]
OG0002202	PCFQ01000006.1 g3204 [Chlorella sp. A99]	KAI3427198.1 hypothetical protein D9Q98_007134 [Chlorella vulgaris]
OG0002204	PCFQ01000077.1 g1754 [Chlorella sp. A99]	KAI3428046.1 hypothetical protein D9Q98_006432 [Chlorella vulgaris], KAI3428047.1 hypothetical protein D9Q98_006432 [Chlorella vulgaris]
OG0002205	PCFQ01000037.1 g2485 [Chlorella sp. A99]	KAI3432625.1 hypothetical protein D9Q98_004171 [Chlorella vulgaris]
OG0002206	PCFQ01000012.1 g1836 [Chlorella sp. A99]	KAI3425205.1 hypothetical protein D9Q98_008973 [Chlorella vulgaris]
OG0002211	PCFQ01000078.1 g2105 [Chlorella sp. A99]	KAI3435958.1 hypothetical protein D9Q98_002016 [Chlorella vulgaris]
OG0002212	PCFQ01000008.1 g1108 [Chlorella sp. A99]	KAI3427057.1 hypothetical protein D9Q98_006997 [Chlorella vulgaris]
OG0002213	PCFQ01000011.1 g2927 [Chlorella sp. A99]	KAI3433936.1 hypothetical protein D9Q98_003738 [Chlorella vulgaris]
OG0002215	PCFQ01000077.1 g1733 [Chlorella sp. A99]	KAI3428082.1 hypothetical protein D9Q98_006466 [Chlorella vulgaris]
OG0002216	PCFQ01000002.1 g654 [Chlorella sp. A99]	KAI3430409.1 hypothetical protein D9Q98_005004 [Chlorella vulgaris]
OG0002217	PCFQ01000003.1 g1080 [Chlorella sp. A99]	KAI3425119.1 hypothetical protein D9Q98_008891 [Chlorella vulgaris]
OG0002219	PCFQ01000073.1 g1976 [Chlorella sp. A99]	KAI3424991.1 hypothetical protein D9Q98_008372 [Chlorella vulgaris]
OG0002220	PCFQ01000002.1 g649 [Chlorella sp. A99]	KAI3430416.1 hypothetical protein D9Q98_005011 [Chlorella vulgaris]
OG0002221	PCFQ01000002.1 g653 [Chlorella sp. A99]	KAI3430410.1 hypothetical protein D9Q98_005005 [Chlorella vulgaris]
OG0002223	PCFQ01000020.1 g945 [Chlorella sp. A99]	KAI3432351.1 hypothetical protein D9Q98_003908 [Chlorella vulgaris]
OG0002224	PCFQ01000058.1 g86 [Chlorella sp. A99]	KAI3433651.1 hypothetical protein D9Q98_003460 [Chlorella vulgaris]
OG0002227	PCFQ01000058.1 g21 [Chlorella sp. A99]	KAI3433830.1 hypothetical protein D9Q98_003634 [Chlorella vulgaris]
OG0002228	PCFQ01000058.1 g20 [Chlorella sp. A99]	KAI3433827.1 hypothetical protein D9Q98_003631 [Chlorella vulgaris]
OG0002230	PCFQ01000058.1 g43 [Chlorella sp. A99]	KAI3433792.1 hypothetical protein D9Q98_003597 [Chlorella vulgaris]
OG0002232	PCFQ01000008.1 g1170 [Chlorella sp. A99]	KAI3428714.1 hypothetical protein D9Q98_007538 [Chlorella vulgaris]
OG0002233	PCFQ01000020.1 g908 [Chlorella sp. A99]	KAI3426393.1 hypothetical protein D9Q98_008764 [Chlorella vulgaris]
OG0002235	PCFQ01000020.1 g912 [Chlorella sp. A99]	KAI3426378.1 hypothetical protein D9Q98_008749 [Chlorella vulgaris]
OG0002236	PCFQ01000015.1 g3042 [Chlorella sp. A99]	KAI3434761.1 hypothetical protein D9Q98_002821 [Chlorella vulgaris]
OG0002237	PCFQ01000020.1 g882 [Chlorella sp. A99]	KAI3426336.1 hypothetical protein D9Q98_008709 [Chlorella vulgaris]
OG0002238	PCFQ01000013.1 g3302 [Chlorella sp. A99]	KAI3429495.1 hypothetical protein D9Q98_005584 [Chlorella vulgaris]
OG0002239	PCFQ01000020.1 g896 [Chlorella sp. A99]	KAI3426376.1 hypothetical protein D9Q98_008747 [Chlorella vulgaris], KAI3426375.1 hypothetical protein D9Q98_008747 [Chlorella vulgaris]
OG0002241	PCFQ01000073.1 g1978 [Chlorella sp. A99]	KAI3424970.1 hypothetical protein D9Q98_008351 [Chlorella vulgaris]
OG0002243	PCFQ01000079.1 g1533 [Chlorella sp. A99]	KAI3426099.1 hypothetical protein D9Q98_008067 [Chlorella vulgaris]
OG0002245	PCFQ01000020.1 g888 [Chlorella sp. A99]	KAI3426362.1 hypothetical protein D9Q98_008734 [Chlorella vulgaris]
OG0002246	PCFQ01000015.1 g3068 [Chlorella sp. A99], PCFQ01000018.1 g413 [Chlorella sp. A99]	KAI3434960.1 hypothetical protein D9Q98_003014 [Chlorella vulgaris]
OG0002248	PCFQ01000079.1 g1535 [Chlorella sp. A99]	KAI3426088.1 hypothetical protein D9Q98_008056 [Chlorella vulgaris]
OG0002249	PCFQ01000082.1 g611 [Chlorella sp. A99]	KAI3424897.1 hypothetical protein D9Q98_008281 [Chlorella vulgaris]
OG0002251	PCFQ01000010.1 g302 [Chlorella sp. A99]	KAI3431469.1 hypothetical protein D9Q98_004521 [Chlorella vulgaris]
OG0002253	PCFQ01000026.1 g2297 [Chlorella sp. A99], PCFQ01000058.1 g199 [Chlorella sp. A99]	KAI3428106.1 hypothetical protein D9Q98_006489 [Chlorella vulgaris]
OG0002254	PCFQ01000058.1 g218 [Chlorella sp. A99]	KAI3437668.1 hypothetical protein D9Q98_000118 [Chlorella vulgaris]
OG0002255	PCFQ01000058.1 g271 [Chlorella sp. A99], PCFQ01000001.1 g983 [Chlorella sp. A99], PCFQ01000079.1 g1502 [Chlorella sp. A99], PCFQ01000081.1 g1577 [Chlorella sp. A99], PCFQ01000010.1 g300 [Chlorella sp. A99], PCFQ01000078.1 g2149 [Chlorella sp. A99]	KAI3432787.1 hypothetical protein D9Q98_010372 [Chlorella vulgaris]
OG0002256	PCFQ01000010.1 g371 [Chlorella sp. A99]	KAI3431524.1 hypothetical protein D9Q98_004574 [Chlorella vulgaris]
OG0002257	PCFQ01000018.1 g417 [Chlorella sp. A99]	KAI3429824.1 hypothetical protein D9Q98_010137 [Chlorella vulgaris]
OG0002258	PCFQ01000081.1 g1663 [Chlorella sp. A99]	KAI3425262.1 hypothetical protein D9Q98_009030 [Chlorella vulgaris]
OG0002259	PCFQ01000082.1 g608 [Chlorella sp. A99]	KAI3424389.1 hypothetical protein D9Q98_009942 [Chlorella vulgaris]
OG0002260	PCFQ01000002.1 g634 [Chlorella sp. A99]	KAI3426966.1 hypothetical protein D9Q98_006910 [Chlorella vulgaris]
OG0002262	PCFQ01000005.1 g808 [Chlorella sp. A99]	KAI3427130.1 hypothetical protein D9Q98_007067 [Chlorella vulgaris]
OG0002263	PCFQ01000005.1 g841 [Chlorella sp. A99]	KAI3427007.1 hypothetical protein D9Q98_006950 [Chlorella vulgaris]
OG0002264	PCFQ01000008.1 g1176 [Chlorella sp. A99]	KAI3428014.1 hypothetical protein D9Q98_006400 [Chlorella vulgaris]
OG0002265	PCFQ01000079.1 g1328 [Chlorella sp. A99]	KAI3424238.1 hypothetical protein D9Q98_009594 [Chlorella vulgaris]
OG0002266	PCFQ01000079.1 g1330 [Chlorella sp. A99]	KAI3424221.1 hypothetical protein D9Q98_009577 [Chlorella vulgaris]
OG0002267	PCFQ01000079.1 g1496 [Chlorella sp. A99]	KAI3433295.1 hypothetical protein D9Q98_003114 [Chlorella vulgaris]
OG0002268	PCFQ01000081.1 g1624 [Chlorella sp. A99]	KAI3431865.1 hypothetical protein D9Q98_010616 [Chlorella vulgaris]
OG0002269	PCFQ01000012.1 g1839 [Chlorella sp. A99]	KAI3438513.1 hypothetical protein D9Q98_000941 [Chlorella vulgaris]
OG0002270	PCFQ01000078.1 g1984 [Chlorella sp. A99]	KAI3435634.1 hypothetical protein D9Q98_001693 [Chlorella vulgaris]
OG0002271	PCFQ01000078.1 g2038 [Chlorella sp. A99]	KAI3435793.1 hypothetical protein D9Q98_001851 [Chlorella vulgaris]
OG0002272	PCFQ01000078.1 g2060 [Chlorella sp. A99]	KAI3424161.1 hypothetical protein D9Q98_009520 [Chlorella vulgaris]
OG0002273	PCFQ01000040.1 g2299 [Chlorella sp. A99]	KAI3439110.1 hypothetical protein D9Q98_001519 [Chlorella vulgaris]
OG0002274	PCFQ01000037.1 g2448 [Chlorella sp. A99]	KAI3438249.1 hypothetical protein D9Q98_000686 [Chlorella vulgaris]
OG0002275	PCFQ01000053.1 g2546 [Chlorella sp. A99]	KAI3431622.1 hypothetical protein D9Q98_004671 [Chlorella vulgaris]
OG0002276	PCFQ01000025.1 g2565 [Chlorella sp. A99]	KAI3430665.1 hypothetical protein D9Q98_005257 [Chlorella vulgaris]
OG0002277	PCFQ01000004.1 g2610 [Chlorella sp. A99]	KAI3438808.1 hypothetical protein D9Q98_001225 [Chlorella vulgaris]
OG0002278	PCFQ01000004.1 g2646 [Chlorella sp. A99]	KAI3438783.1 hypothetical protein D9Q98_001200 [Chlorella vulgaris], KAI3438787.1 hypothetical protein D9Q98_001204 [Chlorella vulgaris]
OG0002280	PCFQ01000011.1 g2859 [Chlorella sp. A99]	KAI3436633.1 hypothetical protein D9Q98_006049 [Chlorella vulgaris]
OG0002281	PCFQ01000011.1 g2864 [Chlorella sp. A99]	KAI3436619.1 hypothetical protein D9Q98_006036 [Chlorella vulgaris]
OG0002282	PCFQ01000011.1 g2869 [Chlorella sp. A99]	KAI3435966.1 hypothetical protein D9Q98_002024 [Chlorella vulgaris]
OG0002283	PCFQ01000015.1 g2965 [Chlorella sp. A99]	KAI3434920.1 hypothetical protein D9Q98_002974 [Chlorella vulgaris]
OG0002284	PCFQ01000015.1 g3008 [Chlorella sp. A99]	KAI3427205.1 hypothetical protein D9Q98_007141 [Chlorella vulgaris]
OG0002285	PCFQ01000006.1 g3118 [Chlorella sp. A99]	KAI3424909.1 hypothetical protein D9Q98_008293 [Chlorella vulgaris], KAI3436791.1 hypothetical protein D9Q98_006202 [Chlorella vulgaris]
OG0002286	PCFQ01000006.1 g3146 [Chlorella sp. A99]	KAI3436863.1 hypothetical protein D9Q98_006273 [Chlorella vulgaris]
OG0002287	PCFQ01000013.1 g3312 [Chlorella sp. A99]	KAI3437786.1 hypothetical protein D9Q98_000233 [Chlorella vulgaris]
OG0002288	PCFQ01000013.1 g3324 [Chlorella sp. A99]	KAI3429520.1 hypothetical protein D9Q98_005609 [Chlorella vulgaris]
OG0002366	PCFQ01000058.1 g249 [Chlorella sp. A99]	KAI3423993.1 hypothetical protein D9Q98_009826 [Chlorella vulgaris]
OG0002367	PCFQ01000005.1 g857 [Chlorella sp. A99]	KAI3438077.1 hypothetical protein D9Q98_000519 [Chlorella vulgaris]
OG0002369	PCFQ01000081.1 g1594 [Chlorella sp. A99]	KAI3438196.1 hypothetical protein D9Q98_000633 [Chlorella vulgaris]
OG0002370	PCFQ01000046.1 g1876 [Chlorella sp. A99]	KAI3434537.1 hypothetical protein D9Q98_002610 [Chlorella vulgaris]
OG0002371	PCFQ01000079.1 g1305 [Chlorella sp. A99]	KAI3428707.1 hypothetical protein D9Q98_007531 [Chlorella vulgaris]
OG0002372	PCFQ01000001.1 g1000 [Chlorella sp. A99]	KAI3425281.1 hypothetical protein D9Q98_009048 [Chlorella vulgaris]
OG0002373	PCFQ01000046.1 g1852 [Chlorella sp. A99]	KAI3423992.1 hypothetical protein D9Q98_009825 [Chlorella vulgaris]
OG0002376	PCFQ01000046.1 g1871 [Chlorella sp. A99]	KAI3434509.1 hypothetical protein D9Q98_002583 [Chlorella vulgaris], KAI3434571.1 hypothetical protein D9Q98_002643 [Chlorella vulgaris]
OG0002377	PCFQ01000015.1 g3091 [Chlorella sp. A99]	KAI3434567.1 hypothetical protein D9Q98_002639 [Chlorella vulgaris]
OG0002378	PCFQ01000009.1 g1693 [Chlorella sp. A99]	KAI3438208.1 hypothetical protein D9Q98_000645 [Chlorella vulgaris]
OG0002379	PCFQ01000008.1 g1134 [Chlorella sp. A99]	KAI3428775.1 hypothetical protein D9Q98_007596 [Chlorella vulgaris]
OG0002381	PCFQ01000037.1 g2523 [Chlorella sp. A99]	KAI3438171.1 hypothetical protein D9Q98_000608 [Chlorella vulgaris]
