Orthogroup	Scenedesmus_PABB004	Chlorella_VariabilisNC64A
OG0001693	KAF8056127.1 ANK2 [Scenedesmus sp. PABB004]	XP_005846058.1 hypothetical protein CHLNCDRAFT_136230 [Chlorella variabilis]
OG0001694	KAF8060609.1 mak16 [Scenedesmus sp. PABB004]	XP_005845023.1 hypothetical protein CHLNCDRAFT_26457 [Chlorella variabilis]
OG0001695	KAF8071159.1 APY7 [Scenedesmus sp. PABB004]	XP_005842970.1 hypothetical protein CHLNCDRAFT_141807 [Chlorella variabilis]
OG0001697	KAF8065896.1 AAE18 [Scenedesmus sp. PABB004]	XP_005846239.1 hypothetical protein CHLNCDRAFT_58232 [Chlorella variabilis]
OG0001698	KAF8072691.1 AL21 [Scenedesmus sp. PABB004]	XP_005844288.1 hypothetical protein CHLNCDRAFT_59034 [Chlorella variabilis]
OG0001699	KAF8067371.1 hypothetical protein HT031_002419 [Scenedesmus sp. PABB004]	XP_005844396.1 hypothetical protein CHLNCDRAFT_139047 [Chlorella variabilis], XP_005844397.1 hypothetical protein CHLNCDRAFT_54525 [Chlorella variabilis]
OG0001700	KAF8072352.1 HSP70-14 [Scenedesmus sp. PABB004]	XP_005846866.1 hypothetical protein CHLNCDRAFT_35731 [Chlorella variabilis]
OG0001701	KAF8071001.1 sugar phosphate/phosphate translocator [Scenedesmus sp. PABB004]	XP_005844215.1 hypothetical protein CHLNCDRAFT_139419 [Chlorella variabilis], XP_005849769.1 hypothetical protein CHLNCDRAFT_20807 [Chlorella variabilis]
OG0001702	KAF8066187.1 BIO2 [Scenedesmus sp. PABB004]	XP_005848118.1 hypothetical protein CHLNCDRAFT_22943 [Chlorella variabilis]
OG0001703	KAF8059983.1 POLA2 [Scenedesmus sp. PABB004]	XP_005850492.1 hypothetical protein CHLNCDRAFT_10114_ partial [Chlorella variabilis]
OG0001704	KAF8073147.1 clptm1 [Scenedesmus sp. PABB004]	XP_005849515.1 hypothetical protein CHLNCDRAFT_142853 [Chlorella variabilis]
OG0001705	KAF8065924.1 IBI1 [Scenedesmus sp. PABB004]	XP_005851895.1 hypothetical protein CHLNCDRAFT_33640 [Chlorella variabilis]
OG0001706	KAF8055468.1 hypothetical protein HT031_006727 [Scenedesmus sp. PABB004]	XP_005851887.1 hypothetical protein CHLNCDRAFT_56574 [Chlorella variabilis]
OG0001707	KAF8068446.1 hypothetical protein HT031_002135 [Scenedesmus sp. PABB004]	XP_005851893.1 hypothetical protein CHLNCDRAFT_133491 [Chlorella variabilis]
OG0001708	KAF8057678.1 ING4 [Scenedesmus sp. PABB004]	XP_005849514.1 hypothetical protein CHLNCDRAFT_142851 [Chlorella variabilis]
OG0001709	KAF8070871.1 Alpha-latrocrustotoxin-a [Scenedesmus sp. PABB004]	XP_005848120.1 hypothetical protein CHLNCDRAFT_145427 [Chlorella variabilis]
OG0001710	KAF8058136.1 Spo [Scenedesmus sp. PABB004]	XP_005851891.1 hypothetical protein CHLNCDRAFT_133484 [Chlorella variabilis], XP_005842717.1 hypothetical protein CHLNCDRAFT_135058 [Chlorella variabilis]
OG0001711	KAF8058434.1 sbpA [Scenedesmus sp. PABB004]	XP_005848055.1 hypothetical protein CHLNCDRAFT_10401_ partial [Chlorella variabilis]
OG0001712	KAF8073108.1 RPL13AB [Scenedesmus sp. PABB004]	XP_005849945.1 hypothetical protein CHLNCDRAFT_17540_ partial [Chlorella variabilis]
OG0001713	KAF8062007.1 lysS [Scenedesmus sp. PABB004]	XP_005847896.1 hypothetical protein CHLNCDRAFT_57712 [Chlorella variabilis]
OG0001714	KAF8069384.1 hypothetical protein HT031_001499 [Scenedesmus sp. PABB004]	XP_005848686.1 hypothetical protein CHLNCDRAFT_34979 [Chlorella variabilis]
OG0001715	KAF8055936.1 hypothetical protein HT031_006575 [Scenedesmus sp. PABB004]	XP_005848544.1 hypothetical protein CHLNCDRAFT_30873 [Chlorella variabilis]
OG0001716	KAF8062742.1 NADH dehydrogenase [ubiquinone] flavoprotein 2 [Scenedesmus sp. PABB004]	XP_005849493.1 hypothetical protein CHLNCDRAFT_34626 [Chlorella variabilis]
OG0001717	KAF8068377.1 ttc27 [Scenedesmus sp. PABB004]	XP_005849756.1 hypothetical protein CHLNCDRAFT_142791 [Chlorella variabilis]
OG0001718	KAF8071236.1 ceeh-2 [Scenedesmus sp. PABB004]	XP_005849538.1 hypothetical protein CHLNCDRAFT_142905 [Chlorella variabilis]
OG0001719	KAF8069563.1 CCT6A [Scenedesmus sp. PABB004]	XP_005848715.1 hypothetical protein CHLNCDRAFT_22097 [Chlorella variabilis]
OG0001720	KAF8055820.1 SPCC4G3.03 [Scenedesmus sp. PABB004]	XP_005848714.1 hypothetical protein CHLNCDRAFT_144373 [Chlorella variabilis]
OG0001721	KAF8069518.1 hypothetical protein HT031_001635 [Scenedesmus sp. PABB004]	XP_005848693.1 hypothetical protein CHLNCDRAFT_144323 [Chlorella variabilis]
OG0001722	KAF8058829.1 hypothetical protein HT031_005397 [Scenedesmus sp. PABB004]	XP_005851795.1 hypothetical protein CHLNCDRAFT_133234 [Chlorella variabilis], XP_005851796.1 hypothetical protein CHLNCDRAFT_133235 [Chlorella variabilis]
OG0001724	KAF8062679.1 Mettl5 [Scenedesmus sp. PABB004]	XP_005844663.1 hypothetical protein CHLNCDRAFT_138547 [Chlorella variabilis]
OG0001727	KAF8068431.1 BETAC-AD [Scenedesmus sp. PABB004]	XP_005843848.1 hypothetical protein CHLNCDRAFT_32823 [Chlorella variabilis]
OG0001728	KAF8060534.1 RPS19A [Scenedesmus sp. PABB004]	XP_005849924.1 hypothetical protein CHLNCDRAFT_143236 [Chlorella variabilis]
OG0001730	KAF8068199.1 RPS3C [Scenedesmus sp. PABB004]	XP_005843897.1 hypothetical protein CHLNCDRAFT_59796 [Chlorella variabilis]
OG0001732	KAF8069649.1 Atp2b4 [Scenedesmus sp. PABB004]	XP_005845163.1 hypothetical protein CHLNCDRAFT_58678 [Chlorella variabilis]
OG0001734	KAF8058329.1 hypothetical protein HT031_005645 [Scenedesmus sp. PABB004]	XP_005845255.1 hypothetical protein CHLNCDRAFT_136927 [Chlorella variabilis], XP_005845256.1 hypothetical protein CHLNCDRAFT_136928 [Chlorella variabilis]
OG0001735	KAF8065578.1 LARP6B [Scenedesmus sp. PABB004]	XP_005843871.1 hypothetical protein CHLNCDRAFT_139722 [Chlorella variabilis]
OG0001736	KAF8062055.1 hypothetical protein HT031_004315 [Scenedesmus sp. PABB004]	XP_005844010.1 hypothetical protein CHLNCDRAFT_54763 [Chlorella variabilis], XP_005848089.1 hypothetical protein CHLNCDRAFT_145354 [Chlorella variabilis]
OG0001737	KAF8071122.1 U2AF35A [Scenedesmus sp. PABB004]	XP_005847929.1 hypothetical protein CHLNCDRAFT_57737 [Chlorella variabilis]
OG0001738	KAF8065928.1 PEX12 [Scenedesmus sp. PABB004]	XP_005849598.1 hypothetical protein CHLNCDRAFT_48657 [Chlorella variabilis]
OG0001739	KAF8067236.1 RBM25 [Scenedesmus sp. PABB004]	XP_005846550.1 hypothetical protein CHLNCDRAFT_135870 [Chlorella variabilis]
OG0001740	KAF8067391.1 SPT16 [Scenedesmus sp. PABB004]	XP_005850785.1 hypothetical protein CHLNCDRAFT_140286 [Chlorella variabilis]
OG0001741	KAF8071087.1 UBP4 [Scenedesmus sp. PABB004]	XP_005848017.1 hypothetical protein CHLNCDRAFT_35373 [Chlorella variabilis]
OG0001742	KAF8059684.1 FKBP65 [Scenedesmus sp. PABB004]	XP_005845726.1 hypothetical protein CHLNCDRAFT_36304 [Chlorella variabilis]
OG0001743	KAF8059461.1 RPT6B [Scenedesmus sp. PABB004]	XP_005846786.1 26S proteasome AAA-ATPase subunit RPT6a [Chlorella variabilis]
OG0001744	KAF8058411.1 EB1C [Scenedesmus sp. PABB004]	XP_005848093.1 hypothetical protein CHLNCDRAFT_145362 [Chlorella variabilis]
OG0001745	KAF8072654.1 hypothetical protein HT031_000314 [Scenedesmus sp. PABB004]	XP_005850539.1 hypothetical protein CHLNCDRAFT_140406 [Chlorella variabilis]
OG0001746	KAF8055742.1 hypothetical protein HT031_006646 [Scenedesmus sp. PABB004]	XP_005843011.1 hypothetical protein CHLNCDRAFT_14429_ partial [Chlorella variabilis]
OG0001747	KAF8064696.1 hypothetical protein HT031_003498 [Scenedesmus sp. PABB004]	XP_005849907.1 hypothetical protein CHLNCDRAFT_143188 [Chlorella variabilis], XP_005849906.1 hypothetical protein CHLNCDRAFT_143187 [Chlorella variabilis]
OG0001748	KAF8071078.1 CYP51 [Scenedesmus sp. PABB004]	XP_005846488.1 hypothetical protein CHLNCDRAFT_56217 [Chlorella variabilis]
OG0001749	KAF8070959.1 glycosyltransferase 25 family member [Scenedesmus sp. PABB004], KAF8070954.1 hypothetical protein HT031_001035 [Scenedesmus sp. PABB004]	XP_005848674.1 expressed protein [Chlorella variabilis]
OG0001750	KAF8064675.1 hypothetical protein HT031_003477 [Scenedesmus sp. PABB004]	XP_005845257.1 hypothetical protein CHLNCDRAFT_136930 [Chlorella variabilis]
OG0001751	KAF8071125.1 hypothetical protein HT031_001207 [Scenedesmus sp. PABB004]	XP_005848198.1 hypothetical protein CHLNCDRAFT_145630 [Chlorella variabilis]
OG0001752	KAF8065647.1 Znhit6 [Scenedesmus sp. PABB004]	XP_005845392.1 hypothetical protein CHLNCDRAFT_11283_ partial [Chlorella variabilis]
OG0001753	KAF8062020.1 DJ1B [Scenedesmus sp. PABB004]	XP_005846315.1 hypothetical protein CHLNCDRAFT_135695 [Chlorella variabilis]
OG0001754	KAF8062640.1 fbiC [Scenedesmus sp. PABB004]	XP_005847043.1 hypothetical protein CHLNCDRAFT_134689 [Chlorella variabilis]
OG0001756	KAF8057933.1 fusA1 [Scenedesmus sp. PABB004]	XP_005851692.1 hypothetical protein CHLNCDRAFT_48385 [Chlorella variabilis]
OG0001757	KAF8072835.1 LDL3 [Scenedesmus sp. PABB004]	XP_005847280.1 hypothetical protein CHLNCDRAFT_134321 [Chlorella variabilis]
OG0001758	KAF8062044.1 OVA1 [Scenedesmus sp. PABB004]	XP_005847217.1 hypothetical protein CHLNCDRAFT_31569 [Chlorella variabilis]
OG0001760	KAF8068356.1 PAT13 [Scenedesmus sp. PABB004]	XP_005849764.1 hypothetical protein CHLNCDRAFT_142811 [Chlorella variabilis]
OG0001762	KAF8066409.1 FAD6 [Scenedesmus sp. PABB004]	XP_005843960.1 hypothetical protein CHLNCDRAFT_37265 [Chlorella variabilis]
OG0001763	KAF8064574.1 CLPS3 [Scenedesmus sp. PABB004]	XP_005851794.1 hypothetical protein CHLNCDRAFT_33545 [Chlorella variabilis]
OG0001764	KAF8058336.1 RPA1B [Scenedesmus sp. PABB004]	XP_005843870.1 hypothetical protein CHLNCDRAFT_59111_ partial [Chlorella variabilis]
OG0001767	KAF8065603.1 dolichyl pyrophosphate alpha-1 [Scenedesmus sp. PABB004]	XP_005847245.1 hypothetical protein CHLNCDRAFT_23571_ partial [Chlorella variabilis]
OG0001768	KAF8067224.1 hypothetical protein HT031_002271 [Scenedesmus sp. PABB004]	XP_005851689.1 hypothetical protein CHLNCDRAFT_132964 [Chlorella variabilis]
OG0001769	KAF8066196.1 hypothetical protein HT031_002518 [Scenedesmus sp. PABB004]	XP_005849571.1 hypothetical protein CHLNCDRAFT_20890_ partial [Chlorella variabilis]
OG0001770	KAF8062085.1 hypothetical protein HT031_004345 [Scenedesmus sp. PABB004]	XP_005847942.1 hypothetical protein CHLNCDRAFT_145385 [Chlorella variabilis]
OG0001771	KAF8061976.1 ODA7 [Scenedesmus sp. PABB004]	XP_005845263.1 hypothetical protein CHLNCDRAFT_11901_ partial [Chlorella variabilis]
OG0001772	KAF8063076.1 hypothetical protein HT031_003915 [Scenedesmus sp. PABB004]	XP_005848805.1 hypothetical protein CHLNCDRAFT_144078 [Chlorella variabilis], XP_005848806.1 hypothetical protein CHLNCDRAFT_144079 [Chlorella variabilis]
OG0001773	KAF8056141.1 hypothetical protein HT031_006492 [Scenedesmus sp. PABB004], KAF8065438.1 SAP16 [Scenedesmus sp. PABB004]	XP_005849841.1 hypothetical protein CHLNCDRAFT_17292_ partial [Chlorella variabilis]
OG0001774	KAF8059403.1 fls [Scenedesmus sp. PABB004], KAF8057908.1 Intracellular alkaline protease [Scenedesmus sp. PABB004]	XP_005852132.1 hypothetical protein CHLNCDRAFT_133236 [Chlorella variabilis]
OG0001777	KAF8055821.1 TIC236 [Scenedesmus sp. PABB004]	XP_005847013.1 hypothetical protein CHLNCDRAFT_24254_ partial [Chlorella variabilis]
OG0001778	KAF8064485.1 impdh [Scenedesmus sp. PABB004]	XP_005844926.1 hypothetical protein CHLNCDRAFT_138255 [Chlorella variabilis]
OG0001779	KAF8069701.1 SRP54-1 [Scenedesmus sp. PABB004]	XP_005846072.1 hypothetical protein CHLNCDRAFT_31879 [Chlorella variabilis]
OG0001780	KAF8066342.1 scy1 [Scenedesmus sp. PABB004]	XP_005843618.1 hypothetical protein CHLNCDRAFT_140213 [Chlorella variabilis]
OG0001781	KAF8072892.1 Fancd2 [Scenedesmus sp. PABB004]	XP_005847235.1 hypothetical protein CHLNCDRAFT_57924 [Chlorella variabilis]
OG0001782	KAF8057110.1 PRY3 [Scenedesmus sp. PABB004]	XP_005851109.1 hypothetical protein CHLNCDRAFT_137670 [Chlorella variabilis]
OG0001783	KAF8073186.1 ADE2 [Scenedesmus sp. PABB004]	XP_005846508.1 hypothetical protein CHLNCDRAFT_24868 [Chlorella variabilis]
OG0001784	KAF8056019.1 cry [Scenedesmus sp. PABB004]	XP_005849043.1 hypothetical protein CHLNCDRAFT_143484 [Chlorella variabilis]
OG0001785	KAF8062091.1 hypothetical protein HT031_004351 [Scenedesmus sp. PABB004], KAF8062094.1 VPS53 [Scenedesmus sp. PABB004]	XP_005846980.1 hypothetical protein CHLNCDRAFT_23940 [Chlorella variabilis]
OG0001786	KAF8056390.1 RPN11 [Scenedesmus sp. PABB004]	XP_005845954.1 hypothetical protein CHLNCDRAFT_56234 [Chlorella variabilis]
OG0001788	KAF8070952.1 spf31 [Scenedesmus sp. PABB004]	XP_005847231.1 hypothetical protein CHLNCDRAFT_57920 [Chlorella variabilis]
OG0001789	KAF8055327.1 LHCA1 [Scenedesmus sp. PABB004]	XP_005847168.1 hypothetical protein CHLNCDRAFT_35848 [Chlorella variabilis]
OG0001790	KAF8072392.1 Coatomer subunit gamma [Scenedesmus sp. PABB004]	XP_005847180.1 hypothetical protein CHLNCDRAFT_31542 [Chlorella variabilis]
OG0001791	KAF8069393.1 hypothetical protein HT031_001508 [Scenedesmus sp. PABB004]	XP_005847382.1 hypothetical protein CHLNCDRAFT_35526 [Chlorella variabilis]
OG0001792	KAF8065962.1 rplA [Scenedesmus sp. PABB004]	XP_005843567.1 hypothetical protein CHLNCDRAFT_33073 [Chlorella variabilis]
OG0001794	KAF8061162.1 eif3g-a [Scenedesmus sp. PABB004]	XP_005847188.1 hypothetical protein CHLNCDRAFT_24218 [Chlorella variabilis]
OG0001795	KAF8059175.1 hypothetical protein HT031_005347 [Scenedesmus sp. PABB004]	XP_005845958.1 hypothetical protein CHLNCDRAFT_25289 [Chlorella variabilis]
OG0001797	KAF8061408.1 Ppc1 [Scenedesmus sp. PABB004]	XP_005844287.1 hypothetical protein CHLNCDRAFT_37051 [Chlorella variabilis]
OG0001799	KAF8056235.1 CS2 [Scenedesmus sp. PABB004]	XP_005843584.1 hypothetical protein CHLNCDRAFT_37425 [Chlorella variabilis]
OG0001801	KAF8069406.1 TOM1 [Scenedesmus sp. PABB004]	XP_005847064.1 hypothetical protein CHLNCDRAFT_134731 [Chlorella variabilis]
OG0001803	KAF8060298.1 rplY [Scenedesmus sp. PABB004], KAF8060294.1 vpr [Scenedesmus sp. PABB004]	XP_005843827.1 hypothetical protein CHLNCDRAFT_139900 [Chlorella variabilis]
OG0001804	KAF8062031.1 msh-3 [Scenedesmus sp. PABB004]	XP_005847684.1 hypothetical protein CHLNCDRAFT_134093 [Chlorella variabilis]
OG0001805	KAF8062898.1 RIBA1 [Scenedesmus sp. PABB004]	XP_005847017.1 hypothetical protein CHLNCDRAFT_24136 [Chlorella variabilis]
OG0001806	KAF8061314.1 ycf24 [Scenedesmus sp. PABB004]	XP_005852172.1 hypothetical protein CHLNCDRAFT_29265 [Chlorella variabilis]
OG0001809	KAF8067166.1 hypothetical protein HT031_002213 [Scenedesmus sp. PABB004]	XP_005847852.1 hypothetical protein CHLNCDRAFT_31155 [Chlorella variabilis]
OG0001810	KAF8056863.1 hypothetical protein HT031_006207 [Scenedesmus sp. PABB004]	XP_005843778.1 hypothetical protein CHLNCDRAFT_139906 [Chlorella variabilis]
OG0001811	KAF8063093.1 VPS10 [Scenedesmus sp. PABB004]	XP_005843773.1 expressed protein_ partial [Chlorella variabilis], XP_005842759.1 expressed protein [Chlorella variabilis]
OG0001812	KAF8073244.1 coatomer subunit beta-1 [Scenedesmus sp. PABB004]	XP_005847056.1 hypothetical protein CHLNCDRAFT_56190 [Chlorella variabilis]
OG0001813	KAF8068207.1 phenylalanine--tRNA ligase [Scenedesmus sp. PABB004]	XP_005849441.1 hypothetical protein CHLNCDRAFT_56054 [Chlorella variabilis]
OG0001815	KAF8069603.1 nhp6 [Scenedesmus sp. PABB004]	XP_005846019.1 hypothetical protein CHLNCDRAFT_136125 [Chlorella variabilis]
OG0001817	KAF8058870.1 SNX1 [Scenedesmus sp. PABB004]	XP_005846840.1 hypothetical protein CHLNCDRAFT_59686 [Chlorella variabilis]
OG0001818	KAF8073064.1 60S acidic ribosomal protein P0 [Scenedesmus sp. PABB004]	XP_005850392.1 hypothetical protein CHLNCDRAFT_59607 [Chlorella variabilis]
OG0001819	KAF8069628.1 selenbp1 [Scenedesmus sp. PABB004]	XP_005850722.1 hypothetical protein CHLNCDRAFT_19492 [Chlorella variabilis], XP_005850723.1 hypothetical protein CHLNCDRAFT_140840 [Chlorella variabilis]
OG0001820	KAF8066309.1 strawberry notch-like protein [Scenedesmus sp. PABB004]	XP_005851273.1 hypothetical protein CHLNCDRAFT_56765 [Chlorella variabilis]
OG0001821	KAF8072915.1 BSL2 [Scenedesmus sp. PABB004]	XP_005846245.1 hypothetical protein CHLNCDRAFT_135536 [Chlorella variabilis]
OG0001823	KAF8054949.1 AVT6B [Scenedesmus sp. PABB004]	XP_005852186.1 hypothetical protein CHLNCDRAFT_133392 [Chlorella variabilis]
OG0001824	KAF8059708.1 MAP2B [Scenedesmus sp. PABB004]	XP_005850417.1 hypothetical protein CHLNCDRAFT_142331 [Chlorella variabilis]
OG0001825	KAF8073233.1 ACX4 [Scenedesmus sp. PABB004]	XP_005846279.1 hypothetical protein CHLNCDRAFT_24792 [Chlorella variabilis]
OG0001826	KAF8057278.1 CCT8 [Scenedesmus sp. PABB004]	XP_005850140.1 hypothetical protein CHLNCDRAFT_34430 [Chlorella variabilis]
OG0001827	KAF8062060.1 Guk1 [Scenedesmus sp. PABB004], KAF8072379.1 GK1 [Scenedesmus sp. PABB004]	XP_005844874.1 hypothetical protein CHLNCDRAFT_26494 [Chlorella variabilis]
OG0001828	KAF8054610.1 tnrc4-a [Scenedesmus sp. PABB004], KAF8067108.1 HNRNPA1 [Scenedesmus sp. PABB004]	XP_005846458.1 hypothetical protein CHLNCDRAFT_135626 [Chlorella variabilis]
OG0001829	KAF8061306.1 VHA-a3 [Scenedesmus sp. PABB004]	XP_005849093.1 hypothetical protein CHLNCDRAFT_34870 [Chlorella variabilis]
OG0001830	KAF8065947.1 DHS1 [Scenedesmus sp. PABB004]	XP_005846285.1 hypothetical protein CHLNCDRAFT_58264 [Chlorella variabilis]
OG0001831	KAF8063832.1 Serine--tRNA ligase [Scenedesmus sp. PABB004]	XP_005849330.1 hypothetical protein CHLNCDRAFT_56101 [Chlorella variabilis]
OG0001832	KAF8054873.1 BIO3-BIO1 [Scenedesmus sp. PABB004], KAF8054954.1 BIO3-BIO1 [Scenedesmus sp. PABB004]	XP_005848116.1 hypothetical protein CHLNCDRAFT_145418 [Chlorella variabilis]
OG0001833	KAF8062919.1 hypothetical protein HT031_003757 [Scenedesmus sp. PABB004]	XP_005844828.1 expressed protein [Chlorella variabilis]
OG0001834	KAF8073022.1 B3 domain-containing protein [Scenedesmus sp. PABB004]	XP_005846030.1 hypothetical protein CHLNCDRAFT_53437 [Chlorella variabilis], XP_005844856.1 hypothetical protein CHLNCDRAFT_138351 [Chlorella variabilis]
OG0001837	KAF8065568.1 purH [Scenedesmus sp. PABB004]	XP_005846754.1 hypothetical protein CHLNCDRAFT_24638 [Chlorella variabilis]
OG0001838	KAF8061341.1 tsr1 [Scenedesmus sp. PABB004]	XP_005843602.1 hypothetical protein CHLNCDRAFT_37364 [Chlorella variabilis]
OG0001839	KAF8058088.1 Prep [Scenedesmus sp. PABB004]	XP_005846541.1 hypothetical protein CHLNCDRAFT_31842 [Chlorella variabilis]
OG0001840	KAF8059215.1 ARC6 [Scenedesmus sp. PABB004], KAF8059214.1 Nuak2 [Scenedesmus sp. PABB004]	XP_005850904.1 hypothetical protein CHLNCDRAFT_140596 [Chlorella variabilis]
OG0001841	KAF8054979.1 ABCF5 [Scenedesmus sp. PABB004]	XP_005843266.1 hypothetical protein CHLNCDRAFT_28318_ partial [Chlorella variabilis]
OG0001842	KAF8065887.1 hypothetical protein HT031_002948 [Scenedesmus sp. PABB004]	XP_005847927.1 hypothetical protein CHLNCDRAFT_145345 [Chlorella variabilis]
OG0001843	KAF8060514.1 eif2s3 [Scenedesmus sp. PABB004]	XP_005847045.1 hypothetical protein CHLNCDRAFT_31418 [Chlorella variabilis]
OG0001844	KAF8057129.1 pyrroline-5-carboxylate reductase [Scenedesmus sp. PABB004]	XP_005850704.1 hypothetical protein CHLNCDRAFT_140790 [Chlorella variabilis]
OG0001845	KAF8060565.1 mettl3 [Scenedesmus sp. PABB004]	XP_005850968.1 hypothetical protein CHLNCDRAFT_50385 [Chlorella variabilis]
OG0001846	KAF8057659.1 POLR3H [Scenedesmus sp. PABB004]	XP_005848069.1 hypothetical protein CHLNCDRAFT_145291 [Chlorella variabilis]
OG0001847	KAF8072988.1 sec61a [Scenedesmus sp. PABB004]	XP_005843596.1 hypothetical protein CHLNCDRAFT_59206 [Chlorella variabilis]
OG0001848	KAF8071268.1 FAB1C [Scenedesmus sp. PABB004]	XP_005846611.1 hypothetical protein CHLNCDRAFT_24552_ partial [Chlorella variabilis]
OG0001849	KAF8065757.1 hypothetical protein HT031_002817 [Scenedesmus sp. PABB004]	XP_005843900.1 hypothetical protein CHLNCDRAFT_139763 [Chlorella variabilis]
OG0001850	KAF8069446.1 DEAD-box ATP-dependent RNA helicase 18 [Scenedesmus sp. PABB004]	XP_005843865.1 hypothetical protein CHLNCDRAFT_59105 [Chlorella variabilis], XP_005843864.1 hypothetical protein CHLNCDRAFT_139706 [Chlorella variabilis]
OG0001851	KAF8064526.1 methionine--tRNA ligase [Scenedesmus sp. PABB004]	XP_005844676.1 hypothetical protein CHLNCDRAFT_58789 [Chlorella variabilis]
OG0001852	KAF8065608.1 DGS1 [Scenedesmus sp. PABB004]	XP_005850716.1 hypothetical protein CHLNCDRAFT_140821 [Chlorella variabilis]
OG0001853	KAF8057869.1 can [Scenedesmus sp. PABB004]	XP_005843333.1 hypothetical protein CHLNCDRAFT_12412_ partial [Chlorella variabilis]
OG0001854	KAF8061353.1 SUMO3 [Scenedesmus sp. PABB004]	XP_005851002.1 hypothetical protein CHLNCDRAFT_140835 [Chlorella variabilis], XP_005844591.1 hypothetical protein CHLNCDRAFT_138857 [Chlorella variabilis]
OG0001855	KAF8065905.1 SF3B4 [Scenedesmus sp. PABB004]	XP_005850713.1 hypothetical protein CHLNCDRAFT_10145_ partial [Chlorella variabilis]
OG0001856	KAF8058350.1 upp [Scenedesmus sp. PABB004]	XP_005843910.1 hypothetical protein CHLNCDRAFT_27683_ partial [Chlorella variabilis]
OG0001857	KAF8070880.1 RAN-A1 [Scenedesmus sp. PABB004]	XP_005846369.1 GTP-binding protein [Chlorella variabilis]
OG0001858	KAF8071193.1 RPL8 [Scenedesmus sp. PABB004]	XP_005848475.1 hypothetical protein CHLNCDRAFT_35106 [Chlorella variabilis]
OG0001859	KAF8063005.1 Primpol [Scenedesmus sp. PABB004]	XP_005848262.1 hypothetical protein CHLNCDRAFT_51806 [Chlorella variabilis]
OG0001860	KAF8072572.1 Phenylalanine--tRNA ligase alpha subunit [Scenedesmus sp. PABB004]	XP_005848467.1 hypothetical protein CHLNCDRAFT_22470_ partial [Chlorella variabilis]
OG0001861	KAF8070969.1 guaA [Scenedesmus sp. PABB004]	XP_005848466.1 hypothetical protein CHLNCDRAFT_144859 [Chlorella variabilis]
OG0001862	KAF8062954.1 yif1b-a [Scenedesmus sp. PABB004]	XP_005848199.1 hypothetical protein CHLNCDRAFT_144674 [Chlorella variabilis]
OG0001863	KAF8065561.1 SLY1 [Scenedesmus sp. PABB004]	XP_005848362.1 hypothetical protein CHLNCDRAFT_30897 [Chlorella variabilis]
OG0001864	KAF8055911.1 LCMT1 [Scenedesmus sp. PABB004]	XP_005848421.1 hypothetical protein CHLNCDRAFT_22266 [Chlorella variabilis]
OG0001865	KAF8060290.1 hypothetical protein HT031_004825 [Scenedesmus sp. PABB004]	XP_005848432.1 hypothetical protein CHLNCDRAFT_144780_ partial [Chlorella variabilis], XP_005848433.1 hypothetical protein CHLNCDRAFT_57594 [Chlorella variabilis]
OG0001866	KAF8071226.1 SAD2 [Scenedesmus sp. PABB004]	XP_005849396.1 hypothetical protein CHLNCDRAFT_143895 [Chlorella variabilis]
OG0001867	KAF8073032.1 complex 1 intermediate-associated protein [Scenedesmus sp. PABB004]	XP_005848495.1 hypothetical protein CHLNCDRAFT_35128 [Chlorella variabilis]
OG0001868	KAF8061305.1 VPS18 [Scenedesmus sp. PABB004]	XP_005844444.1 hypothetical protein CHLNCDRAFT_139164 [Chlorella variabilis]
OG0001869	KAF8069447.1 ECR1 [Scenedesmus sp. PABB004]	XP_005848226.1 hypothetical protein CHLNCDRAFT_144742 [Chlorella variabilis]
OG0001870	KAF8072744.1 RWA3 [Scenedesmus sp. PABB004]	XP_005848947.1 hypothetical protein CHLNCDRAFT_35000 [Chlorella variabilis]
OG0001871	KAF8072837.1 CBR1 [Scenedesmus sp. PABB004]	XP_005851849.1 hypothetical protein CHLNCDRAFT_59538 [Chlorella variabilis]
OG0001872	KAF8061089.1 petC [Scenedesmus sp. PABB004]	XP_005848933.1 hypothetical protein CHLNCDRAFT_57522 [Chlorella variabilis]
OG0001873	KAF8060109.1 rimO [Scenedesmus sp. PABB004], KAF8054807.1 rimO [Scenedesmus sp. PABB004]	XP_005852162.1 hypothetical protein CHLNCDRAFT_133325 [Chlorella variabilis]
OG0001874	KAF8057623.1 hypothetical protein HT031_005972 [Scenedesmus sp. PABB004]	XP_005851878.1 hypothetical protein CHLNCDRAFT_133453 [Chlorella variabilis]
OG0001875	KAF8055280.1 eukaryotic translation initiation factor 3 subunit J [Scenedesmus sp. PABB004]	XP_005848220.1 hypothetical protein CHLNCDRAFT_144733 [Chlorella variabilis]
OG0001876	KAF8072647.1 MDH1 [Scenedesmus sp. PABB004]	XP_005851886.1 hypothetical protein CHLNCDRAFT_29326 [Chlorella variabilis]
OG0001877	KAF8059205.1 XYL1 [Scenedesmus sp. PABB004]	XP_005848160.1 hypothetical protein CHLNCDRAFT_22713_ partial [Chlorella variabilis]
OG0001878	KAF8062041.1 CTDSPL2 [Scenedesmus sp. PABB004]	XP_005851821.1 hypothetical protein CHLNCDRAFT_133291_ partial [Chlorella variabilis]
