Orthogroup	Chlorella_VariabilisNC64A	Auxenochlorella_protothecoides
OG0001530	XP_005849726.1 hypothetical protein CHLNCDRAFT_142721 [Chlorella variabilis]	RMZ56129.1 hypothetical protein APUTEX25_004553 [Auxenochlorella protothecoides]
OG0001531	XP_005850316.1 hypothetical protein CHLNCDRAFT_50618 [Chlorella variabilis]	RMZ56143.1 hypothetical protein APUTEX25_004567 [Auxenochlorella protothecoides]
OG0001532	XP_005851497.1 hypothetical protein CHLNCDRAFT_137885 [Chlorella variabilis]	RMZ56156.1 hypothetical protein APUTEX25_004580_ partial [Auxenochlorella protothecoides]
OG0001533	XP_005844336.1 hypothetical protein CHLNCDRAFT_58922 [Chlorella variabilis]	RMZ56197.1 hypothetical protein APUTEX25_002387 [Auxenochlorella protothecoides]
OG0001534	XP_005846636.1 hypothetical protein CHLNCDRAFT_35936 [Chlorella variabilis]	RMZ56208.1 hypothetical protein APUTEX25_002398 [Auxenochlorella protothecoides]
OG0001535	XP_005844427.1 hypothetical protein CHLNCDRAFT_139124 [Chlorella variabilis]	RMZ56253.1 hypothetical protein APUTEX25_002443 [Auxenochlorella protothecoides]
OG0001536	XP_005847522.1 hypothetical protein CHLNCDRAFT_58007 [Chlorella variabilis]	RMZ56257.1 hypothetical protein APUTEX25_002447 [Auxenochlorella protothecoides]
OG0001537	XP_005844419.1 hypothetical protein CHLNCDRAFT_139103 [Chlorella variabilis]	RMZ56264.1 hypothetical protein APUTEX25_002454_ partial [Auxenochlorella protothecoides]
OG0001538	XP_005847304.1 hypothetical protein CHLNCDRAFT_35625 [Chlorella variabilis]	RMZ56267.1 hypothetical protein APUTEX25_002457 [Auxenochlorella protothecoides]
OG0001539	XP_005844508.1 hypothetical protein CHLNCDRAFT_10657_ partial [Chlorella variabilis]	RMZ57834.1 hypothetical protein APUTEX25_002154_ partial [Auxenochlorella protothecoides]
OG0001539	XP_005844507.1 hypothetical protein CHLNCDRAFT_15720_ partial [Chlorella variabilis]	RMZ56273.1 hypothetical protein APUTEX25_002463_ partial [Auxenochlorella protothecoides]
OG0001540	XP_005851293.1 hypothetical protein CHLNCDRAFT_138101 [Chlorella variabilis], XP_005851292.1 expressed protein [Chlorella variabilis]	RMZ56312.1 hypothetical protein APUTEX25_000551 [Auxenochlorella protothecoides]
OG0001541	XP_005849858.1 hypothetical protein CHLNCDRAFT_57275 [Chlorella variabilis]	RMZ56320.1 hypothetical protein APUTEX25_000559 [Auxenochlorella protothecoides]
OG0001542	XP_005848850.1 hypothetical protein CHLNCDRAFT_17454_ partial [Chlorella variabilis]	RMZ56331.1 hypothetical protein APUTEX25_003491 [Auxenochlorella protothecoides]
OG0001543	XP_005843527.1 hypothetical protein CHLNCDRAFT_141042 [Chlorella variabilis], XP_005845917.1 hypothetical protein CHLNCDRAFT_56254 [Chlorella variabilis]	RMZ56368.1 hypothetical protein APUTEX25_004725 [Auxenochlorella protothecoides]
OG0001544	XP_005845316.1 hypothetical protein CHLNCDRAFT_11702_ partial [Chlorella variabilis]	RMZ56405.1 hypothetical protein APUTEX25_004628_ partial [Auxenochlorella protothecoides]
OG0001545	XP_005850377.1 hypothetical protein CHLNCDRAFT_142244 [Chlorella variabilis]	RMZ56406.1 hypothetical protein APUTEX25_004629 [Auxenochlorella protothecoides]
OG0001546	XP_005845367.1 hypothetical protein CHLNCDRAFT_8322_ partial [Chlorella variabilis]	RMZ56438.1 hypothetical protein APUTEX25_004661_ partial [Auxenochlorella protothecoides]
OG0001547	XP_005852242.1 hypothetical protein CHLNCDRAFT_56599 [Chlorella variabilis]	RMZ56527.1 hypothetical protein APUTEX25_001374_ partial [Auxenochlorella protothecoides]
OG0001548	XP_005851947.1 hypothetical protein CHLNCDRAFT_14078_ partial [Chlorella variabilis], XP_005851944.1 hypothetical protein CHLNCDRAFT_49694 [Chlorella variabilis]	RMZ56535.1 hypothetical protein APUTEX25_001382_ partial [Auxenochlorella protothecoides]
OG0001549	XP_005843954.1 hypothetical protein CHLNCDRAFT_37236 [Chlorella variabilis]	RMZ56549.1 hypothetical protein APUTEX25_001396 [Auxenochlorella protothecoides]
OG0001550	XP_005852260.1 hypothetical protein CHLNCDRAFT_59548 [Chlorella variabilis]	RMZ56551.1 hypothetical protein APUTEX25_001398 [Auxenochlorella protothecoides]
OG0001551	XP_005848918.1 hypothetical protein CHLNCDRAFT_14635_ partial [Chlorella variabilis]	RMZ56589.1 hypothetical protein APUTEX25_003499 [Auxenochlorella protothecoides]
OG0001552	XP_005842715.1 hypothetical protein CHLNCDRAFT_55724_ partial [Chlorella variabilis], XP_005847211.1 hypothetical protein CHLNCDRAFT_31559 [Chlorella variabilis]	RMZ56603.1 hypothetical protein APUTEX25_004767_ partial [Auxenochlorella protothecoides]
OG0001553	XP_005850509.1 hypothetical protein CHLNCDRAFT_59568 [Chlorella variabilis]	RMZ56610.1 hypothetical protein APUTEX25_001695_ partial [Auxenochlorella protothecoides]
OG0001554	XP_005846426.1 hypothetical protein CHLNCDRAFT_58243 [Chlorella variabilis]	RMZ56613.1 hypothetical protein APUTEX25_002702 [Auxenochlorella protothecoides]
OG0001555	XP_005843641.1 hypothetical protein CHLNCDRAFT_139980 [Chlorella variabilis]	RMZ56641.1 hypothetical protein APUTEX25_002730 [Auxenochlorella protothecoides]
OG0001556	XP_005844699.1 hypothetical protein CHLNCDRAFT_59756 [Chlorella variabilis], XP_005850458.1 hypothetical protein CHLNCDRAFT_34513 [Chlorella variabilis]	RMZ56642.1 hypothetical protein APUTEX25_002731_ partial [Auxenochlorella protothecoides]
OG0001557	XP_005852232.1 hypothetical protein CHLNCDRAFT_133513 [Chlorella variabilis]	RMZ56659.1 hypothetical protein APUTEX25_002748 [Auxenochlorella protothecoides]
OG0001558	XP_005850428.1 hypothetical protein CHLNCDRAFT_142358 [Chlorella variabilis]	RMZ56663.1 hypothetical protein APUTEX25_002752_ partial [Auxenochlorella protothecoides]
OG0001560	XP_005843105.1 hypothetical protein CHLNCDRAFT_141530 [Chlorella variabilis]	RMZ56757.1 hypothetical protein APUTEX25_002846_ partial [Auxenochlorella protothecoides]
OG0001561	XP_005847751.1 hypothetical protein CHLNCDRAFT_23069_ partial [Chlorella variabilis]	RMZ56762.1 hypothetical protein APUTEX25_002851 [Auxenochlorella protothecoides]
OG0001562	XP_005846433.1 hypothetical protein CHLNCDRAFT_135568 [Chlorella variabilis]	RMZ56778.1 hypothetical protein APUTEX25_002867 [Auxenochlorella protothecoides]
OG0001563	XP_005846296.1 hypothetical protein CHLNCDRAFT_17799_ partial [Chlorella variabilis], XP_005842599.1 hypothetical protein CHLNCDRAFT_142658_ partial [Chlorella variabilis]	RMZ56792.1 hypothetical protein APUTEX25_002881 [Auxenochlorella protothecoides]
OG0001564	XP_005848365.1 hypothetical protein CHLNCDRAFT_145114 [Chlorella variabilis]	RMZ56877.1 hypothetical protein APUTEX25_002966 [Auxenochlorella protothecoides]
OG0001565	XP_005852189.1 hypothetical protein CHLNCDRAFT_14787_ partial [Chlorella variabilis]	RMZ56841.1 hypothetical protein APUTEX25_002930_ partial [Auxenochlorella protothecoides]
OG0001566	XP_005846439.1 hypothetical protein CHLNCDRAFT_135580 [Chlorella variabilis]	RMZ56856.1 hypothetical protein APUTEX25_002945 [Auxenochlorella protothecoides]
OG0001567	XP_005845128.1 hypothetical protein CHLNCDRAFT_32300 [Chlorella variabilis]	RMZ56915.1 hypothetical protein APUTEX25_004977_ partial [Auxenochlorella protothecoides]
OG0001568	XP_005847370.1 hypothetical protein CHLNCDRAFT_35513_ partial [Chlorella variabilis]	RMZ56945.1 hypothetical protein APUTEX25_005007_ partial [Auxenochlorella protothecoides]
OG0001569	XP_005848581.1 hypothetical protein CHLNCDRAFT_145157 [Chlorella variabilis]	RMZ56962.1 hypothetical protein APUTEX25_005024_ partial [Auxenochlorella protothecoides]
OG0001570	XP_005845118.1 hypothetical protein CHLNCDRAFT_137505 [Chlorella variabilis]	RMZ57490.1 hypothetical protein APUTEX25_003733 [Auxenochlorella protothecoides], RMZ56981.1 hypothetical protein APUTEX25_005043 [Auxenochlorella protothecoides]
OG0001571	XP_005847775.1 hypothetical protein CHLNCDRAFT_133904 [Chlorella variabilis]	RMZ57034.1 hypothetical protein APUTEX25_002266 [Auxenochlorella protothecoides]
OG0001572	XP_005842601.1 hypothetical protein CHLNCDRAFT_142643_ partial [Chlorella variabilis], XP_005850893.1 hypothetical protein CHLNCDRAFT_56893 [Chlorella variabilis]	RMZ57046.1 hypothetical protein APUTEX25_002278 [Auxenochlorella protothecoides]
OG0001573	XP_005848187.1 hypothetical protein CHLNCDRAFT_145600 [Chlorella variabilis], XP_005848186.1 hypothetical protein CHLNCDRAFT_145599 [Chlorella variabilis]	RMZ57080.1 hypothetical protein APUTEX25_002312_ partial [Auxenochlorella protothecoides]
OG0001574	XP_005845094.1 hypothetical protein CHLNCDRAFT_137427 [Chlorella variabilis]	RMZ57099.1 hypothetical protein APUTEX25_002331_ partial [Auxenochlorella protothecoides]
OG0001575	XP_005849584.1 hypothetical protein CHLNCDRAFT_21056 [Chlorella variabilis]	RMZ57107.1 hypothetical protein APUTEX25_002339 [Auxenochlorella protothecoides]
OG0001576	XP_005844329.1 hypothetical protein CHLNCDRAFT_59763 [Chlorella variabilis]	RMZ57169.1 hypothetical protein APUTEX25_004003 [Auxenochlorella protothecoides]
OG0001577	XP_005846627.1 hypothetical protein CHLNCDRAFT_135266 [Chlorella variabilis], XP_005845676.1 hypothetical protein CHLNCDRAFT_6736_ partial [Chlorella variabilis]	RMZ57174.1 hypothetical protein APUTEX25_004008 [Auxenochlorella protothecoides]
OG0001578	XP_005851454.1 hypothetical protein CHLNCDRAFT_137800 [Chlorella variabilis]	RMZ57176.1 hypothetical protein APUTEX25_004010 [Auxenochlorella protothecoides]
OG0001579	XP_005852049.1 hypothetical protein CHLNCDRAFT_29164 [Chlorella variabilis]	RMZ57183.1 hypothetical protein APUTEX25_004017 [Auxenochlorella protothecoides]
OG0001580	XP_005852305.1 hypothetical protein CHLNCDRAFT_144050_ partial [Chlorella variabilis]	RMZ57203.1 hypothetical protein APUTEX25_004037 [Auxenochlorella protothecoides]
OG0001581	XP_005843562.1 hypothetical protein CHLNCDRAFT_56390 [Chlorella variabilis]	RMZ57262.1 hypothetical protein APUTEX25_004096 [Auxenochlorella protothecoides]
OG0001582	XP_005851455.1 hypothetical protein CHLNCDRAFT_19166 [Chlorella variabilis]	RMZ57265.1 hypothetical protein APUTEX25_004099_ partial [Auxenochlorella protothecoides]
OG0001583	XP_005850088.1 hypothetical protein CHLNCDRAFT_16305_ partial [Chlorella variabilis], XP_005842622.1 hypothetical protein CHLNCDRAFT_29050_ partial [Chlorella variabilis]	RMZ57270.1 hypothetical protein APUTEX25_004104 [Auxenochlorella protothecoides]
OG0001584	XP_005850290.1 hypothetical protein CHLNCDRAFT_142028 [Chlorella variabilis]	RMZ57279.1 hypothetical protein APUTEX25_004113_ partial [Auxenochlorella protothecoides]
OG0001585	XP_005844458.1 hypothetical protein CHLNCDRAFT_138766 [Chlorella variabilis]	RMZ57299.1 hypothetical protein APUTEX25_004133_ partial [Auxenochlorella protothecoides]
OG0001586	XP_005843557.1 hypothetical protein CHLNCDRAFT_49225 [Chlorella variabilis]	RMZ57330.1 hypothetical protein APUTEX25_004164 [Auxenochlorella protothecoides]
OG0001587	XP_005842884.1 hypothetical protein CHLNCDRAFT_59429 [Chlorella variabilis], XP_005842867.1 hypothetical protein CHLNCDRAFT_55569 [Chlorella variabilis]	RMZ57345.1 hypothetical protein APUTEX25_004179 [Auxenochlorella protothecoides]
OG0001588	XP_005850293.1 hypothetical protein CHLNCDRAFT_142035 [Chlorella variabilis]	RMZ57351.1 hypothetical protein APUTEX25_004185 [Auxenochlorella protothecoides]
OG0001589	XP_005851669.1 hypothetical protein CHLNCDRAFT_132902 [Chlorella variabilis], XP_005850367.1 hypothetical protein CHLNCDRAFT_142222 [Chlorella variabilis], XP_005851670.1 hypothetical protein CHLNCDRAFT_132903 [Chlorella variabilis]	RMZ57421.1 hypothetical protein APUTEX25_004255_ partial [Auxenochlorella protothecoides]
OG0001590	XP_005851470.1 hypothetical protein CHLNCDRAFT_137835 [Chlorella variabilis]	RMZ57427.1 hypothetical protein APUTEX25_004261_ partial [Auxenochlorella protothecoides]
OG0001591	XP_005851994.1 hypothetical protein CHLNCDRAFT_132908 [Chlorella variabilis], XP_005851715.1 hypothetical protein CHLNCDRAFT_133042 [Chlorella variabilis]	RMZ57436.1 hypothetical protein APUTEX25_004270 [Auxenochlorella protothecoides]
OG0001592	XP_005851118.1 hypothetical protein CHLNCDRAFT_137692 [Chlorella variabilis]	RMZ57504.1 hypothetical protein APUTEX25_003747_ partial [Auxenochlorella protothecoides]
OG0001593	XP_005848324.1 hypothetical protein CHLNCDRAFT_145004 [Chlorella variabilis]	RMZ57536.1 hypothetical protein APUTEX25_001736 [Auxenochlorella protothecoides]
OG0001594	XP_005849042.1 hypothetical protein CHLNCDRAFT_143480 [Chlorella variabilis]	RMZ57561.1 hypothetical protein APUTEX25_001761 [Auxenochlorella protothecoides]
OG0001595	XP_005843472.1 hypothetical protein CHLNCDRAFT_28127_ partial [Chlorella variabilis]	RMZ57584.1 hypothetical protein APUTEX25_001784 [Auxenochlorella protothecoides]
OG0001596	XP_005849057.1 hypothetical protein CHLNCDRAFT_143521 [Chlorella variabilis]	RMZ57608.1 hypothetical protein APUTEX25_001808 [Auxenochlorella protothecoides]
OG0001597	XP_005843564.1 reversibly glycosylated protein [Chlorella variabilis]	RMZ57626.1 hypothetical protein APUTEX25_001826_ partial [Auxenochlorella protothecoides]
OG0001598	XP_005849167.1 hypothetical protein CHLNCDRAFT_143817 [Chlorella variabilis]	RMZ57642.1 hypothetical protein APUTEX25_001842 [Auxenochlorella protothecoides]
OG0001599	XP_005842658.1 hypothetical protein CHLNCDRAFT_33426_ partial [Chlorella variabilis]	RMZ57679.1 hypothetical protein APUTEX25_001879_ partial [Auxenochlorella protothecoides]
OG0001600	XP_005845759.1 hypothetical protein CHLNCDRAFT_136399 [Chlorella variabilis], XP_005845758.1 hypothetical protein CHLNCDRAFT_136398 [Chlorella variabilis]	RMZ57734.1 hypothetical protein APUTEX25_003727_ partial [Auxenochlorella protothecoides]
OG0001601	XP_005847410.1 hypothetical protein CHLNCDRAFT_134274 [Chlorella variabilis]	RMZ57741.1 hypothetical protein APUTEX25_004935_ partial [Auxenochlorella protothecoides]
OG0001664	XP_005852325.1 hypothetical protein CHLNCDRAFT_33359 [Chlorella variabilis]	RMZ52016.1 hypothetical protein APUTEX25_001210_ partial [Auxenochlorella protothecoides]
OG0001665	XP_005849221.1 hypothetical protein CHLNCDRAFT_34947 [Chlorella variabilis]	RMZ52020.1 hypothetical protein APUTEX25_001214 [Auxenochlorella protothecoides]
OG0001666	XP_005847082.1 hypothetical protein CHLNCDRAFT_48880 [Chlorella variabilis]	RMZ52022.1 hypothetical protein APUTEX25_001216 [Auxenochlorella protothecoides]
OG0001667	XP_005849215.1 hypothetical protein CHLNCDRAFT_57451 [Chlorella variabilis]	RMZ52028.1 hypothetical protein APUTEX25_001222 [Auxenochlorella protothecoides]
OG0001668	XP_005846890.1 hypothetical protein CHLNCDRAFT_134743 [Chlorella variabilis]	RMZ52044.1 hypothetical protein APUTEX25_001238_ partial [Auxenochlorella protothecoides]
OG0001669	XP_005849402.1 hypothetical protein CHLNCDRAFT_143906 [Chlorella variabilis]	RMZ52050.1 hypothetical protein APUTEX25_001244 [Auxenochlorella protothecoides]
OG0001670	XP_005843919.1 glutamate-1-semialdehyde 2_1-aminomutase [Chlorella variabilis]	RMZ52079.1 hypothetical protein APUTEX25_001273 [Auxenochlorella protothecoides]
OG0001671	XP_005843963.1 hypothetical protein CHLNCDRAFT_37276 [Chlorella variabilis]	RMZ52084.1 hypothetical protein APUTEX25_001278_ partial [Auxenochlorella protothecoides]
OG0001672	XP_005843929.1 hypothetical protein CHLNCDRAFT_139672 [Chlorella variabilis]	RMZ52089.1 hypothetical protein APUTEX25_001283 [Auxenochlorella protothecoides]
OG0001673	XP_005849428.1 hypothetical protein CHLNCDRAFT_21770 [Chlorella variabilis]	RMZ52091.1 hypothetical protein APUTEX25_001285_ partial [Auxenochlorella protothecoides]
OG0001674	XP_005846947.1 hypothetical protein CHLNCDRAFT_35815 [Chlorella variabilis]	RMZ54274.1 hypothetical protein APUTEX25_000574_ partial [Auxenochlorella protothecoides], RMZ52113.1 hypothetical protein APUTEX25_001307 [Auxenochlorella protothecoides]
OG0001675	XP_005850757.1 hypothetical protein CHLNCDRAFT_9012_ partial [Chlorella variabilis]	RMZ52136.1 hypothetical protein APUTEX25_001526 [Auxenochlorella protothecoides]
OG0001676	XP_005843159.1 hypothetical protein CHLNCDRAFT_59360 [Chlorella variabilis]	RMZ52138.1 hypothetical protein APUTEX25_001528_ partial [Auxenochlorella protothecoides]
OG0001677	XP_005845431.1 hypothetical protein CHLNCDRAFT_49033 [Chlorella variabilis]	RMZ52141.1 hypothetical protein APUTEX25_001531 [Auxenochlorella protothecoides]
OG0001678	XP_005845584.1 hypothetical protein CHLNCDRAFT_25788_ partial [Chlorella variabilis]	RMZ52144.1 hypothetical protein APUTEX25_001534 [Auxenochlorella protothecoides]
OG0001680	XP_005842860.1 hypothetical protein CHLNCDRAFT_13108_ partial [Chlorella variabilis]	RMZ52169.1 hypothetical protein APUTEX25_001559_ partial [Auxenochlorella protothecoides]
OG0001681	XP_005844442.1 hypothetical protein CHLNCDRAFT_139160 [Chlorella variabilis]	RMZ52170.1 hypothetical protein APUTEX25_001560_ partial [Auxenochlorella protothecoides]
OG0001682	XP_005845621.1 hypothetical protein CHLNCDRAFT_136599 [Chlorella variabilis]	RMZ52172.1 hypothetical protein APUTEX25_001562 [Auxenochlorella protothecoides]
OG0001683	XP_005845629.1 hypothetical protein CHLNCDRAFT_58507 [Chlorella variabilis]	RMZ52174.1 hypothetical protein APUTEX25_001564 [Auxenochlorella protothecoides]
OG0001684	XP_005842849.1 hypothetical protein CHLNCDRAFT_59437 [Chlorella variabilis]	RMZ52191.1 hypothetical protein APUTEX25_001581_ partial [Auxenochlorella protothecoides]
OG0001685	XP_005844262.1 hypothetical protein CHLNCDRAFT_139333 [Chlorella variabilis]	RMZ52192.1 hypothetical protein APUTEX25_001582_ partial [Auxenochlorella protothecoides]
OG0001686	XP_005844264.1 hypothetical protein CHLNCDRAFT_139336 [Chlorella variabilis]	RMZ52199.1 hypothetical protein APUTEX25_001589_ partial [Auxenochlorella protothecoides]
OG0001687	XP_005845014.1 hypothetical protein CHLNCDRAFT_138486 [Chlorella variabilis]	RMZ52202.1 hypothetical protein APUTEX25_001592 [Auxenochlorella protothecoides]
OG0001689	XP_005849111.1 hypothetical protein CHLNCDRAFT_30565 [Chlorella variabilis]	RMZ52216.1 hypothetical protein APUTEX25_001606 [Auxenochlorella protothecoides]
OG0001690	XP_005845021.1 hypothetical protein CHLNCDRAFT_138504 [Chlorella variabilis]	RMZ52231.1 hypothetical protein APUTEX25_001621 [Auxenochlorella protothecoides]
OG0001691	XP_005851736.1 hypothetical protein CHLNCDRAFT_55930 [Chlorella variabilis]	RMZ52236.1 hypothetical protein APUTEX25_001626 [Auxenochlorella protothecoides]
OG0001692	XP_005843151.1 hypothetical protein CHLNCDRAFT_141556 [Chlorella variabilis]	RMZ52253.1 hypothetical protein APUTEX25_001643 [Auxenochlorella protothecoides]
OG0001693	XP_005846058.1 hypothetical protein CHLNCDRAFT_136230 [Chlorella variabilis]	RMZ52281.1 hypothetical protein APUTEX25_001671 [Auxenochlorella protothecoides]
OG0001694	XP_005845023.1 hypothetical protein CHLNCDRAFT_26457 [Chlorella variabilis]	RMZ52283.1 hypothetical protein APUTEX25_001673 [Auxenochlorella protothecoides]
OG0001695	XP_005842970.1 hypothetical protein CHLNCDRAFT_141807 [Chlorella variabilis]	RMZ57773.1 hypothetical protein APUTEX25_004330_ partial [Auxenochlorella protothecoides]
OG0001696	XP_005850453.1 hypothetical protein CHLNCDRAFT_142416 [Chlorella variabilis]	RMZ56810.1 hypothetical protein APUTEX25_002899 [Auxenochlorella protothecoides]
OG0001697	XP_005846239.1 hypothetical protein CHLNCDRAFT_58232 [Chlorella variabilis]	RMZ52319.1 hypothetical protein APUTEX25_005072 [Auxenochlorella protothecoides]
OG0001698	XP_005844288.1 hypothetical protein CHLNCDRAFT_59034 [Chlorella variabilis]	RMZ52342.1 hypothetical protein APUTEX25_005095 [Auxenochlorella protothecoides]
OG0001699	XP_005844396.1 hypothetical protein CHLNCDRAFT_139047 [Chlorella variabilis], XP_005844397.1 hypothetical protein CHLNCDRAFT_54525 [Chlorella variabilis]	RMZ52343.1 hypothetical protein APUTEX25_005096 [Auxenochlorella protothecoides]
OG0001700	XP_005846866.1 hypothetical protein CHLNCDRAFT_35731 [Chlorella variabilis]	RMZ52350.1 hypothetical protein APUTEX25_001712 [Auxenochlorella protothecoides]
OG0001701	XP_005844215.1 hypothetical protein CHLNCDRAFT_139419 [Chlorella variabilis], XP_005849769.1 hypothetical protein CHLNCDRAFT_20807 [Chlorella variabilis]	RMZ52358.1 hypothetical protein APUTEX25_000633_ partial [Auxenochlorella protothecoides]
OG0001702	XP_005848118.1 hypothetical protein CHLNCDRAFT_22943 [Chlorella variabilis]	RMZ52366.1 hypothetical protein APUTEX25_000641 [Auxenochlorella protothecoides]
OG0001703	XP_005850492.1 hypothetical protein CHLNCDRAFT_10114_ partial [Chlorella variabilis]	RMZ52368.1 hypothetical protein APUTEX25_000643 [Auxenochlorella protothecoides]
OG0001704	XP_005849515.1 hypothetical protein CHLNCDRAFT_142853 [Chlorella variabilis]	RMZ52369.1 hypothetical protein APUTEX25_000644 [Auxenochlorella protothecoides]
OG0001705	XP_005851895.1 hypothetical protein CHLNCDRAFT_33640 [Chlorella variabilis]	RMZ52373.1 hypothetical protein APUTEX25_000648_ partial [Auxenochlorella protothecoides]
OG0001706	XP_005851887.1 hypothetical protein CHLNCDRAFT_56574 [Chlorella variabilis]	RMZ52377.1 hypothetical protein APUTEX25_000652_ partial [Auxenochlorella protothecoides], RMZ57733.1 hypothetical protein APUTEX25_001696_ partial [Auxenochlorella protothecoides]
OG0001707	XP_005851893.1 hypothetical protein CHLNCDRAFT_133491 [Chlorella variabilis]	RMZ52383.1 hypothetical protein APUTEX25_000658 [Auxenochlorella protothecoides]
OG0001708	XP_005849514.1 hypothetical protein CHLNCDRAFT_142851 [Chlorella variabilis]	RMZ52384.1 hypothetical protein APUTEX25_000659 [Auxenochlorella protothecoides]
OG0001709	XP_005848120.1 hypothetical protein CHLNCDRAFT_145427 [Chlorella variabilis]	RMZ52386.1 hypothetical protein APUTEX25_000661 [Auxenochlorella protothecoides]
OG0001710	XP_005851891.1 hypothetical protein CHLNCDRAFT_133484 [Chlorella variabilis], XP_005842717.1 hypothetical protein CHLNCDRAFT_135058 [Chlorella variabilis]	RMZ52408.1 hypothetical protein APUTEX25_000683_ partial [Auxenochlorella protothecoides]
OG0001711	XP_005848055.1 hypothetical protein CHLNCDRAFT_10401_ partial [Chlorella variabilis]	RMZ52441.1 hypothetical protein APUTEX25_000020_ partial [Auxenochlorella protothecoides]
OG0001712	XP_005849945.1 hypothetical protein CHLNCDRAFT_17540_ partial [Chlorella variabilis]	RMZ52449.1 hypothetical protein APUTEX25_000028 [Auxenochlorella protothecoides]
OG0001713	XP_005847896.1 hypothetical protein CHLNCDRAFT_57712 [Chlorella variabilis]	RMZ52452.1 hypothetical protein APUTEX25_000031 [Auxenochlorella protothecoides]
OG0001714	XP_005848686.1 hypothetical protein CHLNCDRAFT_34979 [Chlorella variabilis]	RMZ52473.1 hypothetical protein APUTEX25_003616 [Auxenochlorella protothecoides]
OG0001715	XP_005848544.1 hypothetical protein CHLNCDRAFT_30873 [Chlorella variabilis]	RMZ52489.1 hypothetical protein APUTEX25_003632 [Auxenochlorella protothecoides]
OG0001716	XP_005849493.1 hypothetical protein CHLNCDRAFT_34626 [Chlorella variabilis]	RMZ52495.1 hypothetical protein APUTEX25_003638 [Auxenochlorella protothecoides]
OG0001717	XP_005849756.1 hypothetical protein CHLNCDRAFT_142791 [Chlorella variabilis]	RMZ52505.1 hypothetical protein APUTEX25_003648 [Auxenochlorella protothecoides]
OG0001718	XP_005849538.1 hypothetical protein CHLNCDRAFT_142905 [Chlorella variabilis]	RMZ52506.1 hypothetical protein APUTEX25_003649_ partial [Auxenochlorella protothecoides]
OG0001719	XP_005848715.1 hypothetical protein CHLNCDRAFT_22097 [Chlorella variabilis]	RMZ52535.1 hypothetical protein APUTEX25_003678 [Auxenochlorella protothecoides]
OG0001720	XP_005848714.1 hypothetical protein CHLNCDRAFT_144373 [Chlorella variabilis]	RMZ52549.1 hypothetical protein APUTEX25_003692 [Auxenochlorella protothecoides]
OG0001721	XP_005848693.1 hypothetical protein CHLNCDRAFT_144323 [Chlorella variabilis]	RMZ57297.1 hypothetical protein APUTEX25_004131_ partial [Auxenochlorella protothecoides], RMZ52579.1 hypothetical protein APUTEX25_003722 [Auxenochlorella protothecoides]
OG0001722	XP_005851795.1 hypothetical protein CHLNCDRAFT_133234 [Chlorella variabilis], XP_005851796.1 hypothetical protein CHLNCDRAFT_133235 [Chlorella variabilis]	RMZ52597.1 hypothetical protein APUTEX25_000716 [Auxenochlorella protothecoides]
OG0001723	XP_005847975.1 hypothetical protein CHLNCDRAFT_145469 [Chlorella variabilis]	RMZ52610.1 hypothetical protein APUTEX25_000729_ partial [Auxenochlorella protothecoides]
OG0001724	XP_005844663.1 hypothetical protein CHLNCDRAFT_138547 [Chlorella variabilis]	RMZ52625.1 hypothetical protein APUTEX25_000744 [Auxenochlorella protothecoides]
OG0001725	XP_005849388.1 hypothetical protein CHLNCDRAFT_143875 [Chlorella variabilis]	RMZ52632.1 hypothetical protein APUTEX25_000751 [Auxenochlorella protothecoides]
OG0001726	XP_005848127.1 hypothetical protein CHLNCDRAFT_145453 [Chlorella variabilis], XP_005848128.1 hypothetical protein CHLNCDRAFT_145454 [Chlorella variabilis]	RMZ52633.1 hypothetical protein APUTEX25_000752 [Auxenochlorella protothecoides]
OG0001727	XP_005843848.1 hypothetical protein CHLNCDRAFT_32823 [Chlorella variabilis]	RMZ52638.1 hypothetical protein APUTEX25_000757 [Auxenochlorella protothecoides]
OG0001728	XP_005849924.1 hypothetical protein CHLNCDRAFT_143236 [Chlorella variabilis]	RMZ52641.1 hypothetical protein APUTEX25_000760 [Auxenochlorella protothecoides]
OG0001729	XP_005847983.1 hypothetical protein CHLNCDRAFT_145492 [Chlorella variabilis]	RMZ52642.1 hypothetical protein APUTEX25_000761 [Auxenochlorella protothecoides]
OG0001730	XP_005843897.1 hypothetical protein CHLNCDRAFT_59796 [Chlorella variabilis]	RMZ52643.1 hypothetical protein APUTEX25_000762_ partial [Auxenochlorella protothecoides]
OG0001731	XP_005847003.1 hypothetical protein CHLNCDRAFT_9965_ partial [Chlorella variabilis]	RMZ52872.1 hypothetical protein APUTEX25_000991 [Auxenochlorella protothecoides]
OG0001732	XP_005845163.1 hypothetical protein CHLNCDRAFT_58678 [Chlorella variabilis]	RMZ52655.1 hypothetical protein APUTEX25_000774 [Auxenochlorella protothecoides]
OG0001733	XP_005849655.1 hypothetical protein CHLNCDRAFT_34762_ partial [Chlorella variabilis]	RMZ52667.1 hypothetical protein APUTEX25_000786 [Auxenochlorella protothecoides]
OG0001735	XP_005843871.1 hypothetical protein CHLNCDRAFT_139722 [Chlorella variabilis]	RMZ52672.1 hypothetical protein APUTEX25_000791_ partial [Auxenochlorella protothecoides]
